"symbol","date","open","high","low","close","adjclose","volume"
"MAR","12/31/2014",78.67,79.25,77.98,78.03,74.87076,1422000
"MAR","12/30/2014",78.72,79.22,78.05,78.3,75.12984,1184600
"MAR","12/29/2014",78.72,79.25,78.16,79.08,75.87825,1115100
"MAR","12/26/2014",78.67,78.99,78.52,78.69,75.50404,891500
"MAR","12/24/2014",78.09,78.57,77.86,78.35,75.1778,736900
"MAR","12/23/2014",78.75,79.03,78.34,78.54,75.36013,1577000
"MAR","12/22/2014",77.41,78.61,77.35,78.46,75.28336,1257100
"MAR","12/19/2014",77.33,77.97,76.98,77.43,74.29506,4492400
"MAR","12/18/2014",77.64,77.88,76.91,77.35,74.21831,2353400
"MAR","12/17/2014",76.29,77.08,75.62,76.74,73.63299,2353700
"MAR","12/16/2014",77.84,77.93,76.22,76.28,73.19162,3311600
"MAR","12/15/2014",77.5,78.29,76.27,77.57,74.42938,2640100
"MAR","12/12/2014",77.07,77.92,76.71,76.76,73.65218,1568600
"MAR","12/11/2014",78.58,78.78,77.25,77.62,74.47736,1427900
"MAR","12/10/2014",78.3,78.46,77.33,77.48,74.34305,1655200
"MAR","12/09/2014",78.08,78.52,77.5,78.37,75.19701,1669400
"MAR","12/08/2014",79.01,79.25,78.5,78.99,75.79189,1459600
"MAR","12/05/2014",78.06,79.19,77.97,78.99,75.79189,1598700
"MAR","12/04/2014",78,79,77.45,77.94,74.7844,1499100
"MAR","12/03/2014",77.5,78.49,77.2,78.14,74.97631,1400200
"MAR","12/02/2014",77.73,78.19,77.4,77.45,74.31425,2659900
"MAR","12/01/2014",78.5,78.79,77.37,77.45,74.31425,1903100
"MAR","11/28/2014",78.33,79.21,78.15,78.79,75.59999,981200
"MAR","11/26/2014",76.82,77.65,76.77,77.48,74.34305,1010900
"MAR","11/25/2014",77.02,77.3,76.44,77.04,73.92085,4748000
"MAR","11/24/2014",76.47,77.23,76.47,76.97,73.85369,2092500
"MAR","11/21/2014",76.81,77.05,75.91,75.98,72.90376,2211300
"MAR","11/20/2014",76.37,76.41,75.34,75.89,72.81739,2324700
"MAR","11/19/2014",76.98,77.35,76.32,76.38,73.28758,1783400
"MAR","11/18/2014",76.89,77.22,76.51,76.94,73.8249,2442900
"MAR","11/18/2014",0,0,0,0,0,0
"MAR","11/17/2014",77.1,77.74,76.77,77.17,73.85369,2517600
"MAR","11/14/2014",78.09,78.39,77.71,77.96,74.60973,1456700
"MAR","11/13/2014",77.38,78.25,77.33,78.09,74.73414,1443300
"MAR","11/12/2014",76.58,77.5,76.38,77.3,73.97811,1319200
"MAR","11/11/2014",76.8,77.28,76.56,77.14,73.82497,1463000
"MAR","11/10/2014",75.52,76.67,75.33,76.56,73.26989,1434600
"MAR","11/07/2014",75.33,75.55,74.96,75.5,72.25545,1803200
"MAR","11/06/2014",75.07,75.34,74.44,75.25,72.01619,2331700
"MAR","11/05/2014",75.19,75.2,73.94,74.9,71.68125,3106700
"MAR","11/04/2014",75.4,75.59,74.32,74.57,71.36542,3395500
