"symbol","date","open","high","low","close","adjclose","volume"
"MDLZ","12/31/2014",37.03,37.14,36.31,36.33,34.66536,5024200
"MDLZ","12/30/2014",37.22,37.37,36.99,37.02,35.32374,3654000
"MDLZ","12/29/2014",37.49,37.57,37.14,37.34,35.62908,4834600
"MDLZ","12/29/2014",0,0,0,0,0,0
"MDLZ","12/26/2014",37.64,37.85,37.57,37.76,35.88671,3424900
"MDLZ","12/24/2014",37.73,37.81,37.49,37.63,35.76315,1883400
"MDLZ","12/23/2014",37.58,37.79,37.38,37.58,35.71564,6467100
"MDLZ","12/22/2014",37.39,37.68,37.19,37.5,35.6396,12316000
"MDLZ","12/19/2014",36.52,37.58,36.48,37.3,35.44952,14635000
"MDLZ","12/18/2014",36.42,36.74,36.17,36.58,34.76525,15582900
"MDLZ","12/17/2014",36.07,36.17,35.69,36,34.21402,11232800
"MDLZ","12/16/2014",36.56,36.94,35.99,36.02,34.23302,11494400
"MDLZ","12/15/2014",37.44,37.44,36.57,36.67,34.85078,8118300
"MDLZ","12/12/2014",37.71,38,37.23,37.23,35.383,7082300
"MDLZ","12/11/2014",38.54,38.54,38.06,38.13,36.23835,5796800
"MDLZ","12/10/2014",38.43,38.64,38.06,38.11,36.21934,5921100
"MDLZ","12/09/2014",38.06,38.69,37.89,38.56,36.64702,6365200
"MDLZ","12/08/2014",38.4,38.59,38.16,38.24,36.3429,7372200
"MDLZ","12/05/2014",38.54,38.6,38.24,38.5,36.59,7054100
"MDLZ","12/04/2014",38.52,38.66,38.31,38.41,36.50446,7161000
"MDLZ","12/03/2014",38.82,38.97,38.15,38.67,36.75157,9641400
"MDLZ","12/02/2014",38.69,39.06,38.69,38.89,36.96065,6878200
"MDLZ","12/01/2014",39.2,39.27,38.84,38.98,37.04618,8035400
"MDLZ","11/28/2014",39.42,39.42,39.03,39.2,37.25527,5607600
"MDLZ","11/26/2014",38.74,39.05,38.74,39,37.06519,4996400
"MDLZ","11/25/2014",38.97,39.05,38.68,38.76,36.83709,8107200
"MDLZ","11/24/2014",39.18,39.23,38.76,38.99,37.05568,6284500
"MDLZ","11/21/2014",39.41,39.41,38.92,39,37.06519,8871000
"MDLZ","11/20/2014",38.8,39.02,38.65,38.93,36.99866,6215500
"MDLZ","11/19/2014",38.76,39.24,38.6,39.1,37.16023,7761800
"MDLZ","11/18/2014",38.15,38.87,38.1,38.7,36.78007,8284800
"MDLZ","11/17/2014",38.16,38.39,37.99,38.37,36.46644,5473100
"MDLZ","11/14/2014",38.26,38.44,38.02,38.16,36.26686,6427300
"MDLZ","11/13/2014",38.14,38.33,37.8,38.23,36.33339,6757900
"MDLZ","11/12/2014",37.7,37.99,37.47,37.92,36.03876,5610600
"MDLZ","11/11/2014",37.94,38.14,37.72,37.77,35.89621,4715000
"MDLZ","11/10/2014",37.72,37.92,37.43,37.9,36.01976,8769900
"MDLZ","11/07/2014",37.84,37.97,37.44,37.76,35.88671,8803300
"MDLZ","11/06/2014",37.5,38.07,37.26,37.84,35.96273,12576600
"MDLZ","11/05/2014",36.25,37.45,36.18,37.15,35.30696,17787100
"MDLZ","11/04/2014",35.5,35.53,34.95,35.03,33.29214,8409600
"MDLZ","11/03/2014",35.21,35.46,35.12,35.41,33.65329,8322200
"MDLZ","10/31/2014",35.95,35.95,35.06,35.26,33.51074,10910100
"MDLZ","10/30/2014",34.76,35.26,34.7,35.16,33.4157,7240000
"MDLZ","10/29/2014",35.34,35.49,34.58,34.93,33.1971,8609400
"MDLZ","10/28/2014",34.9,35.3,34.73,35.29,33.53925,8664200
"MDLZ","10/27/2014",34.26,34.8,34.26,34.73,33.00702,7262600
"MDLZ","10/24/2014",34.21,34.41,33.94,34.37,32.66489,6261500
"MDLZ","10/23/2014",34.16,34.32,33.99,34.11,32.41779,8177700
"MDLZ","10/22/2014",33.64,34.16,33.5,33.89,32.2087,10236400
"MDLZ","10/21/2014",32.99,33.24,32.85,33.23,31.58144,6239000
"MDLZ","10/20/2014",32.46,32.98,32.32,32.94,31.30583,6908100
"MDLZ","10/17/2014",32.04,32.83,31.96,32.62,31.00171,9832400
"MDLZ","10/16/2014",32.17,32.42,31.9,32.1,30.5075,11855600
"MDLZ","10/15/2014",32.56,32.93,31.83,32.67,31.04922,13085700
"MDLZ","10/14/2014",33.23,33.35,32.76,32.8,31.17277,7750400
"MDLZ","10/13/2014",33.4,33.63,32.98,32.98,31.34385,8376900
"MDLZ","10/10/2014",33.75,33.99,33.49,33.49,31.82854,9733300
"MDLZ","10/09/2014",34.29,34.45,33.65,33.65,31.9806,9103300
"MDLZ","10/08/2014",33.85,34.4,33.65,34.39,32.6839,9728900
"MDLZ","10/07/2014",34.18,34.34,33.91,33.92,32.23721,8192100
