"symbol","date","open","high","low","close","adjclose","volume"
"MDT","12/31/2014",73.28,73.75,72.11,72.2,67.83053,4737400
"MDT","12/30/2014",73.44,73.63,72.66,73.07,68.64787,4990800
"MDT","12/30/2014",0,0,0,0,0,0
"MDT","12/29/2014",73.38,73.93,73.19,73.69,68.94381,4611400
"MDT","12/26/2014",74.05,74.22,73.51,73.61,68.86896,4206200
"MDT","12/24/2014",73.88,74.45,73.42,74.08,69.30869,3232500
"MDT","12/23/2014",75.55,75.66,73.74,73.77,69.01865,7335600
"MDT","12/22/2014",74.65,75.64,74.58,75.57,70.70271,10384000
"MDT","12/19/2014",74.66,75,74,74.62,69.8139,10460600
"MDT","12/18/2014",73.73,74.68,73.4,74.63,69.82325,7014800
"MDT","12/17/2014",71.75,72.77,71.57,72.67,67.9895,9045900
"MDT","12/16/2014",70.8,73.02,70.78,71.34,66.74516,8380100
"MDT","12/15/2014",73.42,73.51,71.97,71.99,67.35329,6942700
"MDT","12/12/2014",72.72,73.72,72.5,72.52,67.84916,7567800
"MDT","12/11/2014",73.67,74.28,73.55,73.77,69.01865,6224000
"MDT","12/10/2014",74.24,74.58,73.2,73.23,68.51344,6506900
"MDT","12/09/2014",73.71,74.78,73.62,74.72,69.90746,5373400
"MDT","12/08/2014",74.81,75.31,74.51,74.79,69.97295,7343800
"MDT","12/05/2014",73.88,75.1,73.71,75.04,70.20687,9583400
"MDT","12/04/2014",74.84,74.99,73.47,73.94,69.1777,8246300
"MDT","12/03/2014",74.21,75.04,74.14,74.84,70.01973,7224500
"MDT","12/02/2014",73.99,74.78,73.98,74.33,69.54259,5501000
"MDT","12/01/2014",73.41,74.17,72.94,73.87,69.11221,5350000
"MDT","11/28/2014",73.93,74.53,73.63,73.87,69.11221,3074500
"MDT","11/26/2014",72.82,73.55,72.76,73.48,68.74731,5062600
"MDT","11/25/2014",72.79,73.13,72.65,72.79,68.10176,5621000
"MDT","11/24/2014",72.6,72.95,72.31,72.93,68.23275,6667100
"MDT","11/21/2014",72.82,72.89,72.13,72.49,67.82108,8974400
"MDT","11/20/2014",71.39,72.09,70.9,72.08,67.43751,6878100
"MDT","11/19/2014",72.27,72.46,71.64,71.76,67.13811,8109000
"MDT","11/18/2014",69.39,72.74,68.83,72.47,67.80238,12950300
"MDT","11/17/2014",68.77,69.64,68.73,69.19,64.73363,5325500
"MDT","11/14/2014",69.46,69.49,68.8,68.95,64.50909,5833700
"MDT","11/13/2014",68.82,69.62,68.66,69.38,64.91141,6920100
"MDT","11/12/2014",68.55,68.9,68.25,68.5,64.08807,4630500
"MDT","11/11/2014",68.71,69.33,68.46,68.99,64.54652,4542400
"MDT","11/10/2014",68.12,68.75,67.69,68.71,64.28454,5932900
"MDT","11/07/2014",68.7,68.86,67.79,68.1,63.71385,6054000
"MDT","11/06/2014",68.86,69.1,68.48,68.74,64.31261,7329500
"MDT","11/05/2014",68.7,69.01,68.28,68.7,64.27521,11671500
"MDT","11/04/2014",68.11,68.29,67.39,67.93,63.55479,5679800
"MDT","11/03/2014",68.12,68.39,67.58,68.15,63.76063,4436000
"MDT","10/31/2014",68.21,68.41,67.89,68.16,63.76998,8663400
"MDT","10/30/2014",66.83,67.75,66.59,67.43,63.08699,5566400
"MDT","10/29/2014",66.5,67.36,66.23,67.04,62.72211,8229200
"MDT","10/28/2014",66.32,66.53,66.16,66.51,62.22625,5708600
"MDT","10/27/2014",66.42,66.7,65.51,66.26,61.99236,6673100
"MDT","10/24/2014",65.75,66.6,65.65,66.56,62.27303,7883000
"MDT","10/23/2014",65.09,65.88,65.06,65.61,61.38423,6642600
"MDT","10/22/2014",65.35,65.58,64.63,64.66,60.4954,8396900
"MDT","10/21/2014",64.08,65.35,63.98,64.98,60.79479,14523400
"MDT","10/20/2014",62.18,64.07,62.15,63.84,59.72821,12465500
"MDT","10/17/2014",62.59,62.59,61.38,61.99,57.99738,18747600
"MDT","10/16/2014",61.5,62.84,61.28,61.81,57.82897,11991100
"MDT","10/15/2014",62.37,63.03,59.83,62.25,58.24062,28912800
"MDT","10/14/2014",63.45,64.27,63.03,63.51,59.41947,9107200
"MDT","10/13/2014",63.9,64.03,63.01,63.06,58.99846,8208100
"MDT","10/10/2014",63.64,64.94,63.5,64.11,59.98082,10563500
"MDT","10/09/2014",65.34,65.6,63.64,63.65,59.55047,9472300
"MDT","10/08/2014",63.88,65.75,63.85,65.73,61.49648,10207700
"MDT","10/07/2014",64.39,64.67,63.85,63.94,59.82177,8272900
"MDT","10/06/2014",65.26,65.41,64.78,64.9,60.71994,10306700
"MDT","10/03/2014",65.53,65.82,64.79,65.02,60.83222,29984000
"MDT","10/02/2014",62.5,63.15,61.84,62.8,58.7552,10372800
"MDT","10/01/2014",61.95,62.77,61.6,62.47,58.44646,13010800
"MDT","10/01/2014",0,0,0,0,0,0
"MDT","09/30/2014",63,63,61.93,61.95,57.67459,14432900
"MDT","09/29/2014",62.66,63.02,62.5,62.54,58.22387,7876700
"MDT","09/26/2014",62.92,63.67,62.68,63.34,58.96866,8141700
"MDT","09/25/2014",63.77,64.32,62.74,62.75,58.41938,10559400
"MDT","09/24/2014",64.07,64.38,63.07,63.77,59.36898,16432000
"MDT","09/23/2014",63.49,64.66,63.31,64.08,59.6576,18538800
"MDT","09/22/2014",65.95,66.09,65.48,65.98,61.42647,7390400
"MDT","09/19/2014",66.97,67.11,66.22,66.22,61.64991,9196400
"MDT","09/18/2014",66.31,66.74,66.04,66.53,61.9385,5464600
"MDT","09/17/2014",66.26,66.32,65.3,65.98,61.42647,8253700
"MDT","09/16/2014",64.83,66.21,64.43,66.19,61.62199,6301800
