"symbol","date","open","high","low","close","adjclose","volume"
"MNST","12/31/2014",36.77667,37.08333,36.1,36.11666,36.11666,548300
"MNST","12/30/2014",36.87667,37.09667,36.51667,36.52667,36.52667,1560300
"MNST","12/29/2014",37.08667,37.21333,36.59333,37.07333,37.07333,1545900
"MNST","12/26/2014",37.48333,37.66333,37.14,37.17,37.17,1055100
"MNST","12/24/2014",37.35667,37.83,37.27333,37.52,37.52,830100
"MNST","12/23/2014",37.65667,37.77333,36.96,37.34667,37.34667,1834800
"MNST","12/22/2014",37.22333,37.81333,37.08,37.37667,37.37667,2142300
"MNST","12/19/2014",37.34333,37.68,36.98667,37.21,37.21,6063000
"MNST","12/18/2014",36.65,37.37667,36.25333,37.37667,37.37667,3340500
"MNST","12/17/2014",35.59333,36.36666,35.11666,36.18667,36.18667,2705400
"MNST","12/16/2014",35.49667,36.73333,35.24667,35.41333,35.41333,3701400
"MNST","12/15/2014",35.33667,35.45333,34.82667,35.00333,35.00333,3454200
"MNST","12/12/2014",35.76,36.11,35.01,35.03667,35.03667,2346600
"MNST","12/11/2014",35.68333,36.52333,35.28,36.13,36.13,2950200
"MNST","12/10/2014",35.33333,35.92333,35.32333,35.50333,35.50333,2748900
"MNST","12/09/2014",35.12,35.5,34.39333,35.47,35.47,3737100
"MNST","12/08/2014",35.58667,36.06,35.23333,35.50667,35.50667,2895600
"MNST","12/05/2014",35.77667,35.86666,35.41333,35.56333,35.56333,3000900
"MNST","12/04/2014",35.72,35.99,35.14667,35.53667,35.53667,3747900
"MNST","12/03/2014",36.47667,36.52,35.28333,35.65333,35.65333,7138500
"MNST","12/02/2014",36.88667,37.06667,36.1,36.52667,36.52667,3429300
"MNST","12/01/2014",36.99,37.42667,36.79333,37.1,37.1,2426400
"MNST","11/28/2014",37.05,37.83333,36.87333,37.38334,37.38334,1368000
"MNST","11/26/2014",36.77,36.91,36.52667,36.79667,36.79667,1360500
"MNST","11/25/2014",36.46,36.98,36.32,36.81667,36.81667,2487600
"MNST","11/24/2014",36.48333,36.68333,36.13667,36.26333,36.26333,2846100
"MNST","11/21/2014",37.17,37.17,36.22333,36.48333,36.48333,3992400
"MNST","11/20/2014",36.62667,36.89667,36.46,36.73,36.73,1961700
"MNST","11/19/2014",36.65333,36.81667,36.43,36.76667,36.76667,1663500
"MNST","11/18/2014",36.50333,36.89,36.20333,36.58333,36.58333,2203800
"MNST","11/17/2014",35.99,36.69667,35.88334,36.69,36.69,2237100
"MNST","11/14/2014",36.11,36.18667,35.71667,35.97333,35.97333,1453200
"MNST","11/13/2014",36.12333,36.52667,35.60333,36.05333,36.05333,3645300
"MNST","11/12/2014",35.48667,36.00667,35.26333,35.97,35.97,2055000
"MNST","11/11/2014",35.85667,35.96333,35.47,35.67,35.67,2482200
"MNST","11/10/2014",36.04,36.2,35.43667,35.92,35.92,3750300
"MNST","11/07/2014",34.59,36.19,34.31667,36.13,36.13,8584500
"MNST","11/06/2014",33.24667,33.8,33.20333,33.49333,33.49333,4892100
"MNST","11/05/2014",33.66,34.09,32.88334,33.05667,33.05667,3289500
"MNST","11/04/2014",33.83333,33.84,33.32333,33.34667,33.34667,2719200
"MNST","11/03/2014",33.61666,34.29,33.59333,33.74333,33.74333,2916300
