"symbol","date","open","high","low","close","adjclose","volume"
"MYL","12/31/2014",56.85,57.39,56.27,56.37,56.37,1446500
"MYL","12/30/2014",57.44,57.68,56.87,56.94,56.94,1570700
"MYL","12/29/2014",57.58,58.07,57.14,57.71,57.71,1817400
"MYL","12/26/2014",56.99,57.72,56.99,57.6,57.6,1038800
"MYL","12/24/2014",56.61,57.19,56.25,56.97,56.97,871500
"MYL","12/23/2014",57.19,57.35,55.64,56.58,56.58,2112500
"MYL","12/22/2014",57.59,57.83,56.69,57,57,2033400
"MYL","12/19/2014",56.8,57.83,56.56,57.51,57.51,7724600
"MYL","12/18/2014",55.95,56.85,55.79,56.83,56.83,3611500
"MYL","12/17/2014",53.67,55.36,53.33,55.26,55.26,3198700
"MYL","12/16/2014",54.37,55.16,53.46,53.56,53.56,2556900
"MYL","12/15/2014",53.75,54.84,53.61,54.52,54.52,3552600
"MYL","12/12/2014",54.07,54.58,53.27,53.32,53.32,3282800
"MYL","12/11/2014",55.06,55.65,54.56,54.71,54.71,2540600
"MYL","12/10/2014",56.57,57.15,54.89,54.99,54.99,3857000
"MYL","12/09/2014",56.21,56.82,55.41,56.59,56.59,4723400
"MYL","12/08/2014",58.3,58.74,57.11,57.23,57.23,4041500
"MYL","12/05/2014",58.22,58.53,57.81,58.41,58.41,2156500
"MYL","12/04/2014",57.3,58.86,57.3,58.23,58.23,2410600
"MYL","12/03/2014",58.01,58.57,57.52,58.23,58.23,3273800
"MYL","12/02/2014",57.97,58.63,57.55,57.83,57.83,3082600
"MYL","12/01/2014",58.27,58.55,57.52,57.79,57.79,3360300
"MYL","11/28/2014",59.42,59.6,57.58,58.61,58.61,2761100
"MYL","11/26/2014",56.87,59.12,56.73,58.62,58.62,6204900
"MYL","11/25/2014",55.64,56.19,55.31,56.17,56.17,2679800
"MYL","11/24/2014",55.93,56.12,55.25,55.96,55.96,3287100
"MYL","11/21/2014",56.02,56.16,55.52,55.79,55.79,2631100
"MYL","11/20/2014",55.55,55.84,55.01,55.22,55.22,1862000
"MYL","11/19/2014",55.9,56.08,54.72,55.68,55.68,4250200
"MYL","11/18/2014",55.48,56.7,55.05,56.24,56.24,4137700
"MYL","11/17/2014",54.23,55.69,54.02,55.13,55.13,4017400
"MYL","11/14/2014",54.92,54.94,53.5,54.05,54.05,2546800
"MYL","11/13/2014",53.16,56.25,53.16,54.73,54.73,4833300
"MYL","11/12/2014",53,54.06,53,53.8,53.8,2680800
