"symbol","date","open","high","low","close","adjclose","volume"
"NFLX","12/31/2014",49.03286,49.39143,48.78714,48.80143,48.80143,1232500
"NFLX","12/30/2014",48.71429,49.14,48.53857,49.03286,49.03286,7011200
"NFLX","12/29/2014",47.97,49.10429,47.65286,48.84714,48.84714,8588300
"NFLX","12/26/2014",48.84428,49.48429,48.53429,48.57857,48.57857,8847300
"NFLX","12/24/2014",48.07286,49.07,47.99857,48.87143,48.87143,5411000
"NFLX","12/23/2014",48.28714,48.42857,47.47286,48.06143,48.06143,8291500
"NFLX","12/22/2014",48.54286,49.24,47.74857,48.09714,48.09714,7994000
"NFLX","12/19/2014",47.9,48.72,47.62143,48.58857,48.58857,15047900
"NFLX","12/18/2014",48.4,48.92857,47.23286,47.77428,47.77428,15639400
"NFLX","12/17/2014",45.37571,47.86714,45.07714,47.66429,47.66429,20192900
"NFLX","12/16/2014",46.42714,47.07,45.14286,45.20572,45.20572,16947700
"NFLX","12/15/2014",48.05571,48.41857,46.61857,46.72,46.72,12019000
"NFLX","12/12/2014",47.41714,48.32286,46.98,47.78286,47.78286,13521200
"NFLX","12/11/2014",48.01286,48.7,47.65572,47.80429,47.80429,11769100
"NFLX","12/10/2014",49.02143,49.24714,47.66571,47.76,47.76,12644800
"NFLX","12/09/2014",47.82,49.33714,47.00286,49.11143,49.11143,17976700
"NFLX","12/08/2014",49.88143,49.98286,48.29,48.49714,48.49714,13621300
"NFLX","12/05/2014",50.14714,50.64286,49.73286,50.13143,50.13143,9930200
"NFLX","12/04/2014",50.42857,51.13572,49.90857,50.08571,50.08571,11853800
"NFLX","12/03/2014",50.22143,50.73143,49.18143,50.73143,50.73143,13819400
"NFLX","12/02/2014",48.75714,50.47714,48.69143,50.33,50.33,14271600
"NFLX","12/01/2014",49.28571,49.57143,48.23429,48.83,48.83,11964400
"NFLX","11/28/2014",50.51286,50.57143,49.42714,49.51286,49.51286,6702500
"NFLX","11/26/2014",50.15429,50.52714,49.74572,50.16571,50.16571,10063200
"NFLX","11/25/2014",50.14571,50.34714,49.14286,49.85571,49.85571,28100800
"NFLX","11/24/2014",51.50857,51.92286,50.77143,50.92429,50.92429,17864000
"NFLX","11/21/2014",53.21143,53.32143,51.35714,51.46857,51.46857,17878000
"NFLX","11/20/2014",51.87,53.32286,51.57143,52.59143,52.59143,15425200
"NFLX","11/19/2014",54.74429,55.29286,51.80857,51.87143,51.87143,24515400
"NFLX","11/18/2014",54.42857,54.98571,54.36143,54.43286,54.43286,7921200
"NFLX","11/17/2014",55.05429,55.64286,54.39286,54.44857,54.44857,9225300
"NFLX","11/14/2014",54.19714,55.31714,54.08143,55.14857,55.14857,10988600
"NFLX","11/13/2014",54.92286,55.00714,53.93286,54.20143,54.20143,10490200
"NFLX","11/12/2014",54.44714,55.13714,53.86286,54.83714,54.83714,10958500
"NFLX","11/11/2014",55.32429,56.3,54.54428,54.65,54.65,14838600
"NFLX","11/10/2014",54.71429,55.63572,54.14286,55.32429,55.32429,9711100
"NFLX","11/07/2014",54.77714,55.03571,54.18571,54.88,54.88,9303700
"NFLX","11/06/2014",54,55.04714,53.90714,54.75714,54.75714,9991800
"NFLX","11/05/2014",55.08714,55.40572,53.77,54.34,54.34,13645800
"NFLX","11/04/2014",55.27428,55.32143,54.11,54.68286,54.68286,11389700
"NFLX","11/03/2014",56.17571,56.50286,55.01571,55.48714,55.48714,17581200
"NFLX","10/31/2014",54.91429,56.25286,54.85714,56.11,56.11,20470100
"NFLX","10/30/2014",53.93,54.62,53.51429,54.14429,54.14429,10593800
"NFLX","10/29/2014",55.17429,55.24,53.96714,54.01429,54.01429,12507600
"NFLX","10/28/2014",54.25,55.26714,54.05,55.17429,55.17429,11736900
"NFLX","10/27/2014",54.84286,54.92857,53.81429,54.2,54.2,14944300
"NFLX","10/24/2014",54.65429,55.28571,54.40143,55.00286,55.00286,14657300
"NFLX","10/23/2014",54.36,55.11,54.03571,54.72,54.72,19916400
"NFLX","10/22/2014",52.71286,54.56857,51.88572,53.52143,53.52143,32150300
"NFLX","10/21/2014",51.75143,52.39857,50.77714,52.28429,52.28429,19365500
"NFLX","10/20/2014",50.85714,52.74143,50.79286,51.31714,51.31714,33529300
"NFLX","10/17/2014",51.40143,51.43857,48.78571,51.01286,51.01286,79160900
"NFLX","10/16/2014",47.53286,52.31,47.28571,51.67143,51.67143,92304800
"NFLX","10/15/2014",63.49572,64.42571,61.45428,64.08428,64.08428,59927700
"NFLX","10/14/2014",63.64429,64.57,62.59,64.16,64.16,16747500
"NFLX","10/13/2014",64.46429,64.63857,61.85714,62.65429,62.65429,20216700
"NFLX","10/10/2014",65.68571,66.40572,64.49143,64.58286,64.58286,19110700
"NFLX","10/09/2014",66.66143,66.85571,65.65143,65.94572,65.94572,14928200
"NFLX","10/08/2014",65.23572,66.8,64.48286,66.69428,66.69428,14332500
"NFLX","10/07/2014",65.87143,66.61143,65.14286,65.17857,65.17857,13759200
"NFLX","10/06/2014",66,66.74429,65.85714,66.21143,66.21143,13709500
"NFLX","10/03/2014",64.74143,65.8,64.64429,65.64857,65.64857,15290100
"NFLX","10/02/2014",62.7,64.35571,62.55429,64.28286,64.28286,18450600
"NFLX","10/01/2014",64.09857,64.28571,62.47,62.68571,62.68571,15416100
"NFLX","09/30/2014",64.61429,65.31286,64.25714,64.45428,64.45428,12472600
"NFLX","09/29/2014",63.43857,64.36285,63.14571,64.22285,64.22285,9516500
"NFLX","09/26/2014",63.57143,64.37714,63.41286,64.10714,64.10714,10404800
"NFLX","09/25/2014",64.27143,64.62143,63.20286,63.35571,63.35571,9839900
"NFLX","09/24/2014",63.49429,64.52286,63.22,64.36572,64.36572,9551500
"NFLX","09/23/2014",63.03286,64.00143,62.92857,63.41429,63.41429,11471600
"NFLX","09/22/2014",65.18143,65.27857,62.69714,63.25428,63.25428,16169300
"NFLX","09/19/2014",65.85714,65.90429,64.88143,65.36,65.36,11960900
"NFLX","09/18/2014",65.35286,65.90857,64.76,65.57286,65.57286,10630200
"NFLX","09/17/2014",65.27286,65.55286,64.47,64.93285,64.93285,12133100
"NFLX","09/16/2014",64.05714,65.44857,63.65714,65.27286,65.27286,26838700
"NFLX","09/15/2014",68.22,68.22,65.26428,65.39286,65.39286,20617100
"NFLX","09/12/2014",69.09286,69.27,68.01714,68.07858,68.07858,13425300
"NFLX","09/11/2014",68.93857,69.19428,68.52428,68.79429,68.79429,7865200
"NFLX","09/10/2014",68.6,69.25,68.14857,69.19857,69.19857,9104900
"NFLX","09/09/2014",69.47143,69.89857,68.05714,68.43,68.43,19737900
"NFLX","09/08/2014",67.77143,68.65714,67.74286,68.47572,68.47572,7668500
"NFLX","09/05/2014",67.60429,68.19286,67.15285,67.95428,67.95428,11953200
"NFLX","09/04/2014",68.44428,68.81286,67.44714,67.52428,67.52428,11958800
"NFLX","09/03/2014",68.64571,69.65714,68.07571,68.19857,68.19857,16219000
"NFLX","09/02/2014",68.35714,68.39857,67.79857,68.08572,68.08572,8806700
"NFLX","08/29/2014",68.12143,68.64286,67.73428,68.23428,68.23428,9838500
"NFLX","08/28/2014",67.52143,68.21143,67.25857,67.88715,67.88715,7584500
