"symbol","date","open","high","low","close","adjclose","volume"
"NSC","12/31/2014",111.23,111.23,109.41,109.61,101.1137,1045200
"NSC","12/30/2014",111.37,112.22,110.4,110.82,102.2299,993200
"NSC","12/29/2014",110.83,112.06,110.47,111.79,103.1248,954400
"NSC","12/26/2014",111.56,112.06,111.02,111.54,102.8941,918300
"NSC","12/24/2014",111.5,111.8,110.61,111.41,102.7742,754700
"NSC","12/23/2014",110.53,111.56,110.18,111.2,102.5805,1286600
"NSC","12/22/2014",109.42,110.32,108.2,110.02,101.492,1793200
"NSC","12/19/2014",109.18,109.6,108.09,109.05,100.5972,3011100
"NSC","12/18/2014",106.78,109,106.67,108.98,100.5326,3755700
"NSC","12/17/2014",102.49,105.59,101.45,105.25,97.09171,3251000
"NSC","12/16/2014",101.25,104.45,101.06,102.33,94.39806,2335100
"NSC","12/15/2014",102.16,103.07,101.36,101.67,93.78922,2535100
"NSC","12/12/2014",102.1,104.07,101.54,101.55,93.6785,2979800
"NSC","12/11/2014",102.39,103.79,101.15,102.63,94.67479,2511800
"NSC","12/10/2014",103.52,103.69,101.02,101.28,93.42944,2427400
"NSC","12/09/2014",102.15,104.11,101.43,104.08,96.0124,2312900
"NSC","12/08/2014",106.49,106.49,102.83,103.4,95.38509,2849300
"NSC","12/05/2014",108.17,108.87,106.73,107.07,98.77064,2944000
"NSC","12/04/2014",110.5,111.04,106.98,107.3,98.9828,3494200
"NSC","12/03/2014",109.65,111.93,109.62,111.89,103.217,2570600
"NSC","12/02/2014",106.47,109.37,105.83,109.3,100.8278,3604600
"NSC","12/01/2014",111.08,111.08,104.48,106.36,98.11567,5433400
"NSC","11/28/2014",116.79,116.84,111.36,111.64,102.9864,2390500
"NSC","11/26/2014",117.03,117.31,116.59,117.2,108.1154,716500
"NSC","11/25/2014",116.62,117.64,116.53,117.13,108.0508,1168600
"NSC","11/24/2014",115.7,116.92,115.6,116.35,107.3313,960300
"NSC","11/21/2014",116.17,116.17,114.68,115.36,106.418,1700700
"NSC","11/20/2014",114.55,115.44,114.53,115.38,106.4365,875800
"NSC","11/19/2014",115.06,115.59,114.43,115.17,106.2428,1151800
"NSC","11/18/2014",115.78,116.41,114.84,115.38,106.4365,1055400
"NSC","11/17/2014",115.28,116.22,114.85,115.83,106.8516,1236100
"NSC","11/14/2014",115.48,116.51,115.29,116.03,107.0361,1028300
"NSC","11/13/2014",116.87,116.92,115.16,115.45,106.5011,1834000
"NSC","11/12/2014",115.84,117.26,115.79,116.66,107.6173,2025300
"NSC","11/11/2014",116.56,116.98,115.72,116.63,107.5896,1744700
"NSC","11/10/2014",114.75,116.6,114.66,116.6,107.5619,2620300
"NSC","11/07/2014",113.93,114.4,111.93,112.86,104.1118,2252100
"NSC","11/06/2014",110.31,111.15,109.5,110.72,102.1377,1699700
"NSC","11/05/2014",108.22,110.31,108.13,109.79,101.2798,1765400
"NSC","11/05/2014",0,0,0,0,0,0
"NSC","11/04/2014",109.43,110.1,108.47,108.79,99.83148,2677800
"NSC","11/03/2014",110.5,110.95,108.55,109.41,100.4004,2623600
"NSC","10/31/2014",111.28,111.42,109.76,110.64,101.5291,3024700
"NSC","10/30/2014",109.91,110.39,109.08,109.54,100.5197,2304700
"NSC","10/29/2014",111.42,111.97,109.41,110.68,101.5659,1515800
"NSC","10/28/2014",109.79,111.38,109.79,111.3,102.1348,1596100
"NSC","10/27/2014",109.07,109.84,108.45,109.36,100.3545,1243300
"NSC","10/24/2014",108.12,109.44,107.66,109.39,100.3821,1496800
"NSC","10/23/2014",107.76,108.74,107,107.87,98.98725,2711200
