"symbol","date","open","high","low","close","adjclose","volume"
"ORLY","12/31/2014",195,196,192.54,192.62,192.62,587100
"ORLY","12/30/2014",194.68,195.73,193.84,194.15,194.15,328500
"ORLY","12/29/2014",193.95,195.64,192.89,195.48,195.48,415100
"ORLY","12/26/2014",193.98,195.84,193.52,193.99,193.99,262200
"ORLY","12/24/2014",195.87,196.23,193.9,193.95,193.95,231700
"ORLY","12/23/2014",196,196.8,194.86,195.06,195.06,551100
"ORLY","12/22/2014",192.96,195.28,192,194.96,194.96,471900
"ORLY","12/19/2014",193.3,194.53,191.95,193.14,193.14,1852900
"ORLY","12/18/2014",194.19,194.73,191.02,193.58,193.58,951100
"ORLY","12/17/2014",190.31,192.48,188.36,192.2,192.2,592600
"ORLY","12/16/2014",192.99,193.43,190.12,190.17,190.17,605100
"ORLY","12/15/2014",192.81,193.74,190.3,192.21,192.21,683300
"ORLY","12/12/2014",189.95,194.08,189.95,191.99,191.99,755700
"ORLY","12/11/2014",191.02,193.93,190.86,191.87,191.87,657300
"ORLY","12/10/2014",191.97,192.87,190.18,190.83,190.83,769700
"ORLY","12/09/2014",192.85,192.94,188.96,192.54,192.54,1020900
"ORLY","12/08/2014",186.88,188.33,185.84,186.58,186.58,461800
"ORLY","12/05/2014",188.72,189.4,186.64,187.94,187.94,614100
"ORLY","12/04/2014",188.86,189.73,187.04,188.93,188.93,672400
"ORLY","12/03/2014",184.35,188.88,184.2,188.67,188.67,1114000
"ORLY","12/02/2014",181.53,184.05,181.3,183.96,183.96,458400
"ORLY","12/01/2014",182.72,183.25,180.69,181.52,181.52,574000
"ORLY","11/28/2014",181.56,183.63,180.74,182.74,182.74,392700
"ORLY","11/26/2014",179.35,180.47,178.76,180.32,180.32,414600
"ORLY","11/25/2014",181,182.12,178.82,178.95,178.95,1040400
"ORLY","11/24/2014",179.83,180.5,178.22,180.46,180.46,679900
"ORLY","11/21/2014",181.05,181.05,178.72,179.04,179.04,457500
"ORLY","11/20/2014",177.31,179.28,177.31,178.71,178.71,407400
"ORLY","11/19/2014",179.21,179.32,177.53,178.19,178.19,388200
"ORLY","11/18/2014",177.18,178.98,177.18,178.57,178.57,421600
"ORLY","11/17/2014",178.8,179.63,176.71,177.3,177.3,694500
"ORLY","11/14/2014",181.75,181.75,178.74,179.88,179.88,613400
"ORLY","11/13/2014",180.4,181.92,179.91,181.63,181.63,550700
"ORLY","11/12/2014",179.33,180.35,178.5,180.01,180.01,521500
"ORLY","11/11/2014",179.89,180.18,179.02,179.33,179.33,483400
"ORLY","11/10/2014",178.52,180.11,177.88,180.09,180.09,705500
"ORLY","11/07/2014",179.95,179.97,178.29,179,179,528800
"ORLY","11/06/2014",176.68,180,175.63,179.61,179.61,749400
"ORLY","11/05/2014",178.41,178.82,176.81,177.46,177.46,671700
"ORLY","11/04/2014",175.17,178.12,175.01,177.11,177.11,871600
"ORLY","11/03/2014",175.65,176.46,175.37,175.86,175.86,2862700
"ORLY","10/31/2014",177,177,175,175.88,175.88,883600
"ORLY","10/30/2014",173.16,175.8,172.77,174.9,174.9,587300
"ORLY","10/29/2014",173.82,174.14,172.65,174.06,174.06,712100
"ORLY","10/28/2014",171.59,173.34,171.51,173.33,173.33,855500
"ORLY","10/27/2014",170.69,172,170.01,171.3,171.3,803000
"ORLY","10/24/2014",167.73,170.89,166.88,170.48,170.48,1066800
"ORLY","10/23/2014",165,169.13,163.72,167.44,167.44,1886900
"ORLY","10/22/2014",158.95,160.78,157.18,157.36,157.36,1171300
"ORLY","10/21/2014",156.3,159.2,155.51,158.9,158.9,917200
"ORLY","10/20/2014",152.27,155.23,151.87,154.96,154.96,960500
"ORLY","10/17/2014",150.27,152.74,149.4,152.09,152.09,858200
"ORLY","10/16/2014",147.83,151.3,146.82,149.46,149.46,913300
"ORLY","10/15/2014",147.17,150.49,146.22,149.62,149.62,1389100
"ORLY","10/14/2014",149.78,150.17,148.85,149,149,684900
"ORLY","10/13/2014",151.31,151.79,148.5,148.53,148.53,780000
"ORLY","10/10/2014",149.85,152.09,149.83,151.55,151.55,861400
"ORLY","10/09/2014",153.11,153.85,150.06,150.06,150.06,780600
"ORLY","10/08/2014",151.66,153.48,150.83,153.09,153.09,712500
"ORLY","10/07/2014",151.64,152.78,151.13,151.31,151.31,457800
"ORLY","10/06/2014",153.21,154.4,152.29,152.63,152.63,361700
"ORLY","10/03/2014",151.46,153.7,151.21,153.22,153.22,415800
"ORLY","10/02/2014",149.47,151.48,149.47,150.95,150.95,533500
"ORLY","10/01/2014",149.97,150.92,149.28,149.44,149.44,657300
"ORLY","09/30/2014",151.56,152.03,150.21,150.36,150.36,947200
"ORLY","09/29/2014",150.43,152.58,149.84,151.81,151.81,536100
"ORLY","09/26/2014",149.57,151.84,149.57,151.34,151.34,447200
"ORLY","09/25/2014",151.02,151.72,149.51,149.57,149.57,553500
"ORLY","09/24/2014",151.02,152.31,150.71,151.62,151.62,598500
"ORLY","09/23/2014",150.95,152.23,150.57,150.84,150.84,563300
"ORLY","09/22/2014",153.25,153.63,151.22,151.72,151.72,592100
"ORLY","09/19/2014",155.96,155.96,151.47,153.83,153.83,1353000
"ORLY","09/18/2014",154.97,155.51,153.62,155.18,155.18,555200
"ORLY","09/17/2014",154.76,155.4,153.74,154.68,154.68,432400
"ORLY","09/16/2014",153.6,155.51,153.52,155.02,155.02,678500
"ORLY","09/15/2014",154.04,154.61,153.68,153.88,153.88,313500
"ORLY","09/12/2014",154.79,155.23,153.71,154.23,154.23,437900
"ORLY","09/11/2014",155.76,155.8,153.7,154.79,154.79,648800
"ORLY","09/10/2014",156.34,156.86,155.65,156.18,156.18,488200
"ORLY","09/09/2014",157.48,158.14,156.26,156.45,156.45,592700
"ORLY","09/08/2014",157.91,158.63,157.36,158.24,158.24,567600
"ORLY","09/05/2014",156.85,158.6,156.29,158.55,158.55,402300
"ORLY","09/04/2014",157.09,158.37,157.09,157.43,157.43,477600
"ORLY","09/03/2014",156.93,157.64,156.61,157.15,157.15,380200
"ORLY","09/02/2014",156.65,158.07,156.45,156.6,156.6,411800
"ORLY","08/29/2014",157.18,157.18,154.97,155.98,155.98,455100
"ORLY","08/28/2014",155.6,156.87,154.21,156.46,156.46,352200
"ORLY","08/27/2014",154.51,155.78,154.51,155.3,155.3,336100
"ORLY","08/26/2014",156.69,156.77,154.84,154.94,154.94,439400
"ORLY","08/25/2014",156.46,157.11,155.48,156.96,156.96,480900
"ORLY","08/22/2014",154.93,155.93,154.25,155.42,155.42,439300
"ORLY","08/21/2014",154.65,156.21,153.82,154.47,154.47,507800
"ORLY","08/20/2014",153.39,155.34,153.34,155.12,155.12,452700
"ORLY","08/19/2014",153.89,154.72,153.61,153.91,153.91,402000
"ORLY","08/18/2014",154.87,154.87,152.26,153.89,153.89,463600
"ORLY","08/15/2014",155,155,151.37,151.94,151.94,689400
"ORLY","08/14/2014",151.89,153.97,151.56,153.92,153.92,813300
"ORLY","08/13/2014",152.54,152.54,150.45,151.02,151.02,543100
"ORLY","08/12/2014",152.69,153.2,150.87,152.01,152.01,401000
"ORLY","08/11/2014",152.73,153.62,152.5,153.1,153.1,595700
"ORLY","08/08/2014",149.54,152.72,149.37,152.66,152.66,677600
"ORLY","08/07/2014",151.05,151.05,148.74,148.86,148.86,404900
"ORLY","08/06/2014",149.76,150.97,149.68,150.08,150.08,734200
"ORLY","08/05/2014",149.59,151.3,149.59,150.01,150.01,1065000
"ORLY","08/04/2014",150.02,151.7,149.84,150.83,150.83,782900
"ORLY","08/01/2014",150.18,152.08,149.82,150.09,150.09,645500
"ORLY","07/31/2014",151.16,152.39,149.78,150,150,1155400
"ORLY","07/30/2014",150.88,152.57,150.46,152.45,152.45,675200
"ORLY","07/29/2014",151.65,152.05,150.21,150.26,150.26,650100
"ORLY","07/28/2014",151.72,152.26,151.06,151.58,151.58,429400
"ORLY","07/25/2014",151.17,152.49,151.17,151.74,151.74,911400
"ORLY","07/24/2014",153.27,154,150.24,151.77,151.77,1654000
"ORLY","07/23/2014",145.95,147.01,145.51,146.61,146.61,1064100
"ORLY","07/22/2014",149.97,150.7,145.78,145.88,145.88,1665900
"ORLY","07/21/2014",151.81,152.87,150.17,150.2,150.2,869500
"ORLY","07/18/2014",151.68,152.94,150.43,152.83,152.83,731600
"ORLY","07/17/2014",153.06,154.64,151.89,152.06,152.06,612600
"ORLY","07/16/2014",154.51,154.85,153.12,153.92,153.92,713600
"ORLY","07/15/2014",155.62,155.92,153.82,154.25,154.25,515300
"ORLY","07/14/2014",154.91,156.37,154.16,155.89,155.89,601700
"ORLY","07/11/2014",153.73,154.21,151.96,154.1,154.1,449300
"ORLY","07/10/2014",153.82,154.81,153.32,153.59,153.59,565200
"ORLY","07/09/2014",152.5,155.8,152.09,155.65,155.65,644300
