"symbol","date","open","high","low","close","adjclose","volume"
"PCAR","12/31/2014",69.32,69.45,68,68.01,61.36956,1121300
"PCAR","12/30/2014",69.3,69.47,68.75,68.8,62.08243,1108300
"PCAR","12/29/2014",68.99,69.9,68.8,69.6,62.80433,1002000
"PCAR","12/26/2014",69.52,69.77,69.11,69.13,62.38019,939700
"PCAR","12/24/2014",69.7,69.76,69.35,69.42,62.64188,499400
"PCAR","12/23/2014",69.5,70.27,69.31,69.45,62.66895,1304900
"PCAR","12/22/2014",69.28,69.55,69.01,69.19,62.43434,1505500
"PCAR","12/19/2014",69.48,70,69.19,69.24,62.47947,4214900
"PCAR","12/18/2014",68.94,69.54,68.4,69.54,62.75018,2601500
"PCAR","12/17/2014",66.52,68.14,66.22,68,61.36054,3898300
"PCAR","12/17/2014",0,0,0,0,0,0
"PCAR","12/16/2014",67.46,68.89,66.93,67.72,60.20551,2778300
"PCAR","12/15/2014",68.4,68.57,66.73,67.51,60.0188,1915000
"PCAR","12/12/2014",68.64,68.99,67.7,67.7,60.18773,2462700
"PCAR","12/11/2014",68.78,69.79,68.37,69.45,61.74353,2059500
"PCAR","12/10/2014",70.52,70.52,68.25,68.31,60.73004,1828900
"PCAR","12/09/2014",69,70.77,68.83,70.52,62.6948,1718000
"PCAR","12/08/2014",70,70.69,69.29,69.61,61.88578,1202800
"PCAR","12/05/2014",70.04,70.71,69.92,70.25,62.45477,1405700
"PCAR","12/04/2014",71.15,71.15,70.06,70.23,62.437,1595600
"PCAR","12/03/2014",68.87,70.82,68.35,70.76,62.90816,2981900
"PCAR","12/02/2014",67.69,68.29,67.56,68.24,60.6678,1608200
"PCAR","12/01/2014",67.03,67.8,66.6,67.49,60.00103,2037100
"PCAR","11/28/2014",67.52,67.59,66.71,67.02,59.58319,1105000
"PCAR","11/26/2014",67.84,67.99,67.12,67.36,59.88546,1036800
"PCAR","11/25/2014",67.55,68.04,67.29,67.94,60.4011,2429500
"PCAR","11/24/2014",67.29,67.56,66.96,67.34,59.86767,1194500
"PCAR","11/21/2014",67.43,67.62,66.83,66.98,59.54763,2377300
"PCAR","11/20/2014",65.75,66.51,65.47,66.49,59.112,1308300
"PCAR","11/19/2014",66.52,66.63,65.95,66.43,59.05866,1479400
"PCAR","11/18/2014",66.46,66.94,66.38,66.54,59.15645,1230300
"PCAR","11/17/2014",66.64,66.72,66.29,66.56,59.17422,853900
"PCAR","11/14/2014",66.68,66.87,66.37,66.63,59.23646,956500
"PCAR","11/13/2014",67.05,67.15,66.28,66.45,59.07644,1437900
"PCAR","11/12/2014",66.16,67.05,65.8,66.9,59.4765,1214500
"PCAR","11/12/2014",0,0,0,0,0,0
"PCAR","11/11/2014",66.7,66.87,66.2,66.52,58.94307,1561300
"PCAR","11/10/2014",67,67,66.49,66.83,59.21777,1507200
"PCAR","11/07/2014",66.86,66.99,66.29,66.95,59.32411,1298500
"PCAR","11/06/2014",66.04,66.74,65.82,66.57,58.98738,2189200
"PCAR","11/05/2014",66.45,67.12,65.79,65.95,58.438,2066600
"PCAR","11/04/2014",64.95,65.6,64.91,65.39,57.94178,2209500
"PCAR","11/03/2014",65.2,65.88,64.9,65.39,57.94178,1991900
"PCAR","10/31/2014",66.21,66.21,64.26,65.32,57.87976,3135200
"PCAR","10/30/2014",60.42,63.98,60.42,63.85,56.5772,1979100
"PCAR","10/29/2014",62.97,64.09,62.83,63.35,56.13416,2450100
"PCAR","10/28/2014",62.61,63.27,61.96,62.95,55.77972,3468100
"PCAR","10/27/2014",60.9,61.42,60.52,61.29,54.30879,2776400
"PCAR","10/24/2014",60.83,61.49,60.43,61.4,54.40628,1830700
"PCAR","10/23/2014",60.03,60.82,59.81,60.58,53.67968,1836400
"PCAR","10/22/2014",59.54,59.67,58.99,59.35,52.58977,3953900
"PCAR","10/21/2014",58.24,59.46,58.09,59.4,52.63408,2373200
"PCAR","10/20/2014",58.18,58.45,57.52,57.92,51.32265,2032600
"PCAR","10/17/2014",58.49,59.16,58.14,58.4,51.74798,2658400
"PCAR","10/16/2014",56.34,58.38,56,58.05,51.43786,2318800
"PCAR","10/15/2014",56.38,57.39,55.34,57.07,50.56948,3408300
"PCAR","10/14/2014",56.15,57.71,56.02,57.07,50.56948,1727000
"PCAR","10/13/2014",56.52,56.95,55.55,55.59,49.25805,1657100
"PCAR","10/10/2014",57.22,57.68,56.46,56.48,50.04668,1964500
"PCAR","10/09/2014",57.49,58.91,57.17,57.4,50.86189,3410100
"PCAR","10/08/2014",56.68,58.83,56.39,58.75,52.05812,2783200
"PCAR","10/07/2014",57.96,58.11,56.75,56.77,50.30365,2641200
"PCAR","10/06/2014",58.06,58.53,57.98,58.31,51.66824,2605000
"PCAR","10/03/2014",57.2,58.06,57.2,57.91,51.3138,2831800
"PCAR","10/02/2014",56.16,57.44,56.1,57.06,50.56062,2922800
"PCAR","10/01/2014",56.71,56.83,56.01,56.21,49.80743,2388100
"PCAR","09/30/2014",57.11,57.42,56.74,56.88,50.40112,2460800
"PCAR","09/29/2014",56.87,57.31,56.61,57.2,50.68467,2019100
"PCAR","09/26/2014",57.6,57.91,57.42,57.57,51.01253,1997800
"PCAR","09/25/2014",58.32,58.55,57.59,57.73,51.1543,1877700
"PCAR","09/24/2014",58.78,58.93,58.15,58.64,51.96064,1712700
"PCAR","09/23/2014",59.24,59.24,58.4,58.45,51.79229,1781600
"PCAR","09/22/2014",59.45,59.61,58.72,59.29,52.53661,1596300
"PCAR","09/19/2014",60.17,60.53,59.63,59.78,52.9708,2343800
"PCAR","09/18/2014",59.78,60.16,59.53,60.08,53.23662,1206900
"PCAR","09/17/2014",59.38,60.04,59.12,59.65,52.85561,2081000
"PCAR","09/16/2014",59.44,59.5,58.65,59.2,52.45686,2398200
"PCAR","09/15/2014",60.09,60.22,59.41,59.54,52.75813,1145500
"PCAR","09/12/2014",60.67,60.81,59.84,60.14,53.28979,1630000
"PCAR","09/11/2014",60.13,60.74,60.11,60.67,53.75942,1212000
"PCAR","09/10/2014",60.83,60.98,60,60.55,53.65309,1373400
"PCAR","09/09/2014",61.15,61.5,60.8,60.82,53.89233,1588900
"PCAR","09/08/2014",61.23,61.8,61.15,61.47,54.46829,996300
"PCAR","09/05/2014",62.2,62.24,61.39,61.61,54.59235,2249900
"PCAR","09/04/2014",62.49,63.03,62.11,62.32,55.22148,1638200
"PCAR","09/03/2014",63.12,63.22,62.18,62.29,55.1949,1169300
"PCAR","09/02/2014",63.1,63.1,62.44,62.74,55.59364,1130900
"PCAR","08/29/2014",63.05,63.05,62.59,62.81,55.65568,828900
"PCAR","08/28/2014",62.91,62.91,62.04,62.69,55.54934,808200
"PCAR","08/27/2014",63.06,63.06,62.44,62.67,55.53161,609700
"PCAR","08/26/2014",63.33,63.36,62.71,62.73,55.58478,679900
"PCAR","08/25/2014",63.11,63.32,62.85,63.16,55.9658,1071500
"PCAR","08/22/2014",63.38,63.38,62.4,62.75,55.6025,1130500
"PCAR","08/21/2014",64.33,64.4,63.26,63.32,56.10757,1129800
"PCAR","08/20/2014",63.66,64.45,63.6,64.3,56.97594,1065900
"PCAR","08/19/2014",63.51,63.77,63.33,63.55,56.31138,912100
