"symbol","date","open","high","low","close","adjclose","volume"
"PRU","12/31/2014",92.04,92.25,90.39,90.46,82.42032,1367800
"PRU","12/30/2014",91.07,92.11,90.9,91.58,83.44077,1306300
"PRU","12/29/2014",90.85,92.1,90.74,91.67,83.52277,1611700
"PRU","12/26/2014",91.5,91.7,91.01,91.23,83.12188,917300
"PRU","12/24/2014",91.73,91.93,91.07,91.45,83.32233,751000
"PRU","12/23/2014",90.59,92.14,90.5,91.48,83.34966,2056500
"PRU","12/22/2014",90,90.31,89.61,90.28,82.25631,1820600
"PRU","12/19/2014",89.59,90.5,88.63,89.8,81.81898,5481400
"PRU","12/18/2014",87.75,89.94,87.75,89.93,81.93742,3417200
"PRU","12/17/2014",85.27,86.76,84.72,86.75,79.04005,3247100
"PRU","12/16/2014",85.05,87.12,84.34,84.74,77.20868,3062500
"PRU","12/15/2014",87.62,87.97,85.5,85.62,78.01047,3251800
"PRU","12/12/2014",89.38,89.38,86.57,86.66,78.95804,4528700
"PRU","12/11/2014",86.54,90.95,86.54,89.79,81.80986,7259700
"PRU","12/10/2014",88.11,88.45,86.09,86.38,78.7029,3151700
"PRU","12/09/2014",87.04,88.26,86.43,88.17,80.33384,2499300
"PRU","12/08/2014",88.26,89.29,87.85,88.26,80.41585,2396300
"PRU","12/05/2014",87.73,89.86,87.62,88.34,80.48873,4755800
"PRU","12/04/2014",86.41,86.98,85.73,86.9,79.17671,2436800
"PRU","12/03/2014",86.02,86.82,85.13,86.65,78.94893,2861000
"PRU","12/02/2014",84.26,85.28,84.25,85.28,77.7007,2746200
"PRU","12/01/2014",84.87,84.87,83.62,83.71,76.27023,3561900
"PRU","11/28/2014",85.9,86.45,84.83,84.98,77.42734,961300
"PRU","11/26/2014",85.74,85.91,85.03,85.78,78.15626,1827900
"PRU","11/25/2014",85.84,86.29,85.27,85.49,77.89203,3500100
"PRU","11/24/2014",84.87,85.93,84.71,85.91,78.2747,3077400
"PRU","11/21/2014",84.69,84.86,84.17,84.58,77.0629,2837800
"PRU","11/21/2014",0,0,0,0,0,0
"PRU","11/20/2014",83.36,84.25,83.13,84.05,76.05156,1960200
"PRU","11/19/2014",84.17,84.35,83.61,84.15,76.14202,1769000
"PRU","11/18/2014",83.88,84.69,83.81,84,76.00631,1965300
"PRU","11/17/2014",83.52,84.1,83.05,83.81,75.83439,2081900
"PRU","11/14/2014",84.53,85.05,83.82,83.98,75.98821,2840600
"PRU","11/13/2014",85.09,85.55,83.81,84.53,76.48587,3122200
"PRU","11/12/2014",85.46,86,85.2,85.26,77.14641,3417300
"PRU","11/11/2014",86.65,86.82,86.03,86.11,77.91552,1741000
"PRU","11/10/2014",85.52,86.54,85.25,86.54,78.30461,2657600
"PRU","11/07/2014",84.89,85.44,84.24,85.33,77.20975,2883400
"PRU","11/06/2014",85.97,86.4,84.04,85.03,76.93829,4873400
"PRU","11/05/2014",89.07,89.17,88.25,88.91,80.44907,2245600
"PRU","11/04/2014",87.88,88.48,87.51,88.04,79.66184,2240000
"PRU","11/03/2014",88.55,89.1,87.72,87.88,79.51707,2069700
"PRU","10/31/2014",88.74,89.26,88.12,88.54,80.11428,3404100
"PRU","10/30/2014",86.55,87.74,86.12,87.49,79.16419,1661800
"PRU","10/29/2014",86.89,87.48,85.78,86.7,78.44936,1958600
"PRU","10/28/2014",85.24,86.94,85.15,86.79,78.53081,2658000
"PRU","10/27/2014",84.14,85.16,83.68,84.8,76.73018,2491800
"PRU","10/24/2014",83.2,84.62,82.94,84.58,76.53113,2231300
"PRU","10/23/2014",83.51,84.16,82.95,83.25,75.32769,2722000
"PRU","10/22/2014",83.59,83.8,82.37,82.38,74.54047,2105700
"PRU","10/21/2014",81.75,83.62,81.59,83.62,75.66249,2642000
"PRU","10/20/2014",80.71,81.07,79.92,81,73.29179,2177100
"PRU","10/17/2014",79.74,81.54,79.63,81.06,73.34609,3523900
