"symbol","date","open","high","low","close","adjclose","volume"
"PVH","12/31/2014",127.9,129.17,127.23,128.17,127.5903,594400
"PVH","12/30/2014",128.36,128.67,126.95,127.36,126.784,613200
"PVH","12/29/2014",125.83,128.65,125.56,128.14,127.5605,694800
"PVH","12/26/2014",125.98,126.93,125.66,126.08,125.5098,246400
"PVH","12/24/2014",126.43,126.45,125.38,125.44,124.8727,232500
"PVH","12/23/2014",124.76,127.16,124.51,126.38,125.8084,753700
"PVH","12/22/2014",123.26,124.17,122.69,123.98,123.4193,435700
"PVH","12/19/2014",125.59,125.59,122.11,122.91,122.3541,853900
"PVH","12/18/2014",124.86,124.94,123.14,124.88,124.3152,943200
"PVH","12/17/2014",122.49,123.96,120.7,123.82,123.26,856600
"PVH","12/16/2014",125.94,125.94,121.61,121.69,121.1397,1172300
"PVH","12/15/2014",127.34,127.92,126.09,126.4,125.8284,1147700
"PVH","12/12/2014",125.1,127.73,124.7,127.03,126.4555,1511000
"PVH","12/11/2014",123.85,126.1,123.69,125.56,124.9921,1301700
"PVH","12/10/2014",122.4,123.43,121.65,122.68,122.1252,1219500
"PVH","12/09/2014",119.7,123.33,119.15,122.4,121.8464,1318300
"PVH","12/08/2014",122.38,123.98,121.25,121.49,120.9405,1042800
"PVH","12/05/2014",122.51,123.6,121.5,122.77,122.2148,1439600
"PVH","12/04/2014",121.45,125.48,120.61,122.68,122.1252,1989900
"PVH","12/03/2014",121.9,124.4,121.58,124.4,123.8374,1632700
"PVH","12/02/2014",121.7,122.65,121.48,121.82,121.2691,918000
"PVH","12/01/2014",126.24,126.32,121.91,122.09,121.5378,1111800
"PVH","11/28/2014",124.99,127.43,124.76,127.14,126.565,661700
"PVH","11/26/2014",125,126.13,123.98,124.49,123.927,606400
"PVH","11/25/2014",124.17,125.63,122.68,125.15,124.584,1258600
"PVH","11/24/2014",123.1,124.36,122.76,123.77,123.2102,859100
"PVH","11/21/2014",123.91,124.59,121.81,122.45,121.8962,1025900
"PVH","11/20/2014",122.83,124.66,121.9,123,122.4437,1082600
"PVH","11/19/2014",121.86,123.81,121.65,123.07,122.5134,731800
"PVH","11/18/2014",121.57,122.35,120.36,121.79,121.2392,730500
"PVH","11/18/2014",0,0,0,0,0,0
"PVH","11/17/2014",119.34,121.88,118.74,121.15,120.5643,908800
"PVH","11/14/2014",119.18,120.04,118.67,119.05,118.4744,833500
"PVH","11/13/2014",117.9,118.94,117.28,118.8,118.2256,629500
"PVH","11/12/2014",116.88,119.79,116.63,119.08,118.5043,1129200
"PVH","11/11/2014",116.34,116.93,115.66,116.78,116.2154,671000
"PVH","11/10/2014",117.68,118,115.79,116.08,115.5188,851500
"PVH","11/07/2014",117.23,118.42,116.5,118.19,117.6186,673000
"PVH","11/06/2014",113.61,117.64,113.16,117.41,116.8423,707100
"PVH","11/05/2014",113.02,113.99,112.1,113.35,112.802,576900
"PVH","11/04/2014",114.19,114.34,112.54,112.63,112.0855,612500
"PVH","11/03/2014",114.74,115.84,114.14,114.87,114.3146,764900
"PVH","10/31/2014",116.07,116.09,113.57,114.35,113.7971,689000
"PVH","10/30/2014",113.84,115.65,113.65,114.75,114.1952,630100
"PVH","10/29/2014",114.89,116.71,113.61,114.22,113.6678,843000
"PVH","10/28/2014",115.52,115.73,114.15,115.38,114.8222,582500
"PVH","10/27/2014",116.77,116.98,114.87,116.05,115.4889,476400
"PVH","10/24/2014",114,117.71,113.44,117,116.4343,1652200
"PVH","10/23/2014",115.75,115.94,113.72,113.99,113.4389,810300
"PVH","10/22/2014",115.45,116.94,114.46,114.5,113.9464,636700
"PVH","10/21/2014",112.19,115.97,112.17,115.57,115.0112,828000
"PVH","10/20/2014",110.19,111.8,109.29,111.63,111.0903,832900
"PVH","10/17/2014",112.44,112.48,110.32,110.75,110.2145,1150000
"PVH","10/16/2014",110.97,113.87,109.66,111.99,111.4485,1236500
"PVH","10/15/2014",111.08,113.11,109.44,112.82,112.2745,1145100
"PVH","10/14/2014",114,114.91,112.21,112.49,111.9461,909700
"PVH","10/13/2014",115.49,116.05,113.54,113.72,113.1702,1032500
"PVH","10/10/2014",115.46,116.1,113.26,115.83,115.27,1190200
"PVH","10/09/2014",120.17,120.84,115.34,115.46,114.9018,1095500
"PVH","10/08/2014",120.39,121.46,118.45,120.1,119.5194,1479600
"PVH","10/07/2014",119.79,120.87,118.96,120.17,119.589,883800
"PVH","10/06/2014",121.63,122.14,120.04,120.12,119.5393,488400
"PVH","10/03/2014",122.56,123.56,121.33,121.5,120.9126,780900
"PVH","10/02/2014",120.2,122.19,119.4,121.93,121.3405,575400
"PVH","10/01/2014",121.22,121.55,119.43,120.24,119.6587,625200
"PVH","09/30/2014",122.25,122.79,120.35,121.15,120.5643,681300
"PVH","09/29/2014",121.87,123.16,121.78,122.28,121.6888,523200
"PVH","09/26/2014",123.19,123.95,122.23,122.98,122.3854,503000
"PVH","09/25/2014",123.17,123.7,121.92,122.35,121.7585,706600
"PVH","09/24/2014",122.78,123.76,121.81,123.7,123.1019,710200
"PVH","09/23/2014",123.74,124.69,122.76,122.81,122.2162,427400
"PVH","09/22/2014",125.17,125.48,122.87,123.92,123.3209,568300
"PVH","09/19/2014",127.89,127.99,125.61,125.98,125.3709,568900
"PVH","09/18/2014",127.1,127.37,126.22,127.16,126.5452,511800
"PVH","09/17/2014",127,127.77,126.15,126.82,126.2068,484500
"PVH","09/16/2014",125.51,126.87,124.23,126.43,125.8187,530700
