"symbol","date","open","high","low","close","adjclose","volume"
"PWR","12/31/2014",28.62,28.82,28.25,28.39,28.39,1619800
"PWR","12/30/2014",28.37,28.75,28.17,28.54,28.54,1835700
"PWR","12/29/2014",28.07,28.73,28.03,28.52,28.52,1706400
"PWR","12/26/2014",28.32,28.44,28.08,28.1,28.1,1213300
"PWR","12/24/2014",28.08,28.25,27.82,28.08,28.08,854600
"PWR","12/23/2014",27.58,28.28,27.58,28.07,28.07,2626300
"PWR","12/22/2014",27.57,27.69,27.15,27.44,27.44,2619400
"PWR","12/19/2014",27.17,27.65,27,27.61,27.61,3954300
"PWR","12/18/2014",27.19,27.74,26.92,27.13,27.13,3848600
"PWR","12/17/2014",25.57,26.76,25.34,26.63,26.63,4768400
"PWR","12/16/2014",25.61,26.42,25.52,25.53,25.53,2899000
"PWR","12/15/2014",26.87,27.13,25.69,25.85,25.85,4860300
"PWR","12/12/2014",27.77,27.89,26.51,26.62,26.62,5758400
"PWR","12/11/2014",28.22,28.85,28.02,28.08,28.08,1977700
"PWR","12/10/2014",29.46,29.67,28.28,28.29,28.29,2194700
"PWR","12/09/2014",29,29.79,28.93,29.74,29.74,2052500
"PWR","12/08/2014",29.88,29.89,29.19,29.4,29.4,3828400
"PWR","12/05/2014",29.7,30.25,29.63,30.02,30.02,1838400
"PWR","12/04/2014",29.65,29.87,28.95,29.62,29.62,2794400
"PWR","12/03/2014",29.28,29.98,29.16,29.77,29.77,2759000
"PWR","12/02/2014",28.36,29.33,28.12,29.21,29.21,2600100
"PWR","12/01/2014",29.79,29.79,27.88,28.5,28.5,6694800
"PWR","11/28/2014",33.32,33.37,30.24,30.5,30.5,3645700
"PWR","11/26/2014",33.82,33.86,33.42,33.51,33.51,1015000
"PWR","11/25/2014",33.75,33.97,33.53,33.79,33.79,1106100
"PWR","11/24/2014",33.22,33.72,33.22,33.58,33.58,1186900
"PWR","11/21/2014",33.56,33.72,33.2,33.29,33.29,1293700
"PWR","11/20/2014",32.37,33.11,32.29,33.11,33.11,1403500
"PWR","11/19/2014",33.33,33.37,32.47,32.61,32.61,2149400
"PWR","11/18/2014",33.2,33.64,33.2,33.37,33.37,1465400
"PWR","11/17/2014",33.04,33.36,32.92,33.17,33.17,1377900
"PWR","11/14/2014",33.59,33.59,33.06,33.16,33.16,2086400
"PWR","11/13/2014",34.05,34.29,33.55,33.65,33.65,1206300
"PWR","11/12/2014",34.09,34.16,33.69,34.09,34.09,1097800
"PWR","11/11/2014",33.8,34.09,33.61,34.08,34.08,1210200
"PWR","11/10/2014",33.99,34.3,33.62,33.8,33.8,1451800
"PWR","11/07/2014",33.9,34.07,33.73,33.92,33.92,1656000
"PWR","11/06/2014",33.28,34.34,33.11,33.95,33.95,3086700
"PWR","11/05/2014",35.27,35.33,33.06,33.23,33.23,4746700
"PWR","11/04/2014",33.62,33.77,33,33,33,2145400
"PWR","11/03/2014",34.17,34.18,33.69,33.77,33.77,1337000
"PWR","10/31/2014",33.71,34.09,33.36,34.08,34.08,1974200
"PWR","10/30/2014",32.61,33.17,32.55,33.14,33.14,909100
"PWR","10/29/2014",33.12,33.14,32.44,32.82,32.82,1229400
"PWR","10/28/2014",32.77,33.11,32.54,33.11,33.11,1375600
"PWR","10/27/2014",32.73,32.82,32.35,32.69,32.69,924400
"PWR","10/24/2014",32.47,32.86,32.4,32.82,32.82,1010600
"PWR","10/23/2014",32.38,32.85,32.33,32.47,32.47,1253800
"PWR","10/22/2014",32.7,32.82,31.98,31.99,31.99,1498700
"PWR","10/21/2014",31.71,32.76,31.65,32.65,32.65,1797200
"PWR","10/20/2014",31.23,31.45,31.06,31.44,31.44,1396200
"PWR","10/17/2014",30.75,31.68,30.72,31.48,31.48,2460600
"PWR","10/16/2014",30.23,30.71,30.01,30.37,30.37,2835300
"PWR","10/15/2014",30,30.85,29.47,30.68,30.68,2357100
"PWR","10/14/2014",31.44,31.66,30.54,30.63,30.63,3024200
"PWR","10/13/2014",32.17,32.52,31.24,31.25,31.25,2985900
"PWR","10/10/2014",33.31,33.37,32.1,32.15,32.15,3725700
"PWR","10/09/2014",34.83,34.96,33.37,33.38,33.38,2929300
"PWR","10/08/2014",34.4,34.97,34.06,34.86,34.86,1349600
"PWR","10/07/2014",34.92,35,34.33,34.34,34.34,1294100
"PWR","10/06/2014",35.7,35.78,35.01,35.26,35.26,1039200
"PWR","10/03/2014",35.53,35.67,35.32,35.6,35.6,926800
"PWR","10/02/2014",35.11,35.32,34.69,35.28,35.28,1441900
"PWR","10/01/2014",36.27,36.34,35.06,35.1,35.1,1712200
"PWR","09/30/2014",36.39,36.93,36.24,36.29,36.29,1654000
"PWR","09/29/2014",36.08,36.39,35.87,36.34,36.34,1193300
"PWR","09/26/2014",36.25,36.48,36.17,36.35,36.35,1017800
"PWR","09/25/2014",36.89,36.94,36.19,36.22,36.22,926800
"PWR","09/24/2014",36.85,37.1,36.72,37,37,886500
"PWR","09/23/2014",36.97,37.11,36.79,36.85,36.85,1563900
"PWR","09/22/2014",36.99,37.16,36.84,37.14,37.14,1453700
"PWR","09/19/2014",37.27,37.45,36.93,37.01,37.01,1703200
"PWR","09/18/2014",37.01,37.33,36.82,37.05,37.05,1079100
"PWR","09/17/2014",36.81,37.35,36.81,36.98,36.98,729900
"PWR","09/16/2014",36.48,36.89,36.26,36.79,36.79,666500
"PWR","09/15/2014",36.53,36.63,36.29,36.54,36.54,618700
"PWR","09/12/2014",37.01,37.03,36.4,36.54,36.54,897600
"PWR","09/11/2014",36.78,37.26,36.74,37.11,37.11,707900
"PWR","09/10/2014",36.86,37.08,36.69,36.91,36.91,776500
"PWR","09/09/2014",37.03,37.13,36.79,36.89,36.89,695900
"PWR","09/08/2014",37,37.23,36.96,37.12,37.12,688000
"PWR","09/05/2014",36.87,37.04,36.65,37.03,37.03,1009800
"PWR","09/04/2014",37.2,37.43,36.8,36.92,36.92,900300
"PWR","09/03/2014",37.22,37.49,37.05,37.2,37.2,1352300
"PWR","09/02/2014",36.61,37.12,36.5,36.96,36.96,2236200
"PWR","08/29/2014",36.22,36.41,36.01,36.34,36.34,832800
"PWR","08/28/2014",35.98,36.29,35.88,36.23,36.23,803500
"PWR","08/27/2014",36.28,36.32,35.99,36.16,36.16,605600
"PWR","08/26/2014",36.1,36.47,36.1,36.32,36.32,701200
"PWR","08/25/2014",36.33,36.48,35.99,36.08,36.08,930800
"PWR","08/22/2014",35.96,36.37,35.87,36.2,36.2,1384800
"PWR","08/21/2014",35.28,36.06,35.22,35.99,35.99,1380400
"PWR","08/20/2014",35.31,35.58,35.04,35.17,35.17,1457500
"PWR","08/19/2014",35.18,35.42,35.18,35.32,35.32,923100
"PWR","08/18/2014",34.81,35.25,34.81,35.15,35.15,946200
"PWR","08/15/2014",35.11,35.3,34.51,34.59,34.59,1253500
"PWR","08/14/2014",34.99,35.14,34.85,34.96,34.96,1431800
"PWR","08/13/2014",34.8,34.94,34.55,34.86,34.86,1001600
"PWR","08/12/2014",34.65,34.96,34.41,34.6,34.6,968700
"PWR","08/11/2014",33.97,35.05,33.97,34.64,34.64,2009400
"PWR","08/08/2014",33.35,33.86,33.15,33.77,33.77,1239800
"PWR","08/07/2014",33.82,33.83,33.17,33.36,33.36,1416200
"PWR","08/06/2014",33.04,33.63,32.86,33.59,33.59,2121500
"PWR","08/05/2014",33.81,33.97,33.11,33.18,33.18,2603200
"PWR","08/04/2014",33.82,34.06,33.58,33.94,33.94,926800
"PWR","08/01/2014",33.52,34.23,33.41,33.83,33.83,1596800
"PWR","07/31/2014",34.59,35.42,33.35,33.49,33.49,3759000
"PWR","07/30/2014",34.6,35.01,34.45,34.97,34.97,2086000
"PWR","07/29/2014",34.95,35.06,34.45,34.45,34.45,796900
"PWR","07/28/2014",34.86,35.02,34.45,34.95,34.95,1163100
"PWR","07/25/2014",34.81,34.95,34.6,34.89,34.89,1055600
"PWR","07/24/2014",35.33,35.49,34.77,34.97,34.97,1439800
"PWR","07/23/2014",35.5,35.64,35.08,35.34,35.34,1175500
"PWR","07/22/2014",35.27,35.68,35.24,35.54,35.54,1063100
"PWR","07/21/2014",35.01,35.26,34.84,35.18,35.18,817200
"PWR","07/18/2014",34.73,35.15,34.63,35.1,35.1,1028400
"PWR","07/17/2014",34.84,35.08,34.57,34.65,34.65,977100
"PWR","07/16/2014",34.98,35.11,34.69,35.01,35.01,597200
"PWR","07/15/2014",34.81,35.18,34.71,34.88,34.88,788700
"PWR","07/14/2014",35.1,35.1,34.89,34.96,34.96,1061300
"PWR","07/11/2014",34.64,34.84,34.31,34.83,34.83,822700
"PWR","07/10/2014",34.61,34.89,34.43,34.67,34.67,991200
"PWR","07/09/2014",35.17,35.26,34.94,35.06,35.06,869200
"PWR","07/08/2014",34.93,35.16,34.78,35.11,35.11,1499900
"PWR","07/07/2014",35.37,35.42,34.85,35.05,35.05,1389500
"PWR","07/03/2014",35.49,35.63,35.36,35.47,35.47,651600
"PWR","07/02/2014",35.1,35.48,35.05,35.36,35.36,1461100
"PWR","07/01/2014",34.72,35.41,34.59,35.11,35.11,1839900
"PWR","06/30/2014",34.75,34.75,34.45,34.58,34.58,1648700
"PWR","06/27/2014",34.29,34.78,34.24,34.76,34.76,1205000
"PWR","06/26/2014",34.36,34.43,34,34.37,34.37,1060500
"PWR","06/25/2014",33.9,34.37,33.8,34.33,34.33,1300400
"PWR","06/24/2014",34.5,34.59,33.97,34.03,34.03,1125800
"PWR","06/23/2014",34.76,35.13,34.53,34.62,34.62,1395500
"PWR","06/20/2014",34.52,34.79,34.45,34.78,34.78,1498100
"PWR","06/19/2014",34.2,34.64,33.99,34.54,34.54,1682400
"PWR","06/18/2014",33.94,34.03,33.51,33.98,33.98,1238800
"PWR","06/17/2014",33.69,34.17,33.58,33.95,33.95,1122400
"PWR","06/16/2014",33.89,34.01,33.66,33.78,33.78,1105800
"PWR","06/13/2014",33.83,33.97,33.47,33.91,33.91,1192900
"PWR","06/12/2014",34.38,34.44,33.78,33.83,33.83,1182800
"PWR","06/11/2014",34.56,34.62,34.27,34.45,34.45,1367000
"PWR","06/10/2014",35.27,35.28,34.59,34.7,34.7,1357100
"PWR","06/09/2014",34.57,35.42,34.57,35.39,35.39,2440000
"PWR","06/06/2014",34.48,34.89,34.34,34.6,34.6,1252900
"PWR","06/05/2014",33.65,34.42,33.6,34.4,34.4,2226600
"PWR","06/04/2014",33.53,33.72,33.37,33.56,33.56,1916300
"PWR","06/03/2014",33.31,33.58,33.22,33.57,33.57,1632000
"PWR","06/02/2014",33.65,33.96,33.32,33.43,33.43,2077000
"PWR","05/30/2014",34.02,34.08,33.72,33.95,33.95,1737300
"PWR","05/29/2014",34.13,34.34,33.96,34.09,34.09,1715400
"PWR","05/28/2014",33.76,34.3,33.76,34.12,34.12,2525700
"PWR","05/27/2014",33.33,33.86,33.31,33.66,33.66,2058000
"PWR","05/23/2014",33.07,33.37,32.96,33.2,33.2,1765700
"PWR","05/22/2014",32.75,33.1,32.6,33,33,1064600
"PWR","05/21/2014",32.7,32.9,32.59,32.74,32.74,794100
"PWR","05/20/2014",33.13,33.22,32.5,32.6,32.6,1800100
"PWR","05/19/2014",32.68,33.18,32.59,33.14,33.14,2477300
"PWR","05/16/2014",32.99,33.06,32.59,32.81,32.81,1818600
"PWR","05/15/2014",33.3,33.37,32.53,33.01,33.01,1866600
"PWR","05/14/2014",34,34.1,33.31,33.35,33.35,2185000
"PWR","05/13/2014",33.88,34.17,33.74,34.11,34.11,2716000
"PWR","05/12/2014",33.81,33.96,33.61,33.78,33.78,3931500
"PWR","05/09/2014",33.97,34,33.24,33.55,33.55,2826900
"PWR","05/08/2014",34.16,34.6,33.87,34.01,34.01,1957000
"PWR","05/07/2014",34.2,34.26,33.6,34.19,34.19,1875200
"PWR","05/06/2014",34.43,34.69,34.03,34.04,34.04,1967800
"PWR","05/05/2014",34.44,34.63,34.16,34.6,34.6,1697700
"PWR","05/02/2014",35.14,35.26,34.51,34.63,34.63,2095600
"PWR","05/01/2014",35.28,36.56,34.59,35.17,35.17,2279700
"PWR","04/30/2014",34.82,35.36,34.44,35.28,35.28,2782300
"PWR","04/29/2014",34.96,34.96,34.47,34.74,34.74,1785200
"PWR","04/28/2014",35.54,35.56,34.44,34.89,34.89,1693100
"PWR","04/25/2014",35.67,35.82,35.08,35.2,35.2,1794900
"PWR","04/24/2014",36.07,36.11,35.57,35.7,35.7,1210900
"PWR","04/23/2014",36.08,36.16,35.85,35.94,35.94,1413000
"PWR","04/22/2014",36.22,36.48,36.07,36.08,36.08,1679100
"PWR","04/21/2014",36.67,36.67,35.76,36.23,36.23,1823700
"PWR","04/17/2014",35.75,36.68,35.59,36.64,36.64,1518200
"PWR","04/16/2014",35.64,36.04,35.58,35.83,35.83,1273300
