"symbol","date","open","high","low","close","adjclose","volume"
"ROST","12/31/2014",47.205,48.095,47.12,47.13,45.60997,1256100
"ROST","12/30/2014",46.73,47.155,46.55,46.965,45.45029,1641400
"ROST","12/29/2014",46.52,47.345,46.515,47.05,45.53255,1705200
"ROST","12/26/2014",46.595,46.94,46.475,46.705,45.19867,1008600
"ROST","12/24/2014",46.82,46.895,46.32,46.36,44.8648,1015600
"ROST","12/23/2014",47.25,47.29,46.62,46.66,45.15512,1837600
"ROST","12/22/2014",45.76,46.625,45.395,46.58,45.07771,2207200
"ROST","12/19/2014",46.31,46.645,45.355,45.51,44.04221,4843200
"ROST","12/18/2014",46.06,46.355,45.415,46.355,44.85996,2847800
"ROST","12/17/2014",45.045,45.445,44.575,45.385,43.92125,3575400
"ROST","12/16/2014",45.955,46.375,44.98,44.985,43.53415,3211000
"ROST","12/15/2014",45.715,46.185,45.36,46.025,44.54061,2865800
"ROST","12/12/2014",45.01,45.915,45.01,45.29,43.82931,2638600
"ROST","12/11/2014",45.515,46.04,44.65,45.41,43.94544,2457800
"ROST","12/10/2014",44.87,45.435,44.51,44.65,43.20995,1866600
"ROST","12/09/2014",44.695,45.09,44.47,44.93,43.48092,1943200
"ROST","12/08/2014",45.1,45.55,44.99,45.105,43.65027,1441600
"ROST","12/08/2014",0,0,0,0,0,0
"ROST","12/05/2014",45.695,45.91,45.14,45.345,43.78576,1912200
"ROST","12/04/2014",45.38,45.71,45.235,45.525,43.95957,2199000
"ROST","12/03/2014",44.735,45.535,44.645,45.425,43.86301,2332200
"ROST","12/02/2014",45.23,45.495,44.655,45.14,43.58781,2458800
"ROST","12/01/2014",45.625,45.675,44.985,45.08,43.52988,2767400
"ROST","11/28/2014",45.075,45.995,44.75,45.74,44.16719,1984400
"ROST","11/26/2014",44.78,45,44.655,44.885,43.34158,2349000
"ROST","11/25/2014",44.7,45.085,44.47,44.645,43.10984,4367400
"ROST","11/24/2014",44.88,45.125,44.085,44.52,42.98913,5426600
"ROST","11/21/2014",44.645,44.78,43.835,44.65,43.11467,12594200
"ROST","11/20/2014",41.18,41.77,41.025,41.605,40.17437,4725800
"ROST","11/19/2014",40.62,41.155,40.62,41.08,39.66742,3406000
"ROST","11/18/2014",40,40.785,39.735,40.64,39.24255,3416800
"ROST","11/17/2014",40.68,40.965,40.495,40.67,39.27151,2605600
"ROST","11/14/2014",40.91,40.91,40.425,40.69,39.29083,3748000
"ROST","11/13/2014",41.495,41.55,40.955,41.28,39.86054,2607600
"ROST","11/12/2014",40.855,41.515,40.795,41.395,39.97158,3440200
"ROST","11/11/2014",41.195,41.365,40.84,40.965,39.55637,2545000
"ROST","11/10/2014",40.655,41.19,40.625,41.155,39.73984,2874000
"ROST","11/07/2014",40.99,40.99,40.58,40.705,39.30532,2403000
"ROST","11/06/2014",39.825,41.005,39.825,40.94,39.53223,2497400
"ROST","11/05/2014",40.34,40.545,40.06,40.385,38.99632,1566000
"ROST","11/04/2014",40.57,40.62,40.105,40.22,38.83699,4103000
"ROST","11/03/2014",40.37,40.71,40.235,40.62,39.22324,1949600
"ROST","10/31/2014",40.995,41,40.12,40.36,38.97218,2231200
"ROST","10/30/2014",39.94,40.525,39.77,40.415,39.02529,1686600
"ROST","10/29/2014",40.15,40.345,39.82,40.035,38.65836,2032200
"ROST","10/28/2014",40.235,40.305,39.695,40.16,38.77906,2736000
"ROST","10/27/2014",40.245,40.375,40.025,40.31,38.9239,3369800
"ROST","10/24/2014",40.15,40.265,39.79,40.25,38.86596,2817200
"ROST","10/23/2014",39.705,40.555,39.705,40.04,38.66318,3319200
"ROST","10/22/2014",39.87,40.18,39.645,39.695,38.33006,3373200
"ROST","10/21/2014",38.505,40.09,38.505,39.79,38.42178,3600800
"ROST","10/20/2014",38.27,39.24,38.245,39.2,37.85207,2420400
"ROST","10/17/2014",38.53,38.765,38.005,38.595,37.26787,3840400
"ROST","10/16/2014",37.59,38.47,37.59,38.36,37.04095,3588000
"ROST","10/15/2014",38.46,38.815,37.82,38.23,36.91542,5229000
"ROST","10/14/2014",38.73,39.055,38.47,38.92,37.5817,3779600
"ROST","10/13/2014",38.59,39.15,38.325,38.435,37.11337,3700200
"ROST","10/10/2014",38.165,39.12,38.085,38.765,37.43203,5284600
"ROST","10/09/2014",38.27,38.455,37.865,38.085,36.77541,5177800
"ROST","10/08/2014",37.625,38.345,37.555,38.22,36.90577,3677200
"ROST","10/07/2014",37.705,37.84,37.375,37.55,36.2588,3736400
"ROST","10/06/2014",38.56,38.6,37.765,37.895,36.59194,2980600
"ROST","10/03/2014",38.015,38.675,37.905,38.485,37.16166,3664000
"ROST","10/02/2014",37.51,37.985,37.36,37.905,36.6016,3073400
"ROST","10/01/2014",37.72,37.77,37.4,37.495,36.20569,2507600
"ROST","09/30/2014",37.785,37.87,37.445,37.79,36.49055,3030000
"ROST","09/29/2014",37.68,38,37.505,37.73,36.43262,2047600
"ROST","09/26/2014",37.345,38.055,37.295,38.005,36.69815,2849000
"ROST","09/25/2014",37.555,37.755,37.13,37.415,36.12845,3067400
"ROST","09/24/2014",37.08,37.965,37.01,37.86,36.55814,2650400
"ROST","09/23/2014",37.335,37.41,37.05,37.085,35.8098,2462600
"ROST","09/22/2014",37.6,37.86,37.285,37.295,36.01257,2274400
"ROST","09/19/2014",38,38.09,37.53,37.75,36.45193,3890400
"ROST","09/18/2014",37.795,37.95,37.695,37.835,36.534,1494600
"ROST","09/17/2014",37.815,37.9,37.515,37.745,36.44709,1646600
"ROST","09/16/2014",37.47,37.88,37.375,37.745,36.44709,2099200
"ROST","09/15/2014",37.725,37.875,37.445,37.475,36.18638,1822400
"ROST","09/12/2014",37.645,37.83,37.335,37.58,36.28778,2291000
"ROST","09/11/2014",37.56,37.765,37.535,37.74,36.44228,1976200
"ROST","09/10/2014",37.795,38.095,37.535,37.65,36.35537,2389600
"ROST","09/09/2014",38.22,38.22,37.585,37.755,36.45675,3098000
"ROST","09/08/2014",37.825,38.425,37.73,38.13,36.81886,3281600
"ROST","09/05/2014",38.31,38.42,37.85,38.42,37.0989,3697200
"ROST","09/04/2014",38.055,38.515,38.035,38.435,37.11337,3308600
"ROST","09/03/2014",37.94,38.255,37.73,38.055,36.74644,4591000
"ROST","09/03/2014",0,0,0,0,0,0
"ROST","09/02/2014",37.715,38.04,37.65,37.885,36.48571,3889000
"ROST","08/29/2014",37.31,37.83,37.31,37.71,36.31718,3906000
"ROST","08/28/2014",37.455,37.715,37.045,37.615,36.2257,2271000
"ROST","08/27/2014",37.32,37.765,37.175,37.575,36.18717,3109000
"ROST","08/26/2014",36.91,37.435,36.91,37.175,35.80195,3660800
"ROST","08/25/2014",37.175,37.25,36.755,36.91,35.54673,4458200
"ROST","08/22/2014",36.125,37.22,36.095,37.185,35.81158,11708000
"ROST","08/21/2014",34.975,35.075,34.46,34.625,33.34614,4838200
"ROST","08/20/2014",34.54,34.995,34.34,34.935,33.64468,4628200
"ROST","08/19/2014",33.675,34.725,33.675,34.655,33.37502,6220000
"ROST","08/18/2014",33.07,33.37,32.915,33.31,32.07971,2812000
"ROST","08/15/2014",33.255,33.285,32.585,32.775,31.56446,2539800
"ROST","08/14/2014",32.77,33.08,32.69,33.05,31.8293,1757400
"ROST","08/13/2014",32.875,32.925,32.4,32.7,31.49223,2821800
"ROST","08/12/2014",33.245,33.315,32.91,33.005,31.78596,2164600
"ROST","08/11/2014",33.29,33.375,33.115,33.16,31.93524,2378000
"ROST","08/08/2014",32.47,33.575,32.47,33.375,32.1423,4027800
"ROST","08/07/2014",32.62,32.725,32.245,32.32,31.12626,3254800
"ROST","08/06/2014",32.08,32.765,32.08,32.47,31.27072,3440400
"ROST","08/05/2014",32.36,32.655,32.15,32.33,31.1359,3029000
"ROST","08/04/2014",32.295,32.52,32.18,32.445,31.24665,3483200
"ROST","08/01/2014",32.245,32.465,32.125,32.345,31.15034,2792200
"ROST","07/31/2014",32.155,32.44,32.155,32.2,31.0107,3757200
"ROST","07/30/2014",31.975,32.43,31.975,32.385,31.18886,3151000
"ROST","07/29/2014",32.065,32.19,31.865,31.935,30.75549,2260200
