"symbol","date","open","high","low","close","adjclose","volume"
"SCHW","12/31/2014",30.49,30.67,30.18,30.19,29.44593,2915800
"SCHW","12/30/2014",30.42,30.49,30.3,30.35,29.60199,3809100
"SCHW","12/29/2014",30.39,30.85,30.35,30.56,29.80681,3756200
"SCHW","12/26/2014",30.89,30.89,30.52,30.53,29.77755,2027100
"SCHW","12/24/2014",30.83,30.85,30.53,30.67,29.9141,2983300
"SCHW","12/23/2014",30.21,30.77,30.16,30.66,29.90435,5372300
"SCHW","12/22/2014",29.97,30.14,29.89,30.06,29.31913,3999500
"SCHW","12/19/2014",30.19,30.23,29.86,29.9,29.16308,12989200
"SCHW","12/18/2014",29.82,30.15,29.57,30.01,29.27036,8087100
"SCHW","12/17/2014",28.31,29.28,28.12,29.19,28.47058,14658600
"SCHW","12/16/2014",28.49,28.69,28.1,28.12,27.42695,7528900
"SCHW","12/15/2014",28.88,29.15,28.48,28.74,28.03167,6543300
"SCHW","12/12/2014",29.21,29.47,28.73,28.75,28.04142,7079100
"SCHW","12/11/2014",29.79,30.2,29.56,29.68,28.9485,5774900
"SCHW","12/10/2014",30.04,30.26,29.46,29.52,28.79244,7774700
"SCHW","12/09/2014",29.49,30.33,29.36,30.23,29.48494,8390800
"SCHW","12/08/2014",29.94,30.37,29.71,30.05,29.30938,8087600
"SCHW","12/05/2014",29.77,30.22,29.62,29.97,29.23135,12591300
"SCHW","12/04/2014",28.94,29.14,28.74,29.01,28.29502,4295600
"SCHW","12/03/2014",28.2,29.12,28.19,29.03,28.31452,8952200
"SCHW","12/02/2014",27.86,28.29,27.76,28.28,27.583,4987900
"SCHW","12/01/2014",28.08,28.08,27.23,27.66,26.97828,8977400
"SCHW","11/28/2014",28.29,28.44,28.2,28.32,27.62202,1839200
"SCHW","11/26/2014",28.43,28.46,28.24,28.3,27.60251,3595300
"SCHW","11/25/2014",28.5,28.55,28.32,28.37,27.67079,4851500
"SCHW","11/24/2014",28.37,28.54,28.2,28.42,27.71956,5129000
"SCHW","11/21/2014",28.75,28.77,28.25,28.28,27.583,7484200
"SCHW","11/20/2014",28.25,28.48,28.05,28.34,27.64152,7059300
"SCHW","11/19/2014",28.74,28.74,28.27,28.52,27.81709,4625800
"SCHW","11/18/2014",28.55,28.9,28.54,28.76,28.05117,3837000
"SCHW","11/17/2014",28.72,28.83,28.44,28.55,27.84635,4310100
"SCHW","11/14/2014",28.83,29.11,28.81,28.87,28.15846,4826800
"SCHW","11/13/2014",28.91,28.96,28.61,28.79,28.08043,5846500
"SCHW","11/12/2014",28.67,28.96,28.67,28.78,28.07068,6000800
"SCHW","11/11/2014",28.98,29.16,28.83,28.85,28.13896,4887500
"SCHW","11/10/2014",28.6,28.99,28.6,28.92,28.20723,5282400
"SCHW","11/07/2014",28.97,29.03,28.43,28.58,27.87561,7658900
"SCHW","11/06/2014",28.67,29.07,28.51,29.04,28.32427,6503400
"SCHW","11/05/2014",28.71,28.83,28.5,28.78,28.07068,6307200
"SCHW","11/05/2014",0,0,0,0,0,0
"SCHW","11/04/2014",28.3,28.64,28.22,28.56,27.79758,4765200
"SCHW","11/03/2014",28.75,28.85,28.32,28.44,27.68079,6858100
"SCHW","10/31/2014",28.25,28.77,28.21,28.67,27.90465,7908500
"SCHW","10/30/2014",27.51,27.85,27.45,27.75,27.0092,6637600
"SCHW","10/29/2014",27.18,27.85,27.04,27.63,26.89241,9166100
"SCHW","10/28/2014",26.64,27.09,26.61,27.09,26.36683,5014200
"SCHW","10/27/2014",26.58,26.7,26.21,26.41,25.70498,5473800
"SCHW","10/24/2014",26.49,26.75,26.32,26.69,25.9775,4143600
"SCHW","10/23/2014",26.54,26.71,26.28,26.53,25.82178,7557100
"SCHW","10/22/2014",26.38,26.64,25.99,26.01,25.31566,5940300
"SCHW","10/21/2014",25.99,26.56,25.79,26.49,25.78284,7649000
"SCHW","10/20/2014",25.74,25.85,25.4,25.72,25.0334,6906300
"SCHW","10/17/2014",25.94,26.13,25.61,25.84,25.15019,9136500
"SCHW","10/16/2014",24.29,25.86,24.22,25.5,24.81927,13858900
"SCHW","10/15/2014",24.21,25.5,23.35,25.32,24.64408,22021300
"SCHW","10/14/2014",24.76,25.66,24.73,25.28,24.60514,13542500
"SCHW","10/13/2014",26.25,26.46,25.11,25.17,24.49808,18377600
"SCHW","10/10/2014",27.09,27.22,26.21,26.23,25.52978,17444500
"SCHW","10/09/2014",28.6,28.72,27.11,27.13,26.40576,17176500
"SCHW","10/08/2014",28.54,28.77,28.16,28.73,27.96304,8288900
"SCHW","10/07/2014",29.49,29.55,28.45,28.48,27.71972,8954000
"SCHW","10/06/2014",29.78,29.95,29.39,29.7,28.90715,6022900
"SCHW","10/03/2014",29.42,29.7,29.34,29.57,28.78062,5938000
"SCHW","10/02/2014",28.8,29.13,28.58,29.05,28.2745,11015700
"SCHW","10/01/2014",29.2,29.33,28.69,28.79,28.02144,11212600
"SCHW","09/30/2014",29.91,30.11,29.28,29.39,28.60542,7935600
"SCHW","09/29/2014",29.48,29.87,29.34,29.74,28.94608,4645700
"SCHW","09/26/2014",29.69,30.09,29.52,29.93,29.13101,4263100
"SCHW","09/25/2014",29.78,29.95,29.33,29.52,28.73196,5313200
"SCHW","09/24/2014",30.01,30.24,29.73,29.95,29.15048,9530800
"SCHW","09/23/2014",30.1,30.49,29.89,29.89,29.09208,6719800
"SCHW","09/22/2014",30.3,30.57,29.95,30.18,29.37434,6066100
"SCHW","09/19/2014",30.91,30.96,30.29,30.37,29.55927,10058800
"SCHW","09/18/2014",30.43,31,30.34,30.78,29.95832,7916800
"SCHW","09/17/2014",29.53,30.37,29.38,30.2,29.3938,9995000
"SCHW","09/16/2014",29.25,29.53,29.12,29.4,28.61516,7376600
"SCHW","09/15/2014",29.43,29.48,29.09,29.26,28.47889,6388000
"SCHW","09/12/2014",29.35,29.75,29.29,29.52,28.73196,8168900
"SCHW","09/11/2014",29.11,29.37,28.96,29.24,28.45943,6621700
"SCHW","09/10/2014",28.77,29.35,28.68,29.31,28.52756,6956100
"SCHW","09/09/2014",28.73,28.93,28.47,28.68,27.91438,4266100
"SCHW","09/08/2014",28.52,29,28.5,28.86,28.08958,4706800
"SCHW","09/05/2014",28.34,28.66,28.08,28.64,27.87545,4679500
"SCHW","09/04/2014",28.26,28.64,28.17,28.46,27.70025,4464200
"SCHW","09/03/2014",28.86,28.94,28.04,28.18,27.42773,5585100
"SCHW","09/02/2014",28.66,28.8,28.37,28.71,27.94357,3151500
"SCHW","08/29/2014",28.44,28.68,28.37,28.51,27.74892,2468300
"SCHW","08/28/2014",28.4,28.51,28.12,28.35,27.59319,2352100
"SCHW","08/27/2014",28.89,28.9,28.39,28.47,27.70999,3276100
"SCHW","08/26/2014",28.98,29.07,28.82,28.84,28.07011,4279200
"SCHW","08/25/2014",28.77,29.16,28.76,28.92,28.14797,4949600
"SCHW","08/22/2014",28.31,28.86,28.23,28.57,27.80732,5517100
"SCHW","08/21/2014",28.37,28.59,28.15,28.43,27.67105,4957300
"SCHW","08/20/2014",27.83,28.46,27.79,28.35,27.59319,5746300
"SCHW","08/19/2014",27.92,27.92,27.67,27.83,27.08707,4269700
"SCHW","08/18/2014",27.47,27.87,27.43,27.86,27.11627,4561600
"SCHW","08/15/2014",27.74,27.77,27.01,27.27,26.54202,6334100
"SCHW","08/14/2014",27.78,27.85,27.52,27.63,26.89241,3233000
"SCHW","08/13/2014",27.64,27.79,27.5,27.59,26.85348,3269500
"SCHW","08/12/2014",27.69,27.81,27.5,27.6,26.86321,3147000
"SCHW","08/11/2014",27.82,27.91,27.62,27.71,26.97028,4602800
"SCHW","08/08/2014",27.28,27.72,26.99,27.68,26.94107,5747000
"SCHW","08/07/2014",27.77,27.84,27.08,27.14,26.41549,6257900
"SCHW","08/06/2014",27.18,27.84,27.1,27.55,26.81454,4696700
"SCHW","08/06/2014",0,0,0,0,0,0
"SCHW","08/05/2014",27.53,27.8,27.29,27.42,26.62962,4865800
"SCHW","08/04/2014",27.8,27.81,27.24,27.69,26.89183,4604600
"SCHW","08/01/2014",27.55,27.73,27.22,27.45,26.65876,5843700
"SCHW","07/31/2014",28.22,28.42,27.72,27.75,26.9501,5490000
"SCHW","07/30/2014",28.14,28.65,28.13,28.5,27.67849,4867700
"SCHW","07/29/2014",27.9,28.36,27.76,27.92,27.1152,5400400
"SCHW","07/28/2014",27.48,27.99,27.37,27.91,27.10549,4774800
"SCHW","07/25/2014",27.6,27.8,27.37,27.5,26.70731,4685600
"SCHW","07/24/2014",27.7,27.87,27.5,27.79,26.98895,4470700
"SCHW","07/23/2014",27.57,27.63,27.37,27.55,26.75587,3940200
"SCHW","07/22/2014",27.75,27.86,27.52,27.57,26.77529,4331200
"SCHW","07/21/2014",27.73,27.89,27.48,27.75,26.9501,4731500
"SCHW","07/18/2014",27.25,27.85,27.18,27.81,27.00838,6637100
"SCHW","07/17/2014",27.32,27.4,26.77,27.11,26.32855,7909300
"SCHW","07/16/2014",27.58,27.87,27.02,27.56,26.76558,7933500
"SCHW","07/15/2014",27.61,27.79,27.11,27.43,26.63933,7895400
"SCHW","07/14/2014",27.46,27.68,27.44,27.49,26.6976,4464700
"SCHW","07/11/2014",26.74,27.14,26.68,27.1,26.31884,4056300
"SCHW","07/10/2014",26.44,27.09,26.44,26.9,26.12461,4685700
"SCHW","07/09/2014",27.25,27.35,26.78,27.09,26.30913,6376200
"SCHW","07/08/2014",27.73,27.77,26.92,27.18,26.39653,5754100
"SCHW","07/07/2014",28.26,28.38,27.72,27.93,27.12491,3764500
"SCHW","07/03/2014",27.73,28.19,27.7,28.1,27.29001,4492300
"SCHW","07/02/2014",27.06,27.6,27.06,27.4,26.61019,3824300
"SCHW","07/01/2014",27.07,27.51,26.98,27.32,26.5325,7685700
"SCHW","06/30/2014",27.19,27.27,26.85,26.93,26.15374,5192900
"SCHW","06/27/2014",26.77,27.2,26.71,27.14,26.35769,5245700
"SCHW","06/26/2014",26.98,26.98,26.47,26.85,26.07605,4831300
"SCHW","06/25/2014",26.52,27.13,26.5,27.08,26.29942,5966000
"SCHW","06/24/2014",27.16,27.35,26.72,26.77,25.99835,5456500
"SCHW","06/23/2014",27.38,27.39,27.11,27.28,26.49366,5760600
"SCHW","06/20/2014",27.35,27.5,27.24,27.45,26.65876,8174400
"SCHW","06/19/2014",27.19,27.29,26.68,27.15,26.3674,7114800
"SCHW","06/18/2014",27.25,27.26,26.84,27.15,26.3674,7198700
"SCHW","06/17/2014",25.36,27.5,25.36,27.3,26.51308,12430300
"SCHW","06/16/2014",25.89,25.96,24.68,25.88,25.13401,7616200
"SCHW","06/13/2014",25.66,26.11,25.62,26.01,25.26026,7587500
"SCHW","06/12/2014",25.96,26.12,25.58,25.6,24.86208,7014000
"SCHW","06/11/2014",25.98,26.09,25.67,26.04,25.2894,5134500
"SCHW","06/10/2014",26.4,26.43,26.03,26.11,25.35738,4186500
"SCHW","06/09/2014",26.08,26.45,26.01,26.45,25.68758,6536500
