"symbol","date","open","high","low","close","adjclose","volume"
"SRE","12/31/2014",113.46,113.72,111.25,111.36,102.931,743500
"SRE","12/30/2014",115.52,115.52,113.17,113.32,104.7426,620300
"SRE","12/29/2014",114.72,116.3,114.72,115.85,107.0811,1690800
"SRE","12/26/2014",112.14,115.03,112.14,114.86,106.1661,987400
"SRE","12/24/2014",110.52,112.66,110.52,112.09,103.6057,490200
"SRE","12/23/2014",110.68,111.24,109.97,110.33,101.979,857800
"SRE","12/22/2014",110.05,110.9,109.35,110.59,102.2193,751800
"SRE","12/19/2014",110.17,111,108.92,110.1,101.7663,1875500
"SRE","12/18/2014",107.12,109.96,106.86,109.94,101.6185,1305900
"SRE","12/18/2014",0,0,0,0,0,0
"SRE","12/17/2014",105.68,107,105.2,106.86,98.16156,1733000
"SRE","12/16/2014",105.96,107.75,104.75,105.24,96.67341,1212100
"SRE","12/15/2014",107.1,108.56,105.51,106.12,97.48179,1736600
"SRE","12/12/2014",109.13,109.87,107.99,108.09,99.2914,1067700
"SRE","12/11/2014",109.29,110.71,109.1,109.43,100.5223,1220000
"SRE","12/10/2014",109.89,110.19,108.25,108.33,99.51189,952100
"SRE","12/09/2014",109.15,110.4,108.75,109.81,100.8714,1104300
"SRE","12/08/2014",110.27,110.93,109.29,109.5,100.5866,947700
"SRE","12/05/2014",110.04,111.03,109.73,110.15,101.1837,938300
"SRE","12/04/2014",110.52,111.3,110.08,111.1,102.0564,673000
"SRE","12/03/2014",110.54,110.97,110.24,110.77,101.7533,968400
"SRE","12/02/2014",108.86,111.04,108.4,110.7,101.689,1501100
"SRE","12/01/2014",111.37,111.61,109.2,109.27,100.3754,1954900
"SRE","11/28/2014",111.71,112.93,111.56,111.73,102.6351,664000
"SRE","11/26/2014",111,112.08,111,111.67,102.58,615400
"SRE","11/25/2014",110.57,111.51,110.25,111.16,102.1115,949100
"SRE","11/24/2014",110.37,110.99,110.05,110.16,101.1929,1248900
"SRE","11/21/2014",110.75,111.42,109.42,110.33,101.3491,858800
"SRE","11/20/2014",109.7,110.64,109.28,110.26,101.2848,530700
"SRE","11/19/2014",110.04,110.5,109.53,110.11,101.147,517200
"SRE","11/18/2014",109.96,111.11,109.52,110.48,101.4869,607900
"SRE","11/17/2014",108.61,110.15,108.22,109.98,101.0276,583000
"SRE","11/14/2014",109.16,109.61,108.58,108.67,99.8242,1164400
"SRE","11/13/2014",110.53,110.96,109.23,109.51,100.5958,973800
"SRE","11/12/2014",111.35,111.85,109.76,110.65,101.6431,1204500
"SRE","11/11/2014",112.84,113.25,112.06,112.49,103.3333,863000
"SRE","11/10/2014",112.39,112.91,112.19,112.6,103.4343,1463000
"SRE","11/07/2014",113.07,113.24,112.22,112.49,103.3333,1092700
"SRE","11/06/2014",113.24,114.5,111.69,112.84,103.6548,1704400
"SRE","11/05/2014",111.25,113.58,109.64,113.44,104.2059,1686100
"SRE","11/04/2014",110.75,111.87,109.83,110.9,101.8727,872700
"SRE","11/03/2014",110.25,111.44,109.76,110.84,101.8176,905000
"SRE","10/31/2014",110.98,111.36,109.76,110,101.0459,1337100
"SRE","10/30/2014",109,110.89,108.17,110.49,101.496,1411500
"SRE","10/29/2014",108.91,109.7,107.43,108.51,99.67723,724700
"SRE","10/28/2014",108.04,109.05,107.53,109.04,100.1641,844600
"SRE","10/27/2014",107.9,108.4,107.25,107.76,98.98828,822400
"SRE","10/24/2014",107.03,107.96,106.71,107.86,99.08015,766500
"SRE","10/23/2014",106.8,107.42,106.21,106.64,97.95943,954700
"SRE","10/22/2014",105.85,107.37,105.59,105.84,97.22457,933500
"SRE","10/21/2014",105.1,105.94,104.75,105.82,97.2062,1087900
"SRE","10/20/2014",103.45,104.7,103.11,104.6,96.08552,912500
"SRE","10/17/2014",102.08,103.55,101.96,103.36,94.94644,1238200
"SRE","10/16/2014",99.27,101.99,98.86,101.61,93.3389,2111900
"SRE","10/15/2014",101.41,101.81,98.34,100.24,92.08042,2712800
"SRE","10/14/2014",102.98,103.26,99.32,102,93.69714,4334300
"SRE","10/13/2014",105.62,106.3,102.38,102.67,94.31262,2300800
"SRE","10/10/2014",106.16,107.52,105.55,105.7,97.09598,1315600
"SRE","10/09/2014",108.13,108.66,105.63,105.71,97.10515,1473900
"SRE","10/08/2014",106.16,108.13,105.97,108.04,99.24549,1156200
"SRE","10/07/2014",106.85,107.28,106.28,106.36,97.70224,991200
"SRE","10/06/2014",106.79,107.35,106.27,106.97,98.26259,1160800
"SRE","10/03/2014",105.39,106.95,104.54,106.78,98.08804,1008900
"SRE","10/02/2014",104.91,105.59,104.6,104.89,96.35191,776500
"SRE","10/01/2014",105.53,106.16,104.79,105.07,96.51724,1128000
"SRE","09/30/2014",104.96,106.16,104.56,105.38,96.80202,1144700
"SRE","09/29/2014",103.34,104.95,103.16,104.83,96.2968,918800
"SRE","09/26/2014",103.35,104.04,102.34,103.76,95.31389,891200
"SRE","09/25/2014",104.21,104.76,103.16,103.25,94.84539,922700
"SRE","09/24/2014",104.31,104.7,103.43,104.21,95.72726,601800
"SRE","09/23/2014",104.24,104.61,104.01,104.15,95.67215,663500
"SRE","09/23/2014",0,0,0,0,0,0
"SRE","09/22/2014",105.79,105.85,104.81,105.32,96.14063,728800
"SRE","09/19/2014",105.94,106.1,105.33,106,96.76136,1293900
"SRE","09/18/2014",105.41,105.97,104.95,105.33,96.14977,836100
"SRE","09/17/2014",106.07,106.68,104.89,105.34,96.15888,1485000
"SRE","09/16/2014",104.22,105.45,104.09,105.14,95.97631,526700
"SRE","09/15/2014",103.85,104.67,103.71,104.31,95.21864,637500
"SRE","09/12/2014",105.69,105.74,103.4,103.61,94.57967,840000
"SRE","09/11/2014",104.93,106.04,104.45,105.98,96.74311,653700
"SRE","09/10/2014",105.35,105.69,104.47,104.88,95.73897,954900
"SRE","09/09/2014",106.65,106.88,105.57,105.71,96.49663,761300
"SRE","09/08/2014",107.56,107.81,106.81,107.21,97.86589,789400
"SRE","09/05/2014",106.09,107.39,106.09,107.36,98.00284,646900
"SRE","09/04/2014",105.79,106.46,105.63,106.11,96.86176,907500
"SRE","09/03/2014",105.78,106.52,105.62,106.05,96.807,606900
"SRE","09/02/2014",106.28,106.45,105.15,105.57,96.36884,1438000
"SRE","08/29/2014",104.76,106.09,104.76,105.97,96.73399,918400
"SRE","08/28/2014",103.83,105.32,103.65,104.88,95.73897,806500
"SRE","08/27/2014",102.88,104.04,102.45,103.94,94.88091,850900
"SRE","08/26/2014",103.8,104,102.42,102.47,93.53903,607800
"SRE","08/25/2014",104.19,104.19,103.28,103.63,94.59794,759400
"SRE","08/22/2014",104,104.38,103.02,103.37,94.36057,735200
"SRE","08/21/2014",103.37,104.61,103.37,104.01,94.94481,617900
"SRE","08/20/2014",103.91,104.12,103.27,103.84,94.78961,777100
"SRE","08/19/2014",102.9,103.95,102.81,103.91,94.85352,594100
"SRE","08/18/2014",103.14,103.58,102.68,102.81,93.84938,553800
"SRE","08/15/2014",102.88,103.72,102.66,103.04,94.05936,1186800
"SRE","08/14/2014",101.26,102.61,101.26,102.37,93.44774,684500
"SRE","08/13/2014",100.8,101.55,100.78,101.25,92.42535,496000
