"symbol","date","open","high","low","close","adjclose","volume"
"SWK","12/31/2014",97.18,97.62,96.01,96.08,90.64982,572000
"SWK","12/30/2014",96.61,96.95,96.22,96.72,91.25361,842800
"SWK","12/29/2014",96.69,97.46,96.67,96.73,91.26305,1057300
"SWK","12/26/2014",97.6,97.72,97.04,97.05,91.56498,542200
"SWK","12/24/2014",97.4,97.68,97.24,97.36,91.85745,511400
"SWK","12/23/2014",97.44,97.66,97.1,97.32,91.81973,1050400
"SWK","12/22/2014",97.1,97.5,96.49,97.07,91.58384,1284500
"SWK","12/19/2014",96.72,97.19,96.16,96.9,91.42345,1470600
"SWK","12/18/2014",95.53,96.42,95.16,96.41,90.96114,1088600
"SWK","12/17/2014",93.59,94.6,92.87,94.39,89.05531,1076100
"SWK","12/16/2014",92.54,94.98,92.54,93.58,88.29109,1109000
"SWK","12/15/2014",94.16,94.68,92.65,92.91,87.65897,920100
"SWK","12/12/2014",94.13,94.62,93.65,93.7,88.40432,899900
"SWK","12/11/2014",95,95.85,94.65,94.93,89.5648,1126800
"SWK","12/10/2014",95.06,95.46,94.21,94.45,89.11192,1296600
"SWK","12/09/2014",94.11,95.59,93.93,95.56,90.15919,931500
"SWK","12/08/2014",95.5,95.97,94.94,95.31,89.92332,868000
"SWK","12/05/2014",94.75,95.71,94.65,95.61,90.20635,1283200
"SWK","12/04/2014",95.05,95.29,94.33,94.84,89.47987,1236500
"SWK","12/03/2014",94.35,95.57,94.33,95.36,89.9705,840600
"SWK","12/03/2014",0,0,0,0,0,0
"SWK","12/02/2014",93.75,95.1,93.52,94.48,88.64961,2297100
"SWK","12/01/2014",94.18,94.19,92.9,93.55,87.77699,948300
"SWK","11/28/2014",94.86,94.91,93.83,94.44,88.61208,583900
"SWK","11/26/2014",95.27,95.3,94.25,94.77,88.9217,650600
"SWK","11/25/2014",95.53,95.94,94.86,95.31,89.4284,1547300
"SWK","11/24/2014",95.49,95.89,95.04,95.26,89.38147,990400
"SWK","11/21/2014",96.44,96.53,95.18,95.31,89.4284,1318900
"SWK","11/20/2014",94.47,95.66,94.37,95.2,89.32519,682500
"SWK","11/19/2014",95.13,95.18,94.27,94.88,89.02493,1545300
"SWK","11/18/2014",95.3,96.38,94.99,95.12,89.25012,1104800
"SWK","11/17/2014",95.58,95.6,94.9,95.18,89.30642,998300
"SWK","11/14/2014",95.5,96.51,95.5,95.67,89.76618,650000
"SWK","11/13/2014",96.18,96.55,95.51,95.86,89.94446,805700
"SWK","11/12/2014",95.5,96.41,95.29,96.21,90.27286,1197700
"SWK","11/11/2014",95.73,96.25,95.49,95.83,89.9163,856500
"SWK","11/10/2014",95.2,95.93,94.77,95.88,89.9632,1169300
"SWK","11/07/2014",94.53,95.32,94.13,95.01,89.14691,775400
"SWK","11/06/2014",93.58,94.59,93.28,94.4,88.57456,1106600
"SWK","11/05/2014",93.86,93.96,93.17,93.27,87.51427,1156300
"SWK","11/04/2014",93.36,93.59,92.78,93.15,87.4017,704900
"SWK","11/03/2014",93.75,94.39,93.48,93.61,87.83329,847200
"SWK","10/31/2014",92.8,93.71,92.61,93.64,87.86145,1053700
"SWK","10/30/2014",90.92,92.59,90.57,92.07,86.38834,772100
"SWK","10/29/2014",91.61,91.77,90.57,91.47,85.82536,1456600
"SWK","10/28/2014",90.25,91.59,89.68,91.37,85.73154,2600800
"SWK","10/27/2014",89.88,89.88,89.11,89.55,84.02384,1090600
"SWK","10/24/2014",88.74,90.22,88.56,90.12,84.55868,921300
"SWK","10/23/2014",88.55,89.88,88.19,88.98,83.48903,1926200
"SWK","10/22/2014",88.03,89.61,86.79,87.41,82.01591,2773000
"SWK","10/21/2014",84.88,86.46,84.85,86.09,80.77737,2150800
"SWK","10/20/2014",83.69,84.48,83.36,84.46,79.24795,1604800
"SWK","10/17/2014",83.65,85.05,83.56,84.19,78.99461,1438900
"SWK","10/16/2014",80.05,83.07,80.02,82.88,77.76545,1408100
"SWK","10/15/2014",81.75,81.89,79.03,81.31,76.29234,2124400
"SWK","10/14/2014",81.73,83.36,81.73,82.57,77.47457,1488700
"SWK","10/13/2014",83.56,84.18,81.28,81.35,76.32986,914000
"SWK","10/10/2014",84.28,84.68,83.05,83.58,78.42226,1178100
"SWK","10/09/2014",86.26,86.33,84.02,84.17,78.97585,1381000
"SWK","10/08/2014",85.17,86.5,83.74,86.36,81.0307,1946300
"SWK","10/07/2014",87.55,87.58,85.19,85.22,79.96105,1559100
"SWK","10/06/2014",88.44,88.88,88.16,88.23,82.7853,1120400
"SWK","10/03/2014",87.57,88.11,87.01,88,82.5695,966600
"SWK","10/02/2014",87.55,87.89,86.55,87.26,81.87517,686800
"SWK","10/01/2014",88.79,88.84,87.18,87.5,82.10036,1395600
"SWK","09/30/2014",90.11,90.16,88.49,88.79,83.31075,1202300
"SWK","09/29/2014",89.57,90.14,89.29,89.98,84.42731,598600
"SWK","09/26/2014",90.26,90.46,89.66,90.23,84.66188,876600
"SWK","09/25/2014",91.52,91.52,90.26,90.31,84.73695,867000
"SWK","09/24/2014",91.14,91.86,90.68,91.68,86.02241,1089500
"SWK","09/23/2014",91.35,91.87,90.92,91.46,85.81598,1059200
"SWK","09/22/2014",92.97,93.25,91.35,91.63,85.97548,1026100
"SWK","09/19/2014",93.87,95.4,92.8,93.25,87.49552,2619700
"SWK","09/18/2014",92.4,93.56,92.14,93.46,87.69254,2068000
"SWK","09/17/2014",91.81,92.71,91.81,92.27,86.57598,957100
"SWK","09/16/2014",91.77,92.23,91.21,91.9,86.22883,739000
"SWK","09/15/2014",91.72,91.97,91.36,91.78,86.11623,714100
"SWK","09/12/2014",91.97,92.12,91.3,91.89,86.21945,768500
"SWK","09/11/2014",91.58,92.33,91.46,92.12,86.43526,1067700
"SWK","09/10/2014",91.61,92.22,91.33,92.04,86.36019,780200
"SWK","09/09/2014",91.67,92.33,91.58,91.71,86.05055,652900
"SWK","09/08/2014",91.7,92.46,91.58,91.78,86.11623,734800
"SWK","09/05/2014",91.17,92,90.4,91.93,86.25698,804000
"SWK","09/04/2014",91.37,92.14,91.12,91.29,85.65647,660500
"SWK","09/03/2014",91.72,91.96,91.16,91.34,85.70338,600000
"SWK","09/03/2014",0,0,0,0,0,0
"SWK","09/02/2014",91.28,91.84,91.22,91.59,85.45005,1467600
"SWK","08/29/2014",91.06,91.96,90.78,91.5,85.36607,939500
"SWK","08/28/2014",90.42,90.91,89.79,90.78,84.69434,377800
"SWK","08/27/2014",90.94,91.17,90.51,90.72,84.63836,570200
"SWK","08/26/2014",91.18,91.5,90.88,90.94,84.84361,463500
"SWK","08/25/2014",91.28,91.49,90.95,91.16,85.04886,537300
"SWK","08/22/2014",91.18,91.48,90.8,90.96,84.86229,626900
"SWK","08/21/2014",91.63,91.91,90.96,91.56,85.42206,676800
"SWK","08/20/2014",91.1,91.83,91,91.54,85.4034,917300
"SWK","08/19/2014",90.63,91.51,90.43,91.08,84.97424,1216600
"SWK","08/18/2014",90.2,91,90.11,90.41,84.34915,954600
"SWK","08/15/2014",90.38,90.4,89.1,89.78,83.76139,834000
"SWK","08/14/2014",89.45,90.12,89.31,90.04,84.00396,710500
"SWK","08/13/2014",89.19,89.6,88.91,89.37,83.37887,571300
"SWK","08/12/2014",88.43,89.14,88.36,88.53,82.59518,705800
"SWK","08/11/2014",88.56,89.27,88.39,88.68,82.73514,801600
"SWK","08/08/2014",87,88.23,86.71,88.23,82.3153,811100
"SWK","08/07/2014",87.16,87.61,86.57,86.86,81.03714,777600
"SWK","08/06/2014",86.41,87.13,86.01,86.66,80.85056,1312600
"SWK","08/05/2014",87.52,88.19,86.41,86.91,81.08377,1268300
"SWK","08/04/2014",87.69,88.09,86.89,87.95,82.05405,1100200
"SWK","08/01/2014",86.97,87.94,86.63,87.45,81.58758,1319900
"SWK","07/31/2014",88.97,88.97,87.41,87.45,81.58758,1280500
"SWK","07/30/2014",89.51,89.71,88.56,89.38,83.38818,1180800
"SWK","07/29/2014",90.49,90.89,89.21,89.35,83.36021,1680700
"SWK","07/28/2014",90.75,91.25,90.29,90.66,84.5824,1395500
"SWK","07/25/2014",87.17,90.97,87,90.77,84.68501,3535000
"SWK","07/24/2014",86.14,86.56,84.92,85.02,79.32048,1522200
"SWK","07/23/2014",86.3,86.91,85.88,86.37,80.57998,921800
"SWK","07/22/2014",86.28,86.55,86.17,86.33,80.54267,745600
"SWK","07/21/2014",85.04,86.02,84.83,85.82,80.06685,683000
"SWK","07/18/2014",85.34,85.53,84.94,85.19,79.47908,1254900
"SWK","07/17/2014",85.73,85.99,84.92,85.01,79.31116,1200200
"SWK","07/16/2014",86.03,86.51,85.7,86.26,80.47736,1053300
"SWK","07/15/2014",86.39,86.39,85.4,85.65,79.90826,1160900
"SWK","07/14/2014",86.59,86.77,86.22,86.39,80.59865,989500
"SWK","07/11/2014",86.02,86.32,85.64,85.89,80.13216,830200
"SWK","07/10/2014",86.1,86.47,85.81,86.09,80.31875,1082800
"SWK","07/09/2014",87.25,87.59,86.86,87.12,81.2797,511900
"SWK","07/08/2014",87.66,87.95,86.7,87.06,81.22372,802800
"SWK","07/07/2014",88.54,88.54,87.8,88.13,82.22199,1261300
"SWK","07/03/2014",88.19,88.7,87.98,88.65,82.70715,612200
"SWK","07/02/2014",88.05,88.44,87.68,87.84,81.95143,522400
"SWK","07/01/2014",88.13,88.69,87.92,87.96,82.0634,731100
"SWK","06/30/2014",88.01,88.26,87.56,87.82,81.93277,692500
"SWK","06/27/2014",87.17,88.06,86.9,88.04,82.13803,1092600
"SWK","06/26/2014",87.75,87.83,86.52,87.26,81.41032,616900
"SWK","06/25/2014",87.36,88.33,87.19,87.59,81.71819,637300
"SWK","06/24/2014",88.07,88.63,87.32,87.37,81.51293,682700
"SWK","06/23/2014",88.92,88.95,88.08,88.47,82.53919,666500
"SWK","06/20/2014",88.51,89.05,88.15,89.02,83.05232,1959100
"SWK","06/19/2014",88.37,88.59,87.86,88.38,82.45523,589300
"SWK","06/18/2014",87.85,88.41,87.14,88.27,82.35261,584000
"SWK","06/17/2014",87.31,88.1,86.64,87.98,82.08206,628800
"SWK","06/16/2014",87.07,87.77,86.9,87.76,81.87682,676200
"SWK","06/13/2014",87.03,87.37,86.72,87.17,81.32633,772600
"SWK","06/12/2014",87.3,87.44,86.76,87.12,81.2797,952400
"SWK","06/11/2014",87.81,87.81,87.05,87.46,81.59692,588700
"SWK","06/10/2014",88.17,88.24,87.75,88.24,82.32462,519500
"SWK","06/09/2014",87.7,88.88,87.65,88.26,82.34327,762100
"SWK","06/06/2014",87.6,88.1,87.58,87.86,81.97009,783000
"SWK","06/05/2014",86.61,87.76,86.03,87.58,81.70887,1185200
"SWK","06/04/2014",86.42,86.96,86.1,86.11,80.33743,785000
"SWK","06/03/2014",87.08,87.2,86.48,86.63,80.82255,555600
"SWK","06/02/2014",87.09,87.66,86.45,87.5,81.63423,728500
"SWK","06/02/2014",0,0,0,0,0,0
"SWK","05/30/2014",87.1,87.54,86.75,87.4,81.07445,1499100
"SWK","05/29/2014",87.42,87.75,86.49,87.18,80.87038,638100
"SWK","05/28/2014",87.44,87.62,87.07,87.4,81.07445,527200
"SWK","05/27/2014",87.51,88.06,87.1,87.4,81.07445,725300
"SWK","05/23/2014",86.09,87.47,85.86,87.25,80.9353,967300
"SWK","05/22/2014",86.02,86.88,85.91,86.13,79.89637,666700
"SWK","05/21/2014",85.23,86.23,85.18,86.19,79.95203,888900
"SWK","05/20/2014",86.17,86.38,84.31,84.87,78.72756,1196500
"SWK","05/19/2014",85.58,86.57,85.32,86.46,80.20248,825900
"SWK","05/16/2014",85.12,85.77,84.57,85.7,79.49749,817000
"SWK","05/15/2014",85.54,85.72,84.19,84.99,78.83887,1022900
"SWK","05/14/2014",86.89,87.14,85.76,85.78,79.57169,760200
"SWK","05/13/2014",87.37,87.5,86.92,87,80.70341,683800
"SWK","05/12/2014",86.65,87.76,86.65,87.37,81.04663,1071900
"SWK","05/09/2014",86.28,86.4,85.57,86.33,80.08191,564900
"SWK","05/08/2014",85.86,87.1,85.68,86.4,80.14683,810000
"SWK","05/07/2014",85.55,86.22,85,86.15,79.91492,1194400
"SWK","05/06/2014",85.5,85.75,85.06,85.19,79.02441,505600
"SWK","05/05/2014",85.52,86.03,85.1,85.73,79.52531,823100
"SWK","05/02/2014",86.18,86.7,85.7,85.93,79.71085,837200
"SWK","05/01/2014",85.69,86.51,85.5,85.99,79.7665,1190600
"SWK","04/30/2014",84.83,86,84.41,85.89,79.67374,1177200
"SWK","04/29/2014",84.84,85.05,83.94,84.82,78.68117,1543000
"SWK","04/28/2014",85.52,85.85,83.46,84.26,78.16172,2227000
"SWK","04/25/2014",85.58,85.59,84.13,85.23,79.06151,1965200
"SWK","04/24/2014",84,86.01,83.83,85.53,79.33979,4079600
"SWK","04/23/2014",82.56,82.8,81.93,82.44,76.47343,2481800
"SWK","04/22/2014",81.79,82.5,81.34,81.73,75.81482,1338000
"SWK","04/21/2014",81.53,81.88,81.12,81.62,75.71278,840500
"SWK","04/17/2014",81.73,82.3,81.45,81.92,75.99106,1781800
"SWK","04/16/2014",80.83,81.52,80.11,81.48,75.58292,1670000
"SWK","04/15/2014",78.44,80.28,78.42,80.22,74.41411,1763300
"SWK","04/14/2014",78.34,78.44,77.72,78.3,72.63308,1114000
"SWK","04/11/2014",77.92,78.31,75.9,77.58,71.96519,1288800
"SWK","04/10/2014",80,80.67,78.39,78.39,72.71654,947600
"SWK","04/09/2014",79.04,80.45,78.89,80.29,74.47903,1618200
"SWK","04/08/2014",79.01,79.53,78.36,78.87,73.16182,1743400
"SWK","04/07/2014",80.51,80.72,78.77,79.1,73.37516,1201000
"SWK","04/04/2014",81.69,82.16,80.53,80.75,74.90575,1065500
"SWK","04/03/2014",82.09,82.17,81.51,81.61,75.70351,835000
"SWK","04/02/2014",81.94,82.24,81.69,81.83,75.90759,1243400
"SWK","04/01/2014",81.12,82.02,81.12,81.78,75.8612,1399900
"SWK","03/31/2014",81,81.34,80.57,81.24,75.36028,1040400
"SWK","03/28/2014",79.24,80.75,79.12,80.69,74.85008,1158000
"SWK","03/27/2014",79.41,79.56,78.5,79.08,73.35661,671600
"SWK","03/26/2014",80.79,81,79.39,79.41,73.66275,713600
"SWK","03/25/2014",79.7,80.5,79.49,80.33,74.51615,944100
"SWK","03/24/2014",79.67,80.17,78.9,79.34,73.59779,710900
"SWK","03/21/2014",80.66,80.75,79.34,79.71,73.94102,2231000
"SWK","03/20/2014",79.26,80.03,78.69,79.96,74.17294,1268500
"SWK","03/19/2014",80.59,80.71,79.05,79.54,73.7833,1079300
"SWK","03/18/2014",80.44,80.62,80.03,80.16,74.35845,937500
"SWK","03/17/2014",79.55,80.52,79.4,80.37,74.55325,1247800
"SWK","03/14/2014",78.97,79.83,78.88,79.02,73.30095,1516500
"SWK","03/13/2014",80.36,80.99,78.73,79.09,73.36588,1464300
"SWK","03/12/2014",81,81.27,80.13,80.56,74.7295,1734900
"SWK","03/11/2014",82.74,82.96,81.38,81.47,75.57364,1259300
"SWK","03/10/2014",82.19,82.4,81.34,81.9,75.9725,740100
"SWK","03/07/2014",82.07,82.68,81.72,82.51,76.53837,1224900
"SWK","03/06/2014",81.76,82.1,81.64,81.88,75.95396,610700
"SWK","03/05/2014",82.03,82.14,81.4,81.54,75.63857,1174000
"SWK","03/04/2014",82.56,82.82,81.7,82,76.06527,1146800
"SWK","03/03/2014",81.62,82.28,81.3,81.75,75.83337,1029800
"SWK","03/03/2014",0,0,0,0,0,0
"SWK","02/28/2014",83.12,83.76,82.54,83.04,76.5662,1330800
"SWK","02/27/2014",81.81,83.15,81.71,82.95,76.4832,1264300
"SWK","02/26/2014",81.71,82.5,81.61,82,75.6073,872000
"SWK","02/25/2014",81.96,82.52,81.61,81.71,75.33989,935900
"SWK","02/24/2014",81.95,82.69,81.85,82.08,75.68104,1137100
"SWK","02/21/2014",81.49,81.96,81.16,81.74,75.36753,1325500
"SWK","02/20/2014",80.89,81.68,80.52,81.43,75.08171,1078500
"SWK","02/19/2014",81.01,81.82,80.61,80.66,74.37174,903500
"SWK","02/18/2014",81.35,81.6,80.61,81.28,74.94339,1251900
"SWK","02/14/2014",80.69,81.53,80.47,81.32,74.98029,715400
"SWK","02/13/2014",80.15,80.81,79.85,80.59,74.30719,1337000
"SWK","02/12/2014",80.12,80.99,80.11,80.62,74.33487,1331100
"SWK","02/11/2014",78.86,80.46,78.86,80.01,73.77242,1468900
"SWK","02/10/2014",78.86,79.35,78.78,78.96,72.80428,1371500
"SWK","02/07/2014",76.8,78.91,76.76,78.8,72.65674,1572300
"SWK","02/06/2014",75.93,76.79,75.76,76.46,70.49918,1174000
"SWK","02/05/2014",75.96,76.4,75,75.65,69.75232,1876500
"SWK","02/04/2014",75.94,76.33,75.35,76.11,70.17645,1379000
"SWK","02/03/2014",78,78.56,75.59,75.64,69.74309,1936000
"SWK","01/31/2014",76.69,77.93,76.18,77.4,71.3659,2216600
"SWK","01/30/2014",78.37,78.58,77.51,77.87,71.79926,1105200
"SWK","01/29/2014",77.45,78.82,77.2,78.03,71.94677,1965700
"SWK","01/28/2014",77.34,78,77.19,77.93,71.85457,1704300
"SWK","01/27/2014",78.06,78.25,76.2,77.35,71.31979,2364600
"SWK","01/24/2014",80.95,82.76,77.5,77.81,71.74393,4309600
"SWK","01/23/2014",80.5,80.78,79.83,80.41,74.14123,1931900
"SWK","01/22/2014",80.97,81.3,80.77,80.93,74.6207,1128900
"SWK","01/21/2014",81.42,81.66,80.57,81,74.68523,2067600
"SWK","01/17/2014",82.16,82.39,80.82,81.17,74.84199,2185500
"SWK","01/16/2014",82.56,82.94,82.29,82.39,75.96687,1806400
"SWK","01/15/2014",82.01,83.22,81.96,82.54,76.10516,1270600
"SWK","01/14/2014",81.35,82.66,81.21,82.2,75.79168,2172900
"SWK","01/13/2014",81.05,81.29,80.02,80.15,73.9015,1289200
"SWK","01/10/2014",80.32,81.67,80.06,81.42,75.07248,1567000
"SWK","01/09/2014",80.3,80.88,79.75,80.3,74.03982,1642900
"SWK","01/08/2014",80.03,80.77,79.84,80.08,73.83697,1727800
"SWK","01/07/2014",79.64,80.26,79.01,79.98,73.74475,1485400
"SWK","01/06/2014",80.75,80.85,79.55,79.64,73.43126,1123500
"SWK","01/03/2014",80.37,80.9,80.21,80.38,74.11356,874000
"SWK","01/02/2014",80.57,80.79,79.68,80.18,73.92915,715600
