"symbol","date","open","high","low","close","adjclose","volume"
"TSCO","12/31/2014",78.07,79.69,78.07,78.82,75.93575,1463300
"TSCO","12/30/2014",78.6,78.83,77.43,77.5,74.66404,828300
"TSCO","12/29/2014",77.85,78.91,77.66,78.69,75.8105,715800
"TSCO","12/26/2014",77.82,78.76,77.38,77.92,75.06866,497900
"TSCO","12/24/2014",78.66,78.75,77.17,77.8,74.95308,419200
"TSCO","12/23/2014",77.72,79.13,77.72,78.46,75.58894,739000
"TSCO","12/22/2014",76.36,77.36,76.33,77.26,74.43284,950700
"TSCO","12/19/2014",77.5,77.97,76.29,76.38,73.58501,2422900
"TSCO","12/18/2014",77.77,78.2,76.9,77.5,74.66404,1477400
"TSCO","12/17/2014",76.47,77.03,75.62,76.9,74.08601,1150300
"TSCO","12/16/2014",78.01,78.13,76.29,76.32,73.52723,769100
"TSCO","12/15/2014",78.14,78.33,76.35,77.62,74.77965,853200
"TSCO","12/12/2014",76.88,78.82,76.88,77.72,74.87601,958300
"TSCO","12/11/2014",76.64,79.14,76.6,77.61,74.77003,995200
"TSCO","12/10/2014",77.96,78.47,76.67,77.13,74.30756,1092100
"TSCO","12/09/2014",78.06,78.47,77.62,78.27,75.40588,672600
"TSCO","12/08/2014",78.61,78.93,77.99,78.53,75.65635,800200
"TSCO","12/05/2014",78.2,78.8,77.71,78.57,75.69489,805500
"TSCO","12/04/2014",78.2,78.99,77.5,78.18,75.31915,1034000
"TSCO","12/03/2014",76.66,79.08,76.37,78.64,75.76232,1783300
"TSCO","12/02/2014",76.61,77.32,76.06,76.55,73.74882,584900
"TSCO","12/01/2014",76.69,76.98,75.4,76.42,73.62357,585200
"TSCO","11/28/2014",75.9,77.66,75.81,76.93,74.11491,473500
"TSCO","11/26/2014",76.46,76.46,75.39,75.69,72.92027,483300
"TSCO","11/25/2014",76.78,76.79,75.64,76.1,73.31528,800100
"TSCO","11/24/2014",75.95,76.83,75.72,76.78,73.97039,606400
"TSCO","11/21/2014",76.25,76.47,75.34,75.68,72.91065,645100
"TSCO","11/20/2014",75.24,76.2,74.87,75.31,72.55418,855700
"TSCO","11/19/2014",74.66,75.57,73.74,75.32,72.56382,939200
"TSCO","11/18/2014",74.45,75.24,74.31,74.37,71.64857,965100
"TSCO","11/17/2014",74.61,74.98,73.89,74.57,71.84126,813300
"TSCO","11/14/2014",74.05,74.9,73.69,74.86,72.12064,788000
"TSCO","11/13/2014",73.9,74.14,73.54,73.95,71.24395,610100
"TSCO","11/13/2014",0,0,0,0,0,0
"TSCO","11/12/2014",73.01,74.47,72.88,73.89,71.03201,671300
"TSCO","11/11/2014",73.6,73.64,72.93,73.35,70.51289,544400
"TSCO","11/10/2014",74.31,74.86,73.28,73.64,70.79166,784100
"TSCO","11/07/2014",74.33,74.9,73.85,74.56,71.67608,838300
"TSCO","11/06/2014",73.5,74.43,73.14,74.4,71.52229,720800
"TSCO","11/05/2014",73.06,73.55,72.61,73.36,70.52251,469700
"TSCO","11/04/2014",73.09,73.35,72.2,72.48,69.67654,700000
"TSCO","11/03/2014",73.22,73.84,72.99,73.42,70.58018,1058700
"TSCO","10/31/2014",73.23,73.6,72.68,73.22,70.38792,1011200
"TSCO","10/30/2014",72.1,72.92,71.92,72.3,69.50351,892900
"TSCO","10/29/2014",73.44,74.1,72.02,72.44,69.63808,1320900
"TSCO","10/28/2014",72.05,73.63,71.85,73.61,70.76284,1345900
"TSCO","10/27/2014",71.57,72.47,71.23,71.86,69.08052,1433000
"TSCO","10/24/2014",70.96,72.56,69.99,71.67,68.89787,2626100
"TSCO","10/23/2014",68,71.93,67.85,71,68.25378,6512300
"TSCO","10/22/2014",61.57,62.37,61.01,61.3,58.92898,1724400
"TSCO","10/21/2014",60.25,61.56,59.57,61.46,59.08278,1108900
"TSCO","10/20/2014",59.52,60.79,59.5,60.42,58.08301,1302100
"TSCO","10/17/2014",58.95,59.47,58.1,58.83,56.55452,819400
"TSCO","10/16/2014",56.61,58.8,56.5,58.53,56.26611,984400
"TSCO","10/15/2014",57.02,58.01,55.95,57.57,55.34325,1336300
"TSCO","10/14/2014",57.67,58.61,57.18,57.7,55.46822,1036600
"TSCO","10/13/2014",57.24,58.24,56.5,57.17,54.95871,1469300
"TSCO","10/10/2014",58.18,58.76,57.14,57.15,54.9395,1628400
"TSCO","10/09/2014",59.2,59.5,57.99,58.31,56.05463,1548600
"TSCO","10/08/2014",59.25,59.49,58.6,59.23,56.93904,2026400
"TSCO","10/07/2014",60.87,61.09,59.3,59.35,57.05439,1724600
"TSCO","10/06/2014",62.06,62.43,61.36,61.41,59.03471,586700
"TSCO","10/03/2014",61.37,62.46,61.24,61.98,59.58267,823300
"TSCO","10/02/2014",60.43,61.17,59.96,60.96,58.60212,818700
"TSCO","10/01/2014",61.4,61.48,60.2,60.35,58.01571,1706700
"TSCO","09/30/2014",61.34,61.71,61.15,61.51,59.13084,932400
"TSCO","09/29/2014",61.07,61.55,60.76,61.43,59.05395,967500
"TSCO","09/26/2014",60.78,61.93,60.65,61.86,59.46732,974900
"TSCO","09/25/2014",61.62,61.83,60.58,60.65,58.30412,1196400
"TSCO","09/24/2014",60.19,61.69,60.19,61.62,59.23659,1454600
"TSCO","09/23/2014",59.94,60.51,59.79,60.01,57.68888,1535900
"TSCO","09/22/2014",60.91,60.94,60.01,60.3,57.96765,1337600
"TSCO","09/19/2014",61.74,61.74,60.71,61.02,58.6598,1909900
"TSCO","09/18/2014",60.93,61.61,60.82,61.45,59.07317,1345500
"TSCO","09/17/2014",60.73,61.11,60.3,60.87,58.51561,1469200
"TSCO","09/16/2014",59.84,60.86,59.27,60.73,58.38102,1372600
"TSCO","09/15/2014",60.91,61.19,59.94,60.19,57.8619,1642900
"TSCO","09/12/2014",61.52,61.93,60.86,61.05,58.68864,1073300
"TSCO","09/11/2014",61.45,61.85,60.83,61.82,59.42886,1966400
"TSCO","09/10/2014",62.5,62.63,61.21,61.62,59.23659,2836100
"TSCO","09/09/2014",64.48,64.54,63.22,63.53,61.07271,1522900
"TSCO","09/08/2014",65.62,65.99,64.45,64.55,62.05326,1424700
"TSCO","09/05/2014",65.75,66.08,65.21,65.82,63.27414,1250900
"TSCO","09/04/2014",66.91,67.17,65.76,65.83,63.28375,1462100
"TSCO","09/03/2014",67.35,67.84,66.65,66.73,64.14894,959400
"TSCO","09/02/2014",67.11,67.75,66.77,67.16,64.56231,1036700
"TSCO","08/29/2014",67.52,67.55,66.65,66.95,64.36043,886800
"TSCO","08/28/2014",66.27,67.4,65.76,67.15,64.5527,1134900
"TSCO","08/27/2014",66.71,66.99,66.13,66.51,63.93746,1223600
"TSCO","08/26/2014",66,67.11,65.75,66.78,64.19701,1895500
"TSCO","08/25/2014",64.89,65.31,64.62,65.27,62.74542,1339200
"TSCO","08/22/2014",63.64,64.78,63.53,64.56,62.06288,1270700
"TSCO","08/21/2014",63.05,63.7,62.62,63.53,61.07271,1434000
"TSCO","08/20/2014",62.18,63.42,61.99,63.25,60.80355,868900
