"symbol","date","open","high","low","close","adjclose","volume"
"TXT","12/31/2014",42.71,43.05,42.1,42.11,41.87833,897400
"TXT","12/30/2014",42.91,43.08,42.69,42.69,42.45515,755500
"TXT","12/29/2014",42.86,43.22,42.71,43.1,42.86289,976800
"TXT","12/26/2014",43.32,43.39,43.04,43.05,42.81317,362800
"TXT","12/24/2014",43.41,43.41,42.96,43,42.76344,795400
"TXT","12/23/2014",43.05,43.57,43,43.28,43.0419,1492100
"TXT","12/22/2014",42.74,43,42.53,42.9,42.66399,1392400
"TXT","12/19/2014",42.03,42.94,41.87,42.71,42.47503,4037700
"TXT","12/18/2014",41.37,42.01,41.35,41.99,41.759,1909300
"TXT","12/17/2014",39.51,40.78,39.2,40.65,40.42637,2352900
"TXT","12/16/2014",39.6,40.56,39.45,39.49,39.27275,2012100
"TXT","12/15/2014",39.62,39.91,39.2,39.67,39.45177,1791200
"TXT","12/12/2014",40.15,40.21,39.3,39.33,39.11364,2171700
"TXT","12/11/2014",40.65,41.25,40.51,40.59,40.3667,1843900
"TXT","12/10/2014",41.8,41.82,40.49,40.52,40.29708,1543100
"TXT","12/10/2014",0,0,0,0,0,0
"TXT","12/09/2014",41.02,42.05,40.9,41.84,41.58994,2163400
"TXT","12/08/2014",42.33,42.53,41.4,41.61,41.36131,1271300
"TXT","12/05/2014",42.53,42.86,42.24,42.32,42.06706,1315800
"TXT","12/04/2014",43.3,43.42,42.36,42.47,42.21616,1592500
"TXT","12/03/2014",42.25,43.32,42.06,43.22,42.96169,4358900
"TXT","12/02/2014",42.55,42.84,41.94,42.16,41.90803,3351700
"TXT","12/01/2014",42.98,42.99,42.32,42.53,42.27581,1408000
"TXT","11/28/2014",43.45,43.52,43.19,43.32,43.06109,858500
"TXT","11/26/2014",43.65,43.8,43.23,43.29,43.03126,1333800
"TXT","11/25/2014",44.34,44.47,43.63,43.69,43.42887,2782700
"TXT","11/24/2014",43.88,44.32,43.69,44.23,43.96564,2033400
"TXT","11/21/2014",43.55,43.9,43.47,43.58,43.31953,2245600
"TXT","11/20/2014",42.7,43.24,42.52,42.99,42.73307,1703500
"TXT","11/19/2014",42.38,42.89,42.22,42.83,42.57401,1752400
"TXT","11/18/2014",41.9,42.68,41.76,42.45,42.19629,1446400
