"symbol","date","open","high","low","close","adjclose","volume"
"UDR","12/31/2014",31.61,31.84,30.78,30.82,27.95244,1238800
"UDR","12/30/2014",31.55,31.81,31.46,31.51,28.57825,712300
"UDR","12/29/2014",31.49,31.85,31.44,31.58,28.64174,913300
"UDR","12/26/2014",31.5,31.7,31.42,31.57,28.63266,467100
"UDR","12/24/2014",31.55,31.78,31.4,31.46,28.5329,490400
"UDR","12/23/2014",31.8,31.93,31.44,31.59,28.6508,728300
"UDR","12/22/2014",31.16,31.75,31.09,31.74,28.78685,1176600
"UDR","12/19/2014",31.03,31.31,31.03,31.08,28.18825,3417100
"UDR","12/18/2014",31.18,31.3,30.98,31.07,28.17918,1554500
"UDR","12/17/2014",30.53,31.04,30.39,31.03,28.1429,1966600
"UDR","12/16/2014",30.46,30.68,29.96,30.46,27.62594,2149200
"UDR","12/15/2014",31.09,31.3,30.43,30.45,27.61687,2210400
"UDR","12/12/2014",31.45,31.56,31.07,31.07,28.17918,1401900
"UDR","12/11/2014",31.42,31.57,31.2,31.5,28.56918,1487700
"UDR","12/10/2014",31.05,31.34,30.96,31.27,28.36057,1136900
"UDR","12/09/2014",30.84,31.29,30.78,31.1,28.20639,1301600
"UDR","12/08/2014",30.58,31.13,30.58,30.95,28.07035,1214300
"UDR","12/05/2014",30.66,30.67,30.35,30.58,27.73478,973800
"UDR","12/04/2014",30.73,30.83,30.56,30.77,27.9071,1136500
"UDR","12/03/2014",30.97,31.01,30.62,30.73,27.87082,1373000
"UDR","12/02/2014",30.67,30.99,30.47,30.97,28.08849,1466800
"UDR","12/01/2014",30.78,31.08,30.55,30.71,27.85268,1608000
"UDR","11/28/2014",30.72,31.19,30.55,30.78,27.91617,751400
"UDR","11/26/2014",30.26,30.81,30.13,30.69,27.83454,1267100
"UDR","11/25/2014",30.23,30.38,30.08,30.21,27.3992,1557200
"UDR","11/24/2014",30.1,30.3,30.02,30.22,27.40827,1371500
"UDR","11/21/2014",29.87,30.1,29.71,29.99,27.19967,1456300
"UDR","11/20/2014",29.65,29.7,29.47,29.65,26.8913,1069500
"UDR","11/19/2014",30,30.18,29.61,29.66,26.90037,1336700
"UDR","11/18/2014",30.11,30.2,29.95,30.08,27.28129,1392600
"UDR","11/17/2014",29.85,30.15,29.8,30.05,27.25409,1272700
"UDR","11/14/2014",30.27,30.36,29.78,29.87,27.09083,915800
"UDR","11/13/2014",30.26,30.45,30.06,30.26,27.44455,1239600
"UDR","11/12/2014",30.49,30.5,29.98,30.16,27.35386,1907700
"UDR","11/11/2014",30.61,30.64,30.22,30.53,27.68943,1039400
"UDR","11/10/2014",30.15,30.61,30.01,30.61,27.76198,1218900
"UDR","11/07/2014",30.25,30.43,30.12,30.18,27.37199,1361000
"UDR","11/06/2014",30.48,30.72,30.18,30.26,27.44455,1355700
"UDR","11/05/2014",30.89,30.98,30.3,30.5,27.66222,1121100
"UDR","11/04/2014",30.6,30.81,30.38,30.79,27.92523,1259700
"UDR","11/03/2014",30.31,30.74,30.27,30.71,27.85268,1500800
"UDR","10/31/2014",29.76,30.23,29.66,30.23,27.41734,1962800
"UDR","10/30/2014",29.46,29.72,29.35,29.66,26.90037,1326700
"UDR","10/29/2014",29.59,29.62,29.16,29.54,26.79154,1723400
"UDR","10/28/2014",29.56,29.58,29.29,29.58,26.82782,1372800
"UDR","10/27/2014",29.34,29.62,29.22,29.55,26.80061,1030800
"UDR","10/24/2014",29.6,29.66,29.11,29.33,26.60108,1481700
"UDR","10/23/2014",29.51,29.68,29.31,29.6,26.84595,1387300
"UDR","10/22/2014",29.2,29.36,29.05,29.3,26.57387,1198400
"UDR","10/21/2014",29.21,29.21,28.82,29.17,26.45596,2036700
"UDR","10/20/2014",28.49,29.14,28.49,29.13,26.41969,1224300
"UDR","10/17/2014",29.07,29.1,28.36,28.52,25.86644,2286300
"UDR","10/16/2014",28.91,29.12,28.59,28.82,26.13853,2608400
"UDR","10/15/2014",28.65,29.25,28.62,29.15,26.43783,3487400
"UDR","10/14/2014",28.12,29.05,28.07,28.84,26.15667,2754700
"UDR","10/13/2014",27.95,28.37,27.87,28.05,25.44017,1471900
"UDR","10/10/2014",28.02,28.29,27.87,27.9,25.30413,1482000
"UDR","10/09/2014",27.81,28.21,27.79,27.93,25.33134,2129500
"UDR","10/08/2014",27.31,27.81,27.18,27.8,25.21343,1515000
"UDR","10/08/2014",0,0,0,0,0,0
"UDR","10/07/2014",27.51,27.8,27.41,27.46,24.66925,1393700
"UDR","10/06/2014",27.48,27.75,27.4,27.53,24.73214,1093400
"UDR","10/03/2014",27.52,27.57,27.26,27.4,24.61535,868700
"UDR","10/02/2014",27.41,27.56,27.22,27.36,24.57942,1107100
"UDR","10/01/2014",27.26,27.48,27.15,27.27,24.49856,1600200
"UDR","09/30/2014",27.37,27.44,27.11,27.25,24.4806,1405000
"UDR","09/29/2014",27.25,27.35,27.05,27.33,24.55247,1084700
"UDR","09/26/2014",27.14,27.51,26.97,27.45,24.66028,992300
"UDR","09/25/2014",27.26,27.35,27.05,27.18,24.41772,1206900
"UDR","09/24/2014",27.42,27.77,27.21,27.27,24.49856,1288400
"UDR","09/23/2014",27.6,27.85,27.39,27.4,24.61535,1708000
"UDR","09/22/2014",27.72,27.87,27.61,27.64,24.83096,1854600
"UDR","09/19/2014",27.98,28.07,27.83,27.84,25.01064,2400500
"UDR","09/18/2014",28.13,28.26,27.83,27.86,25.02861,973000
"UDR","09/17/2014",28.46,28.62,28.14,28.14,25.28015,1447500
"UDR","09/16/2014",28.1,28.47,28.09,28.36,25.47779,1812900
"UDR","09/15/2014",28.34,28.54,28.01,28.11,25.2532,1301900
"UDR","09/12/2014",29.26,29.34,28.15,28.32,25.44185,1257500
"UDR","09/11/2014",29.29,29.43,29.13,29.33,26.34921,1209800
"UDR","09/10/2014",30.05,30.09,29.22,29.31,26.33124,1778900
"UDR","09/09/2014",30.25,30.25,30.06,30.16,27.09486,874800
"UDR","09/08/2014",30.27,30.38,30.19,30.3,27.22063,1124500
"UDR","09/05/2014",30.06,30.35,30.02,30.28,27.20267,1369800
"UDR","09/04/2014",30.16,30.33,29.95,30.05,26.99604,1094100
"UDR","09/03/2014",30.05,30.24,29.95,30.22,27.14876,1273100
"UDR","09/02/2014",29.95,30.05,29.82,29.98,26.93315,1640400
"UDR","08/29/2014",29.84,29.99,29.7,29.92,26.87925,1227300
"UDR","08/28/2014",29.7,29.83,29.6,29.76,26.73551,584700
"UDR","08/27/2014",29.8,29.93,29.66,29.77,26.74449,563100
"UDR","08/26/2014",29.69,29.84,29.66,29.77,26.74449,665500
"UDR","08/25/2014",29.8,29.81,29.56,29.69,26.67262,737600
"UDR","08/22/2014",29.9,29.94,29.57,29.71,26.69059,708700
"UDR","08/21/2014",30.01,30.25,29.87,29.95,26.9062,1191300
"UDR","08/20/2014",29.72,30.05,29.63,29.94,26.89722,1435200
"UDR","08/19/2014",29.84,29.9,29.67,29.81,26.78043,730000
"UDR","08/18/2014",29.61,29.83,29.58,29.82,26.78941,931000
"UDR","08/15/2014",29.56,29.63,29.34,29.47,26.47498,808500
"UDR","08/14/2014",29.76,29.83,29.46,29.51,26.51092,812200
"UDR","08/13/2014",29.46,29.88,29.46,29.74,26.71754,1382700
"UDR","08/12/2014",29.34,29.51,29.26,29.42,26.43006,1277600
"UDR","08/11/2014",29.31,29.55,29.25,29.42,26.43006,1176000
"UDR","08/08/2014",29.15,29.39,29.08,29.29,26.31328,932200
"UDR","08/07/2014",29.05,29.26,28.97,29.14,26.17852,1675800
"UDR","08/06/2014",28.92,29.05,28.9,28.99,26.04377,880100
"UDR","08/05/2014",29.16,29.25,28.85,29,26.05275,1732600
"UDR","08/04/2014",28.91,29.25,28.71,29.17,26.20547,1247100
"UDR","08/01/2014",28.99,29.33,28.85,28.91,25.97189,2327000
"UDR","07/31/2014",29.24,29.33,28.99,29.08,26.12461,2517700
"UDR","07/30/2014",28.94,29.38,28.88,29.31,26.33124,1260200
"UDR","07/29/2014",28.97,29.36,28.55,28.95,26.00783,1745800
"UDR","07/28/2014",28.61,29.03,28.54,28.97,26.0258,1241000
"UDR","07/25/2014",28.78,28.89,28.6,28.62,25.71137,726700
"UDR","07/24/2014",28.76,28.96,28.65,28.83,25.90002,1324900
"UDR","07/23/2014",28.72,28.76,28.55,28.64,25.72934,929400
"UDR","07/22/2014",28.67,28.84,28.58,28.66,25.7473,1129200
"UDR","07/21/2014",28.77,28.82,28.55,28.55,25.64848,1039800
"UDR","07/18/2014",28.71,28.92,28.64,28.8,25.87307,698400
"UDR","07/17/2014",28.67,28.85,28.58,28.61,25.70238,798600
"UDR","07/16/2014",28.88,28.89,28.64,28.81,25.88206,1427700
"UDR","07/15/2014",28.64,28.87,28.6,28.81,25.88206,1111400
"UDR","07/14/2014",28.55,28.68,28.43,28.65,25.73832,795000
"UDR","07/11/2014",28.43,28.54,28.35,28.5,25.60356,662100
"UDR","07/10/2014",28.3,28.6,28.24,28.44,25.54966,932500
"UDR","07/09/2014",28.4,28.43,28.17,28.36,25.47779,786900
"UDR","07/08/2014",28.27,28.51,28.12,28.46,25.56762,1141900
"UDR","07/08/2014",0,0,0,0,0,0
"UDR","07/07/2014",28.44,28.61,28.36,28.49,25.36101,870500
"UDR","07/03/2014",28.62,28.63,28.37,28.47,25.3432,634000
"UDR","07/02/2014",28.73,28.74,28.48,28.62,25.47672,934000
"UDR","07/01/2014",28.7,28.87,28.53,28.74,25.58355,1786000
"UDR","06/30/2014",28.72,28.75,28.45,28.63,25.48562,1711600
"UDR","06/27/2014",28.46,28.72,28.43,28.64,25.49452,1353800
"UDR","06/26/2014",28.39,28.49,28.34,28.47,25.3432,986300
"UDR","06/25/2014",28.23,28.5,28.23,28.4,25.28089,1402600
"UDR","06/24/2014",28.16,28.31,28.14,28.2,25.10286,1117500
"UDR","06/23/2014",28.21,28.38,28.14,28.18,25.08505,1000200
"UDR","06/20/2014",28.27,28.33,27.97,28.28,25.17407,1630700
"UDR","06/19/2014",27.8,28.08,27.68,28.07,24.98713,1022100
"UDR","06/18/2014",27.58,27.86,27.39,27.74,24.69337,1439800
