"symbol","date","open","high","low","close","adjclose","volume"
"UNH","12/31/2014",103.12,103.68,101.03,101.09,96.31029,2313900
"UNH","12/30/2014",102.25,103.06,102.25,102.85,97.98709,1767600
"UNH","12/29/2014",102.38,103.01,101.83,102.33,97.49166,1708100
"UNH","12/26/2014",102.59,103,102.16,102.55,97.70126,2019900
"UNH","12/24/2014",103,103.32,102.54,102.68,97.82511,950700
"UNH","12/23/2014",103.72,103.93,102.44,102.85,97.98709,3028600
"UNH","12/22/2014",102.58,103.24,102.47,103.04,98.1681,2398100
"UNH","12/19/2014",102,104,102,102.49,97.6441,7986500
"UNH","12/18/2014",100.28,102.26,99.91,102.24,97.40592,4681000
"UNH","12/17/2014",96.55,99.75,96.17,99.14,94.45249,6235000
"UNH","12/16/2014",97.65,98.78,95.75,95.85,91.31805,4843800
"UNH","12/15/2014",98.8,99.75,97.41,98.27,93.62363,3649300
"UNH","12/12/2014",99.58,100.41,98.69,98.76,94.09045,3086500
"UNH","12/11/2014",99.39,100.67,99.24,99.73,95.0146,2940600
"UNH","12/10/2014",100.77,101.02,99.01,99.09,94.40485,3908700
"UNH","12/09/2014",99.04,101.09,98.75,101.02,96.2436,3792200
"UNH","12/08/2014",100.32,100.9,99.64,99.92,95.19562,3085800
"UNH","12/05/2014",99.81,100.71,99.68,100.33,95.58624,3104900
"UNH","12/04/2014",100.84,100.93,99.42,99.67,94.95743,4065200
"UNH","12/03/2014",99.88,101.33,99.7,100.8,96.034,6689000
"UNH","12/03/2014",0,0,0,0,0,0
"UNH","12/02/2014",99,100,98.2,99.83,94.75259,5297200
"UNH","12/01/2014",98.75,99.83,98.01,99.06,94.02177,4892800
"UNH","11/28/2014",98.7,99.42,98.43,98.63,93.61362,2177500
"UNH","11/26/2014",97.99,98.74,97.82,98.11,93.12009,2765900
"UNH","11/25/2014",97,98.14,96.91,97.9,92.92076,4066300
"UNH","11/24/2014",97.27,97.29,96.51,96.9,91.97162,3998800
"UNH","11/21/2014",97.4,98.04,96.59,96.71,91.79128,4408600
"UNH","11/20/2014",96.46,96.85,96.17,96.85,91.92417,3316700
"UNH","11/19/2014",97.73,98.41,96.79,96.86,91.93366,3433800
"UNH","11/18/2014",96.99,98.61,96.85,98.19,93.19601,4320800
