"symbol","date","open","high","low","close","adjclose","volume"
"WHR","12/31/2014",194.88,196.71,193.43,193.74,181.0497,508800
"WHR","12/30/2014",192.89,194.99,192.53,193.66,180.975,725600
"WHR","12/29/2014",191.49,194.03,191.14,193.03,180.3862,635700
"WHR","12/26/2014",192.46,194.46,191.96,192.45,179.8442,462100
"WHR","12/24/2014",192.16,192.24,191.05,191.15,178.6294,254400
"WHR","12/23/2014",191.11,192.18,190.38,191.13,178.6107,686600
"WHR","12/22/2014",189.39,190.76,187.32,190.29,177.8257,665500
"WHR","12/19/2014",191.5,193.78,187.99,189.73,177.3024,1678100
"WHR","12/18/2014",191.64,192.44,188.35,190.52,178.0406,1537600
"WHR","12/17/2014",174.43,189.72,172.85,188.93,176.5548,3197700
"WHR","12/16/2014",179.06,181.04,174.02,174.43,163.0045,2474900
"WHR","12/15/2014",181.88,184.89,180.73,183.36,171.3496,1206000
"WHR","12/12/2014",183.92,185.6,180.45,180.64,168.8078,1120800
"WHR","12/11/2014",183.84,186.56,183.5,184.46,172.3776,483500
"WHR","12/10/2014",186.35,188.12,183.17,183.26,171.2562,908800
"WHR","12/09/2014",184.36,187.7,183.83,187.43,175.153,527600
"WHR","12/08/2014",188.68,189,185.78,186.59,174.3681,524200
"WHR","12/05/2014",188.01,189.87,187.14,188.83,176.4613,582600
"WHR","12/04/2014",189.01,190.22,187.48,188.26,175.9287,565200
"WHR","12/03/2014",185.25,189.46,185.02,189.41,177.0034,710000
"WHR","12/02/2014",185.19,185.8,183.68,184.82,172.714,655300
"WHR","12/01/2014",186.27,186.84,184.39,185.45,173.3027,630600
"WHR","11/28/2014",184.24,186.64,183.52,186.17,173.9756,353300
"WHR","11/26/2014",184.6,184.94,182.6,183.54,171.5178,593400
"WHR","11/25/2014",184.86,185.58,183.83,184.61,172.5178,864600
"WHR","11/24/2014",183.88,185.28,182.5,184.76,172.6579,1214600
"WHR","11/21/2014",184.5,185.34,183.16,183.67,171.6393,983700
"WHR","11/20/2014",178.35,182.34,178.18,182.06,170.1348,921000
"WHR","11/19/2014",176.43,179.95,175.73,179.89,168.1069,1086500
"WHR","11/19/2014",0,0,0,0,0,0
"WHR","11/18/2014",175.57,177.94,175.57,177.22,164.9109,786600
"WHR","11/17/2014",173.36,177.2,173.02,175.55,163.3569,784000
"WHR","11/14/2014",174.83,175.65,172.16,173.27,161.2353,936400
"WHR","11/13/2014",175.48,177.21,174.47,175.21,163.0405,501700
"WHR","11/12/2014",174.22,176.25,173.89,175.21,163.0405,656900
"WHR","11/11/2014",174.29,177.18,174.12,175,162.8451,774100
"WHR","11/10/2014",175.81,175.83,173.5,173.79,161.7192,891800
"WHR","11/07/2014",174.43,176.62,174.43,175.81,163.5989,722800
"WHR","11/06/2014",172.35,174.9,172.19,174.84,162.6962,552200
"WHR","11/05/2014",174.32,174.45,172.45,172.85,160.8445,588800
"WHR","11/04/2014",172.43,173.13,170.69,172.72,160.7235,749700
"WHR","11/03/2014",171.56,173.27,170.62,172.6,160.6118,784500
"WHR","10/31/2014",172.37,173.7,171.2,172.05,160.1001,924500
"WHR","10/30/2014",168.43,171.3,167.91,170.55,158.7042,889000
"WHR","10/29/2014",165.65,168.83,165.65,168.23,156.5453,1270800
"WHR","10/28/2014",154.26,170.99,153.98,168.06,156.3871,2885900
"WHR","10/27/2014",157.67,158.1,155.02,157.4,146.4676,1115300
"WHR","10/24/2014",158,159.98,157.04,158.62,147.6028,908000
"WHR","10/23/2014",155.17,158.53,155.09,157.7,146.7467,814800
"WHR","10/22/2014",155.22,157.2,154.12,154.39,143.6667,977900
"WHR","10/21/2014",154,155.39,153.07,155.27,144.4855,743000
"WHR","10/20/2014",150.54,153.54,150.54,153.21,142.5686,1118300
"WHR","10/17/2014",146.97,150.97,146.15,150.04,139.6187,1240900
"WHR","10/16/2014",141.35,147.48,141.35,145.76,135.636,944600
"WHR","10/15/2014",141.62,144.4,140.04,143.68,133.7005,1483700
"WHR","10/14/2014",141.59,146.98,141.03,145.33,135.2359,1512300
"WHR","10/13/2014",141.71,144.18,140.33,140.42,130.6669,1304600
"WHR","10/10/2014",141.28,142.8,139.97,140.63,130.8624,1230600
"WHR","10/09/2014",144.02,144.61,140.72,141.28,131.4672,841600
"WHR","10/08/2014",141.87,144.1,139.85,143.93,133.9332,835300
