"symbol","date","open","high","low","close","adjclose","volume"
"WMB","12/31/2014",44.98,45.42,44.81,44.94,37.43522,6528200
"WMB","12/30/2014",45.66,45.88,45.21,45.39,37.81008,4966700
"WMB","12/29/2014",45.77,46.14,45.28,45.64,38.01833,6846700
"WMB","12/26/2014",45.5,46,45.19,45.63,38.01,4291100
"WMB","12/24/2014",45.37,45.78,45.11,45.35,37.77676,4328300
"WMB","12/23/2014",45.98,46.06,45.34,45.73,38.0933,8440000
"WMB","12/22/2014",45.84,45.84,44.76,45.64,38.01833,7062800
"WMB","12/19/2014",45.12,46.07,44.85,46,38.31821,12110400
"WMB","12/18/2014",45.18,45.48,43.72,44.8,37.31861,14451300
"WMB","12/17/2014",42.01,43.98,41.91,43.63,36.34399,20588400
"WMB","12/16/2014",41.36,43.2,41.21,41.84,34.85291,11683400
"WMB","12/15/2014",43.32,43.45,41.69,42.14,35.10281,12630700
"WMB","12/12/2014",43.47,44.18,42.73,42.76,35.61927,25538000
"WMB","12/11/2014",44.83,45.84,43.93,44.13,36.7605,13387700
"WMB","12/10/2014",46.08,46.19,44.34,44.73,37.2603,16585400
"WMB","12/10/2014",0,0,0,0,0,0
"WMB","12/09/2014",46.55,47.39,45.62,47.23,38.868,11331600
"WMB","12/08/2014",49.35,49.77,46.37,46.67,38.40714,20347600
"WMB","12/05/2014",50.92,51.26,49.96,50.04,41.1805,6028100
"WMB","12/04/2014",50.78,51.65,50.77,51.13,42.0775,5453700
"WMB","12/03/2014",50.42,51.47,50.13,51.12,42.06927,5935200
"WMB","12/02/2014",50.29,51.65,49.77,50.7,41.72364,8961600
"WMB","12/01/2014",51.35,51.72,49.27,50.14,41.26278,15046200
"WMB","11/28/2014",53.01,53.17,51.52,51.75,42.58774,7422200
"WMB","11/26/2014",54.77,55.23,54.4,54.85,45.13889,3683100
"WMB","11/25/2014",55.13,55.63,54.55,54.91,45.18826,5340300
"WMB","11/24/2014",55.5,55.8,54.54,54.77,45.07305,6532300
"WMB","11/21/2014",56.23,56.5,55.12,55.48,45.65734,4193500
"WMB","11/20/2014",55.17,55.8,55.14,55.46,45.64088,3705800
"WMB","11/19/2014",54.8,55.63,54.25,55.22,45.44337,4270400
"WMB","11/18/2014",54.44,55.08,54.23,54.54,44.88377,5106600
"WMB","11/17/2014",53.64,54.77,53.38,54.31,44.69449,4835700
