"symbol","date","open","high","low","close","adjclose","volume"
"WYNN","12/31/2014",151.37,152.3,148.2,148.76,139.4034,1633000
"WYNN","12/30/2014",152.78,153.78,150.1,151.2,141.69,1262600
"WYNN","12/29/2014",150,154.76,149.41,153,143.3768,1510400
"WYNN","12/26/2014",151.11,152.38,149.7,150.37,140.9121,998900
"WYNN","12/24/2014",152.09,153.3,150.03,150.9,141.4088,494100
"WYNN","12/23/2014",148.07,153.35,147.96,151.69,142.1491,1669000
"WYNN","12/22/2014",150.39,151.47,146.27,147.48,138.2039,1768400
"WYNN","12/19/2014",144.9,151.95,144.9,150.11,140.6685,3293500
"WYNN","12/18/2014",142.05,145.23,142.05,145.1,135.9736,2870100
"WYNN","12/17/2014",137.82,139.24,133.58,138.97,130.2292,4298600
"WYNN","12/16/2014",143.75,144.49,140.31,140.52,131.6817,2118900
"WYNN","12/15/2014",148.77,149.87,144.85,145.16,136.0298,1437200
"WYNN","12/12/2014",147.1,149.89,146.42,147.48,138.2039,1488400
"WYNN","12/11/2014",147.9,151.43,146.65,148.88,139.5159,2676700
"WYNN","12/10/2014",156.83,156.83,145.1,146.75,137.5198,4661600
"WYNN","12/09/2014",155.54,156.97,155.11,156.63,146.7785,1605800
"WYNN","12/08/2014",161,162.97,157.32,157.59,147.6781,2400900
"WYNN","12/05/2014",163.15,165.02,162.01,163.9,153.5912,1531500
"WYNN","12/04/2014",168.85,168.86,161.35,162.92,152.6728,3638400
"WYNN","12/03/2014",170.57,172.21,168.81,169.57,158.9045,2201300
"WYNN","12/02/2014",174.32,175.6,173.4,174.25,163.2902,1167100
"WYNN","12/01/2014",177.03,177.12,174.05,174.5,163.5245,1498700
"WYNN","11/28/2014",178.06,179.01,175.89,178.61,167.3759,578700
"WYNN","11/26/2014",178.32,178.62,176.5,177.06,165.9234,833300
"WYNN","11/25/2014",181.13,182.15,177.11,178.01,166.8137,1670500
"WYNN","11/24/2014",180.42,180.83,178.22,180.22,168.8847,1155500
"WYNN","11/21/2014",182,182.45,179.07,179.64,168.3411,2017300
"WYNN","11/20/2014",179.71,181.69,174.9,177.85,166.6638,2655700
"WYNN","11/19/2014",182.07,182.51,179.54,180.02,168.6972,876800
"WYNN","11/18/2014",181.1,183.12,179.33,182.08,170.6277,1445200
"WYNN","11/17/2014",182.83,182.99,180.97,182.63,171.1431,815600
