"symbol","date","open","high","low","close","adjclose","volume"
"ADSK","12/31/2015",62.13,62.85,60.91,60.93,60.93,1353900
"ADSK","12/30/2015",62.26,63.16,61.93,62.25,62.25,929900
"ADSK","12/29/2015",62.11,62.81,61.95,62.22,62.22,1004000
"ADSK","12/28/2015",61.68,61.96,61.2,61.86,61.86,989100
"ADSK","12/24/2015",62.03,62.34,60.65,61.85,61.85,417300
"ADSK","12/23/2015",61.23,62.19,60.84,62.04,62.04,1044700
"ADSK","12/22/2015",60.64,61.24,59.84,60.99,60.99,1107200
"ADSK","12/21/2015",59.66,60.63,59.53,60.16,60.16,1554700
"ADSK","12/18/2015",60.45,60.9,59.48,59.52,59.52,4337800
"ADSK","12/17/2015",61.94,62.1,60.74,60.74,60.74,1702500
"ADSK","12/16/2015",61.36,62.03,60.95,61.93,61.93,1666200
"ADSK","12/15/2015",61.21,62.27,60.82,61.09,61.09,1740300
"ADSK","12/14/2015",60.87,61.25,59.84,60.74,60.74,2307900
"ADSK","12/11/2015",62.78,63.1,60.83,61.1,61.1,1840900
"ADSK","12/10/2015",63.23,63.92,63.03,63.24,63.24,1210100
"ADSK","12/09/2015",63.82,64.51,62.8,63.25,63.25,1364900
"ADSK","12/08/2015",63.25,64.27,62.64,63.96,63.96,1488400
"ADSK","12/07/2015",65.5,65.73,63.37,63.75,63.75,1987200
"ADSK","12/04/2015",64.66,65.78,64.26,65.29,65.29,1886000
"ADSK","12/03/2015",64.86,64.99,64.19,64.41,64.41,4276600
"ADSK","12/02/2015",64.53,64.99,64.17,64.55,64.55,3217400
"ADSK","12/01/2015",63.58,64.77,63.58,64.72,64.72,1926400
"ADSK","11/30/2015",63.02,63.89,62.78,63.47,63.47,2137100
"ADSK","11/27/2015",63.04,63.26,62.69,63.05,63.05,674400
"ADSK","11/25/2015",63.17,63.3,62.72,62.92,62.92,1220500
"ADSK","11/24/2015",62.24,63.36,62.04,63.08,63.08,1882600
"ADSK","11/23/2015",60.42,63.27,60.42,62.71,62.71,2903700
"ADSK","11/20/2015",60.55,60.88,58.55,60.55,60.55,7665500
"ADSK","11/19/2015",61.47,62.65,61.04,62.39,62.39,3594300
"ADSK","11/18/2015",61.28,61.61,60.1,61.25,61.25,3014400
"ADSK","11/17/2015",61.17,62.4,60.87,61.25,61.25,2976600
"ADSK","11/16/2015",60.78,61.72,60.07,60.93,60.93,4054700
"ADSK","11/13/2015",61.6,61.71,60.18,60.45,60.45,3338000
"ADSK","11/12/2015",62,62.42,61.38,61.75,61.75,3752600
"ADSK","11/11/2015",63.51,63.64,62.1,62.12,62.12,4474200
"ADSK","11/10/2015",61.88,63.37,61.82,63.36,63.36,3786600
