"symbol","date","open","high","low","close","adjclose","volume"
"AET","12/31/2015",108.35,109.54,108,108.12,105.8324,1612700
"AET","12/30/2015",110.39,110.84,108.64,108.93,106.6253,1041400
"AET","12/29/2015",109.52,110.9,109.39,110.21,107.8782,1088000
"AET","12/28/2015",109.53,109.67,108.22,108.95,106.6448,1540800
"AET","12/24/2015",110.01,110.53,109.51,109.63,107.3104,726800
"AET","12/23/2015",109.13,110.45,109.13,110.08,107.7509,1776500
"AET","12/22/2015",110.42,110.47,107.76,108.91,106.6057,2643800
"AET","12/21/2015",108.91,110.54,108.59,109.72,107.3985,2730700
"AET","12/18/2015",108.77,109.92,108.02,108.47,106.175,4296900
"AET","12/17/2015",108.73,109.41,107.71,108.86,106.5568,2826800
"AET","12/16/2015",108.08,108.95,107.13,108.76,106.4589,2823000
"AET","12/15/2015",106.5,108.43,106.25,107.02,104.7557,2712200
"AET","12/14/2015",105.22,106.5,104.69,105.8,103.5615,3741800
"AET","12/11/2015",103.94,106.3,103.17,104.91,102.6903,3556000
"AET","12/10/2015",103.59,105.55,103.16,104.82,102.6022,2162200
"AET","12/09/2015",103.11,104.53,102.83,103.87,101.6723,3409100
"AET","12/08/2015",102.86,104.28,102.1,103.93,101.731,2957400
"AET","12/07/2015",105.45,105.46,103.06,103.62,101.4276,2945500
"AET","12/04/2015",102.47,106.1,101.91,105.32,103.0916,4784900
"AET","12/03/2015",106.75,107.53,101.42,101.72,99.56782,7098700
"AET","12/02/2015",107.63,109.48,106.62,106.93,104.6676,3974600
"AET","12/01/2015",103.16,107.85,102.78,107.5,105.2255,4370400
"AET","11/30/2015",104.47,104.9,102.75,102.75,100.576,2789300
"AET","11/27/2015",104.25,104.8,103.4,104.06,101.8583,958300
"AET","11/25/2015",106.31,106.48,103.8,103.95,101.7506,2271000
"AET","11/24/2015",104.84,106.28,104.35,106.08,103.8356,2249700
"AET","11/23/2015",104.78,106.92,104.31,105.71,103.4734,2922500
"AET","11/20/2015",101.35,104.98,100.55,104.43,102.2205,4983900
"AET","11/19/2015",101.7,103.58,98.67,99.89,97.77653,11864400
"AET","11/18/2015",105.28,107.06,104.46,106.86,104.5991,1719900
"AET","11/17/2015",104.82,107.04,104.01,105.28,103.0525,1575000
"AET","11/16/2015",102.39,105.09,102.2,105.01,102.7882,2770300
"AET","11/13/2015",102.65,104.25,101.52,102.21,100.0474,3871200
"AET","11/12/2015",105.8,106.02,103.05,103.11,100.9284,4710200
"AET","11/11/2015",109.43,109.56,104.86,105.09,102.8665,2943000
"AET","11/10/2015",108.25,109.39,107.89,108.74,106.4393,2678100
"AET","11/09/2015",107.22,108.06,105.65,108,105.7149,3133500
"AET","11/06/2015",110.16,110.22,106.32,107.55,105.2745,4503300
"AET","11/05/2015",108.77,111.65,108.47,111.27,108.9157,2876900
"AET","11/04/2015",111.8,112.39,107.39,108.66,106.361,4157400
"AET","11/03/2015",114.59,115.48,111.33,111.81,109.4443,2981700
"AET","11/02/2015",115.42,116.22,114.1,115.34,112.8996,2362400
"AET","10/30/2015",115.92,115.99,114.09,114.78,112.3515,4113100
"AET","10/29/2015",111.25,116.33,110.68,114.86,112.4298,4281600
"AET","10/28/2015",110.67,111.18,107.07,111.11,108.7591,4083600
"AET","10/27/2015",107.48,111.86,107.01,110.67,108.3285,4829000
"AET","10/26/2015",106.09,108.22,104.6,107.8,105.5192,3775400
"AET","10/23/2015",103.93,106.24,102.94,105.89,103.6496,4635800
"AET","10/22/2015",107.88,108.38,100.69,103.36,101.1731,7651400
"AET","10/21/2015",112.63,112.7,103.64,108.28,105.989,5529900
"AET","10/20/2015",114.32,114.79,111.05,111.82,109.4541,2561800
"AET","10/19/2015",112.94,114.93,112.66,114.2,111.7838,2166700
"AET","10/16/2015",113.07,113.56,111.89,112.99,110.5994,2144200
"AET","10/15/2015",110,112.72,108.34,112.17,109.7967,3269600
"AET","10/14/2015",113.05,114.42,110.06,111.11,108.7591,2585800
"AET","10/13/2015",110.58,115.98,110.58,113.27,110.8734,4681400
"AET","10/13/2015",0,0,0,0,0,0
"AET","10/12/2015",109.43,110.91,109,110.63,108.0446,1992700
"AET","10/09/2015",108.97,110.96,108.85,109.18,106.6285,1998100
"AET","10/08/2015",109.54,109.93,107.99,109.61,107.0484,1458900
"AET","10/07/2015",109.05,109.79,107.02,109.56,106.9996,2760400
"AET","10/06/2015",113.36,113.47,107.84,108.83,106.2867,3301900
"AET","10/05/2015",113.96,114.73,111.7,113.04,110.3983,1834700
"AET","10/02/2015",108.81,113.18,107.65,113.11,110.4666,2716600
"AET","10/01/2015",109.21,110.42,107,109.94,107.3707,2700200
"AET","09/30/2015",107.98,110.48,107.5,109.41,106.8531,3942200
"AET","09/29/2015",105.36,107.93,103.79,106.31,103.8255,3945500
"AET","09/28/2015",111.89,111.92,104.3,105.3,102.8391,5730100
"AET","09/25/2015",117.46,117.46,111.13,112.02,109.4021,3574900
"AET","09/24/2015",118.08,118.25,114.46,116.44,113.7188,2415300
"AET","09/23/2015",118.1,119.49,117.21,118.82,116.0432,1999700
"AET","09/22/2015",117.14,119.37,116.03,118.12,115.3595,2372800
"AET","09/21/2015",117.21,119.75,116.35,118.82,116.0432,2430500
"AET","09/18/2015",117.02,118.18,115.9,116.15,113.4356,2708500
"AET","09/17/2015",117.65,119.54,116.73,117.76,115.0079,1723900
"AET","09/16/2015",117.79,118.36,116.14,117.58,114.8322,1796400
"AET","09/15/2015",116.9,117.93,115.85,117.57,114.8224,1384000
"AET","09/14/2015",118.81,118.86,115.99,116.39,113.67,1812400
"AET","09/11/2015",115.41,117.93,115.27,117.89,115.1349,1846400
"AET","09/10/2015",116.73,118.98,115.88,116.19,113.4746,2794800
"AET","09/09/2015",119.6,119.85,116.88,117.23,114.4903,2289500
"AET","09/08/2015",116.24,118.37,115.45,118.14,115.3791,3120500
"AET","09/04/2015",113.6,114.42,112.79,113.47,110.8182,2175400
"AET","09/03/2015",114.08,116.55,113.76,115.18,112.4883,2637400
"AET","09/02/2015",112.75,113.6,111.18,113.56,110.9061,2255400
"AET","09/01/2015",112.2,114.21,110.89,111.55,108.9431,2933900
"AET","08/31/2015",116.67,118.16,114.36,114.52,111.8437,2591400
"AET","08/28/2015",117.61,118.11,116.02,116.86,114.129,1681700
"AET","08/27/2015",115.75,117.89,114.41,117.78,115.0275,3655100
"AET","08/26/2015",112.88,115.74,112.35,115.42,112.7226,4838400
"AET","08/25/2015",114.19,115.95,110.5,110.5,107.9176,4461200
"AET","08/24/2015",108.03,112,93.51,110.51,107.9274,4999700
"AET","08/21/2015",117.95,118.78,115.49,115.51,112.8105,3110900
"AET","08/20/2015",121.14,121.91,118.18,118.53,115.76,3398400
"AET","08/19/2015",123.43,123.5,120.82,122.18,119.3247,3405800
"AET","08/18/2015",123.03,125.47,122.8,124.21,121.3072,2837300
"AET","08/17/2015",120.06,123.79,119.89,123.04,120.1646,3115400
"AET","08/14/2015",117.93,120.96,117.82,120.66,117.8402,3096400
"AET","08/13/2015",117.62,118.67,117,118.25,115.4865,1866500
"AET","08/12/2015",117.5,118,115.42,117.3,114.5587,2828500
"AET","08/11/2015",116.25,119.49,116.18,118.35,115.5842,3416000
"AET","08/10/2015",116.91,117.49,116.26,117.09,114.3536,1650400
"AET","08/07/2015",116.08,116.81,115.05,116.39,113.67,1582400
"AET","08/06/2015",118.2,118.59,115.94,116.4,113.6797,2713500
"AET","08/05/2015",116.59,118.76,115.44,118.07,115.3107,4296500
"AET","08/04/2015",115.99,117.1,112.24,115.19,112.498,4244400
"AET","08/03/2015",113.55,114.72,112.5,113.79,111.1307,3020000
"AET","07/31/2015",114.63,114.98,112.69,112.97,110.3299,2882300
"AET","07/30/2015",114.36,114.64,112.36,114.15,111.4823,2650200
"AET","07/29/2015",112.52,112.94,111.12,112.6,109.9685,2669500
"AET","07/28/2015",110.81,112.37,109.9,112.31,109.6853,3538700
"AET","07/27/2015",109.27,110.55,107.95,110.23,107.6539,3783600
"AET","07/24/2015",111.62,111.95,109.73,110,107.4293,3223400
"AET","07/23/2015",114.16,114.24,111.57,112.05,109.4314,2854000
"AET","07/22/2015",111.5,114.23,111.02,113.88,111.2186,4433900
"AET","07/21/2015",111.5,112.56,109.11,111.55,108.9431,3933700
"AET","07/20/2015",113.13,113.14,111.04,111.6,108.9919,2890400
"AET","07/17/2015",112.76,113.48,111.26,112.92,110.2811,4297700
"AET","07/16/2015",115.66,115.96,112.81,112.91,110.2713,4819400
"AET","07/15/2015",115.79,117.01,114.92,115.48,112.7812,2915600
"AET","07/14/2015",113.3,115.97,113.21,115.75,113.0449,3266700
"AET","07/14/2015",0,0,0,0,0,0
"AET","07/13/2015",115.9,116.27,112.37,114.02,111.1112,5353900
"AET","07/10/2015",114.02,114.8,112.57,114.6,111.6764,4734700
"AET","07/09/2015",115.73,116.51,112.56,112.67,109.7956,5282400
"AET","07/08/2015",114.88,115.93,112.67,112.67,109.7956,5307900
"AET","07/07/2015",117.72,118.2,112.64,115.33,112.3878,9847000
"AET","07/06/2015",117.81,120.76,115.56,117.43,114.4342,16434100
"AET","07/02/2015",129.41,129.74,125.45,125.51,122.3081,3168500
"AET","07/01/2015",128.95,129.36,127.25,128.9,125.6116,2452300
"AET","06/30/2015",128.32,128.71,127.25,127.46,124.2083,2397500
"AET","06/29/2015",128.59,129.48,127.04,127.28,124.0329,3185600
"AET","06/26/2015",132.83,134.4,130.05,130.05,126.7322,5583300
"AET","06/25/2015",127.66,133.05,126.73,132.6,129.2172,8858700
"AET","06/24/2015",127.1,128.64,125.9,127.51,124.2571,8226400
"AET","06/23/2015",128.29,128.75,126.47,128.2,124.9295,6173300
"AET","06/22/2015",127.91,130.17,127.6,128.05,124.7833,7391400
"AET","06/19/2015",124.37,124.67,123.85,124.07,120.9048,2070300
"AET","06/18/2015",124.06,125.39,124.02,124.5,121.3238,2122900
"AET","06/17/2015",125.77,126.84,123.45,123.86,120.7002,2797600
"AET","06/16/2015",124.88,128.65,123.12,124.97,121.7819,6827900
"AET","06/15/2015",115.31,124.2,114.75,121.01,117.9229,6380900
"AET","06/12/2015",117.23,117.45,115.76,115.87,112.914,1746000
"AET","06/11/2015",118.21,118.59,117.73,117.95,114.9409,1674900
"AET","06/10/2015",117.08,118.53,116.98,117.94,114.9312,1590200
"AET","06/09/2015",116.35,117.49,115.94,117.24,114.249,2060400
"AET","06/08/2015",117,117.8,115.98,116,113.0407,1347500
"AET","06/05/2015",115.58,117.16,115.01,116.86,113.8788,1441400
"AET","06/04/2015",116.01,116.95,115.45,115.98,113.0212,1908800
"AET","06/03/2015",117.87,118.14,115.76,116.95,113.9665,3102200
"AET","06/02/2015",119.24,119.5,116.89,117.33,114.3367,2630000
"AET","06/01/2015",118.06,120.19,117.91,119.62,116.5683,3900700
"AET","05/29/2015",116.47,120.15,114.47,117.97,114.9604,5232200
"AET","05/28/2015",115.35,116.56,114.98,116.39,113.4207,1903100
"AET","05/27/2015",115,115.84,114.04,115.21,112.2708,1481500
"AET","05/26/2015",114.7,114.84,113.73,113.88,110.9748,1698700
"AET","05/22/2015",114.31,115.76,113.89,114.52,111.5984,1740100
"AET","05/21/2015",114,114.86,113.8,114.69,111.7641,1089900
"AET","05/20/2015",114.12,114.76,113.72,114.4,111.4815,1753200
"AET","05/19/2015",113.99,114.62,113.81,114.09,111.1794,1272900
"AET","05/18/2015",112.61,113.89,112.15,113.73,110.8286,1505800
"AET","05/15/2015",111.97,112.75,111.57,112.74,109.8639,1641100
"AET","05/14/2015",110.89,111.56,110.6,111.48,108.636,1203900
"AET","05/13/2015",110.17,111,109.66,109.79,106.9891,1589200
"AET","05/12/2015",108.73,111.12,108.66,110.08,107.2717,1638600
"AET","05/11/2015",109.15,110.28,109.01,109.3,106.5116,1090600
"AET","05/08/2015",108.85,109.83,108.62,109.26,106.4726,1279500
"AET","05/07/2015",107,108.72,107,107.89,105.1376,1415100
"AET","05/06/2015",107.99,108.34,106.63,107.37,104.6309,1210200
"AET","05/05/2015",108.6,108.85,106.87,107.2,104.4652,1922600
"AET","05/04/2015",108.68,109.82,108.55,109.19,106.4044,1819000
"AET","05/01/2015",107.86,108.55,107.15,108.47,105.7028,1885800
"AET","04/30/2015",108,108.71,106.68,106.87,104.1436,3162900
"AET","04/29/2015",109.95,110.5,106.73,108.01,105.2545,2771600
"AET","04/28/2015",108.81,111.08,106.72,110.38,107.5641,3546800
"AET","04/27/2015",109.06,109.36,106.79,106.92,104.1923,2134400
"AET","04/24/2015",108.6,109.01,108.23,108.82,106.0439,1267500
"AET","04/23/2015",107.8,109.1,107.52,108.9,106.1218,1150600
"AET","04/22/2015",108.33,108.75,107.24,107.95,105.196,2347100
"AET","04/21/2015",107.69,108.63,107.57,108.36,105.5956,1537500
"AET","04/20/2015",108.16,108.68,107.19,107.25,104.5139,1381700
"AET","04/17/2015",108.52,108.79,106.77,107.72,104.9719,1766800
"AET","04/16/2015",108.22,109.65,108.22,109.43,106.6383,2874200
"AET","04/15/2015",108.56,108.57,105.44,106.08,103.3738,2528600
"AET","04/14/2015",107.92,108.23,107,107.88,105.1278,1025600
"AET","04/13/2015",108.13,109.14,107.66,107.69,104.9427,1247400
"AET","04/10/2015",108,108,107.14,107.91,105.1571,915800
"AET","04/09/2015",107.02,108.13,107,107.72,104.9719,1530600
"AET","04/08/2015",107.18,108.07,106.65,107.46,104.7186,1236500
"AET","04/07/2015",108.49,108.89,106.78,106.79,104.0656,1637500
"AET","04/07/2015",0,0,0,0,0,0
"AET","04/06/2015",106.55,108.04,106.3,107.83,104.8355,1655400
"AET","04/02/2015",107.11,107.86,106.55,107.15,104.1744,1184700
"AET","04/01/2015",106.66,106.87,104.93,106.87,103.9022,2027400
"AET","03/31/2015",107.92,108.18,106.51,106.53,103.5716,2578900
"AET","03/30/2015",109.03,109.35,107.96,108.57,105.5549,1635700
"AET","03/27/2015",106.3,107.97,106.27,107.4,104.4174,1604000
"AET","03/26/2015",106.72,107.12,105.36,105.91,102.9688,2535800
"AET","03/25/2015",108.99,109.77,107.23,107.29,104.3105,2571700
"AET","03/24/2015",109.42,109.6,108.6,108.74,105.7202,2261800
"AET","03/23/2015",108.5,109.9,108.45,109.26,106.2258,2900900
"AET","03/20/2015",108.7,109.12,107.94,108.63,105.6133,2457400
"AET","03/19/2015",108,108.97,107.25,108.31,105.3022,2449000
"AET","03/18/2015",105.33,107.87,105.13,107.48,104.4952,2766700
"AET","03/17/2015",105.22,105.5,104.36,105.4,102.473,2401300
"AET","03/16/2015",104.74,106.75,104.5,106.07,103.1244,2827800
"AET","03/13/2015",102,104.2,101.32,104.09,101.1993,2992600
"AET","03/12/2015",100.8,102.35,100.57,102.12,99.28407,2286200
"AET","03/11/2015",100.29,100.94,99.85,100.04,97.26183,1627200
"AET","03/10/2015",100.4,100.76,99.55,100.16,97.3785,2304500
"AET","03/09/2015",100.62,101.74,100.6,101.53,98.71046,1330200
"AET","03/06/2015",101.77,101.9,100.29,100.67,97.87433,2293900
"AET","03/05/2015",101.73,102.63,101.37,102.09,99.2549,2967300
"AET","03/04/2015",99.44,102,98.78,101.75,98.92435,4275200
"AET","03/03/2015",100.17,100.33,99.03,99.79,97.01878,3398200
"AET","03/02/2015",99.55,100.8,99.47,100.5,97.70905,2529300
"AET","02/27/2015",99.39,99.92,99.1,99.55,96.78545,2486000
"AET","02/26/2015",99.46,99.92,99.08,99.31,96.55209,1171500
"AET","02/25/2015",100.27,100.48,99.22,99.52,96.75627,1435600
"AET","02/24/2015",100.86,101.98,100.06,100.17,97.38822,2146200
"AET","02/23/2015",98,100.76,98,100.68,97.88406,2587400
"AET","02/20/2015",96.4,98.12,96.2,97.92,95.2007,1705500
"AET","02/19/2015",96.77,97.49,96.22,96.64,93.95625,1214500
"AET","02/18/2015",96.27,96.96,95.61,96.89,94.19932,2188700
"AET","02/17/2015",96.09,96.62,95.59,96.62,93.93681,1515600
"AET","02/13/2015",96.58,96.89,95.82,96.12,93.45069,1504600
"AET","02/12/2015",97.16,97.16,95.99,97.08,94.38404,1513800
"AET","02/11/2015",95.49,96.75,95.38,96.46,93.78125,1841000
"AET","02/10/2015",94.15,95.95,94.04,95.75,93.09096,1900600
"AET","02/09/2015",94.18,94.6,93.38,93.74,91.13678,1696000
"AET","02/06/2015",96.34,96.79,94.16,94.54,91.91456,3540700
"AET","02/05/2015",96.13,97.71,96.01,96.59,93.90763,3461400
"AET","02/04/2015",93.76,96.9,93,96.05,93.38264,3873300
"AET","02/03/2015",93.01,94.27,91.83,94.18,91.56455,2561700
"AET","02/02/2015",92.01,92.91,90.2,92.22,89.659,2817600
"AET","01/30/2015",92.97,93.6,91.64,91.82,89.27009,2048600
"AET","01/29/2015",92.95,93.78,91.95,93.61,91.01039,1347700
"AET","01/28/2015",94.48,94.71,92.56,92.69,90.11594,2094900
"AET","01/27/2015",93.61,94.3,93.16,93.7,91.09789,1520800
"AET","01/26/2015",94.25,94.58,93.32,94.24,91.62289,1821700
"AET","01/23/2015",95.94,96.25,94.44,94.48,91.85623,2000200
"AET","01/22/2015",95.52,96.15,94.03,96.11,93.44097,2257800
"AET","01/21/2015",92.79,95.08,91.98,94.74,92.10901,2762400
"AET","01/20/2015",92.65,92.9,91.19,91.98,89.42567,2337300
"AET","01/16/2015",90.47,92.64,90.28,92.56,89.98956,2982200
"AET","01/15/2015",90.61,91.11,90,90.5,87.98676,2415700
"AET","01/14/2015",89.5,90.9,88.7,89.89,87.3937,2807300
"AET","01/13/2015",90.48,92.03,89.58,90.33,87.82148,3302200
"AET","01/13/2015",0,0,0,0,0,0
"AET","01/12/2015",91.4,91.61,89.17,89.52,86.79092,3646300
"AET","01/09/2015",92.03,92.48,91,91.04,88.26458,1915900
"AET","01/08/2015",90.29,92.53,90.29,92.39,89.57343,2881600
"AET","01/07/2015",88.42,89.55,88.26,89.49,86.76183,2148500
"AET","01/06/2015",88.01,88.73,87.48,87.73,85.05548,2976900
"AET","01/05/2015",88.14,88.83,87.25,87.6,84.92944,2343100
"AET","01/02/2015",89.71,90.15,87.87,88.8,86.09286,1406600
