"symbol","date","open","high","low","close","adjclose","volume"
"ALL","12/31/2015",62.62,62.77,62.07,62.09,59.88565,1573600
"ALL","12/30/2015",63.15,63.34,62.77,62.81,60.58009,1523000
"ALL","12/29/2015",63.09,63.49,62.86,63.19,60.9466,1495600
"ALL","12/28/2015",63.01,63.06,62.33,62.64,60.41613,1832400
"ALL","12/24/2015",62.83,63.45,62.68,63.14,60.89837,1298700
"ALL","12/23/2015",62.68,63.02,62.68,62.89,60.65725,1916300
"ALL","12/22/2015",61.71,62.67,61.25,62.5,60.28109,2200400
"ALL","12/21/2015",61.56,61.9,60.94,61.3,59.1237,3117400
"ALL","12/18/2015",62.11,62.11,60.76,61.33,59.15263,6688800
"ALL","12/17/2015",63.41,63.41,62.37,62.37,60.15571,2161600
"ALL","12/16/2015",63.28,63.5,62.53,63.38,61.12985,2177700
"ALL","12/15/2015",61.79,63,61.72,62.7,60.47399,3020400
"ALL","12/14/2015",61.58,62.12,60.92,61.39,59.2105,2348400
"ALL","12/11/2015",61.69,62.12,61.18,61.47,59.28767,2120700
"ALL","12/10/2015",62.91,63.08,62.3,62.48,60.2618,2417100
"ALL","12/09/2015",63.5,64.08,62.73,62.9,60.66689,2561200
"ALL","12/08/2015",64.37,64.38,63.67,63.86,61.59281,2433600
"ALL","12/07/2015",64.35,64.69,64.19,64.39,62.104,2675500
"ALL","12/04/2015",62.97,64.58,62.96,64.49,62.20044,2647500
"ALL","12/03/2015",62.95,63.27,62.49,62.77,60.54151,3197900
"ALL","12/02/2015",63.55,63.67,62.81,62.89,60.65725,2680900
"ALL","12/01/2015",63.34,64.23,63.26,63.5,61.24559,3411300
"ALL","11/30/2015",62.97,63.15,62.55,62.76,60.53186,3012500
"ALL","11/27/2015",62.54,62.91,62.44,62.84,60.60902,821500
"ALL","11/25/2015",62.82,62.94,62.35,62.43,60.21358,1745400
"ALL","11/25/2015",0,0,0,0,0,0
"ALL","11/24/2015",62.79,63.16,62.55,62.94,60.41612,1621900
"ALL","11/23/2015",63.35,63.4,62.96,63.11,60.5793,2201000
"ALL","11/20/2015",63.3,63.92,63.16,63.34,60.80008,3077700
"ALL","11/19/2015",63.49,63.62,63.21,63.37,60.82888,1659600
"ALL","11/18/2015",62.75,63.62,62.75,63.5,60.95367,2085900
"ALL","11/17/2015",63.13,63.48,62.65,62.71,60.19534,2153600
"ALL","11/16/2015",62.23,63.12,62.08,63.12,60.5889,2566900
"ALL","11/13/2015",62.54,62.83,62.24,62.41,59.90737,2312100
"ALL","11/12/2015",62.43,62.88,62.28,62.55,60.04176,3045900
"ALL","11/11/2015",63.52,63.54,63.01,63.12,60.5889,1451000
"ALL","11/10/2015",63.49,63.64,63.12,63.32,60.78089,1813000
"ALL","11/09/2015",64.03,64.05,63.21,63.52,60.97286,2454000
"ALL","11/06/2015",63.99,64.5,63.42,64.07,61.5008,3067600
"ALL","11/05/2015",62.96,63.72,62.9,63.55,61.00166,3230800
"ALL","11/04/2015",63.1,63.31,62.23,62.89,60.36812,3656400
"ALL","11/03/2015",62.92,63.36,61.64,63.16,60.62731,6269100
"ALL","11/02/2015",62.1,62.33,61.45,61.8,59.32183,5335900
"ALL","10/30/2015",62.84,62.94,61.85,61.88,59.39863,3913500
"ALL","10/29/2015",62.16,62.93,62.07,62.79,60.27214,2700800
"ALL","10/28/2015",60.61,62.31,60.47,62.31,59.81139,3851200
"ALL","10/27/2015",61.39,61.59,60.21,60.29,57.87239,4572700
"ALL","10/26/2015",61.83,62.09,61.59,61.82,59.34103,2260400
"ALL","10/23/2015",61.92,62,61.49,61.68,59.20665,3194400
"ALL","10/22/2015",61,61.64,60.62,61.55,59.08186,2836200
"ALL","10/21/2015",61.64,61.97,60.58,60.65,58.21795,4371300
"ALL","10/20/2015",61.64,62.22,61.38,61.44,58.97627,3168100
"ALL","10/19/2015",61.03,61.65,60.8,61.59,59.12025,2427200
"ALL","10/16/2015",61.44,61.51,60.66,61.2,58.7459,3285000
"ALL","10/15/2015",60.43,61.69,60.27,61.59,59.12025,2906600
"ALL","10/14/2015",60.5,60.6,59.78,59.86,57.45963,2427000
"ALL","10/13/2015",60.73,61.14,60.62,60.64,58.20834,1649800
"ALL","10/12/2015",60.54,61.14,60.44,60.91,58.46753,1401800
"ALL","10/09/2015",61.17,61.33,60.31,60.44,58.01637,2438200
"ALL","10/08/2015",59.88,61.23,59.74,61.12,58.66911,2474000
"ALL","10/07/2015",60.2,60.7,59.82,60.04,57.63241,2419300
"ALL","10/06/2015",59.74,60.27,59.59,59.88,57.47882,2154800
"ALL","10/05/2015",59.46,60.14,59.42,59.9,57.49802,2173200
"ALL","10/02/2015",57.14,59.15,56.97,59.15,56.7781,3170700
"ALL","10/01/2015",58.25,58.44,57.33,57.97,55.64541,3856200
"ALL","09/30/2015",58.87,58.97,57.79,58.24,55.90459,3891200
"ALL","09/29/2015",57.73,58.44,57.47,58.36,56.01978,3909600
