"symbol","date","open","high","low","close","adjclose","volume"
"ARNC","12/31/2015",22.19638,22.44376,22.06145,22.19638,21.77132,13362400
"ARNC","12/30/2015",22.35381,22.55621,22.15141,22.39878,21.96984,23528300
"ARNC","12/29/2015",22.73613,23.09595,22.48876,22.78111,22.34484,5974800
"ARNC","12/28/2015",22.48874,22.51123,22.06145,22.44376,22.01396,15591600
"ARNC","12/24/2015",22.84856,23.00598,22.66865,22.7586,22.32277,11794700
"ARNC","12/23/2015",21.81408,22.98349,21.7691,22.91603,22.47717,39077900
"ARNC","12/22/2015",21.02697,21.52172,20.82457,21.49924,21.08752,19438800
"ARNC","12/21/2015",21.02697,21.20688,20.75711,20.95951,20.55812,24995300
"ARNC","12/18/2015",20.59968,21.1619,20.53222,20.75711,20.3596,32459700
"ARNC","12/17/2015",20.68966,20.77961,20.32984,20.57721,20.18315,9608100
"ARNC","12/16/2015",20.75712,20.84708,20.3973,20.77961,20.38167,11382200
"ARNC","12/15/2015",20.46477,21.0045,20.41979,20.50974,20.11698,12419800
"ARNC","12/14/2015",19.88004,20.35231,19.52023,20.23986,19.85226,36097900
"ARNC","12/11/2015",20.19489,20.28484,19.67765,19.92502,19.54345,31180200
"ARNC","12/10/2015",19.76762,21.0045,19.65517,20.62219,20.22727,16211800
"ARNC","12/09/2015",19.4078,19.76762,19.11544,19.65517,19.27877,12536900
"ARNC","12/08/2015",19.81259,19.83508,19.11544,19.16042,18.79349,21742500
"ARNC","12/07/2015",21.27436,21.29685,20.12744,20.32984,19.94051,16650300
"ARNC","12/04/2015",20.30735,21.09445,20.23988,21.0045,20.60225,13125800
"ARNC","12/03/2015",21.04947,21.13943,20.03748,20.21739,19.83022,10370700
"ARNC","12/02/2015",21.18441,21.52174,20.93703,21.02699,20.62431,11385800
"ARNC","12/01/2015",21.27436,21.5892,21.16192,21.31934,20.91107,11359800
"ARNC","11/30/2015",20.98201,21.38681,20.93703,21.04947,20.64637,10705200
"ARNC","11/27/2015",20.95952,21.27436,20.91454,20.95952,20.55814,4375900
"ARNC","11/25/2015",20.35232,21.25187,20.30735,21.16192,20.75666,11411900
"ARNC","11/24/2015",20.3973,20.68966,20.17241,20.44228,20.0508,11999800
"ARNC","11/23/2015",20.35232,20.77961,19.94753,20.3973,20.00669,19663500
"ARNC","11/20/2015",19.81259,20.01499,19.31784,19.54273,19.16848,11057200
"ARNC","11/19/2015",19.13793,19.74513,19.11544,19.70015,19.32288,14459400
"ARNC","11/18/2015",18.68816,18.91304,18.48576,18.91304,18.55085,10575800
"ARNC","11/17/2015",18.73313,19.02549,18.53074,18.5982,18.24204,15413300
"ARNC","11/16/2015",17.92354,18.71064,17.90105,18.64318,18.28616,15002400
"ARNC","11/13/2015",17.65367,18.12594,17.58621,17.96852,17.62441,11657600
"ARNC","11/12/2015",17.991,17.991,17.56372,17.58621,17.24943,17423100
"ARNC","11/11/2015",18.84558,19.04798,18.17091,18.17091,17.82294,14946100
"ARNC","11/10/2015",19.34033,19.36282,18.75562,18.77811,18.4185,12597300
"ARNC","11/09/2015",20.17241,20.23988,19.11544,19.36282,18.99201,19333700
"ARNC","11/06/2015",20.48726,20.64468,20.1949,20.44228,20.0508,10387100
"ARNC","11/05/2015",20.84708,20.95952,20.37481,20.68966,20.29344,10016700
"ARNC","11/04/2015",21.25186,21.38679,20.84706,21.09444,20.69047,22118500
"ARNC","11/04/2015",0,0,0,0,0,0
"ARNC","11/03/2015",20.68964,21.54421,20.66715,21.09444,20.66105,25614000
"ARNC","11/02/2015",20.12744,20.77961,20.08246,20.62219,20.1985,13331800
"ARNC","10/30/2015",20.17241,20.37481,19.94753,20.08246,19.66986,15538600
"ARNC","10/29/2015",20.01498,20.26235,19.83507,20.12742,19.71389,29417800
