"symbol","date","open","high","low","close","adjclose","volume"
"ATVI","12/31/2015",39.24,39.38,38.52,38.71,38.16387,5023600
"ATVI","12/30/2015",39.57,39.74,39.35,39.43,38.87372,2852700
"ATVI","12/29/2015",39.34,39.93,39.23,39.58,39.0216,4996800
"ATVI","12/28/2015",38.76,39.03,38.26,39.03,38.47936,3299400
"ATVI","12/24/2015",38.94,39.11,38.53,38.92,38.37091,1927400
"ATVI","12/23/2015",39.38,39.45,37.6,38.84,38.29204,5419200
"ATVI","12/22/2015",39.56,39.78,38.79,39.21,38.65682,4114200
"ATVI","12/21/2015",38.86,39.29,38.1,38.74,38.19345,5771100
"ATVI","12/18/2015",38.47,39.13,38.31,38.47,37.92726,12539000
"ATVI","12/17/2015",39.36,39.8,38.85,38.87,38.32162,7383300
"ATVI","12/16/2015",38.94,39.43,38.14,39.21,38.65682,6277300
"ATVI","12/15/2015",38.33,39.55,38.24,38.71,38.16387,7958900
"ATVI","12/14/2015",37.27,38,36.89,37.96,37.42445,5666400
"ATVI","12/11/2015",37.76,38.26,36.76,37.22,36.6949,10795300
"ATVI","12/10/2015",38.71,38.82,38.08,38.38,37.83853,5204400
"ATVI","12/09/2015",39.2,39.35,37.86,38.59,38.04557,7247800
"ATVI","12/08/2015",38.33,39.46,38.13,39.36,38.80471,5634200
"ATVI","12/07/2015",38.92,39.03,38.39,38.69,38.14416,6738400
"ATVI","12/04/2015",37.56,38.98,37.54,38.89,38.34134,5040600
"ATVI","12/03/2015",38.63,38.93,37.36,37.62,37.08925,7660800
"ATVI","12/02/2015",38.57,39,38.28,38.38,37.83853,5560600
"ATVI","12/01/2015",37.86,38.76,37.85,38.57,38.02585,8410300
"ATVI","11/30/2015",37.45,37.68,36.69,37.66,37.12869,7971400
"ATVI","11/27/2015",37.2,37.4,37.15,37.24,36.71461,1369100
"ATVI","11/25/2015",37.02,37.46,36.75,37.23,36.70475,4218100
"ATVI","11/24/2015",37.18,37.28,36.51,36.84,36.32026,5809900
"ATVI","11/23/2015",37.32,37.58,36.53,37.35,36.82306,8400800
"ATVI","11/20/2015",37.1,38.03,36.61,37.51,36.9808,8262200
"ATVI","11/19/2015",37,37.57,36.92,37.01,36.48786,5263900
"ATVI","11/18/2015",36.23,36.95,35.82,36.87,36.34983,8259300
"ATVI","11/17/2015",34.97,36.24,34.85,36.12,35.61041,9977800
"ATVI","11/16/2015",34.49,35.1,33.78,34.95,34.45692,8677200
"ATVI","11/13/2015",34.78,35.01,34.18,34.59,34.102,6818400
"ATVI","11/12/2015",34.61,35.51,34.61,35.01,34.51608,9767300
"ATVI","11/11/2015",34.35,34.89,33.58,34.57,34.08228,8541700
"ATVI","11/10/2015",33.85,33.95,33.32,33.86,33.3823,8898400
"ATVI","11/09/2015",35.3,35.87,33.71,34.05,33.56962,15949100
"ATVI","11/06/2015",37.77,37.77,34.85,35,34.50622,20663200
"ATVI","11/05/2015",37.45,37.86,36.76,37.36,36.83292,10398100
"ATVI","11/04/2015",36.15,37.56,36.01,36.99,36.46814,17822500
"ATVI","11/03/2015",33.35,37.8,32.39,35.82,35.31465,43548400
"ATVI","11/02/2015",34.25,34.86,33.83,34.57,34.08228,7385300
"ATVI","10/30/2015",34.84,35.2,34.2,34.76,34.2696,8679000
"ATVI","10/29/2015",35.2,35.39,34.52,34.99,34.49636,5628100
"ATVI","10/28/2015",35,35.41,34.8,35.28,34.78226,6129800
