"symbol","date","open","high","low","close","adjclose","volume"
"AVY","12/31/2015",63.2,63.67,62.63,62.66,60.11782,562900
"AVY","12/30/2015",63.22,63.89,62.98,63.34,60.77023,891100
"AVY","12/29/2015",64.47,64.47,63.23,63.59,61.01008,673700
"AVY","12/28/2015",63.7,64.2,63.3,63.99,61.39386,289800
"AVY","12/24/2015",63.98,64.33,63.53,64.06,61.46101,193500
"AVY","12/23/2015",63.44,63.96,62.96,63.94,61.34588,622300
"AVY","12/22/2015",63.01,63.28,62.32,63.07,60.51118,472600
"AVY","12/21/2015",62.67,63.35,62.43,62.9,60.34808,481200
"AVY","12/18/2015",62.9,63.32,61.99,62.06,59.54216,1335300
"AVY","12/17/2015",64.51,64.64,63.06,63.07,60.51118,670200
"AVY","12/16/2015",63.72,64.71,63.54,64.56,61.94073,763100
"AVY","12/15/2015",63.44,63.65,62.79,63.3,60.73186,1017200
"AVY","12/14/2015",63.08,63.82,62.48,62.82,60.27133,696600
"AVY","12/11/2015",63,63.75,62.79,62.94,60.38646,584700
"AVY","12/10/2015",63.8,64.43,63.63,63.7,61.11563,644300
"AVY","12/09/2015",64.17,64.96,63.19,63.62,61.03887,739700
"AVY","12/08/2015",64.38,64.94,63.92,64.23,61.62412,702600
"AVY","12/07/2015",65.17,65.94,64.71,65.09,62.44923,852900
"AVY","12/04/2015",64.25,65.75,64.07,65.56,62.90016,870800
"AVY","12/03/2015",65.44,65.58,63.48,64,61.40346,1183800
"AVY","12/02/2015",66.04,66.55,65.24,65.31,62.66031,651900
"AVY","12/01/2015",66.06,66.64,65.82,66.18,63.495,689600
"AVY","11/30/2015",65.85,66.34,65.44,65.96,63.28393,890100
"AVY","11/30/2015",0,0,0,0,0,0
"AVY","11/27/2015",66.06,66.44,65.58,66.17,63.13044,325700
"AVY","11/25/2015",66.1,66.4,65.58,66.17,63.13044,387800
"AVY","11/24/2015",65.29,66.19,64.94,66.11,63.07318,702900
"AVY","11/23/2015",65.85,66.42,65.42,65.71,62.69156,584500
"AVY","11/20/2015",66.28,66.65,65.73,65.95,62.92052,567800
"AVY","11/19/2015",65.44,66.2,65.12,66,62.96823,701300
"AVY","11/18/2015",63.63,65.47,63.61,65.38,62.37672,888100
"AVY","11/17/2015",63.53,64.16,63.18,63.58,60.6594,609900
