"symbol","date","open","high","low","close","adjclose","volume"
"BWA","12/31/2015",43.7,44.1,43.22,43.23,42.0045,1046900
"BWA","12/30/2015",43.91,44.3,43.8,43.92,42.67494,1030600
"BWA","12/29/2015",43.66,44.35,43.46,44.04,42.79154,1163400
"BWA","12/28/2015",43.35,43.64,42.78,43.39,42.15997,1146400
"BWA","12/24/2015",43.59,43.96,43.44,43.51,42.27657,610200
"BWA","12/23/2015",42.43,43.79,42.34,43.57,42.33487,1541400
"BWA","12/22/2015",41.77,42.41,41.59,42.13,40.93568,1055300
"BWA","12/21/2015",41.21,41.79,41.12,41.58,40.40128,1574300
"BWA","12/18/2015",40.85,41.08,40.48,40.82,39.66283,3094500
"BWA","12/17/2015",42.05,42.15,41.07,41.07,39.90574,1128700
"BWA","12/16/2015",41.26,42.21,40.89,42.12,40.92597,1793900
"BWA","12/15/2015",40.24,41.2,40.14,40.78,39.62395,1592500
"BWA","12/14/2015",39.87,40.13,39.53,39.97,38.83692,1489400
"BWA","12/11/2015",40.54,40.58,39.67,39.82,38.69117,1457800
"BWA","12/10/2015",41.25,41.65,40.98,41.12,39.95432,1134900
"BWA","12/09/2015",41.11,42.03,40.81,41.27,40.10007,1465400
"BWA","12/08/2015",42.3,42.3,41.22,41.29,40.1195,1639900
"BWA","12/07/2015",43.14,43.14,42.29,42.76,41.54782,2175400
"BWA","12/04/2015",42.32,43.56,42.17,43.3,42.07252,1883100
"BWA","12/03/2015",42.9,43,41.97,42.23,41.03285,1607300
"BWA","12/02/2015",43.42,43.58,42.71,42.78,41.56726,2076900
"BWA","12/01/2015",42.81,43.48,42.28,43.42,42.18911,2506600
"BWA","11/30/2015",43,43.05,42.21,42.69,41.47981,1662700
"BWA","11/27/2015",42.95,43.2,42.56,42.78,41.56726,622500
"BWA","11/27/2015",0,0,0,0,0,0
"BWA","11/25/2015",43.07,43.45,42.88,42.99,41.64499,896500
"BWA","11/24/2015",42.72,43.27,42.71,43.08,41.73218,2020700
"BWA","11/23/2015",43.12,43.48,42.88,43.05,41.70311,1579700
"BWA","11/20/2015",42.61,43.47,42.61,43.22,41.8678,2404500
"BWA","11/19/2015",42.72,42.89,42.12,42.38,41.05408,1840300
"BWA","11/18/2015",41.74,42.98,41.61,42.63,41.29626,3557500
"BWA","11/17/2015",40.57,41.19,40.32,40.64,39.36852,2007500
"BWA","11/16/2015",39.8,40.6,39.71,40.56,39.29102,2463500
"BWA","11/13/2015",40.71,40.9,39.74,39.87,38.6226,1982400
"BWA","11/12/2015",41.26,41.46,40.83,40.86,39.58164,2235700
"BWA","11/11/2015",42.2,42.28,41.43,41.47,40.17255,1775600
"BWA","11/10/2015",42.05,42.48,41.83,42.05,40.7344,1948100
"BWA","11/09/2015",41.57,42.34,41.31,42.27,40.94752,2426600
"BWA","11/06/2015",42.05,42.37,41.14,41.69,40.38567,2412500
"BWA","11/05/2015",42.33,42.9,41.95,42.3,40.97658,1807000
"BWA","11/04/2015",42.92,43,42.07,42.5,41.17032,2290400
"BWA","11/03/2015",42.73,43.13,42.31,42.81,41.47062,4459000
"BWA","11/02/2015",42.78,43.07,42.19,42.8,41.46093,2194700
"BWA","10/30/2015",41.22,42.98,39.8,42.82,41.48031,6035000
"BWA","10/29/2015",46.81,48.64,41.49,41.57,40.26942,6479200
"BWA","10/28/2015",43.96,45.79,43.68,45.53,44.10552,3601800
"BWA","10/27/2015",44.14,44.47,43.29,43.68,42.3134,2369900
"BWA","10/26/2015",43.52,44.84,43.41,44.61,43.21431,3272900
"BWA","10/23/2015",42.6,43.97,42.41,43.66,42.29403,3919900
"BWA","10/22/2015",42.34,42.67,41.92,42.26,40.93783,5330500
"BWA","10/21/2015",43.47,43.78,42.8,42.88,41.53843,918000
"BWA","10/20/2015",42.79,43.78,42.46,43.11,41.76124,1657700
"BWA","10/19/2015",42.29,42.91,41.78,42.79,41.45125,2936700
"BWA","10/16/2015",44.05,44.05,43.19,43.64,42.27465,1858500
"BWA","10/15/2015",44.22,44.22,43.12,44.02,42.64276,1138600
"BWA","10/14/2015",43.51,43.51,42.63,43.39,42.03247,2461500
"BWA","10/13/2015",44.58,44.58,43.47,43.49,42.12935,2190200
"BWA","10/12/2015",45.17,45.4,44.55,44.84,43.43711,1519000
"BWA","10/09/2015",45.24,45.85,45.12,45.19,43.77616,2644800
"BWA","10/08/2015",44.51,45.08,44.33,44.94,43.53398,2102400
"BWA","10/07/2015",43.8,45.05,43.78,44.8,43.39837,2909600
"BWA","10/06/2015",43.15,43.66,42.89,43.5,42.13903,1828900
"BWA","10/05/2015",42.42,43.39,42.42,43.21,41.85811,1685800
"BWA","10/02/2015",40.97,42.28,40.96,42.24,40.91846,1929200
"BWA","10/01/2015",41.78,42.31,40.75,41.73,40.42441,2648100
"BWA","09/30/2015",41.2,42.16,41,41.59,40.2888,3035600
"BWA","09/29/2015",40,40.47,39.41,40.42,39.15539,3832300
"BWA","09/28/2015",39.64,39.98,39.28,39.82,38.57417,3970000
"BWA","09/25/2015",39.37,40.06,39.14,40,38.74854,3871300
"BWA","09/24/2015",38.15,39.07,37.33,38.89,37.67326,4483400
"BWA","09/23/2015",39.37,39.72,38.61,38.98,37.76045,3855100
"BWA","09/22/2015",41.15,41.38,38.95,39.37,38.13825,8470500
"BWA","09/21/2015",41.73,42.81,40.9,42.61,41.27688,5128900
"BWA","09/18/2015",43.79,43.84,42.82,42.95,41.60625,2642200
"BWA","09/17/2015",44.46,45.28,44.23,44.4,43.01087,1716000
"BWA","09/16/2015",43.57,44.73,43.48,44.63,43.23368,1599000
"BWA","09/15/2015",43.22,43.64,43.01,43.5,42.13903,1063100
"BWA","09/14/2015",43.17,43.32,42.77,43.1,41.75155,1272500
"BWA","09/11/2015",43.12,43.26,42.45,43.17,41.81936,1949900
"BWA","09/10/2015",43.79,43.91,43.31,43.74,42.37152,2051700
"BWA","09/09/2015",44.5,45.17,43.85,43.98,42.60402,3284200
"BWA","09/08/2015",43.46,44,43.3,43.93,42.55558,1941700
"BWA","09/04/2015",42.12,42.71,42.08,42.56,41.22844,2462500
"BWA","09/03/2015",42.92,43.66,42.55,42.96,41.61593,1700400
"BWA","09/02/2015",42.95,43.31,42.4,42.92,41.57718,2041900
"BWA","09/01/2015",42.78,43.2,42.29,42.47,41.14126,3059900
"BWA","08/31/2015",44.02,44.44,43.59,43.64,42.27465,2386500
"BWA","08/28/2015",43.5,44.33,43.38,44.31,42.92369,2695500
"BWA","08/28/2015",0,0,0,0,0,0
"BWA","08/27/2015",44.36,44.95,43.41,44.22,42.71057,3088700
"BWA","08/26/2015",44.39,44.45,42.94,44.06,42.55604,2063700
"BWA","08/25/2015",44.98,45.38,43.12,43.14,41.66744,3544000
"BWA","08/24/2015",41.77,44.67,41.74,43.37,41.88959,4659700
"BWA","08/21/2015",44.84,45.19,44.07,44.22,42.71057,3721900
"BWA","08/20/2015",45.99,46.2,45.28,45.3,43.75371,3230400
"BWA","08/19/2015",47,47.69,46.26,46.49,44.9031,2578000
"BWA","08/18/2015",47.45,47.65,46.89,47.15,45.54057,2354300
"BWA","08/17/2015",46.29,46.79,46.05,46.79,45.19285,1187800
"BWA","08/14/2015",46.39,46.55,46.13,46.37,44.78719,2015600
"BWA","08/13/2015",46.97,47.04,46.14,46.38,44.79684,2500100
"BWA","08/12/2015",45.8,46.97,45.09,46.78,45.18319,3522000
"BWA","08/11/2015",47.48,47.48,46.24,46.6,45.00933,2416900
"BWA","08/10/2015",48.4,48.7,47.98,48.39,46.73823,2334600
"BWA","08/07/2015",47.84,48.59,47.54,47.86,46.22633,1580300
"BWA","08/06/2015",47.81,48.31,47.31,47.68,46.05247,3265700
"BWA","08/05/2015",48.79,49,47.62,47.76,46.12973,2662900
"BWA","08/04/2015",48.94,49.43,48.35,48.44,46.78653,1824900
"BWA","08/03/2015",49.76,49.84,48.61,48.98,47.3081,2029100
"BWA","07/31/2015",49.95,50.51,49.21,49.71,48.01318,3452700
"BWA","07/30/2015",47.75,49.98,46.5,49.85,48.1484,7329900
