"symbol","date","open","high","low","close","adjclose","volume"
"CAH","12/31/2015",89.42,90.55,89.25,89.27,85.68888,1059900
"CAH","12/30/2015",90.47,90.81,90.19,90.54,86.90793,1021200
"CAH","12/30/2015",0,0,0,0,0,0
"CAH","12/29/2015",90.7,91.23,90.63,90.85,86.83402,1193400
"CAH","12/28/2015",89.44,90.81,89.24,90.49,86.48993,1532100
"CAH","12/24/2015",89.48,90,89.27,89.71,85.74442,453900
"CAH","12/23/2015",89.32,89.94,89.08,89.65,85.68707,1348000
"CAH","12/22/2015",88.5,89.08,87.55,88.87,84.94154,1108300
"CAH","12/21/2015",87.31,88.09,86.75,88.05,84.15781,1309800
"CAH","12/18/2015",87.54,87.93,86.61,86.61,82.78146,2641700
"CAH","12/17/2015",88.99,89.55,87.94,87.96,84.07177,1647600
"CAH","12/16/2015",87.47,88.31,86.73,88.22,84.32028,1447000
"CAH","12/15/2015",87.01,88.09,86.46,86.68,82.84835,1974100
"CAH","12/14/2015",86.06,86.57,85.34,86.52,82.69542,1981100
"CAH","12/11/2015",86.14,86.97,85.89,85.9,82.10284,2527900
"CAH","12/10/2015",87.66,88.05,86.87,87.14,83.28802,1858900
"CAH","12/09/2015",87.96,88.84,86.91,87.51,83.64166,1586700
"CAH","12/08/2015",88.09,88.79,87.68,88.55,84.63569,1377900
"CAH","12/07/2015",88.29,88.86,88.08,88.74,84.8173,1761100
"CAH","12/04/2015",86.76,88.56,86.73,88.44,84.53056,1589500
"CAH","12/03/2015",87.46,87.61,85.64,86.3,82.48515,2408900
"CAH","12/02/2015",88.6,88.88,86.87,87.29,83.43139,2037800
"CAH","12/01/2015",87.39,88.94,87.26,88.91,84.97979,2345600
"CAH","11/30/2015",87.39,87.88,86.8,86.85,83.01083,1929200
"CAH","11/27/2015",87.07,87.7,86.74,87.29,83.43139,517900
"CAH","11/25/2015",86.99,87.18,86.56,86.98,83.13509,1458000
"CAH","11/24/2015",86.91,87.35,86.6,86.76,82.92482,1481600
"CAH","11/23/2015",87.74,88.21,87.06,87.33,83.46962,1129200
"CAH","11/20/2015",87.82,88.07,87.23,87.59,83.71812,2400100
"CAH","11/19/2015",88.59,88.62,87.07,87.36,83.4983,1630000
"CAH","11/18/2015",87.01,88.69,86.73,88.6,84.68346,1834100
"CAH","11/17/2015",86.29,87.02,86.19,86.72,82.88658,1554900
"CAH","11/16/2015",85.4,86.24,85.18,86.19,82.38002,2168300
"CAH","11/13/2015",85.36,86,85,85.5,81.72051,2321300
"CAH","11/12/2015",86.96,86.96,85.41,85.49,81.71095,1610600
"CAH","11/11/2015",88.14,88.14,86.86,87.22,83.36448,1955400
"CAH","11/10/2015",87.67,88.17,87.25,88.03,84.13868,1564900
"CAH","11/09/2015",88.09,88.35,86.73,87.67,83.79459,2044700
"CAH","11/06/2015",88.04,88.52,87.2,88.5,84.58791,2128700
"CAH","11/05/2015",86.75,88.32,86.42,88.2,84.30116,2396600
"CAH","11/04/2015",86.68,86.8,85.58,86.58,82.75277,2360600
"CAH","11/03/2015",85.79,86.41,84.8,86.37,82.55207,2422600
"CAH","11/02/2015",86.26,86.74,84.96,86.15,82.34178,4097300
"CAH","10/30/2015",82.97,83.54,82.17,82.2,78.56639,2599900
"CAH","10/29/2015",82.8,83.32,81.8,83.01,79.34059,2315100
"CAH","10/28/2015",82.05,82.85,81.29,82.83,79.16855,2028600
"CAH","10/27/2015",80.7,82.13,80.35,82.09,78.46125,3167500
"CAH","10/26/2015",79.99,81.11,79.34,80.81,77.23784,2147000
"CAH","10/23/2015",78.25,80.54,78.25,80.14,76.59746,2323500
"CAH","10/22/2015",78.35,78.9,76.71,77.75,74.3131,3137400
"CAH","10/21/2015",79.25,79.48,77.28,78.03,74.58073,3416100
"CAH","10/20/2015",80.12,80.41,78.63,78.73,75.24978,1717100
"CAH","10/19/2015",80.04,80.36,79.55,80.2,76.65479,1566900
"CAH","10/16/2015",79.22,80.3,79.17,80.13,76.58788,2679700
"CAH","10/15/2015",78.79,79.26,78.17,79.14,75.64166,2928600
"CAH","10/14/2015",79.95,80.51,78.52,78.61,75.13509,1780700
"CAH","10/13/2015",79.91,81.04,79.61,80.08,76.5401,2887600
"CAH","10/12/2015",78.59,80.09,78.59,80.08,76.5401,1779600
"CAH","10/09/2015",77.79,78.81,77.5,78.67,75.19244,2615200
"CAH","10/08/2015",77.53,78.22,76.94,77.7,74.2653,2467200
"CAH","10/07/2015",78.42,78.63,77.27,77.55,74.12195,3044600
"CAH","10/06/2015",79.49,79.77,77.38,78.11,74.65719,2085500
"CAH","10/05/2015",79.44,79.69,78.34,79.55,76.03353,3372000
"CAH","10/02/2015",76.12,78.65,75.52,78.62,75.14465,2742100
"CAH","10/01/2015",77.03,77.23,75.82,77.12,73.71096,2212700
"CAH","09/30/2015",77.63,78.16,76.11,76.82,73.42421,2100900
"CAH","09/29/2015",76.95,78.36,76.25,76.72,73.32862,2796200
"CAH","09/29/2015",0,0,0,0,0,0
"CAH","09/28/2015",79.36,79.67,76.28,77.12,73.34106,2622700
"CAH","09/25/2015",82.15,82.15,79,79.51,75.61395,1893500
"CAH","09/24/2015",81.53,81.67,80.27,81.43,77.43987,2125600
"CAH","09/23/2015",81.93,82.62,81.5,82.04,78.01997,1754500
"CAH","09/22/2015",82.18,82.18,80.44,81.5,77.50642,2445000
"CAH","09/21/2015",84.25,84.89,82.81,83,78.93293,2066000
"CAH","09/18/2015",83.95,84.43,83.34,83.63,79.53207,2688200
"CAH","09/17/2015",85.51,85.78,84.51,84.77,80.6162,2101800
"CAH","09/16/2015",85.12,85.56,84.63,85.36,81.1773,2220900
"CAH","09/15/2015",84.48,85.38,84.17,85.08,80.911,1894100
"CAH","09/14/2015",85.09,85.22,84.01,84.31,80.17874,1953800
"CAH","09/11/2015",82.79,85.04,82.52,85.01,80.84444,3073500
"CAH","09/10/2015",81.17,83.33,80.83,83.01,78.94244,2617700
"CAH","09/09/2015",83.07,83.26,81.02,81.24,77.25916,2372400
"CAH","09/08/2015",81.87,82.32,81.06,82.25,78.21968,2014200
"CAH","09/04/2015",79.98,80.92,79.72,80.55,76.60298,2087100
"CAH","09/03/2015",82.05,82.56,80.85,81.15,77.17357,1614800
"CAH","09/02/2015",81.23,81.75,80.55,81.65,77.64908,2093900
"CAH","09/01/2015",80.46,81.42,79.68,80.23,76.29866,3119400
"CAH","08/31/2015",83.21,84.19,82.08,82.27,78.2387,1886100
"CAH","08/28/2015",83.55,83.57,82.89,83.39,79.30382,2596800
"CAH","08/27/2015",84.15,85.27,82.29,83.69,79.58913,4646800
"CAH","08/26/2015",81.23,83.67,79.79,83.55,79.45598,4654600
"CAH","08/25/2015",80.8,81.82,79.34,79.42,75.52834,5448800
"CAH","08/24/2015",76.65,80.4,74.76,78.98,75.10992,6632800
"CAH","08/21/2015",81.73,82.42,80.56,80.6,76.65054,3033600
"CAH","08/20/2015",84.48,85.04,82.19,82.26,78.22919,2544200
"CAH","08/19/2015",84.02,85.9,83.76,85.27,81.09169,2473100
"CAH","08/18/2015",84.2,84.93,84.04,84.8,80.64474,1563300
"CAH","08/17/2015",83.72,84.45,82.91,84.34,80.20725,1817400
"CAH","08/14/2015",83.97,84.47,83.78,84.27,80.14069,1955600
"CAH","08/13/2015",85.1,85.24,84.17,84.2,80.07412,1572000
"CAH","08/12/2015",85.01,85.2,83.99,85.05,80.88248,2202900
"CAH","08/11/2015",85.26,86.07,85.01,85.89,81.68132,1938400
"CAH","08/10/2015",85.66,86.41,85.62,85.73,81.52915,1638700
"CAH","08/07/2015",85,85.13,84.01,85.08,80.911,2125700
"CAH","08/06/2015",86.41,86.59,84.62,84.78,80.62572,2038200
"CAH","08/05/2015",86.5,86.55,85.67,86.27,82.04271,1780600
"CAH","08/04/2015",86.16,86.64,85.55,85.75,81.54819,2373100
"CAH","08/03/2015",84.56,86.13,84.56,85.82,81.61475,2602900
"CAH","07/31/2015",83.32,85.2,83.16,84.98,80.81591,4519600
"CAH","07/30/2015",84.52,86.47,80.05,83.34,79.25627,7631800
"CAH","07/29/2015",83.85,84.43,83.42,84.35,80.21677,3110600
"CAH","07/28/2015",82.39,83.78,82.09,83.68,79.57961,2187400
"CAH","07/27/2015",82.99,83.16,82.13,82.29,78.25772,2744100
"CAH","07/24/2015",84.03,84.13,83.04,83.29,79.20872,2232800
"CAH","07/23/2015",86.91,87.09,84.04,84.27,80.14069,3063600
"CAH","07/22/2015",86.09,86.89,86.08,86.82,82.56577,1756900
"CAH","07/21/2015",86.56,86.93,85.73,86.19,81.96662,1526200
"CAH","07/20/2015",86.72,87.04,86.47,86.58,82.3375,1177200
"CAH","07/17/2015",87.14,87.37,86.47,86.76,82.50868,1916700
"CAH","07/16/2015",87.22,87.24,86.49,87.02,82.75594,1488300
"CAH","07/15/2015",86.11,86.98,85.78,86.6,82.35653,2223900
"CAH","07/14/2015",85.76,86.57,85.36,86.17,81.94759,3056800
"CAH","07/13/2015",86.13,86.35,85.44,86.12,81.90005,1376200
"CAH","07/10/2015",85.03,85.69,84.86,85.48,81.2914,1457300
"CAH","07/09/2015",84.65,84.9,83.82,84.16,80.03609,2459700
"CAH","07/08/2015",84.5,85.19,83.29,83.4,79.31333,2597100
"CAH","07/07/2015",84.76,85.35,83.8,85,80.83493,2312300
"CAH","07/06/2015",83.69,84.88,83.63,84.54,80.39746,2679300
"CAH","07/02/2015",85.25,85.46,84.14,84.5,80.35942,1556800
"CAH","07/01/2015",84.29,85.13,84.18,84.95,80.78737,3395000
"CAH","06/30/2015",84.63,84.87,83.57,83.65,79.55108,4071800
"CAH","06/29/2015",85.13,85.61,83.63,83.74,79.63667,3795600
"CAH","06/29/2015",0,0,0,0,0,0
"CAH","06/26/2015",87.02,87.02,85.64,86.03,81.44641,9080900
"CAH","06/25/2015",87.44,87.44,85.85,86.67,82.05233,3811100
"CAH","06/24/2015",89.23,89.37,87.01,87.03,82.39314,3406800
"CAH","06/23/2015",90.26,90.31,89.15,89.23,84.47592,2355400
"CAH","06/22/2015",90.56,90.74,89.78,89.86,85.07236,2252900
"CAH","06/19/2015",89.84,90.57,89.7,89.87,85.08184,2513000
"CAH","06/18/2015",90.04,90.66,89.84,89.85,85.06289,2603200
"CAH","06/17/2015",89.42,90.29,89.27,89.99,85.19543,2236700
"CAH","06/16/2015",88.43,89.45,88.15,89.12,84.37178,2310200
"CAH","06/15/2015",88.53,88.92,88.08,88.27,83.56706,2268200
"CAH","06/12/2015",89.21,89.37,88.68,88.88,84.14456,1654900
"CAH","06/11/2015",89.23,90.11,88.75,89.67,84.89248,2654300
"CAH","06/10/2015",88.11,88.98,87.7,88.77,84.04044,1902900
"CAH","06/09/2015",88.6,88.99,87.51,87.66,82.98958,2223300
"CAH","06/08/2015",88.27,88.75,87.91,87.99,83.30199,2639600
"CAH","06/05/2015",87.09,88.17,86.17,88.04,83.34933,2805900
"CAH","06/04/2015",87.23,88.09,87.12,87.61,82.94225,1458100
"CAH","06/03/2015",88.2,88.42,87.73,88.02,83.33039,1114900
"CAH","06/02/2015",88.02,88.49,87.68,88.03,83.33986,1274500
"CAH","06/01/2015",88.33,88.72,87.62,88.42,83.70908,1549400
"CAH","05/29/2015",88.16,88.91,87.81,88.17,83.4724,2101300
"CAH","05/28/2015",88.68,89.63,88.08,88.11,83.4156,2031800
"CAH","05/27/2015",87.6,88.77,87.29,88.69,83.96471,1340300
"CAH","05/26/2015",88.48,88.81,87.59,87.59,82.92331,1756600
"CAH","05/22/2015",88.47,88.84,88.27,88.5,83.78482,1296200
"CAH","05/21/2015",87.96,88.79,87.87,88.66,83.93631,1871800
"CAH","05/20/2015",87.37,88.53,86.96,88.07,83.37772,2699800
"CAH","05/19/2015",88.06,88.98,87.25,87.3,82.64876,3311100
"CAH","05/18/2015",87.57,88.43,87.37,87.85,83.16946,2255000
"CAH","05/15/2015",87.95,88.34,87.18,87.55,82.88544,2295400
"CAH","05/14/2015",87.07,88.06,86.81,88,83.31147,1653200
"CAH","05/13/2015",86.51,87.19,86.16,86.48,81.87245,1996100
"CAH","05/12/2015",86.11,86.44,85.77,86.16,81.5695,1826600
"CAH","05/11/2015",86.59,86.89,86.1,86.36,81.75884,1754100
"CAH","05/08/2015",85.87,86.95,85.74,86.65,82.03339,1657600
"CAH","05/07/2015",84.8,85.63,84.72,84.99,80.46184,2153400
"CAH","05/06/2015",84.99,85.26,84.23,84.76,80.24409,2190500
"CAH","05/05/2015",85.7,86,84.34,84.57,80.06421,1989900
"CAH","05/04/2015",85.77,86.23,85.19,85.63,81.06773,2065300
"CAH","05/01/2015",84.53,85.77,84.09,85.55,80.992,2945100
"CAH","04/30/2015",88.9,88.9,83.85,84.34,79.84646,5378100
"CAH","04/29/2015",89.86,90.36,88.24,88.9,84.16351,2618100
"CAH","04/28/2015",89.28,90.57,88.52,90.48,85.65933,2224800
"CAH","04/27/2015",91.72,91.91,89.44,89.53,84.75995,1943300
"CAH","04/24/2015",91.41,91.78,90.9,91.38,86.51139,1317600
"CAH","04/23/2015",91.09,91.89,90.68,91.5,86.62498,1488600
"CAH","04/22/2015",90.46,91.62,90.31,91.5,86.62498,1787900
"CAH","04/21/2015",90.4,90.9,90.17,90.35,85.53624,1000900
"CAH","04/20/2015",89.93,90.83,89.61,90.14,85.33745,1424600
"CAH","04/17/2015",89.16,89.73,88.59,89.55,84.77888,1460400
"CAH","04/16/2015",90.15,90.16,89.43,89.66,84.88303,1151100
"CAH","04/15/2015",90.56,91.12,90.09,90.15,85.34692,1502900
"CAH","04/14/2015",90.29,90.52,89,90.3,85.48893,1368800
"CAH","04/13/2015",90.48,91.24,89.38,89.62,84.84515,1822900
"CAH","04/10/2015",89.76,90.6,89.51,90.52,85.69719,1908500
"CAH","04/09/2015",89.9,90.61,89.48,89.89,85.10077,1490800
"CAH","04/08/2015",90.09,90.43,89.54,90.19,85.38478,1623100
