"symbol","date","open","high","low","close","adjclose","volume"
"CHD","12/31/2015",42.875,43.12,42.425,42.44,41.00138,768200
"CHD","12/30/2015",43.15,43.395,42.94,43.065,41.60521,3215800
"CHD","12/29/2015",42.75,43.31,42.535,43.135,41.67283,2942000
"CHD","12/28/2015",43.1,43.39,42.63,42.675,41.22842,25633200
"CHD","12/24/2015",43.33,43.495,42.945,43.22,41.75495,752300
"CHD","12/23/2015",43.5,43.885,43.18,43.4,41.92884,3463800
"CHD","12/22/2015",42.15,42.735,41.77,42.665,41.21877,811800
"CHD","12/21/2015",41.83,42.12,41.67,42.065,40.6391,977600
"CHD","12/18/2015",42.48,42.555,41.4,41.61,40.19952,1405300
"CHD","12/17/2015",42.855,42.91,42.325,42.62,41.17529,2024000
"CHD","12/16/2015",42.57,42.92,42.265,42.77,41.3202,1168400
"CHD","12/15/2015",42.28,42.445,42,42.26,40.82749,1747600
"CHD","12/14/2015",42.08,42.345,41.75,41.995,40.57148,748200
"CHD","12/11/2015",42.195,42.345,41.875,41.925,40.50385,627100
"CHD","12/10/2015",42.975,43.13,42.43,42.47,41.03038,2014400
"CHD","12/09/2015",43.415,43.88,42.83,42.975,41.51825,2767000
"CHD","12/08/2015",43.335,43.635,43.035,43.45,41.97716,735200
"CHD","12/07/2015",43.37,43.69,43.195,43.535,42.05927,738800
"CHD","12/04/2015",42.76,43.45,42.715,43.37,41.89986,817400
"CHD","12/03/2015",43.145,43.31,42.315,42.61,41.16563,1079600
"CHD","12/02/2015",43.27,43.565,42.785,42.88,41.42648,1484200
"CHD","12/01/2015",43,43.49,43,43.43,41.95783,1178000
"CHD","11/30/2015",43.55,43.8,42.81,42.885,41.4313,1559400
"CHD","11/27/2015",43.62,43.83,43.395,43.555,42.07859,449000
"CHD","11/25/2015",43.265,43.65,43.255,43.47,41.99648,742200
"CHD","11/24/2015",42.845,43.425,42.785,43.315,41.84673,1849800
"CHD","11/23/2015",42.945,43.27,42.8,43.15,41.68732,1020000
"CHD","11/20/2015",43.01,43.33,42.785,42.865,41.41198,1127200
"CHD","11/19/2015",42.575,43.26,42.47,42.825,41.37334,1500400
"CHD","11/18/2015",41.79,42.485,41.715,42.425,40.9869,1408800
"CHD","11/17/2015",41.785,42.4,41.63,41.735,40.32029,1469400
"CHD","11/16/2015",41.265,41.845,41.185,41.785,40.36859,1034600
"CHD","11/13/2015",41.25,41.48,41.055,41.265,39.86622,1876400
"CHD","11/12/2015",41.545,41.81,41.26,41.295,39.8952,1262200
"CHD","11/11/2015",41.62,42.07,41.575,41.725,40.31062,1491400
"CHD","11/10/2015",40.725,41.7,40.54,41.62,40.20918,1767000
"CHD","11/09/2015",40.945,41.02,40.335,40.66,39.28173,2064400
"CHD","11/06/2015",41.36,41.475,40.285,40.945,39.55707,2476200
"CHD","11/06/2015",0,0,0,0,0,0
"CHD","11/05/2015",42.03,42.03,41.455,41.505,39.93626,1503600
"CHD","11/04/2015",42.24,42.32,41.75,41.93,40.34519,612100
"CHD","11/03/2015",42.61,42.735,42.02,42.055,40.46547,1366800
"CHD","11/02/2015",43.54,43.54,42.525,42.7,41.08609,1655000
"CHD","10/30/2015",43.255,43.355,42.755,43.045,41.41806,1922200
"CHD","10/29/2015",43.515,43.87,43.19,43.235,41.60087,786800
"CHD","10/28/2015",43.435,43.75,43.225,43.745,42.09159,527500
"CHD","10/27/2015",43.59,43.82,43.16,43.29,41.6538,788100
"CHD","10/26/2015",43.805,43.99,43.58,43.595,41.94727,630000
"CHD","10/23/2015",44.45,44.685,43.83,43.905,42.24555,848600
"CHD","10/22/2015",44.19,44.435,44,44.325,42.64968,1094000
"CHD","10/21/2015",44.215,44.365,43.86,43.905,42.24555,539000
"CHD","10/20/2015",44.15,44.26,43.93,44.05,42.38507,614400
"CHD","10/19/2015",44.13,44.36,44,44.105,42.43799,1219400
"CHD","10/16/2015",43.855,44.23,43.775,44.185,42.51497,550600
"CHD","10/15/2015",43.745,43.88,43.495,43.76,42.10603,625200
"CHD","10/14/2015",43.99,44.1,43.42,43.48,41.83662,741800
"CHD","10/13/2015",44,44.305,43.865,43.965,42.30328,997600
"CHD","10/12/2015",43.875,44.26,43.835,44.15,42.4813,1629600
"CHD","10/09/2015",43.58,43.92,43.515,43.81,42.15414,772000
"CHD","10/08/2015",43.165,43.54,43.04,43.525,41.87992,1140400
"CHD","10/07/2015",42.945,43.355,42.71,43.25,41.61531,1987800
"CHD","10/06/2015",43.175,43.195,42.715,42.78,41.16307,1395400
"CHD","10/05/2015",42.905,43.28,42.705,43.195,41.56238,3177200
"CHD","10/02/2015",41.625,42.565,41.61,42.565,40.9562,1403800
"CHD","10/01/2015",42,42.1,41.595,41.9,40.31633,2268000
"CHD","09/30/2015",42.585,43,41.895,41.95,40.36444,1739000
"CHD","09/29/2015",42.195,42.395,42.025,42.265,40.66753,627400
"CHD","09/28/2015",42.635,42.91,42.12,42.22,40.62424,525400
"CHD","09/25/2015",42.755,43.22,42.53,42.815,41.19675,639100
"CHD","09/24/2015",41.9,42.43,41.755,42.385,40.783,893700
"CHD","09/23/2015",42.09,42.23,41.865,42.05,40.46067,354700
"CHD","09/22/2015",42,42.27,41.765,41.995,40.40775,492600
"CHD","09/21/2015",42.215,42.495,42.05,42.4,40.79744,673600
"CHD","09/18/2015",42.115,42.335,41.86,41.945,40.35963,1003700
"CHD","09/17/2015",42.3,42.81,42.19,42.42,40.81668,606900
"CHD","09/16/2015",42.12,42.315,42.015,42.235,40.63867,1542200
"CHD","09/15/2015",41.8,42.25,41.71,42.12,40.52802,492300
"CHD","09/14/2015",42.065,42.095,41.575,41.715,40.13832,567400
"CHD","09/11/2015",41.635,42.205,41.505,42.045,40.45585,2118000
"CHD","09/10/2015",42.5,42.885,42.34,42.495,40.88884,933400
"CHD","09/09/2015",43.5,43.66,42.535,42.615,41.00431,515100
"CHD","09/08/2015",43.01,43.27,42.655,43.255,41.62012,601100
"CHD","09/04/2015",42.525,42.755,42.34,42.465,40.85998,542500
"CHD","09/03/2015",42.605,43.155,42.45,43.015,41.38919,839200
"CHD","09/02/2015",42.24,42.505,42.04,42.425,40.82149,1556800
"CHD","09/01/2015",42.49,42.7,41.83,41.96,40.37406,1407200
"CHD","08/31/2015",43.285,43.495,42.755,43.14,41.50946,958700
"CHD","08/28/2015",43.185,43.545,42.83,43.425,41.78369,980600
"CHD","08/27/2015",42.925,43.295,42.455,43.27,41.63455,699100
"CHD","08/26/2015",42.27,42.605,41.41,42.495,40.88884,687700
"CHD","08/25/2015",43.365,43.5,41.445,41.475,39.90739,847900
"CHD","08/24/2015",41.365,43.08,41.12,42.49,40.88404,1508400
"CHD","08/21/2015",44.095,44.25,43.35,43.35,41.71152,533100
"CHD","08/20/2015",44.57,44.75,44.3,44.325,42.64968,455200
"CHD","08/19/2015",45.075,45.075,44.685,44.875,43.17889,473700
"CHD","08/18/2015",45.23,45.365,44.95,45.285,43.57339,469700
"CHD","08/17/2015",44.74,45.16,44.45,45.16,43.45312,1109800
"CHD","08/14/2015",44.66,44.84,44.5,44.825,43.13078,271400
"CHD","08/13/2015",44.51,44.775,44.4,44.63,42.94315,635800
"CHD","08/12/2015",43.905,44.545,43.665,44.545,42.86136,1378400
"CHD","08/11/2015",44.315,44.455,44.1,44.215,42.54383,505500
"CHD","08/10/2015",44.645,44.875,44.47,44.59,42.90466,386000
"CHD","08/07/2015",44.415,44.53,44.265,44.52,42.8373,725200
"CHD","08/07/2015",0,0,0,0,0,0
"CHD","08/06/2015",44.905,44.99,44.335,44.675,42.66411,556500
"CHD","08/05/2015",44.14,45.02,44.03,44.745,42.73095,929800
"CHD","08/04/2015",43.89,44.245,43.705,44.005,42.02427,631400
"CHD","08/03/2015",43.165,43.705,43.155,43.695,41.72822,639000
"CHD","07/31/2015",43.5,43.52,43.115,43.165,41.22207,532400
