"symbol","date","open","high","low","close","adjclose","volume"
"CHTR","12/31/2015",183.59,185.07,182.58,183.1,183.1,686700
"CHTR","12/30/2015",184.64,185.6,183.5,184.22,184.22,577900
"CHTR","12/29/2015",182.7,185.84,181.98,185.17,185.17,916300
"CHTR","12/28/2015",180.72,182.22,179,182.08,182.08,569300
"CHTR","12/24/2015",181.6,182.9,180.35,181.89,181.89,535900
"CHTR","12/23/2015",182.17,184.5,180.34,181,181,1020500
"CHTR","12/22/2015",186.87,186.87,178.17,181,181,686100
"CHTR","12/21/2015",179.05,180.17,177.05,180.05,180.05,721300
"CHTR","12/18/2015",181.63,181.83,177.9,178.29,178.29,1430700
"CHTR","12/17/2015",183.61,185.27,182.86,183.03,183.03,1015500
"CHTR","12/16/2015",178.92,184.5,178.92,183.31,183.31,2461300
"CHTR","12/15/2015",177.14,181.98,176.6,178.25,178.25,1667900
"CHTR","12/14/2015",178.7,179.44,173.21,174.81,174.81,1788100
"CHTR","12/11/2015",180.98,185,175.61,178.02,178.02,1872000
"CHTR","12/10/2015",184.7,185.29,182.8,183.64,183.64,1222300
"CHTR","12/09/2015",186.35,188.49,184,185.31,185.31,1028500
"CHTR","12/08/2015",186.58,189.57,185.67,186.59,186.59,1652200
"CHTR","12/07/2015",183.77,189.15,183.18,187.81,187.81,1382700
"CHTR","12/04/2015",180.51,186.1,180.01,184.53,184.53,1208700
"CHTR","12/03/2015",186.71,188.18,179.49,180.79,180.79,1485900
"CHTR","12/02/2015",189,190.68,186.46,186.77,186.77,1162500
"CHTR","12/01/2015",187.65,190.65,186.42,188.88,188.88,843800
"CHTR","11/30/2015",187.74,188.76,184.96,187.36,187.36,949000
"CHTR","11/27/2015",185.63,188,184.88,187.24,187.24,339400
"CHTR","11/25/2015",186,187.45,184.98,186.09,186.09,561600
"CHTR","11/24/2015",186.16,187.61,184.28,186.11,186.11,898800
"CHTR","11/23/2015",186.07,189.36,185.91,187.04,187.04,1769700
"CHTR","11/20/2015",188.12,188.12,185.01,186.48,186.48,606100
"CHTR","11/19/2015",188.87,188.87,185.66,186.13,186.13,1154900
"CHTR","11/18/2015",185.49,187.88,184.11,187.81,187.81,788400
"CHTR","11/17/2015",186.23,186.94,184.34,184.64,184.64,980100
"CHTR","11/16/2015",186.44,186.64,183.06,185.69,185.69,971300
"CHTR","11/13/2015",190.2,193.6,185.81,186.48,186.48,1621100
"CHTR","11/12/2015",190.97,192.32,188.56,192,192,782000
"CHTR","11/11/2015",192.85,192.85,189.83,191.2,191.2,780600
"CHTR","11/10/2015",189.76,191.82,188.66,190.77,190.77,693500
"CHTR","11/09/2015",189.09,191.8,187.72,190.16,190.16,1056000
"CHTR","11/06/2015",188.96,190.46,187.69,190.26,190.26,1616000
"CHTR","11/05/2015",189.8,191.24,187.15,189.23,189.23,1690600
"CHTR","11/04/2015",188.95,191.42,188.28,190.1,190.1,1578900
"CHTR","11/03/2015",186.22,189.47,184.76,189.28,189.28,2299600
"CHTR","11/02/2015",193.25,193.63,186.38,187.34,187.34,2428300
"CHTR","10/30/2015",193.19,194.42,189.99,190.94,190.94,2315600
"CHTR","10/29/2015",183.12,194.92,183.12,193.33,193.33,3206400
"CHTR","10/28/2015",180.84,184.94,179.14,184.1,184.1,1565500
"CHTR","10/27/2015",183.9,185.5,180.72,181.09,181.09,1217400
"CHTR","10/26/2015",183,185.16,182.16,184.02,184.02,996600
"CHTR","10/23/2015",180,183,177.74,183,183,1443100
"CHTR","10/22/2015",176.99,180.71,176.16,178.38,178.38,1679100
"CHTR","10/21/2015",185.94,186.56,175.08,175.35,175.35,2296000
"CHTR","10/20/2015",186.3,187.29,184.64,185.58,185.58,704600
"CHTR","10/19/2015",186.98,187.93,184.54,186.31,186.31,734700
"CHTR","10/16/2015",186.33,187.35,185.52,187.27,187.27,1151200
"CHTR","10/15/2015",183.56,187.01,183.56,185.83,185.83,1058300
"CHTR","10/14/2015",187.36,188.76,182.4,182.75,182.75,1025400
"CHTR","10/13/2015",185.12,188.04,183.57,186.88,186.88,905500
