"symbol","date","open","high","low","close","adjclose","volume"
"CMCSA","12/31/2015",28.27,28.6,28.1,28.215,26.70614,7761600
"CMCSA","12/30/2015",28.75,28.78,28.34,28.355,26.83865,6466300
"CMCSA","12/29/2015",28.75,28.965,28.645,28.78,27.24092,14469400
"CMCSA","12/28/2015",28.56,28.725,28.365,28.595,27.06582,5079700
"CMCSA","12/24/2015",28.715,28.765,28.57,28.65,27.11787,3493400
"CMCSA","12/23/2015",28.55,28.63,28.43,28.585,27.05635,7225900
"CMCSA","12/22/2015",28.57,28.76,28.375,28.445,26.92384,10256700
"CMCSA","12/21/2015",28.41,28.42,27.695,28.23,26.72033,13998700
"CMCSA","12/18/2015",28.5,28.61,28.165,28.2,26.69194,20225400
"CMCSA","12/17/2015",29.245,29.41,28.695,28.705,27.16993,20151600
"CMCSA","12/16/2015",29.12,29.435,28.91,29.35,27.78044,33482200
"CMCSA","12/15/2015",29.03,29.57,28.765,28.875,27.33084,35558800
"CMCSA","12/14/2015",28.94,29,28.095,28.685,27.151,27048400
"CMCSA","12/11/2015",29.425,29.79,28.97,28.985,27.43496,19303900
"CMCSA","12/10/2015",29.1,30.135,29.1,29.835,28.2395,26647000
"CMCSA","12/09/2015",29.61,29.775,29.035,29.295,27.72838,25459800
"CMCSA","12/08/2015",30.1,30.135,29.39,29.77,28.17798,31163600
"CMCSA","12/07/2015",30.285,30.475,29.935,30.185,28.57079,14345400
"CMCSA","12/04/2015",29.8,30.54,29.745,30.375,28.75063,24459000
"CMCSA","12/03/2015",30.195,30.405,29.66,29.81,28.21584,23257200
"CMCSA","12/02/2015",30.765,30.87,30.17,30.24,28.62284,18551000
"CMCSA","12/01/2015",30.73,30.89,30.62,30.875,29.22389,15706200
"CMCSA","11/30/2015",30.77,30.83,30.335,30.43,28.80268,20789600
"CMCSA","11/27/2015",30.655,30.91,30.52,30.795,29.14817,5672200
"CMCSA","11/25/2015",30.77,30.895,30.54,30.7,29.05825,12174400
"CMCSA","11/24/2015",30.86,30.97,30.555,30.83,29.18129,17002800
"CMCSA","11/23/2015",31.31,31.49,30.92,31.065,29.40373,12204200
"CMCSA","11/20/2015",31.56,31.605,31.255,31.45,29.76814,18405200
"CMCSA","11/19/2015",31.255,31.495,31.115,31.31,29.63562,15694200
"CMCSA","11/18/2015",30.58,31.315,30.52,31.28,29.60723,17579600
"CMCSA","11/17/2015",30.485,30.74,30.305,30.565,28.93046,16352800
"CMCSA","11/16/2015",30.225,30.71,30.075,30.675,29.03458,15435200
"CMCSA","11/13/2015",30.65,30.865,30.09,30.115,28.50453,15579600
"CMCSA","11/12/2015",30.675,31.055,30.55,30.745,29.10084,17826400
"CMCSA","11/11/2015",30.91,30.91,30.625,30.775,29.12923,12102000
"CMCSA","11/10/2015",30.63,30.995,30.58,30.785,29.1387,17665600
"CMCSA","11/09/2015",30.615,30.75,30.24,30.675,29.03458,17062800
"CMCSA","11/06/2015",30.81,30.895,30.415,30.805,29.15763,25549200
"CMCSA","11/05/2015",30.74,30.955,30.505,30.905,29.25228,18900400
"CMCSA","11/04/2015",31.25,31.515,30.575,30.73,29.08664,13473400
"CMCSA","11/03/2015",31.215,31.37,30.995,31.28,29.60723,8446700
"CMCSA","11/02/2015",31.315,31.63,31.25,31.37,29.69242,15208000
"CMCSA","10/30/2015",31.555,31.69,31.295,31.31,29.63562,21727000
"CMCSA","10/29/2015",31.045,31.645,30.905,31.53,29.84386,9085100
"CMCSA","10/28/2015",30.925,31.29,30.515,30.97,29.31381,11640400
"CMCSA","10/27/2015",31.18,31.25,29.845,30.77,29.1245,15838500
"CMCSA","10/26/2015",31.015,31.23,30.89,31.09,29.42739,10662300
"CMCSA","10/23/2015",31.1,31.1,30.8,30.99,29.33274,10103100
"CMCSA","10/22/2015",30.585,31,30.585,30.85,29.20022,10295200
"CMCSA","10/21/2015",30.89,31,30.53,30.555,28.921,16405400
"CMCSA","10/20/2015",30.595,30.9,30.595,30.775,29.12923,13245600
"CMCSA","10/19/2015",30.58,30.805,30.465,30.78,29.13396,12984000
"CMCSA","10/16/2015",30.61,30.685,30.4,30.66,29.02039,12746000
"CMCSA","10/15/2015",30.27,30.535,30.025,30.505,28.87367,13963000
"CMCSA","10/14/2015",30.1,30.23,29.91,29.97,28.36728,19376000
"CMCSA","10/13/2015",30.07,30.415,29.915,30.08,28.4714,15763000
"CMCSA","10/12/2015",30.31,30.535,30.1,30.135,28.52346,17530600
"CMCSA","10/09/2015",30.48,30.615,30.065,30.245,28.62758,19038800
"CMCSA","10/08/2015",29.7,30.535,29.53,30.49,28.85948,25844400
"CMCSA","10/07/2015",29.665,30,29.515,29.85,28.2537,16475200
"CMCSA","10/06/2015",29.7,29.94,29.12,29.485,27.90822,19083200
"CMCSA","10/05/2015",29.57,29.855,29.44,29.81,28.21584,19336200
"CMCSA","10/05/2015",0,0,0,0,0,0
"CMCSA","10/02/2015",28.42,29.38,28.275,29.36,27.67159,23866800
"CMCSA","10/01/2015",28.76,28.865,28.265,28.705,27.05426,23793800
"CMCSA","09/30/2015",27.83,28.485,27.77,28.44,26.80449,11970800
"CMCSA","09/29/2015",27.58,27.865,27.39,27.57,25.98453,14891900
"CMCSA","09/28/2015",28.265,28.27,27.325,27.405,25.82902,17253100
"CMCSA","09/25/2015",28.77,28.77,28.075,28.27,26.64427,13145200
"CMCSA","09/24/2015",28.495,28.635,28,28.41,26.77622,10779500
"CMCSA","09/23/2015",29.075,29.115,28.545,28.685,27.03541,6826900
"CMCSA","09/22/2015",28.63,28.925,28.38,28.855,27.19563,10173300
"CMCSA","09/21/2015",28.805,29.125,28.67,28.945,27.28045,13116200
"CMCSA","09/18/2015",29,29.255,28.565,28.71,27.05897,76814700
"CMCSA","09/17/2015",29.07,29.635,28.875,29.23,27.54906,17318400
"CMCSA","09/16/2015",28.615,29.04,28.485,28.87,27.20977,24384800
"CMCSA","09/15/2015",28.1,28.64,27.94,28.57,26.92702,8594900
"CMCSA","09/14/2015",28.345,28.345,27.895,28.125,26.50761,10624600
"CMCSA","09/11/2015",28.125,28.315,27.97,28.205,26.58301,22658600
"CMCSA","09/10/2015",28.25,28.47,28,28.27,26.64427,23933600
"CMCSA","09/09/2015",28.96,29.09,28.275,28.335,26.70553,13807800
"CMCSA","09/08/2015",28.365,28.58,28.235,28.555,26.91288,11002200
"CMCSA","09/04/2015",27.715,28.03,27.6,27.89,26.28612,11858900
"CMCSA","09/03/2015",28.09,28.44,28.01,28.105,26.48876,12187400
"CMCSA","09/02/2015",27.985,28.085,27.625,27.94,26.33325,33948400
"CMCSA","09/01/2015",27.51,28.075,27.4,27.51,25.92798,32158000
"CMCSA","08/31/2015",28.365,28.375,27.98,28.165,26.54531,10561000
"CMCSA","08/28/2015",28.295,28.42,28.09,28.39,26.75737,12136500
"CMCSA","08/27/2015",27.95,28.43,27.725,28.385,26.75266,15966000
"CMCSA","08/26/2015",27.585,27.77,26.94,27.7,26.10705,16477800
"CMCSA","08/25/2015",27.925,27.995,26.92,26.925,25.37662,16600800
"CMCSA","08/24/2015",26.675,28.15,25,27.205,25.64052,26200300
"CMCSA","08/21/2015",28.915,29.04,28.3,28.39,26.75737,23561400
"CMCSA","08/20/2015",29.535,29.68,29.03,29.185,27.50665,18795900
"CMCSA","08/19/2015",29.93,30.365,29.925,29.96,28.23709,16010000
