"symbol","date","open","high","low","close","adjclose","volume"
"COF","12/31/2015",72.71,73.26,72.16,72.18,69.18336,1722100
"COF","12/30/2015",73.62,73.8,73.16,73.21,70.1706,1414600
"COF","12/29/2015",73.6,73.99,73.19,73.79,70.72653,1506200
"COF","12/28/2015",73.15,73.42,72.28,73.15,70.1131,1568600
"COF","12/24/2015",73.68,73.9,73.26,73.52,70.46773,810700
"COF","12/23/2015",73.17,73.92,72.96,73.69,70.63068,2361100
"COF","12/22/2015",72.62,73.01,71.1,72.77,69.74886,3364400
"COF","12/21/2015",73.04,73.5,71.95,72.58,69.56676,2503300
"COF","12/18/2015",73.92,73.92,72.32,72.47,69.46133,5097500
"COF","12/17/2015",76.55,76.74,74.28,74.38,71.29203,2890000
"COF","12/16/2015",76.19,76.55,74.4,76.36,73.18983,4175800
"COF","12/15/2015",74.27,75.52,74.08,75.37,72.24094,3039200
"COF","12/14/2015",73.81,74.68,72.49,73.31,70.26644,3433500
"COF","12/11/2015",74.29,74.55,73.3,73.68,70.62109,2915400
"COF","12/10/2015",75.39,76.45,75.18,75.61,72.47097,2428700
"COF","12/09/2015",76.37,77.24,74.88,75.42,72.28886,3517600
"COF","12/08/2015",77.45,77.73,76.54,76.86,73.66908,2630500
"COF","12/07/2015",78.73,79.06,77.82,78.33,75.07805,2262500
"COF","12/04/2015",77.91,79.56,77.4,79.37,76.07487,2665500
"COF","12/03/2015",79.1,79.1,77.05,77.33,74.11958,3035700
"COF","12/02/2015",79.61,79.96,78.65,78.77,75.49977,2570600
"COF","12/01/2015",79.04,79.86,78.76,79.82,76.50619,2204900
"COF","11/30/2015",79.08,79.5,78.37,78.51,75.25058,2999700
"COF","11/27/2015",78.98,79.25,78.27,79,75.72022,907800
"COF","11/25/2015",78.85,79.16,78.4,79.04,75.75857,1774900
"COF","11/24/2015",78.1,79.02,77.61,78.63,75.36559,2570300
"COF","11/23/2015",79.55,79.55,78.79,78.82,75.54771,1969900
"COF","11/20/2015",80.07,80.17,78.88,79.46,76.16112,3013600
"COF","11/19/2015",78.53,79.98,78.53,79.58,76.27615,3751800
"COF","11/18/2015",76.95,78.31,76.6,78.29,75.03971,3698500
"COF","11/17/2015",77.8,77.85,76.32,76.37,73.19942,3353500
"COF","11/16/2015",76.95,77.9,76.68,77.9,74.66591,2654000
"COF","11/13/2015",77.14,77.86,76.71,76.97,73.77451,2817700
"COF","11/12/2015",78.33,78.33,77.19,77.38,74.16749,3473100
"COF","11/11/2015",79.76,79.93,78.69,78.87,75.59563,2420500
"COF","11/10/2015",80.28,80.77,79.37,79.38,76.08445,2801000
"COF","11/09/2015",81.34,81.59,80.11,80.45,77.11003,2590200
"COF","11/06/2015",81.23,81.62,80.4,81.42,78.03976,3579200
"COF","11/05/2015",80.82,80.82,79.54,79.55,76.24741,3377200
"COF","11/05/2015",0,0,0,0,0,0
"COF","11/04/2015",80.83,81.19,80.39,80.55,76.82249,2286300
"COF","11/03/2015",79.76,81.37,79.75,80.88,77.13722,1950900
"COF","11/02/2015",79.37,80.5,79.22,80.22,76.50777,2281600
"COF","10/30/2015",80.55,80.73,78.82,78.9,75.24883,2707000
"COF","10/29/2015",80.88,81.41,79.93,80.2,76.48868,1989600
"COF","10/28/2015",79.34,81.19,79.2,81.14,77.38518,2264200
"COF","10/27/2015",79.08,79.59,78.94,79.33,75.65894,1954300
"COF","10/26/2015",80.51,80.93,79.47,79.65,75.96414,3081900
"COF","10/23/2015",77.36,81.41,77.18,81.12,77.36611,6560700
"COF","10/22/2015",73.78,76.38,73.78,74.94,71.47209,4234100
"COF","10/21/2015",75.01,75.3,73.61,73.68,70.27041,3235800
"COF","10/20/2015",74.54,75.16,74.42,74.58,71.12876,2155600
"COF","10/19/2015",74.14,74.88,73.97,74.64,71.18597,2429300
"COF","10/16/2015",74.95,75.08,74.16,74.67,71.21459,2714200
"COF","10/15/2015",73.18,74.54,72.63,74.52,71.07153,2593300
"COF","10/14/2015",74,74.05,72.33,72.56,69.20222,3287400
"COF","10/13/2015",74.07,74.57,73.63,73.94,70.51838,2340900
"COF","10/12/2015",74.65,74.88,74.01,74.25,70.81403,1729900
"COF","10/09/2015",75.35,75.71,74.24,74.45,71.00477,2209500
"COF","10/08/2015",74.55,75.26,73.87,75.05,71.57701,2422000
"COF","10/07/2015",75.68,76.17,74.66,74.96,71.49117,2338200
"COF","10/06/2015",74.9,75.69,74.67,75.22,71.73915,2336700
