"symbol","date","open","high","low","close","adjclose","volume"
"COTY","12/31/2015",25.24,26.04,25.24,25.63,24.50573,786400
"COTY","12/30/2015",25.77,26.05,25.17,25.44,24.32407,1250900
"COTY","12/29/2015",25.96,26.2,25.66,25.88,24.74477,1261700
"COTY","12/28/2015",26.3,27.28,25.91,25.97,24.83082,913700
"COTY","12/24/2015",26.4,26.7,26.3,26.4,25.24196,295000
"COTY","12/23/2015",26.4,27.02,26.34,26.47,25.30889,751500
"COTY","12/22/2015",27.15,27.15,26.17,26.3,25.14635,1224800
"COTY","12/21/2015",27.24,27.38,26.69,26.98,25.79652,648000
"COTY","12/18/2015",27.54,27.6,26.64,26.81,25.63397,2166000
"COTY","12/17/2015",28.05,28.06,27.53,27.55,26.34151,500600
"COTY","12/16/2015",27.34,28.04,27.32,27.86,26.63792,1320400
"COTY","12/15/2015",26.94,27.42,26.78,27.32,26.1216,797400
"COTY","12/14/2015",27,27.34,26.46,26.6,25.43319,782400
"COTY","12/11/2015",27.54,28.14,26.57,26.71,25.53836,830100
"COTY","12/10/2015",28.34,28.48,27.71,27.89,26.6666,809500
"COTY","12/09/2015",27.26,28.41,27.07,28.26,27.02037,1418700
"COTY","12/08/2015",27.05,27.7,26.97,27.41,26.20765,2039500
"COTY","12/07/2015",26.46,27.77,26.46,27.31,26.11204,1592700
"COTY","12/04/2015",26.81,27.28,26.76,26.88,25.7009,1520000
"COTY","12/03/2015",27.37,27.53,26.35,26.67,25.50012,1759900
"COTY","12/02/2015",27.81,28.19,27.34,27.41,26.20765,1444900
"COTY","12/01/2015",27.93,28.07,26.96,27.85,26.62836,1711200
"COTY","11/30/2015",27.24,28.31,26.92,27.78,26.56142,2220600
"COTY","11/27/2015",28.99,29.14,28.74,28.94,27.67054,358300
"COTY","11/25/2015",28.73,29.47,28.63,28.92,27.65142,912400
"COTY","11/24/2015",27.94,28.55,27.85,28.36,27.11598,1068600
"COTY","11/23/2015",27.05,28.14,27.05,27.93,26.70484,1326500
"COTY","11/20/2015",26.95,27.85,26.87,27.14,25.9495,1634600
"COTY","11/19/2015",27.07,27.5,26.57,26.82,25.64354,1406800
"COTY","11/18/2015",26.69,27.01,26.08,26.98,25.79652,1689400
"COTY","11/17/2015",27.54,27.54,26.46,26.5,25.33757,2417900
"COTY","11/16/2015",28,28.17,26.75,27.57,26.36064,2622900
"COTY","11/13/2015",29.08,29.19,28.6,28.67,27.41239,942900
"COTY","11/12/2015",30.08,30.45,29.15,29.18,27.90001,1131000
"COTY","11/11/2015",29.9,30.76,29.82,30.36,29.02825,1807000
"COTY","11/10/2015",28.39,29.93,28.27,29.88,28.56931,1819200
"COTY","11/09/2015",28.18,28.63,27.51,28.44,27.19247,1645500
"COTY","11/06/2015",27.77,29.19,27.77,28.5,27.24984,3657300
"COTY","11/05/2015",29.43,29.43,27.01,28.22,26.98212,4773900
"COTY","11/04/2015",29.36,30.26,29.05,29.95,28.63624,2324400
"COTY","11/03/2015",29.48,30.25,29.24,29.61,28.31115,1822200
"COTY","11/02/2015",29,30.1,28.9,29.66,28.35896,2034900
"COTY","10/30/2015",29,29.18,28.64,28.95,27.68011,1258600
"COTY","10/29/2015",28.65,29.18,28.5,28.94,27.67054,1105500
"COTY","10/28/2015",28.48,29.16,28.19,28.72,27.46019,1318100
"COTY","10/27/2015",28.53,28.71,27.99,28.4,27.15423,1157100
"COTY","10/26/2015",28.53,28.97,28.39,28.58,27.32633,1640400
"COTY","10/23/2015",28.25,28.83,28.25,28.59,27.3359,1608700
"COTY","10/22/2015",28.15,28.57,27.91,28.08,26.84826,2261500
"COTY","10/21/2015",28.92,29.34,27.41,28.05,26.81958,1955800
"COTY","10/20/2015",28.42,29.28,28.42,28.92,27.65142,1222200
"COTY","10/19/2015",28.38,28.6,28.08,28.5,27.24984,1181500
"COTY","10/16/2015",28.29,28.87,28.2,28.51,27.2594,1304500
"COTY","10/15/2015",27.7,28.34,27.17,28.29,27.04905,1400200
"COTY","10/14/2015",28.36,28.7,27.64,27.69,26.47537,1457600
"COTY","10/13/2015",28.49,29.01,28.28,28.46,27.2116,1411100
"COTY","10/12/2015",28.03,28.72,27.32,28.56,27.30721,1099900
"COTY","10/09/2015",27.37,28.12,27.13,27.95,26.72397,1118200
"COTY","10/08/2015",26.63,27.44,26.58,27.37,26.16941,1173600
"COTY","10/07/2015",26.91,27.03,26.33,26.6,25.43319,1685900
"COTY","10/06/2015",27.49,28.06,27.17,27.24,26.04511,1592100
"COTY","10/05/2015",27.06,28.41,27,28,26.77177,2246800
"COTY","10/02/2015",26.98,27.07,26.29,26.89,25.71046,1639600
"COTY","10/01/2015",27.19,27.53,26.86,27.46,26.25546,1603700
"COTY","09/30/2015",26.06,27.11,26.01,27.06,25.87301,1642000
"COTY","09/29/2015",24.97,25.75,24.9,25.56,24.4388,1763600
"COTY","09/29/2015",0,0,0,0,0,0
"COTY","09/28/2015",26.76,26.97,25.77,25.78,24.41012,1794200
"COTY","09/25/2015",26.97,27.31,26.82,26.87,25.4422,1628800
"COTY","09/24/2015",27.05,27.25,26.49,26.91,25.48008,2081900
"COTY","09/23/2015",27.27,27.63,27.09,27.14,25.69785,1435400
"COTY","09/22/2015",27.65,27.77,27.02,27.19,25.7452,1764900
"COTY","09/21/2015",28.51,28.83,27.88,27.91,26.42694,1223100
"COTY","09/18/2015",28.91,28.91,28.18,28.31,26.80569,1615500
"COTY","09/17/2015",28.86,29.64,28.81,29.22,27.66733,1306800
"COTY","09/16/2015",28.82,28.99,28.29,28.8,27.26965,1308600
"COTY","09/15/2015",27.78,28.92,27.75,28.75,27.2223,1727800
"COTY","09/14/2015",28.52,28.66,27.54,28.16,26.66366,1869900
"COTY","09/11/2015",28.41,29.48,28.07,29.37,27.80936,1341900
"COTY","09/10/2015",28.84,28.96,28.32,28.43,26.91931,1917800
"COTY","09/09/2015",29.13,29.71,28.83,28.89,27.35486,1715600
"COTY","09/08/2015",29.22,29.31,28.47,28.73,27.20336,1891300
"COTY","09/04/2015",28.66,29,28.61,28.79,27.26018,1111800
"COTY","09/03/2015",28.8,29.38,28.73,28.86,27.32646,1782500
"COTY","09/02/2015",28.59,29.03,28.14,28.69,27.16549,1933800
"COTY","09/01/2015",28.43,29.23,28.03,28.35,26.84356,2077200
"COTY","08/31/2015",29.9,30.61,29.6,30.31,28.69941,1626300
"COTY","08/28/2015",28.99,30.16,28.89,30.14,28.53844,1601800
"COTY","08/27/2015",28.44,29.2,28.27,28.91,27.3738,1352500
"COTY","08/26/2015",28.05,28.41,27.67,28.32,26.81515,1673800
"COTY","08/25/2015",28,28.74,27.26,27.63,26.16181,2018400
"COTY","08/24/2015",27.31,28.23,27.23,27.75,26.27544,2026800
"COTY","08/21/2015",28.37,28.64,28.22,28.3,26.79622,1652200
"COTY","08/20/2015",28.84,29.15,28.25,28.7,27.17496,1311400
"COTY","08/19/2015",29.25,29.64,28.82,29.05,27.50636,1168400
"COTY","08/18/2015",29.39,29.86,29.24,29.29,27.73361,811300
"COTY","08/17/2015",29.52,29.53,29.01,29.28,27.72414,881100
"COTY","08/14/2015",30.42,30.5,28.82,29.61,28.03661,1992700
"COTY","08/13/2015",28.81,31.25,28.51,30.47,28.85091,2838700
"COTY","08/12/2015",29.55,29.63,28.23,28.72,27.1939,1772900
"COTY","08/11/2015",29,29.73,28.79,29.66,28.08395,2317200
"COTY","08/10/2015",28.6,29.24,28.47,29.21,27.65786,1293000
"COTY","08/07/2015",27.89,28.66,27.78,28.6,27.08027,1709300
"COTY","08/06/2015",28.41,28.41,27.66,27.98,26.49322,1298400
"COTY","08/05/2015",27.41,28.38,27.41,28.32,26.81515,1287200
"COTY","08/04/2015",26.93,27.74,26.64,27.49,26.02926,1190500
"COTY","08/03/2015",26.72,27.01,26.54,26.83,25.40433,1065500
"COTY","07/31/2015",27.2,27.22,26.59,26.73,25.30964,1050900
"COTY","07/30/2015",26.67,27.03,26.33,26.91,25.48008,1288000
"COTY","07/29/2015",26.62,26.9,26.53,26.84,25.4138,1253400
"COTY","07/28/2015",26.51,26.83,26.43,26.59,25.17708,803700
"COTY","07/27/2015",26.59,26.8,26.44,26.51,25.10133,914600
"COTY","07/24/2015",27.33,27.36,26.63,26.7,25.28124,1382100
"COTY","07/23/2015",27.04,27.65,27.04,27.21,25.76413,1571200
"COTY","07/22/2015",27.06,27.55,26.98,27.31,25.85882,1382400
"COTY","07/21/2015",27.65,27.71,26.98,27.02,25.58423,1548000
"COTY","07/20/2015",27.45,27.99,27.34,27.6,26.13341,1049000
"COTY","07/17/2015",27.57,27.74,27.37,27.48,26.01979,861600
"COTY","07/16/2015",27.99,28.07,27.51,27.6,26.13341,1842500
