"symbol","date","open","high","low","close","adjclose","volume"
"CXO","12/31/2015",91.28,94.29,91.28,92.86,92.86,1263100
"CXO","12/30/2015",90.81,92.78,90.03,91.58,91.58,947200
"CXO","12/29/2015",92.48,94.92,90.79,92.72,92.72,1619600
"CXO","12/28/2015",93.7,93.75,89.89,90.5,90.5,1671400
"CXO","12/24/2015",96.02,97,94.16,95.77,95.77,898200
"CXO","12/23/2015",90.01,96.67,89.93,96.54,96.54,2514000
"CXO","12/22/2015",86.91,90.06,86.1,88.41,88.41,3451800
"CXO","12/21/2015",92.27,92.99,85.87,86.67,86.67,4312300
"CXO","12/18/2015",95.8,97.14,91.92,91.97,91.97,3192500
"CXO","12/17/2015",102.31,102.7,95.06,95.47,95.47,2943300
"CXO","12/16/2015",108.48,108.84,101.88,102.15,102.15,2085500
"CXO","12/15/2015",103.93,108.87,102.63,108.57,108.57,2398200
"CXO","12/14/2015",98.27,102.9,98.27,102.43,102.43,2091900
"CXO","12/11/2015",102.33,102.8,98.78,98.99,98.99,1463200
"CXO","12/10/2015",98.7,105.22,98.49,103.7,103.7,2084900
"CXO","12/09/2015",100.84,102.72,98.46,99.36,99.36,2061100
"CXO","12/08/2015",99.45,102.12,97.05,100.19,100.19,2260200
"CXO","12/07/2015",102.5,102.76,98.88,99.59,99.59,2094600
"CXO","12/04/2015",105,107.56,103.27,105.84,105.84,1376400
"CXO","12/03/2015",107.52,108.39,105.48,106.2,106.2,1140500
"CXO","12/02/2015",111.35,111.42,105.67,106,106,1857400
"CXO","12/01/2015",110.52,112.5,110,111.91,111.91,1253500
"CXO","11/30/2015",108.76,110.17,108.04,109.44,109.44,1042000
"CXO","11/27/2015",109.21,109.94,107.15,108.3,108.3,544100
"CXO","11/25/2015",110.98,111.74,109.9,111,111,774400
"CXO","11/24/2015",110.31,113.82,110.31,112.53,112.53,1111100
"CXO","11/23/2015",108.72,110.25,107.05,109.5,109.5,1035700
"CXO","11/20/2015",109.27,110.81,107.6,108.71,108.71,853200
"CXO","11/19/2015",110.61,111.19,107.14,109.12,109.12,848200
"CXO","11/18/2015",110.19,112.21,108.19,112.06,112.06,1233500
"CXO","11/17/2015",107.26,109.94,104.7,109.08,109.08,1542500
"CXO","11/16/2015",105.07,107.91,103.75,107.76,107.76,1412600
"CXO","11/13/2015",103.98,105.41,101.51,104.92,104.92,2045900
"CXO","11/12/2015",105.99,106.99,103.61,104.81,104.81,1456300
"CXO","11/11/2015",111.07,112.58,106,107.18,107.18,1848500
"CXO","11/10/2015",111.04,111.66,108.39,111.34,111.34,1701800
"CXO","11/09/2015",111.79,113.28,109.93,111.53,111.53,1506800
"CXO","11/06/2015",112.65,115.17,110.59,111.43,111.43,2594700
"CXO","11/05/2015",114.34,116.81,109.29,113.2,113.2,2788200
