"symbol","date","open","high","low","close","adjclose","volume"
"DHR","12/31/2015",70.43973,71.02351,70.31084,70.41698,47.52506,1739500
"DHR","12/30/2015",71.32676,71.47081,70.61411,70.77332,47.76555,1670100
"DHR","12/29/2015",71.26611,71.71342,71.03867,71.395,48.18513,2190800
"DHR","12/28/2015",70.65201,70.92494,70.4094,70.8188,47.79625,1282200
"DHR","12/24/2015",70.84155,71.18272,70.78848,70.81122,47.79113,660700
"DHR","12/23/2015",70.56861,71.23579,70.41698,71.05383,47.95488,2170400
"DHR","12/22/2015",70.44731,70.53071,69.54511,70.31084,47.45343,2017000
"DHR","12/21/2015",69.49204,70.12131,69.41622,70.11372,47.32039,2930700
"DHR","12/18/2015",69.22668,69.94693,69.07506,69.16604,46.68079,6392500
"DHR","12/17/2015",71.75891,71.90295,69.65125,69.66641,47.0185,4642300
"DHR","12/17/2015",0,0,0,0,0,0
"DHR","12/16/2015",70.51554,71.56937,70.05307,71.36467,48.09559,4880800
"DHR","12/15/2015",71.30402,71.49355,70.05307,70.17438,47.2934,6689400
"DHR","12/14/2015",70.78848,71.09932,70.17438,70.78848,47.70727,2965900
"DHR","12/11/2015",70.95527,71.34951,70.23502,70.52312,47.52844,2947100
"DHR","12/10/2015",71.74374,72.35785,71.50114,71.75891,48.36128,3009400
"DHR","12/09/2015",72.10007,73.07809,71.41774,71.62244,48.26931,3663600
"DHR","12/08/2015",71.76649,72.7066,71.45565,72.60804,48.93355,5002500
"DHR","12/07/2015",73.19181,73.32069,72.74451,73.00986,49.20434,3007500
"DHR","12/04/2015",71.88021,73.31312,71.68309,73.18423,49.32187,6020900
"DHR","12/03/2015",72.76725,73.01744,71.44048,71.68309,48.31019,4340500
"DHR","12/02/2015",73.07051,73.38893,72.64594,72.76725,49.04085,2731100
"DHR","12/01/2015",73.50266,73.91206,73.07051,73.27521,49.38317,4305700
"DHR","11/30/2015",73.44958,73.63154,72.97953,73.07809,49.25032,3943800
"DHR","11/27/2015",73.69219,73.76042,73.28279,73.42684,49.48537,1149300
"DHR","11/25/2015",73.41926,73.59363,73.10841,73.41167,49.47515,1869400
"DHR","11/24/2015",73.04018,73.37377,72.7066,73.16907,49.31164,3092900
"DHR","11/23/2015",73.79833,73.95754,73.26762,73.69978,49.66931,1739100
"DHR","11/20/2015",73.69219,74.01061,73.55573,73.80592,49.74085,2559300
"DHR","11/19/2015",73.38135,73.80592,73.2373,73.50266,49.53646,4299500
"DHR","11/18/2015",72.35027,73.65428,72.17589,73.56331,49.57734,2676600
"DHR","11/17/2015",72.08492,72.84306,71.77407,72.28961,48.71894,2910700
"DHR","11/16/2015",70.97043,72.18347,70.91736,72.13799,48.61676,3171400
"DHR","11/13/2015",71.12965,71.48598,70.7354,70.91736,47.79412,2863600
"DHR","11/12/2015",71.721,72.44125,71.3116,71.33434,48.07515,2830800
"DHR","11/11/2015",72.17589,72.85822,72.03942,72.11524,48.60143,2682800
"DHR","11/10/2015",72.10766,72.38059,71.68309,72.10007,48.59121,2948800
"DHR","11/09/2015",72.39575,72.73692,71.90295,72.31994,48.73938,2547500
"DHR","11/06/2015",72.16831,72.65353,72.06217,72.65353,48.9642,2645900
"DHR","11/05/2015",72.7066,72.99469,72.44125,72.50948,48.86711,3783900
"DHR","11/04/2015",72.52464,72.84306,72.03185,72.63836,48.95398,2895600
"DHR","11/03/2015",72.17589,72.7066,71.94845,72.55496,48.89777,4252300
"DHR","11/02/2015",70.89462,72.60804,70.78848,72.42608,48.81091,4995700
"DHR","10/30/2015",70.50796,71.21304,69.99242,70.74299,47.67661,5301300
"DHR","10/29/2015",69.95451,70.62168,69.59818,70.53828,47.53865,2327100
"DHR","10/28/2015",69.58302,70.24261,69.28734,70.2047,47.31384,2630000
"DHR","10/27/2015",69.54511,69.84079,69.22668,69.49204,46.83354,2653300
"DHR","10/26/2015",70.37149,70.60652,69.84837,70.03791,47.20143,2437600
"DHR","10/23/2015",71.44807,71.44807,69.7953,70.37149,47.42624,5120800
"DHR","10/22/2015",67.08871,71.72858,66.78545,71.25095,48.01894,9387900
"DHR","10/21/2015",68.13495,68.20319,67.46778,67.56634,45.53574,6655900
"DHR","10/20/2015",67.36164,68.10462,67.10387,67.80136,45.69412,3136000
"DHR","10/19/2015",67.19485,67.58908,66.9674,67.58908,45.55106,2286600
"DHR","10/16/2015",67.71039,67.80894,66.9674,67.42987,45.44376,4108100
"DHR","10/15/2015",67.07354,67.5815,66.69447,67.52085,45.50508,2760100
"DHR","10/14/2015",67.58908,67.75587,66.80061,66.89916,45.0861,4804000
"DHR","10/13/2015",67.43745,68.04398,67.27066,67.61941,45.5715,3082200
"DHR","10/12/2015",67.04321,67.86201,66.98256,67.83927,45.71968,3084700
"DHR","10/09/2015",67.34647,67.77104,66.94466,67.10387,45.22406,5202900
"DHR","10/08/2015",66.86884,67.51327,66.69447,67.39196,45.41822,4247400
"DHR","10/07/2015",66.65656,67.30099,66.45944,67.0508,45.18829,3552700
"DHR","10/06/2015",66.46702,66.66414,65.59515,66.13344,44.57005,4949500
"DHR","10/05/2015",66.11827,66.86884,65.88325,66.73995,44.9788,4349500
"DHR","10/02/2015",63.83624,65.70129,63.57089,65.70129,44.2788,4080500
