"symbol","date","open","high","low","close","adjclose","volume"
"DISH","12/31/2015",57.11,57.8,57.05,57.18,57.18,963800
"DISH","12/30/2015",58.03,58.05,57.29,57.48,57.48,766900
"DISH","12/29/2015",58.33,58.48,57.03,58.05,58.05,936700
"DISH","12/28/2015",58.23,58.51,57.28,57.9,57.9,1002600
"DISH","12/24/2015",58.34,58.72,58.03,58.31,58.31,635400
"DISH","12/23/2015",58.02,59.05,57.56,58.1,58.1,1384500
"DISH","12/22/2015",57.54,58.16,57.35,57.7,57.7,1556600
"DISH","12/21/2015",57.33,57.79,56.78,57.58,57.58,2033500
"DISH","12/18/2015",57.74,58.14,56.89,57.16,57.16,3770400
"DISH","12/17/2015",59.53,59.77,57.99,58.14,58.14,1438600
"DISH","12/16/2015",58.43,59.27,57.8,59.17,59.17,2084300
"DISH","12/15/2015",58.05,59.16,57.99,58.09,58.09,1449300
"DISH","12/14/2015",59.22,59.43,57.01,57.59,57.59,3075400
"DISH","12/11/2015",59.46,60.36,58.78,59,59,2485900
"DISH","12/10/2015",59.75,60.72,59.68,60.13,60.13,1089500
"DISH","12/09/2015",60.18,60.88,59.02,59.85,59.85,1653800
"DISH","12/08/2015",60.62,61.06,60.06,60.44,60.44,1021600
"DISH","12/07/2015",61.27,61.5,60.54,61.39,61.39,1050000
"DISH","12/04/2015",60.64,61.68,60.55,61.52,61.52,1148700
"DISH","12/03/2015",62.33,62.41,60.03,60.68,60.68,2014300
"DISH","12/02/2015",63.74,63.74,61.93,62.25,62.25,1048800
"DISH","12/01/2015",62.79,63.8,62.59,63.66,63.66,1169000
"DISH","11/30/2015",63.04,63.06,62.2,62.71,62.71,1128400
"DISH","11/27/2015",63.13,63.51,62.16,63.07,63.07,347000
"DISH","11/25/2015",62.89,63.18,62.66,62.9,62.9,501900
"DISH","11/24/2015",62.65,63.69,62.41,62.96,62.96,975200
"DISH","11/23/2015",63.77,64.21,62.73,63.2,63.2,666900
"DISH","11/20/2015",64.44,64.44,63.48,63.82,63.82,869800
"DISH","11/19/2015",64.47,64.58,63.4,63.74,63.74,854500
"DISH","11/18/2015",62.42,64.48,62.33,64.36,64.36,1547600
"DISH","11/17/2015",62.48,62.84,61.91,62.17,62.17,773300
"DISH","11/16/2015",62.63,63.13,61.66,62.45,62.45,933400
"DISH","11/13/2015",62.6,63.11,62.15,62.62,62.62,1009500
"DISH","11/12/2015",62.37,63.24,61.73,62.99,62.99,968100
"DISH","11/11/2015",62.84,62.89,61.9,62.44,62.44,927900
"DISH","11/10/2015",62.54,63.94,62.1,62.39,62.39,1506700
"DISH","11/09/2015",60.75,64.42,60.04,63.09,63.09,2354900
"DISH","11/06/2015",63,64,62.1,63.74,63.74,2007200
"DISH","11/05/2015",63.52,64.18,62.66,63.35,63.35,1420200
"DISH","11/04/2015",65.35,65.49,63.32,63.54,63.54,1778900
"DISH","11/03/2015",63.6,65.44,63.57,65.07,65.07,1249600
"DISH","11/02/2015",63.05,64.19,62.59,63.84,63.84,922000
"DISH","10/30/2015",63.61,63.91,62.79,62.97,62.97,1246000
"DISH","10/29/2015",63.23,63.83,63.03,63.44,63.44,584900
"DISH","10/28/2015",61.89,63.82,61.61,63.64,63.64,1134000
"DISH","10/27/2015",61.98,62.45,61.44,61.86,61.86,1026400
"DISH","10/26/2015",63.01,63.24,62.12,62.29,62.29,905800
"DISH","10/23/2015",62.05,62.5,61.58,62.43,62.43,1088700
"DISH","10/22/2015",61.35,61.84,61.19,61.37,61.37,991500
"DISH","10/21/2015",62.31,62.44,60.96,61.01,61.01,855300
"DISH","10/20/2015",61.17,62.41,60.94,62.18,62.18,1259900
"DISH","10/19/2015",61.89,61.95,60.48,61.3,61.3,1265600
"DISH","10/16/2015",61.78,62.09,60.69,62.01,62.01,721900
"DISH","10/15/2015",61.16,61.96,60.94,61.85,61.85,853200
"DISH","10/14/2015",62.08,62.14,60.76,60.97,60.97,906400
"DISH","10/13/2015",61.74,62.61,61.32,61.99,61.99,922800
"DISH","10/12/2015",62.81,62.98,62.08,62.4,62.4,589800
