"symbol","date","open","high","low","close","adjclose","volume"
"EOG","12/31/2015",70.11,71.59,70,70.79,69.70332,3117300
"EOG","12/30/2015",69.8,71.09,69.74,70.61,69.52608,3354700
"EOG","12/29/2015",71.88,72.33,70.55,71.09,69.9987,3168400
"EOG","12/28/2015",71.76,71.98,70.21,70.49,69.40791,3960600
"EOG","12/24/2015",73.75,73.98,72.65,73.42,72.29293,1792900
"EOG","12/23/2015",71.4,73.76,70.79,73.69,72.55879,5352700
"EOG","12/22/2015",70.33,71.58,69.58,69.81,68.73835,5185800
"EOG","12/21/2015",71.6,71.85,69.3,70.25,69.17161,5078800
"EOG","12/18/2015",73.19,73.87,71.41,71.43,70.33349,6633800
"EOG","12/17/2015",75.47,75.98,71.93,73.3,72.17478,6110000
"EOG","12/16/2015",77.29,77.62,75.72,75.8,74.6364,4961300
"EOG","12/15/2015",77.97,78.66,76.98,77.3,76.11337,5701000
"EOG","12/14/2015",74.36,77.03,73.72,76.86,75.68013,5827000
"EOG","12/11/2015",77.32,79.43,74.76,74.89,73.74038,4962000
"EOG","12/10/2015",77.84,80.15,77.4,78.18,76.97987,5016800
"EOG","12/09/2015",77.47,80.4,76.88,78.38,77.17678,5377100
"EOG","12/08/2015",74.72,77.88,73.93,77.11,75.9263,5336800
"EOG","12/07/2015",77.88,78.4,74.55,76.19,75.02042,6354500
"EOG","12/04/2015",79.29,80.84,78.5,80.49,79.2544,4754200
"EOG","12/03/2015",81.64,82.48,80.25,80.99,79.74673,4675000
"EOG","12/02/2015",83.33,84.06,80.41,80.86,79.61874,4543300
"EOG","12/01/2015",83.45,84.13,83.02,84.05,82.75976,2584200
"EOG","11/30/2015",82.41,84.64,82.2,83.43,82.14926,3833500
"EOG","11/27/2015",82.88,83.27,81.9,82.02,80.76091,1446600
"EOG","11/25/2015",84.24,84.63,83.2,83.53,82.24773,3037000
"EOG","11/24/2015",83.3,85.65,83.16,85.14,83.83303,4420900
"EOG","11/23/2015",82.36,83.38,82.06,82.57,81.30247,2718700
"EOG","11/20/2015",83,83.27,81.98,82.63,81.36155,2980700
"EOG","11/19/2015",84.26,84.64,81.74,82.65,81.38124,2797900
"EOG","11/18/2015",83.84,85.26,82.95,85.15,83.84287,3200900
