"symbol","date","open","high","low","close","adjclose","volume"
"ES","12/31/2015",51.89,51.9,50.55,51.07,48.27335,2081200
"ES","12/30/2015",51.97,52.24,51.84,51.85,49.01064,708300
"ES","12/29/2015",52.08,52.24,51.85,51.9,49.0579,1020300
"ES","12/28/2015",51.71,51.86,51.39,51.84,49.00119,718600
"ES","12/24/2015",51.61,51.92,51.46,51.74,48.90667,672600
"ES","12/23/2015",50.91,51.81,50.61,51.64,48.81213,1169000
"ES","12/22/2015",50.3,50.83,49.73,50.69,47.91416,1021400
"ES","12/21/2015",50.59,50.73,49.84,50.07,47.32811,1550300
"ES","12/18/2015",51.49,51.55,50.4,50.45,47.6873,2540700
"ES","12/17/2015",51.11,51.92,51.11,51.72,48.88775,1806100
"ES","12/16/2015",49.9,51.31,49.72,51.15,48.34897,1773700
"ES","12/15/2015",49.47,50.03,49.28,49.72,46.99728,1883900
"ES","12/14/2015",48.95,49.21,48.6,49.19,46.4963,1111900
"ES","12/11/2015",48.59,49.33,48.18,48.91,46.23163,1351500
"ES","12/10/2015",50.32,50.35,48.74,48.86,46.18437,2467900
"ES","12/10/2015",0,0,0,0,0,0
"ES","12/09/2015",50.9,51.68,50.66,50.84,47.66084,1450000
"ES","12/08/2015",51.1,51.3,50.73,51.11,47.91395,1210900
"ES","12/07/2015",50.42,51.2,50.3,51.18,47.97957,1915200
"ES","12/04/2015",49.65,50.67,49.51,50.63,47.46397,1300600
"ES","12/03/2015",49.53,49.72,49.15,49.32,46.23588,2017100
"ES","12/02/2015",50.62,50.79,49.66,49.73,46.62024,981600
"ES","12/01/2015",50.78,51.19,50.19,50.77,47.59522,2199700
"ES","11/30/2015",50.7,51.54,50.41,50.95,47.76395,3832000
"ES","11/27/2015",50.55,50.91,50.3,50.53,47.37021,951000
"ES","11/25/2015",50.63,50.63,50.21,50.36,47.21085,1021200
"ES","11/24/2015",50.84,50.91,50.38,50.65,47.48272,1671600
"ES","11/23/2015",51.5,51.69,50.98,51.13,47.9327,1167100
"ES","11/20/2015",51.43,51.9,51.19,51.44,48.22332,2653800
"ES","11/19/2015",50.77,51.29,50.49,51.04,47.84832,1610900
"ES","11/18/2015",49.79,50.68,49.4,50.6,47.43584,1603900
"ES","11/17/2015",50.83,51.22,49.48,49.65,46.54525,1805800
"ES","11/16/2015",49.85,51.02,49.84,50.97,47.78271,1383800
"ES","11/13/2015",50.34,50.73,49.69,49.8,46.68587,949300
"ES","11/12/2015",50.66,51.38,50.16,50.23,47.08898,1552700
"ES","11/11/2015",50.51,51.14,50.39,51.07,47.87645,1183800
"ES","11/10/2015",49.48,50.45,49.18,50.37,47.22022,1435600
"ES","11/09/2015",48.82,49.43,48.66,49.35,46.264,1304700
"ES","11/06/2015",50.75,51.06,48.84,49.02,45.95465,1801700
