"symbol","date","open","high","low","close","adjclose","volume"
"ETN","12/31/2015",52.41,52.79,52.02,52.04,48.57899,2164400
"ETN","12/30/2015",52.89,53.3,52.51,52.59,49.09241,1842700
"ETN","12/29/2015",53.03,53.46,52.71,53.08,49.54982,2587300
"ETN","12/28/2015",53.1,53.21,52.25,52.59,49.09241,1909500
"ETN","12/24/2015",53.2,53.5,53.01,53.25,49.70852,985900
"ETN","12/23/2015",52.36,53.5,52.28,53.28,49.73652,3577800
"ETN","12/22/2015",51,52.34,50.87,51.81,48.36429,6187400
"ETN","12/21/2015",50.26,50.9,50.1,50.71,47.33744,5618900
"ETN","12/18/2015",50.1,50.51,49.65,49.74,46.43196,8579300
"ETN","12/17/2015",51.93,52.17,50.11,50.13,46.79601,4476100
"ETN","12/16/2015",51.3,52.19,50.97,51.99,48.53231,4287000
"ETN","12/15/2015",50.62,50.9,49.93,50.58,47.21609,3653500
"ETN","12/14/2015",50.71,51.08,49.98,50.38,47.02938,4195100
"ETN","12/11/2015",51.42,51.86,50.66,50.87,47.48679,5868400
"ETN","12/10/2015",52.64,53.05,52.02,52.14,48.67234,4149400
"ETN","12/09/2015",52.86,53.7,52.47,52.67,49.16708,3593100
"ETN","12/08/2015",54,54.21,52.82,53,49.47514,5690100
"ETN","12/07/2015",55.85,55.88,54.6,54.71,51.07141,3529000
"ETN","12/04/2015",55.74,56.24,55.52,56.05,52.3223,3245100
"ETN","12/03/2015",57.09,57.22,55.15,55.62,51.9209,5184900
"ETN","12/02/2015",58.1,58.47,56.96,57.13,53.33047,3042300
"ETN","12/01/2015",58.35,58.58,58.01,58.45,54.56268,3122400
"ETN","11/30/2015",58.2,58.59,57.98,58.16,54.29197,3267100
"ETN","11/27/2015",57.87,58.18,57.6,58.1,54.23595,1049200
"ETN","11/25/2015",57.61,58.18,57.44,57.95,54.09593,3167800
"ETN","11/24/2015",57,57.77,56.55,57.69,53.85322,3163800
"ETN","11/23/2015",57.45,57.78,57.19,57.22,53.41448,3386100
"ETN","11/20/2015",57.03,57.68,56.93,57.59,53.75987,4810000
"ETN","11/19/2015",56.97,56.98,56.15,56.77,52.99442,4470700
"ETN","11/18/2015",55.04,56.95,55.04,56.88,53.0971,3028300
"ETN","11/17/2015",55.6,55.88,55.03,55.44,51.75286,2918700
"ETN","11/16/2015",54.1,55.42,54.04,55.41,51.72486,2748500
"ETN","11/13/2015",54.08,54.77,53.99,54.11,50.51132,3638400
"ETN","11/12/2015",54.92,55.21,54.08,54.19,50.586,5806300
"ETN","11/11/2015",55.8,56.1,55.4,55.52,51.82755,4158300
"ETN","11/10/2015",55.83,56.44,55.54,56.23,52.49033,3707700
"ETN","11/09/2015",57.23,57.29,56.04,56.36,52.61168,3952200
"ETN","11/06/2015",56.7,57.4,56.46,57.22,53.41448,5281400
"ETN","11/05/2015",56.13,57.41,55.96,57.11,53.3118,6716200
"ETN","11/05/2015",0,0,0,0,0,0
"ETN","11/04/2015",57.01,57.81,56.66,56.74,52.45299,3953200
"ETN","11/03/2015",56.5,57.46,56.4,56.74,52.45299,4003100
"ETN","11/02/2015",55.49,56.97,55.19,56.72,52.43449,4576100
"ETN","10/30/2015",54.31,56.49,54,55.91,51.6857,7023400
"ETN","10/29/2015",53.68,54.45,53.68,54.31,50.20658,3572800
"ETN","10/28/2015",52.88,54.23,52.87,54.08,49.99396,3409500
"ETN","10/27/2015",53.31,53.31,51.89,52.75,48.76445,3036400
"ETN","10/26/2015",54.49,54.68,53.69,53.78,49.71663,2820300
"ETN","10/23/2015",54.64,55.34,54,54.31,50.20658,3169000
"ETN","10/22/2015",52.73,54.96,52.72,54.35,50.24356,4617100
"ETN","10/21/2015",52.84,53.3,52.4,52.52,48.55183,3576500
"ETN","10/20/2015",51.04,53.08,50.88,52.37,48.41316,7125200
"ETN","10/19/2015",50.75,51.32,50.61,51.27,47.39627,4398200
"ETN","10/16/2015",52.07,52.07,50.68,51.15,47.28534,6785300
"ETN","10/15/2015",52.46,52.61,51.41,52.1,48.16356,4716000
"ETN","10/14/2015",53.4,53.5,52.58,52.75,48.76445,2935700
"ETN","10/13/2015",53.83,54.11,53.45,53.5,49.45779,2498600
"ETN","10/12/2015",54.86,55,53.96,54.14,50.04943,2491900
"ETN","10/09/2015",54.8,55.65,54.55,54.82,50.67805,3168300
"ETN","10/08/2015",54.01,55.48,53.9,55.3,51.12178,3902400
"ETN","10/07/2015",53.25,54.73,52.88,54.11,50.0217,5431700
"ETN","10/06/2015",52.9,53.33,52.22,52.58,48.6073,5230100
"ETN","10/05/2015",51.57,53.3,51.5,52.76,48.77369,3842700
"ETN","10/02/2015",49.78,51.41,49.46,51.4,47.51646,5100800
