"symbol","date","open","high","low","close","adjclose","volume"
"EVHC","12/31/2015",77.24551,78.35329,77.24551,77.75449,77.75449,2257300
"EVHC","12/30/2015",76.58683,77.99401,75.98802,77.78443,77.78443,1011500
"EVHC","12/29/2015",75.8982,76.85629,75.41916,76.61677,76.61677,551100
"EVHC","12/28/2015",75.7485,75.92815,74.46107,75.5988,75.5988,2013500
"EVHC","12/24/2015",75.35928,76.1976,75.20958,75.68862,75.68862,1052500
"EVHC","12/23/2015",74.67066,75.53893,73.83234,75.38922,75.38922,799200
"EVHC","12/22/2015",72.66467,74.88024,71.79641,73.86227,73.86227,4606600
"EVHC","12/21/2015",69.97006,70.98802,69.28144,70.35928,70.35928,3015800
"EVHC","12/18/2015",70.83833,71.31737,69.76048,70.17964,70.17964,2628400
"EVHC","12/17/2015",72.27545,72.45509,70.77844,71.28742,71.28742,528700
"EVHC","12/16/2015",72.39521,73.53294,70.98802,71.91617,71.91617,432100
"EVHC","12/15/2015",72.60479,73.11377,71.01797,72.03593,72.03593,1412200
"EVHC","12/14/2015",75.8982,76.13773,71.43713,72.00599,72.00599,2558200
"EVHC","12/11/2015",76.37724,77.15569,75.38922,75.68862,75.68862,1084400
"EVHC","12/10/2015",77.12575,77.90419,76.64671,77.60479,77.60479,528000
"EVHC","12/09/2015",77.42515,79.31138,76.67664,77.42515,77.42515,524100
"EVHC","12/08/2015",77.12575,78.41317,76.67664,77.87425,77.87425,578000
"EVHC","12/07/2015",79.04192,79.34132,77.54491,77.84431,77.84431,403300
"EVHC","12/04/2015",79.01198,79.97006,78.8024,79.37125,79.37125,453900
"EVHC","12/03/2015",80.41916,81.13773,78.41317,79.07185,79.07185,617100
"EVHC","12/02/2015",83.17365,83.8024,80.98802,81.31737,81.31737,429500
"EVHC","12/01/2015",83.17365,83.59281,81.88623,83.53294,83.53294,521000
"EVHC","11/30/2015",84.16167,84.37125,81.94611,82.33533,82.33533,542900
"EVHC","11/27/2015",84.4012,85,84.01198,84.61078,84.61078,186800
"EVHC","11/25/2015",83.77245,84.97006,83.68263,84.19162,84.19162,524700
"EVHC","11/24/2015",80.98802,83.77245,80.4491,83.65269,83.65269,1050000
"EVHC","11/23/2015",78.77245,82.75449,78.41317,81.76646,81.76646,836100
"EVHC","11/20/2015",77.60479,79.52096,77.03593,78.77245,78.77245,1263900
"EVHC","11/19/2015",81.70659,82.06586,75.7485,76.85629,76.85629,2572300
"EVHC","11/18/2015",81.43713,82.48503,81.10779,82.33533,82.33533,1066000
"EVHC","11/17/2015",82.33533,83.14371,80.7485,81.40719,81.40719,1053800
"EVHC","11/16/2015",83.02395,83.17365,81.91617,82.63473,82.63473,863200
"EVHC","11/13/2015",81.79641,83.71258,81.64671,82.99401,82.99401,1368900
"EVHC","11/12/2015",82.72455,84.2515,82.30539,82.60479,82.60479,2968500
"EVHC","11/11/2015",89.5509,89.8503,83.26347,83.41317,83.41317,2438200
"EVHC","11/10/2015",89.67066,90.41916,88.11377,89.28144,89.28144,660400
"EVHC","11/09/2015",89.82036,90.7485,88.26347,90.17964,90.17964,651200
"EVHC","11/06/2015",86.82635,90.92815,86.55688,90.53893,90.53893,771000
"EVHC","11/05/2015",84.88024,87.57485,83.98203,87.24551,87.24551,529700
"EVHC","11/04/2015",83.08383,84.82036,82.84431,84.82036,84.82036,1394400
"EVHC","11/03/2015",83.62276,84.5509,83.11377,83.23354,83.23354,538800
"EVHC","11/02/2015",84.1018,85.32934,83.50299,84.1018,84.1018,746200
