"symbol","date","open","high","low","close","adjclose","volume"
"EXPE","12/31/2015",125.49,126.21,123.96,124.3,122.1152,1355400
"EXPE","12/30/2015",127.68,127.97,126.01,126.27,124.0506,1083600
"EXPE","12/29/2015",126.43,128.92,126.43,127.7,125.4555,1209300
"EXPE","12/28/2015",126.3,127.48,124.66,126.1,123.8836,1023000
"EXPE","12/24/2015",126.17,127.43,125.6,126.47,124.2471,761100
"EXPE","12/23/2015",128.3,128.52,125,126.28,124.0604,2003200
"EXPE","12/22/2015",126.33,128.03,125.05,127.52,125.2786,2026200
"EXPE","12/21/2015",126.06,127.39,124.52,125.58,123.3727,1572500
"EXPE","12/18/2015",128.66,129.54,125,125.36,123.1566,6896100
"EXPE","12/17/2015",131.23,131.9,128.45,128.67,126.4084,2237800
"EXPE","12/16/2015",131.12,133.07,128.3,131.16,128.8547,5717800
"EXPE","12/15/2015",125.77,132,125.73,130.24,127.9508,4148900
"EXPE","12/14/2015",123.48,126,123.44,124.3,122.1152,2455700
"EXPE","12/11/2015",123.55,125.61,122.74,123.21,121.0444,2941600
"EXPE","12/10/2015",124.8,126.6,123.12,125.61,123.4022,2449200
"EXPE","12/09/2015",125.03,126.86,123.31,125.02,122.8226,2949300
"EXPE","12/08/2015",123.92,126.17,123.01,125.63,123.4219,1309400
"EXPE","12/07/2015",126.34,126.48,123.92,125.04,122.8422,1622800
"EXPE","12/04/2015",123.11,126.06,122.21,125.92,123.7068,2009000
"EXPE","12/03/2015",123.39,125.13,121.58,122.27,120.1209,3310700
"EXPE","12/02/2015",125,125.6,122.78,123.11,120.9462,1489400
"EXPE","12/01/2015",124.09,125.23,122.76,125.04,122.8422,2261800
"EXPE","11/30/2015",123.49,124.35,122.14,123.11,120.9462,1560200
"EXPE","11/27/2015",124.09,124.19,121.66,123.63,121.457,707700
"EXPE","11/25/2015",121.82,124,121.5,123.62,121.4472,1501300
"EXPE","11/24/2015",122.75,123.2,120.03,121.27,119.1385,2860400
"EXPE","11/23/2015",126.61,127.22,123.84,124.92,122.7243,1999900
"EXPE","11/20/2015",128.55,128.87,125.87,126.25,124.031,2632600
"EXPE","11/19/2015",126,129.97,124.38,128.09,125.8386,4700000
"EXPE","11/18/2015",121.26,125.99,121,125.3,123.0977,4405800
"EXPE","11/17/2015",123.58,124.01,119.36,120.89,118.7652,2845400
"EXPE","11/17/2015",0,0,0,0,0,0
"EXPE","11/16/2015",122.62,123.38,120.71,122.53,120.1405,5572200
"EXPE","11/13/2015",127.75,128.66,124.83,125.2,122.7585,3062200
"EXPE","11/12/2015",128.43,129.16,127.75,127.94,125.4451,2743900
"EXPE","11/11/2015",129.76,130.29,128.5,128.74,126.2295,2256200
"EXPE","11/10/2015",129.68,130.32,128.13,129.01,126.4942,2107700
"EXPE","11/09/2015",131.76,133.23,129.34,129.48,126.955,3757300
"EXPE","11/06/2015",138.08,138.2,131.6,133.32,130.7202,5417600
"EXPE","11/05/2015",139,140.51,136.41,137.31,134.6323,8745800
"EXPE","11/04/2015",137.02,137.3,132.49,134.17,131.5536,2249000
"EXPE","11/03/2015",135.41,137.5,133.57,136.39,133.7303,2012300
"EXPE","11/02/2015",136.2,137.27,133.42,135.41,132.7694,2661500
"EXPE","10/30/2015",136.17,139.58,135.7,136.3,133.6421,7583100
"EXPE","10/29/2015",125.75,127.57,124.54,127.06,124.5822,3812200
"EXPE","10/28/2015",127.98,128.02,124.61,125.8,123.3468,2596700
"EXPE","10/27/2015",128.84,129.75,125.88,127.11,124.6312,1672600
"EXPE","10/26/2015",125.88,129.26,125.71,128.39,125.8863,2172700
"EXPE","10/23/2015",129.35,129.35,125.21,125.41,122.9644,3703200
"EXPE","10/22/2015",126.9,129.74,125.6,127.58,125.0921,2607200
"EXPE","10/21/2015",130,131.51,128.14,129.14,126.6217,1390900
"EXPE","10/20/2015",130.44,131.26,128.12,129.04,126.5236,1771800
"EXPE","10/19/2015",127.43,131.07,126.5,130.45,127.9061,1775500
"EXPE","10/16/2015",125.63,127.86,125.63,127.38,124.896,1785700
"EXPE","10/15/2015",122.49,125.73,121.84,125.18,122.7389,1818100
"EXPE","10/14/2015",124.2,126.12,119.56,121.85,119.4738,4258900
"EXPE","10/13/2015",126.19,129.15,125.4,128.1,125.602,1780600
"EXPE","10/12/2015",126.26,128.68,124.79,127.02,124.543,1907600
"EXPE","10/09/2015",123.17,125.7,122.01,125.34,122.8958,1037300
"EXPE","10/08/2015",122.41,123.08,118.89,122.88,120.4837,1367800
"EXPE","10/07/2015",122.93,124.05,120.6,122.93,120.5328,831700
"EXPE","10/06/2015",123.95,124.64,120.43,122.22,119.8366,1223600
"EXPE","10/05/2015",123.75,125.83,122.79,123.95,121.5329,1219500
"EXPE","10/02/2015",118.08,122.73,118.01,122.62,120.2288,1379100
"EXPE","10/01/2015",118.5,119.99,116.55,119.92,117.5815,1305200
"EXPE","09/30/2015",115.59,117.9,114.06,117.68,115.3851,1503200
"EXPE","09/29/2015",116.67,117.21,113.22,114.01,111.7867,1877800
"EXPE","09/28/2015",119.97,120.26,115.96,116.72,114.4439,2561900
"EXPE","09/25/2015",121.98,123.3,119.05,120.05,117.7089,1791000
"EXPE","09/24/2015",121.53,122,119,120.5,118.1502,2194100
"EXPE","09/23/2015",124.31,125.63,121.8,122.14,119.7582,1658500
"EXPE","09/22/2015",125.34,125.77,123.72,124.88,122.4447,1272500
"EXPE","09/21/2015",127.4,128.39,125.37,126.33,123.8665,1077300
"EXPE","09/18/2015",127,130.99,126.32,126.49,124.0233,2476000
"EXPE","09/17/2015",125.46,130.75,125.31,128.83,126.3177,3965600
"EXPE","09/16/2015",118.95,129.1,117.45,124.68,122.2486,5111400
"EXPE","09/15/2015",116.12,119.24,115.01,118.83,116.5127,1452700
"EXPE","09/14/2015",116.96,117.42,115.28,115.75,113.4928,967700
"EXPE","09/11/2015",115.74,117.18,115.41,116.61,114.336,990800
"EXPE","09/10/2015",112.99,117.07,112.77,115.94,113.6791,1249400
"EXPE","09/09/2015",115.1,116.4,113.09,113.35,111.1396,1492100
"EXPE","09/08/2015",113.15,114.69,112.62,114.46,112.2279,986800
"EXPE","09/04/2015",111.28,112.41,110.27,111.23,109.0609,1297400
"EXPE","09/03/2015",113.61,115.34,112.63,112.89,110.6885,817900
"EXPE","09/02/2015",112.48,113.39,110.88,113.38,111.169,919100
"EXPE","09/01/2015",111.25,113.59,109.76,110.37,108.2177,1842400
"EXPE","08/31/2015",115.34,116.5,114.05,114.99,112.7476,1022700
"EXPE","08/28/2015",116.55,117.64,115.39,116.51,114.238,850300
"EXPE","08/27/2015",116.8,117.7,114.78,117.45,115.1596,1528600
"EXPE","08/26/2015",111.47,115.55,109.75,115.24,112.9927,1959800
"EXPE","08/25/2015",112.15,113.08,108.31,108.42,106.3057,1854500
"EXPE","08/25/2015",0,0,0,0,0,0
"EXPE","08/24/2015",107.5,112.72,104.76,108.34,105.9919,3173200
"EXPE","08/21/2015",117,118.67,114.45,114.51,112.0282,1988000
"EXPE","08/20/2015",121.63,122.63,118.59,118.7,116.1274,1205800
"EXPE","08/19/2015",122.99,123.99,122.12,123.14,120.4712,806900
"EXPE","08/18/2015",123.34,124.03,122.5,123.32,120.6473,944100
"EXPE","08/17/2015",121.49,123.29,120,123.01,120.344,789100
"EXPE","08/14/2015",120.56,122.16,119.66,121.65,119.0135,904500
"EXPE","08/13/2015",120.22,122.33,119.75,120.66,118.045,783900
"EXPE","08/12/2015",119.89,121.4,117.89,120.78,118.1623,1293400
"EXPE","08/11/2015",120.5,121.93,119.8,121.13,118.5048,1014700
"EXPE","08/10/2015",121.34,122.49,120.76,121.49,118.8569,990900
"EXPE","08/07/2015",121.2,122.89,120.16,121.04,118.4167,1574600
"EXPE","08/06/2015",125.99,125.99,120.79,121.6,118.9646,3194500
"EXPE","08/05/2015",126.24,128.47,126.21,126.79,124.0421,1971600
"EXPE","08/04/2015",121.87,125.98,121.65,124.56,121.8604,2368400
"EXPE","08/03/2015",121.85,123.75,120.74,122.59,119.9331,3273800
"EXPE","07/31/2015",116.36,122.19,116,121.44,118.808,7887000
"EXPE","07/30/2015",107.75,112,107.23,107.61,105.2778,4192900
"EXPE","07/29/2015",107.46,107.57,105.82,106.87,104.5538,1213500
"EXPE","07/28/2015",105.8,107.7,104.72,107.17,104.8473,1338900
"EXPE","07/27/2015",105.51,105.7,104,104.92,102.6461,1491700
"EXPE","07/24/2015",109,109,105.33,105.7,103.4092,2592100
"EXPE","07/23/2015",111.24,111.25,109.08,109.52,107.1464,781700
"EXPE","07/22/2015",109.46,110.93,109.46,110.66,108.2617,826000
"EXPE","07/21/2015",109.5,110.27,107.88,110.09,107.704,962600
"EXPE","07/20/2015",110.14,110.84,109.34,109.56,107.1855,891400
"EXPE","07/17/2015",110.37,111.8,110.06,110.79,108.3889,1952100
"EXPE","07/16/2015",108.39,110.71,108.21,110.05,107.6649,1998900
"EXPE","07/15/2015",107.08,108.04,106.25,107.45,105.1213,1148400
"EXPE","07/14/2015",110.33,110.33,107.03,107.26,104.9354,2553300
"EXPE","07/13/2015",108.97,111.2,108.8,111.12,108.7117,1558200
"EXPE","07/10/2015",106.07,108.16,105.73,107.97,105.63,1024300
"EXPE","07/09/2015",106.53,107.05,104.5,104.55,102.2841,990900
"EXPE","07/08/2015",105.79,106.38,104.32,104.87,102.5972,906700
"EXPE","07/07/2015",107.1,107.15,104.22,107.06,104.7397,1390600
"EXPE","07/06/2015",106.31,107.83,105.84,106.51,104.2016,1350000
"EXPE","07/02/2015",107.53,108.2,105.78,107.07,104.7495,1176000
"EXPE","07/01/2015",109.2,111,106.51,107.19,104.8669,2062600
"EXPE","06/30/2015",108.28,110.7,107.78,109.35,106.9801,1442600
"EXPE","06/29/2015",109.22,109.72,106.51,106.95,104.6321,1209000
"EXPE","06/26/2015",109.5,110.78,109,110.71,108.3106,1301800
"EXPE","06/25/2015",109.67,109.83,108.6,109.27,106.9018,860700
"EXPE","06/24/2015",109.62,110.5,108.94,108.98,106.6181,1008000
"EXPE","06/23/2015",109.95,110.14,109.09,109.83,107.4497,836500
"EXPE","06/22/2015",111.2,111.33,109.15,109.5,107.1268,1314400
"EXPE","06/19/2015",110,110.51,108.22,108.68,106.3246,1425200
"EXPE","06/18/2015",107.99,110.54,107.6,109.68,107.3029,1168700
"EXPE","06/17/2015",108.13,109.04,106.88,107.89,105.5517,1710600
"EXPE","06/16/2015",107.22,108.42,107.04,107.95,105.6104,979000
"EXPE","06/15/2015",107.19,107.97,106.67,107.22,104.8962,987400
"EXPE","06/12/2015",107.12,108.25,107.1,107.69,105.356,852500
"EXPE","06/11/2015",108.24,109.25,107.57,107.87,105.5321,903500
"EXPE","06/10/2015",105.99,108.37,105.58,108.17,105.8257,1429900
"EXPE","06/09/2015",104.92,105.34,103.46,105.02,102.7439,1328500
"EXPE","06/08/2015",106,106.55,104.72,104.79,102.5189,949000
"EXPE","06/05/2015",105.81,106.93,105.3,106.4,104.094,1661400
"EXPE","06/04/2015",105.8,106.34,104.98,105.64,103.3505,2149400
"EXPE","06/03/2015",109.02,109.56,106.46,106.61,104.2994,1686600
"EXPE","06/02/2015",107.09,108.18,106.03,107.63,105.2973,1473600
"EXPE","06/01/2015",107.42,108.02,106.23,107.45,105.1213,1349300
"EXPE","05/29/2015",109.04,109.45,106.98,107.26,104.9354,2809700
"EXPE","05/28/2015",110.25,110.86,108.77,109.24,106.8725,2029000
"EXPE","05/27/2015",111.32,111.82,110.37,110.93,108.5258,2703000
"EXPE","05/26/2015",113.38,113.55,110.56,110.64,108.2421,2680800
"EXPE","05/26/2015",0,0,0,0,0,0
"EXPE","05/22/2015",111.21,115,110,113,110.3749,4853200
"EXPE","05/21/2015",105.23,105.96,105.04,105.89,103.43,1000200
"EXPE","05/20/2015",103.8,105.58,102.63,105.5,103.0491,1411200
"EXPE","05/19/2015",104.25,104.67,103.64,103.72,101.3104,1177800
"EXPE","05/18/2015",103.51,104.18,102.94,103.45,101.0467,1174100
"EXPE","05/15/2015",104.52,104.9,103.11,103.41,101.0076,949700
"EXPE","05/14/2015",103.36,104.22,102.28,104.14,101.7207,1105100
"EXPE","05/13/2015",103.56,103.82,101.87,101.99,99.62063,972200
"EXPE","05/12/2015",102.7,103.48,101.6,103.22,100.8221,1411200
"EXPE","05/11/2015",102.4,104,102.35,103.81,101.3984,2077500
"EXPE","05/08/2015",101.46,102.82,101.46,102.76,100.3727,2094200
"EXPE","05/07/2015",98.9,101.16,98.42,100.97,98.62434,1619100
"EXPE","05/06/2015",98.77,99.5,97.65,99.1,96.79778,1400800
"EXPE","05/05/2015",100.42,101.02,98.75,98.77,96.47543,1526200
"EXPE","05/04/2015",101.35,102.31,100.22,100.9,98.55595,1836400
