"symbol","date","open","high","low","close","adjclose","volume"
"FL","12/31/2015",64.75,66.15,64.54,65.09,62.45329,1728000
"FL","12/30/2015",65.75,66.04,64.9,64.94,62.30938,812000
"FL","12/29/2015",65.58,66.19,65.21,65.69,63.029,880300
"FL","12/28/2015",64.7,65.87,64.38,65.26,62.61641,1181100
"FL","12/24/2015",66.52,66.62,64.38,64.99,62.35735,1199200
"FL","12/23/2015",67.75,67.76,66.05,67,64.28593,2058100
"FL","12/22/2015",64.8,67.18,64.45,66.65,63.9501,2503500
"FL","12/21/2015",64.24,64.97,63.55,64.01,61.41705,2748500
"FL","12/18/2015",63.81,65.39,63.48,64.28,61.6761,4246900
"FL","12/17/2015",65.55,66.32,63.98,64.01,61.41705,1741500
"FL","12/16/2015",64.49,65.4,64,65.08,62.44371,3116700
"FL","12/15/2015",66.46,66.62,63.69,63.85,61.26352,3528700
"FL","12/14/2015",66.51,67.8,65.29,66.03,63.35521,2761800
"FL","12/11/2015",66.74,67.02,65.94,66.4,63.71023,2129800
"FL","12/10/2015",67.05,68.24,66.63,67.07,64.3531,2767200
"FL","12/09/2015",66.32,68.14,65.67,66.44,63.7486,3040800
"FL","12/08/2015",65.4,67.49,65.36,66.57,63.87334,2147300
"FL","12/07/2015",66.1,66.57,64.84,66.33,63.64306,2459800
"FL","12/04/2015",65.12,66.34,64.55,65.88,63.21129,2096500
"FL","12/03/2015",66.16,66.32,63.09,63.91,61.3211,2713400
"FL","12/02/2015",65.84,67.14,65.75,65.89,63.2209,2429700
"FL","12/01/2015",65.56,66.61,65.29,65.68,63.0194,2408900
"FL","11/30/2015",66.13,66.24,64.67,65,62.36694,2088500
"FL","11/27/2015",66,66.61,65.54,66.25,63.5663,970100
"FL","11/25/2015",65.48,66.36,64.82,66.04,63.36481,2567600
"FL","11/24/2015",64.66,65.95,64.26,65.24,62.59722,3420800
"FL","11/23/2015",65.15,65.91,64.62,65.06,62.42451,3151200
"FL","11/20/2015",66.44,67.67,63.42,65.02,62.38613,8838700
"FL","11/19/2015",62,62,61,61.53,59.0375,5076500
