"symbol","date","open","high","low","close","adjclose","volume"
"FOXA","12/31/2015",27.2,27.46,27.07,27.16,26.46514,7038300
"FOXA","12/30/2015",27.61,27.61,27.22,27.3,26.60155,6722700
"FOXA","12/29/2015",27.6,27.82,27.48,27.57,26.86465,5983200
"FOXA","12/28/2015",27.32,27.62,27.22,27.42,26.71848,5329400
"FOXA","12/24/2015",27.49,27.7,27.3,27.43,26.72823,4174100
"FOXA","12/23/2015",27.5,27.76,27.32,27.4,26.699,7347900
"FOXA","12/22/2015",27.17,27.49,27.14,27.36,26.66002,8076600
"FOXA","12/21/2015",27.3,27.44,26.86,27.07,26.37744,10700300
"FOXA","12/18/2015",27.32,27.49,26.8,27.11,26.41642,29376200
"FOXA","12/17/2015",27.88,28.08,27.47,27.49,26.78669,12242800
"FOXA","12/16/2015",27.59,27.98,27.31,27.9,27.18621,8877300
"FOXA","12/15/2015",27.47,27.89,27.32,27.34,26.64053,8304300
"FOXA","12/14/2015",28.05,28.05,27.04,27.25,26.55283,14205700
"FOXA","12/11/2015",28.35,28.35,27.39,27.46,26.75746,11056600
"FOXA","12/10/2015",27.77,28.41,27.77,28.23,27.50776,10748200
"FOXA","12/09/2015",28.57,28.58,27.82,28.14,27.42006,15817500
"FOXA","12/08/2015",29.1,29.28,28.55,28.73,27.99497,8631300
"FOXA","12/07/2015",29.26,29.38,29,29.32,28.56987,9647900
"FOXA","12/04/2015",29.09,29.55,28.9,29.33,28.57962,11421200
"FOXA","12/03/2015",29.31,29.4,28.77,29.03,28.2873,13331700
"FOXA","12/02/2015",29.56,29.7,29.22,29.31,28.56013,9693700
"FOXA","12/01/2015",29.28,29.89,29.28,29.73,28.96939,10537100
"FOXA","11/30/2015",29.56,29.7,29.25,29.51,28.75501,11651600
"FOXA","11/27/2015",29.86,29.86,29.28,29.54,28.78425,4753300
"FOXA","11/25/2015",29.82,29.98,29.71,29.9,29.13504,7107300
"FOXA","11/24/2015",29.82,29.92,29.52,29.85,29.08632,10027100
"FOXA","11/23/2015",30.06,30.24,29.86,29.98,29.21299,8821900
"FOXA","11/20/2015",30.14,30.16,29.86,30.07,29.30069,10926600
"FOXA","11/19/2015",30.13,30.23,29.79,29.95,29.18376,9685500
"FOXA","11/18/2015",30.14,30.34,29.75,30.3,29.5248,14999900
"FOXA","11/17/2015",30.26,30.36,29.91,30.18,29.40787,7765600
"FOXA","11/16/2015",29.76,30.39,29.68,30.3,29.5248,7747300
"FOXA","11/13/2015",29.93,30.07,29.53,29.69,28.93041,11233400
"FOXA","11/12/2015",29.93,30.27,29.75,30.02,29.25197,9302400
"FOXA","11/11/2015",30.18,30.45,29.77,30.02,29.25197,9428800
"FOXA","11/10/2015",29.53,30.12,29.35,30.08,29.31043,9685300
"FOXA","11/09/2015",29.78,29.8,29.15,29.49,28.73553,8712200
"FOXA","11/06/2015",29.58,29.92,29.5,29.83,29.06683,9668300
"FOXA","11/05/2015",29.53,29.69,29.12,29.59,28.83297,20009100
"FOXA","11/04/2015",31.04,31.18,28.04,29.65,28.89143,40685700
"FOXA","11/03/2015",30.92,31.4,30.91,31.28,30.47973,12296100
"FOXA","11/02/2015",30.7,31.05,30.6,30.86,30.07048,11168500
"FOXA","10/30/2015",30.4,30.77,30.2,30.69,29.90483,15846200
"FOXA","10/29/2015",30.02,30.76,29.98,30.41,29.63199,12963200
"FOXA","10/28/2015",30.04,30.19,29.64,30.13,29.35915,14513700
"FOXA","10/27/2015",30.21,30.24,29.7,29.95,29.18376,9168600
"FOXA","10/26/2015",30.02,30.24,29.86,30.23,29.45659,9115700
"FOXA","10/23/2015",30.13,30.24,29.8,30.11,29.33967,9168300
"FOXA","10/22/2015",29.29,29.88,29.29,29.79,29.02785,10898000
"FOXA","10/21/2015",29.73,29.83,29.21,29.24,28.49192,8894000
"FOXA","10/20/2015",29.49,29.69,29.4,29.57,28.81348,10135900
"FOXA","10/19/2015",29.43,29.53,29.21,29.48,28.72578,8975000
"FOXA","10/16/2015",29.38,29.52,28.99,29.48,28.72578,13573000
"FOXA","10/15/2015",28.79,29.3,28.46,29.26,28.51141,11379900
"FOXA","10/14/2015",28.62,28.92,28.49,28.55,27.81957,7396600
"FOXA","10/13/2015",28.38,29.01,28.38,28.7,27.96574,7912900
"FOXA","10/12/2015",28.61,28.72,28.42,28.67,27.9365,6431400
"FOXA","10/09/2015",28.64,28.99,28.31,28.68,27.94625,9138800
"FOXA","10/08/2015",28.09,28.67,27.95,28.57,27.83906,12875000
"FOXA","10/07/2015",28.48,28.64,27.97,28.2,27.47853,19545700
"FOXA","10/06/2015",28.03,28.48,28.03,28.16,27.43955,13252000
"FOXA","10/05/2015",28.29,28.68,28.18,28.35,27.62469,13829200
"FOXA","10/02/2015",26.88,28.06,26.71,28.04,27.32262,19137800
"FOXA","10/01/2015",27.08,27.29,26.83,27.2,26.50411,21849200
"FOXA","09/30/2015",25.98,27.02,25.92,26.98,26.28974,27130500
"FOXA","09/29/2015",25.47,25.83,25.17,25.8,25.13993,28462300
"FOXA","09/28/2015",25.7,25.75,25.15,25.19,24.54554,14512200
"FOXA","09/25/2015",26.06,26.07,25.55,25.73,25.07172,14562500
"FOXA","09/24/2015",26.13,26.29,25.76,25.95,25.28609,18582700
"FOXA","09/23/2015",26.41,26.48,26.16,26.28,25.60765,11189700
"FOXA","09/22/2015",26.52,26.52,25.92,26.35,25.67586,13700600
"FOXA","09/21/2015",26.43,26.65,26.17,26.45,25.7733,23446200
"FOXA","09/18/2015",26.47,26.75,26.22,26.31,25.63688,94119900
"FOXA","09/17/2015",26.82,27.19,26.62,26.78,26.09486,18252300
"FOXA","09/16/2015",26.46,26.85,26.43,26.74,26.05588,13604600
"FOXA","09/15/2015",26.61,26.65,26.2,26.57,25.89023,13287800
"FOXA","09/14/2015",26.54,26.54,26.09,26.32,25.64663,12807000
"FOXA","09/11/2015",26.46,26.49,25.99,26.45,25.7733,9959900
"FOXA","09/10/2015",25.29,26.81,25.29,26.51,25.83177,12087500
"FOXA","09/09/2015",27.27,27.48,26.41,26.48,25.80253,14921900
"FOXA","09/08/2015",26.86,27.13,26.7,27.05,26.35795,12877800
"FOXA","09/04/2015",26.3,26.71,26.16,26.47,25.79279,13647100
"FOXA","09/04/2015",0,0,0,0,0,0
"FOXA","09/03/2015",27.04,27.36,26.75,26.87,26.0364,13837600
"FOXA","09/02/2015",26.84,26.95,26.37,26.95,26.11391,12508600
"FOXA","09/01/2015",26.79,27.1,26.4,26.6,25.77477,22047100
"FOXA","08/31/2015",27.7,27.79,27.33,27.39,26.54026,16131000
"FOXA","08/28/2015",27.48,28.01,27.32,27.92,27.05382,12825500
"FOXA","08/27/2015",27.63,28.12,27.13,27.8,26.93754,28426700
"FOXA","08/26/2015",27.29,27.37,26.6,27.34,26.49181,24824500
"FOXA","08/25/2015",27.26,27.51,26.73,26.73,25.90073,30427800
"FOXA","08/24/2015",24.82,27.61,22.81,26.66,25.83291,27802300
"FOXA","08/21/2015",28.34,28.57,27.94,27.94,27.0732,23673000
"FOXA","08/20/2015",29.63,29.7,28.67,28.7,27.80962,24615300
"FOXA","08/19/2015",30.08,30.12,29.9,29.96,29.03053,21481700
"FOXA","08/18/2015",30.22,30.54,30.07,30.19,29.2534,18712300
"FOXA","08/17/2015",30.01,30.59,29.86,30.53,29.58285,10923600
"FOXA","08/14/2015",30.02,30.35,29.85,30.27,29.33091,18949300
"FOXA","08/13/2015",30.04,30.24,29.8,30.12,29.18557,19337500
"FOXA","08/12/2015",29.92,30.16,29.62,30.08,29.14681,23088900
"FOXA","08/11/2015",30.55,30.62,29.87,30.05,29.11774,26460900
"FOXA","08/10/2015",30.87,31.1,30.45,30.66,29.70881,26209900
"FOXA","08/07/2015",29.61,30.79,29.61,30.69,29.73788,29626900
"FOXA","08/06/2015",29.85,30.15,27.56,29.87,28.94332,94066300
"FOXA","08/05/2015",33.32,33.41,31.52,31.92,30.92972,52007300
"FOXA","08/04/2015",34.42,34.7,34.17,34.33,33.26496,10770200
"FOXA","08/03/2015",34.62,34.62,34.19,34.38,33.31341,11352100
"FOXA","07/31/2015",34.31,34.64,34.13,34.49,33.41999,21624700
"FOXA","07/30/2015",34,34.39,33.69,34.04,32.98396,21781700
"FOXA","07/29/2015",33.39,34.07,33.39,34.01,32.95488,10396500
"FOXA","07/28/2015",33.25,33.69,33.07,33.63,32.58667,10064900
"FOXA","07/27/2015",33.67,33.85,33.07,33.17,32.14095,8701000
"FOXA","07/24/2015",33.24,33.8,33.23,33.66,32.61574,13075800
"FOXA","07/23/2015",33.55,33.65,33.04,33.23,32.19908,8253100
"FOXA","07/22/2015",33.87,33.99,33.51,33.69,32.64481,5384800
"FOXA","07/21/2015",33.85,33.95,33.48,33.51,32.47039,6896900
"FOXA","07/20/2015",33.71,33.95,33.5,33.84,32.79016,7782200
"FOXA","07/17/2015",34.02,34.27,33.45,33.99,32.93551,11539700
"FOXA","07/16/2015",34.18,34.27,34.05,34.25,33.18744,5959700
"FOXA","07/15/2015",33.61,34.04,33.59,33.93,32.87737,7675100
"FOXA","07/14/2015",33.72,33.89,33.59,33.66,32.61574,6937100
"FOXA","07/13/2015",33.31,33.77,33.29,33.67,32.62543,12884400
"FOXA","07/10/2015",32.77,33.28,32.76,33.1,32.07311,9675600
"FOXA","07/09/2015",32.52,32.75,32.44,32.48,31.47235,9937700
"FOXA","07/08/2015",32.42,32.7,32.17,32.22,31.22042,9960800
"FOXA","07/07/2015",32.63,32.73,32.01,32.68,31.66615,10398500
"FOXA","07/06/2015",32.14,32.81,32.05,32.57,31.55956,11008100
"FOXA","07/02/2015",32.66,32.9,32.33,32.36,31.35607,10806100
"FOXA","07/01/2015",32.77,33.02,32.58,32.6,31.58863,10298600
"FOXA","06/30/2015",32.62,32.91,32.36,32.55,31.54018,14752600
"FOXA","06/29/2015",32.78,32.95,32.22,32.3,31.29793,13108500
"FOXA","06/26/2015",33,33.45,32.93,32.94,31.91808,31263500
"FOXA","06/25/2015",33.03,33.26,32.94,32.96,31.93746,8240300
"FOXA","06/24/2015",33.26,33.35,32.95,32.98,31.95684,10650200
"FOXA","06/23/2015",33.25,33.47,33.2,33.42,32.38319,10003400
"FOXA","06/22/2015",33.12,33.49,33.12,33.27,32.23784,9263700
"FOXA","06/19/2015",32.99,33.32,32.81,32.91,31.88901,25747200
"FOXA","06/18/2015",32.8,33.09,32.68,33.02,31.9956,12783600
"FOXA","06/17/2015",32.38,32.79,32.22,32.69,31.67584,15010400
"FOXA","06/16/2015",32.48,32.55,32.17,32.26,31.25918,10193600
"FOXA","06/15/2015",32.31,32.54,32.14,32.46,31.45297,19672700
"FOXA","06/12/2015",32.8,32.84,32.56,32.7,31.68553,9147200
"FOXA","06/11/2015",33.01,33.19,32.53,32.9,31.87932,16628500
"FOXA","06/10/2015",32.95,33.24,32.81,32.96,31.93746,13565700
"FOXA","06/09/2015",32.99,33.1,32.74,32.81,31.79212,17060700
"FOXA","06/08/2015",33.26,33.3,32.97,33.07,32.04404,9674500
"FOXA","06/05/2015",33.49,33.59,32.98,33.3,32.26691,11283900
"FOXA","06/04/2015",33.33,33.73,33.2,33.57,32.52853,13172300
"FOXA","06/03/2015",33.76,33.78,33.38,33.64,32.59636,12613900
"FOXA","06/02/2015",33.36,33.83,33.36,33.41,32.3735,14609500
"FOXA","06/01/2015",33.79,33.86,33.38,33.58,32.53823,13966500
"FOXA","05/29/2015",33.84,33.97,33.46,33.6,32.55761,20221400
"FOXA","05/28/2015",34.06,34.09,33.76,33.96,32.90644,11025600
"FOXA","05/27/2015",33.99,34.26,33.87,34.16,33.10023,10369200
"FOXA","05/26/2015",34.26,34.29,33.74,33.95,32.89674,11325300
"FOXA","05/22/2015",34.54,34.63,34.15,34.25,33.18744,10441800
"FOXA","05/21/2015",34.48,34.83,34.48,34.61,33.53627,8880600
"FOXA","05/20/2015",34.36,34.69,34.2,34.56,33.48782,12514200
"FOXA","05/19/2015",34.02,34.56,33.97,34.36,33.29403,18821800
"FOXA","05/18/2015",33.91,34.22,33.67,33.68,32.63512,11204600
"FOXA","05/15/2015",33.39,34,33.35,33.99,32.93551,18502600
"FOXA","05/14/2015",33.13,33.34,33.04,33.33,32.29598,10437400
"FOXA","05/13/2015",32.66,33.03,32.62,32.92,31.8987,12216500
"FOXA","05/12/2015",32.64,32.84,32.38,32.6,31.58863,13104000
"FOXA","05/11/2015",32.79,33.03,32.76,32.79,31.77274,15071100
