"symbol","date","open","high","low","close","adjclose","volume"
"GILD","12/31/2015",102.36,102.42,101.17,101.19,96.10074,6245200
"GILD","12/30/2015",102.84,103.05,102.03,102.16,97.02195,4876300
"GILD","12/29/2015",102.25,103.55,101.57,103.36,98.16159,7647300
"GILD","12/28/2015",103,103.31,101.51,101.68,96.56609,5257000
"GILD","12/24/2015",103.35,103.9,103.15,103.58,98.37053,2656900
"GILD","12/23/2015",103.59,103.59,102.69,103.14,97.95267,7279900
"GILD","12/22/2015",102.99,103.54,102.49,102.86,97.68674,7122300
"GILD","12/21/2015",102.21,103.26,101.63,102.63,97.46832,8306500
"GILD","12/18/2015",101.68,101.99,100.92,101.6,96.49011,15768500
"GILD","12/17/2015",104.25,104.79,102.33,102.36,97.21188,7614400
"GILD","12/16/2015",103.18,103.49,101.64,103.34,98.14259,10950300
"GILD","12/15/2015",101.74,103,101.44,101.97,96.84151,11740300
"GILD","12/14/2015",99.97,100.93,98.66,100.49,95.43594,10251300
"GILD","12/14/2015",0,0,0,0,0,0
"GILD","12/11/2015",101.35,102.47,99.67,100.03,94.59071,9518900
"GILD","12/10/2015",102.45,103.06,101.56,102.62,97.03988,7613600
"GILD","12/09/2015",103.25,104.33,101.5,101.95,96.40631,7534900
"GILD","12/08/2015",102.07,104.07,101.73,103.53,97.90038,6675600
"GILD","12/07/2015",104.11,104.15,102.25,102.91,97.31411,5956100
"GILD","12/04/2015",101.44,104.16,101.25,104.07,98.41104,8738300
"GILD","12/03/2015",104.32,104.59,100.5,101.38,95.86729,13772400
"GILD","12/02/2015",105,105.57,104.3,104.44,98.76091,8850500
"GILD","12/01/2015",106.35,107.38,104.65,105.85,100.0942,10659500
"GILD","11/30/2015",108.21,108.31,105.69,105.96,100.1982,9837800
"GILD","11/27/2015",108.14,108.63,107.62,108,102.1273,2749200
"GILD","11/25/2015",106.57,108.07,106.31,107.78,101.9193,5720500
"GILD","11/24/2015",105.75,106.8,105.5,106.57,100.7751,6547100
"GILD","11/23/2015",106.7,107.65,105.93,106.36,100.5765,5481700
"GILD","11/20/2015",107.34,107.97,106.42,106.54,100.7467,7113200
"GILD","11/19/2015",108,108.05,106.21,106.51,100.7183,7019600
"GILD","11/18/2015",104.49,108.22,104.45,108.13,102.2503,8246800
"GILD","11/17/2015",104.45,104.89,103.5,104.53,98.84602,6921800
"GILD","11/16/2015",102.9,104,101.64,103.81,98.16515,7344200
"GILD","11/13/2015",104.09,104.18,102.12,102.57,96.9926,10848400
"GILD","11/12/2015",106.94,107.1,104.16,104.23,98.56232,8010900
"GILD","11/11/2015",108.91,109.23,107.03,107.19,101.3614,6056800
"GILD","11/10/2015",108.1,109.37,107.94,108.85,102.9311,8571300
"GILD","11/09/2015",108,108.53,107.08,108.11,102.2313,8142200
"GILD","11/06/2015",107,108.34,106.36,108.34,102.4488,8565900
"GILD","11/05/2015",108.33,108.39,106.05,107.83,101.9666,10182100
"GILD","11/04/2015",109.6,109.73,107.3,108.98,103.054,7989000
"GILD","11/03/2015",109.4,109.54,108.32,109.1,103.1675,7458600
"GILD","11/02/2015",108.76,109.95,108.32,109.6,103.6403,8362000
"GILD","10/30/2015",109.52,109.86,108.08,108.13,102.2503,8545000
"GILD","10/29/2015",108.18,110.77,107.69,109.21,103.2715,10734600
"GILD","10/28/2015",109,109.21,105.94,108.13,102.2503,17795600
"GILD","10/27/2015",109.39,111.11,108.69,110.96,104.9264,15787000
"GILD","10/26/2015",108.65,110.36,107.44,108.63,102.7231,10906500
"GILD","10/23/2015",108.46,109.65,105.5,107.99,102.1179,15001300
"GILD","10/22/2015",102,109.42,100.4,107.6,101.7491,24746600
"GILD","10/21/2015",102.79,102.92,99.37,101.73,96.19828,9837500
"GILD","10/20/2015",103.43,103.95,101.13,101.66,96.13208,10104100
"GILD","10/19/2015",102.64,103.84,101.84,103.61,97.97604,7636900
"GILD","10/16/2015",101.95,103.37,101.51,102.83,97.23845,9975800
"GILD","10/15/2015",98.09,101.69,97.6,101.64,96.11316,9462400
"GILD","10/14/2015",98.37,99.94,98.11,98.39,93.03988,9575800
"GILD","10/13/2015",98.91,99.82,98,98.19,92.85076,9411200
"GILD","10/12/2015",101.08,101.22,99.38,99.51,94.09898,8863800
"GILD","10/09/2015",101.27,101.8,99.45,100.65,95.17699,8622200
"GILD","10/08/2015",100.03,101.16,98.07,100.81,95.32828,11833100
"GILD","10/07/2015",97.99,100.79,97.5,100.27,94.81765,12457700
"GILD","10/06/2015",98.82,98.9,95.05,97.54,92.23609,14842700
"GILD","10/05/2015",99.99,101.3,97.66,99.26,93.86259,14536000
"GILD","10/02/2015",95.54,98.31,94.37,98.28,92.93586,19143500
"GILD","10/01/2015",98.54,98.79,96.35,98.27,92.92641,13403600
"GILD","09/30/2015",98.44,99.72,96.92,98.19,92.85076,15747600
"GILD","09/29/2015",95.08,97.74,93.19,96,90.77985,18416500
"GILD","09/28/2015",99.06,99.26,94.57,94.8,89.6451,23907400
"GILD","09/25/2015",104.03,104.19,99.19,100.14,94.69471,15998900
"GILD","09/24/2015",104.39,105.15,101.51,102.51,96.93586,13464100
"GILD","09/23/2015",106.47,106.85,104.7,105.49,99.75382,7973100
"GILD","09/22/2015",103.99,107.04,102.86,106.51,100.7183,14843500
"GILD","09/21/2015",109.12,109.37,104.59,105.74,99.9902,15141600
"GILD","09/18/2015",109.62,110.87,108.21,108.44,102.5434,13043700
"GILD","09/17/2015",110.88,113.31,109.75,111.61,105.541,9858400
"GILD","09/16/2015",110.72,111.75,109.48,111.03,104.9926,8116000
"GILD","09/15/2015",109.46,111.81,108.85,111.05,105.0115,7883700
"GILD","09/14/2015",109.47,109.63,108.4,109.35,103.4039,7505800
"GILD","09/14/2015",0,0,0,0,0,0
"GILD","09/11/2015",106.86,109.69,106.25,109.63,103.2621,9387600
"GILD","09/10/2015",104,108.5,103.87,107.25,101.0203,10368500
"GILD","09/09/2015",106.2,106.45,103.54,103.82,97.78954,7845600
"GILD","09/08/2015",103.84,104.95,102.91,104.9,98.80682,9992600
"GILD","09/04/2015",101.03,103.24,100.55,102.06,96.13177,10336500
"GILD","09/03/2015",104.92,105,101.69,101.91,95.9905,9928100
"GILD","09/02/2015",103.44,104.3,101.02,104.27,98.21342,11509300
"GILD","09/01/2015",102.22,104.64,101,101.49,95.59488,13548000
"GILD","08/31/2015",107.42,108.33,104.63,105.07,98.96695,11639500
"GILD","08/28/2015",106.96,108.79,106.78,107.78,101.5195,10755900
"GILD","08/27/2015",108.43,109.6,105.67,107.99,101.7173,14610300
"GILD","08/26/2015",105.92,107.1,102.46,106.96,100.7472,15627600
"GILD","08/25/2015",105.43,107.9,102.56,102.56,96.60275,18482500
"GILD","08/24/2015",97.31,101,86,100.66,94.8131,25731800
"GILD","08/21/2015",110.54,111.22,105.33,105.33,99.21184,22739400
"GILD","08/20/2015",114.86,116.09,112.35,112.39,105.8617,9200200
"GILD","08/19/2015",116.65,117.2,115.4,116.21,109.4599,7504800
"GILD","08/18/2015",116.53,117.7,115.99,117.06,110.2605,5934000
"GILD","08/17/2015",115.08,116.89,115.01,116.42,109.6577,7126700
"GILD","08/14/2015",114.66,115.87,114.55,115.6,108.8853,5523300
"GILD","08/13/2015",116.25,116.71,115.18,115.2,108.5085,6337400
"GILD","08/12/2015",114.85,116.46,113.55,116.25,109.4975,6999600
"GILD","08/11/2015",115.12,116.85,114.68,115.61,108.8947,6490300
"GILD","08/10/2015",115.73,117.12,115.51,116.58,109.8084,7776200
"GILD","08/07/2015",115.28,115.3,113.13,114.44,107.7927,9670200
"GILD","08/06/2015",119.45,119.49,114.81,115.3,108.6027,10755300
"GILD","08/05/2015",119.7,120.07,118.38,118.66,111.7676,8071000
"GILD","08/04/2015",119.6,120.37,118.56,118.87,111.9654,7876400
"GILD","08/03/2015",118.5,120.17,118.18,119.6,112.653,11660000
"GILD","07/31/2015",118.97,119,117.12,117.86,111.014,9217900
"GILD","07/30/2015",116.11,118.25,114.75,117.9,111.0517,11977200
"GILD","07/29/2015",118.38,119.46,115.11,115.71,108.9889,23144800
"GILD","07/28/2015",112.52,113.4,110.74,113.07,106.5023,16439700
"GILD","07/27/2015",112.63,112.88,108,110.54,104.1192,14883600
"GILD","07/24/2015",116.14,117.15,112.66,112.83,106.2762,15067600
"GILD","07/23/2015",117.86,118.6,117.42,117.66,110.8256,6110300
