"symbol","date","open","high","low","close","adjclose","volume"
"HRL","12/31/2015",39.735,39.855,39.47,39.54,38.15059,939800
"HRL","12/30/2015",40.005,40.175,39.53,39.83,38.4304,2154600
"HRL","12/29/2015",40.125,40.32,39.97,40.25,38.83564,1699600
"HRL","12/28/2015",39.815,40.01,39.66,40.005,38.59925,726700
"HRL","12/24/2015",39.93,40.085,39.78,39.91,38.50758,514400
"HRL","12/23/2015",40.33,40.39,39.35,39.875,38.47382,1799800
"HRL","12/22/2015",39.96,40.265,39.535,40.255,38.84046,1200700
"HRL","12/21/2015",39.65,39.895,39.455,39.83,38.4304,992800
"HRL","12/18/2015",39.515,39.705,39.26,39.395,38.01068,3361800
"HRL","12/17/2015",39.87,40.105,39.45,39.745,38.34838,3329400
"HRL","12/16/2015",39.36,39.985,39.165,39.92,38.51724,3734200
"HRL","12/15/2015",39.19,39.365,38.72,39.005,37.63439,2794400
"HRL","12/14/2015",38.26,39.065,38.09,38.99,37.61992,1482300
"HRL","12/11/2015",38.225,38.9,38.185,38.72,37.35941,1197400
"HRL","12/10/2015",38.54,38.79,38.39,38.515,37.1616,2359600
"HRL","12/09/2015",38.98,39.33,38.32,38.505,37.15195,4048600
"HRL","12/08/2015",38.5,38.955,38.24,38.86,37.49448,2313200
"HRL","12/07/2015",38.8,38.905,38.415,38.73,37.36905,2129800
"HRL","12/04/2015",37.945,38.84,37.905,38.795,37.43176,2650400
"HRL","12/03/2015",37.815,38.505,37.66,37.88,36.54892,4248400
"HRL","12/02/2015",37.725,38.045,37.695,37.74,36.41384,2969800
"HRL","12/01/2015",37.815,38.225,37.64,37.755,36.42832,4005400
"HRL","11/30/2015",37.69,37.72,37.195,37.46,36.14368,3555800
"HRL","11/27/2015",36.87,37.6,36.615,37.505,36.1871,2086200
"HRL","11/25/2015",36.12,36.985,36.04,36.775,35.48275,4061600
"HRL","11/24/2015",35.21,35.855,34.975,35.66,34.40693,3694000
"HRL","11/23/2015",34.245,34.72,34.105,34.63,33.41312,2134800
"HRL","11/20/2015",34.62,34.625,34.055,34.085,32.88727,1804200
"HRL","11/19/2015",34.405,34.6,34.23,34.42,33.21049,1511400
"HRL","11/18/2015",33.96,34.26,33.85,34.225,33.02235,2046800
