"symbol","date","open","high","low","close","adjclose","volume"
"IDXX","12/31/2015",73.53,74.17,72.9,72.92,72.92,361600
"IDXX","12/30/2015",74.33,74.99,73.7,73.97,73.97,336100
"IDXX","12/29/2015",74.32,74.97,73.75,74.3,74.3,303200
"IDXX","12/28/2015",72.79,74.36,72.48,74.16,74.16,440700
"IDXX","12/24/2015",72.48,73.24,71.91,72.95,72.95,204000
"IDXX","12/23/2015",72.53,73.59,72.17,72.47,72.47,353600
"IDXX","12/22/2015",71.52,72.34,71.3,72.2,72.2,475700
"IDXX","12/21/2015",70.24,71.37,70.05,71.34,71.34,494300
"IDXX","12/18/2015",69.82,70.56,68.84,69.96,69.96,1061800
"IDXX","12/17/2015",70.04,70.19,69.41,69.83,69.83,377900
"IDXX","12/16/2015",69.75,70.27,68.25,69.82,69.82,539400
"IDXX","12/15/2015",69.33,69.74,68.55,69.2,69.2,492500
"IDXX","12/14/2015",68.29,69.45,68.05,68.82,68.82,433000
"IDXX","12/11/2015",68.32,69.58,68.18,68.45,68.45,352500
"IDXX","12/10/2015",69.16,69.61,68,69.05,69.05,370500
"IDXX","12/09/2015",69.34,69.89,68.12,69.01,69.01,653500
"IDXX","12/08/2015",69.75,70.95,68.61,69.54,69.54,476200
"IDXX","12/07/2015",70.52,70.71,69.71,70.19,70.19,399400
"IDXX","12/04/2015",70,71.18,69.69,70.4,70.4,459400
"IDXX","12/03/2015",71.96,72.57,69.85,70.02,70.02,465000
"IDXX","12/02/2015",71.54,72.8,71.05,71.88,71.88,620000
"IDXX","12/01/2015",70.25,71.87,69.16,71.54,71.54,500600
"IDXX","11/30/2015",70.86,71.35,69.53,70.82,70.82,525100
"IDXX","11/27/2015",70.28,71.2,69.98,70.67,70.67,162000
"IDXX","11/25/2015",69.15,70.47,68.87,70.24,70.24,312300
"IDXX","11/24/2015",68.59,69.16,68.16,69.01,69.01,427700
"IDXX","11/23/2015",68.66,69.99,68.01,69.08,69.08,569000
"IDXX","11/20/2015",69.5,70.53,68.94,69.23,69.23,373600
"IDXX","11/19/2015",68.59,69.38,68.03,69.06,69.06,425900
"IDXX","11/18/2015",68.32,68.59,67.7,68.37,68.37,881600
"IDXX","11/17/2015",68.17,68.55,67.43,68.18,68.18,603700
"IDXX","11/16/2015",66.98,68.15,66.51,67.92,67.92,522300
"IDXX","11/13/2015",68.02,68.02,66.08,66.96,66.96,750200
"IDXX","11/12/2015",69.64,69.77,67.13,67.21,67.21,754800
"IDXX","11/11/2015",71.34,71.34,69,69.74,69.74,556700
"IDXX","11/10/2015",70.45,71.16,69.43,70.85,70.85,425900
"IDXX","11/09/2015",70.01,70.92,69.25,70.68,70.68,508600
"IDXX","11/06/2015",70.6,70.99,69.91,70.54,70.54,425000
"IDXX","11/05/2015",70.12,70.91,69.2,70.7,70.7,409100
"IDXX","11/04/2015",70.26,71.44,68.96,70.42,70.42,693400
"IDXX","11/03/2015",69.2,70.44,68.29,70.03,70.03,623100
"IDXX","11/02/2015",68.66,69.61,68.56,69.6,69.6,654700
"IDXX","10/30/2015",70.27,70.3,67.85,68.62,68.62,1067100
"IDXX","10/29/2015",67.92,71.9,66.89,69.96,69.96,2225200
"IDXX","10/28/2015",68.75,69.13,65.03,68.92,68.92,3941700
