"symbol","date","open","high","low","close","adjclose","volume"
"IPG","12/31/2015",23.47,23.51,23.04,23.28,21.9517,3023100
"IPG","12/30/2015",23.61,23.8,23.51,23.55,22.20629,1385500
"IPG","12/29/2015",23.66,23.74,23.5,23.65,22.30058,1424300
"IPG","12/28/2015",23.38,23.51,23.24,23.5,22.15914,1918900
"IPG","12/24/2015",23.59,23.69,23.47,23.55,22.20629,974300
"IPG","12/23/2015",23.45,23.64,23.34,23.46,22.12142,2673200
"IPG","12/22/2015",23.06,23.38,22.86,23.29,21.96112,3224700
"IPG","12/21/2015",22.81,22.94,22.7,22.93,21.62166,2155600
"IPG","12/18/2015",22.61,23.03,22.49,22.68,21.38593,5159200
"IPG","12/17/2015",22.86,22.92,22.49,22.49,21.20677,2738200
"IPG","12/16/2015",22.6,22.88,22.43,22.83,21.52737,4580200
"IPG","12/15/2015",22.66,22.79,22.36,22.39,21.11248,3897800
"IPG","12/14/2015",22.48,22.66,22.21,22.47,21.18791,3030200
"IPG","12/11/2015",22.94,22.95,22.23,22.39,21.11248,4802600
"IPG","12/10/2015",23.21,23.46,23.11,23.29,21.96112,2264500
"IPG","12/09/2015",23.38,23.59,23.02,23.15,21.82911,2882500
"IPG","12/08/2015",23.37,23.67,23.28,23.55,22.20629,2866300
"IPG","12/07/2015",23.44,23.66,23.41,23.52,22.178,4349300
"IPG","12/04/2015",23.03,23.59,23.02,23.44,22.10257,4092200
"IPG","12/03/2015",23.17,23.27,22.79,22.95,21.64052,3566700
"IPG","12/02/2015",23.28,23.3,23.01,23.05,21.73482,1985800
"IPG","12/01/2015",23.14,23.4,23.04,23.34,22.00827,4012900
"IPG","11/30/2015",23.22,23.31,22.92,23,21.68767,2844200
"IPG","11/27/2015",23.05,23.2,22.9,23.15,21.82911,1044000
"IPG","11/27/2015",0,0,0,0,0,0
"IPG","11/25/2015",23,23.26,22.95,23.16,21.72539,2309000
"IPG","11/24/2015",23.15,23.16,22.84,22.97,21.54716,4218500
"IPG","11/23/2015",23.37,23.42,23.18,23.35,21.90362,1570100
"IPG","11/20/2015",23.44,23.57,23.3,23.35,21.90362,2651000
"IPG","11/19/2015",23.11,23.43,23.08,23.3,21.85672,2628100
"IPG","11/18/2015",22.75,23.14,22.7,23.12,21.68787,2480800
"IPG","11/17/2015",22.83,22.89,22.62,22.67,21.26574,2447000
"IPG","11/16/2015",22.44,22.87,22.38,22.81,21.39707,2672100
"IPG","11/13/2015",22.86,22.95,22.39,22.45,21.05937,4682300
"IPG","11/12/2015",22.81,23.1,22.73,22.87,21.45335,2721600
"IPG","11/11/2015",23.15,23.2,22.97,23.04,21.61282,2557300
"IPG","11/10/2015",22.62,23.08,22.62,23.03,21.60344,2603500
"IPG","11/09/2015",22.76,22.89,22.5,22.67,21.26574,2855700
"IPG","11/06/2015",22.71,22.83,22.5,22.82,21.40645,3055800
"IPG","11/05/2015",23,23.06,22.76,22.76,21.35017,3612200
"IPG","11/04/2015",23.31,23.43,22.96,23,21.5753,3578600
"IPG","11/03/2015",23.41,23.48,23.04,23.28,21.83795,4913100
"IPG","11/02/2015",22.91,23.63,22.88,23.47,22.01618,4193800
"IPG","10/30/2015",22.77,23,22.64,22.93,21.50963,3597800
"IPG","10/29/2015",22.63,22.87,22.55,22.76,21.35017,3667700
"IPG","10/28/2015",22.6,22.71,22.41,22.71,21.30326,3858500
"IPG","10/27/2015",22.54,22.6,22.32,22.48,21.08751,2657300
"IPG","10/26/2015",22.41,22.7,22.39,22.62,21.21884,3629700
