"symbol","date","open","high","low","close","adjclose","volume"
"KIM","12/31/2015",26.67,26.78,26.45,26.46,24.47311,2394600
"KIM","12/30/2015",26.71,26.83,26.6,26.69,24.68584,1578300
"KIM","12/30/2015",0,0,0,0,0,0
"KIM","12/29/2015",26.82,27.13,26.67,26.97,24.70896,2350400
"KIM","12/28/2015",26.38,26.68,26.35,26.66,24.42495,2426400
"KIM","12/24/2015",26.49,26.57,26.31,26.48,24.26004,951100
"KIM","12/23/2015",26.25,26.52,26.1,26.49,24.26921,2334000
"KIM","12/22/2015",26.14,26.28,26.04,26.12,23.93022,2439200
"KIM","12/21/2015",26.08,26.14,25.86,26.09,23.90274,3648300
"KIM","12/18/2015",26.02,26.2,25.78,25.78,23.61873,5290000
"KIM","12/17/2015",26.45,26.54,26.03,26.21,24.01268,2984100
"KIM","12/16/2015",26.16,26.54,26.08,26.42,24.20508,3260100
"KIM","12/15/2015",25.56,26.1,25.5,25.86,23.69202,5111700
"KIM","12/14/2015",24.99,25.31,24.98,25.28,23.16065,4158300
"KIM","12/11/2015",25,25.34,24.98,25.13,23.02322,4371500
"KIM","12/10/2015",25.56,25.68,25.2,25.22,23.10567,3347200
"KIM","12/09/2015",25.27,25.78,25.17,25.48,23.34388,2541200
"KIM","12/08/2015",25.53,25.62,25.25,25.46,23.32556,4134400
"KIM","12/07/2015",25.63,25.85,25.47,25.59,23.44466,3811900
"KIM","12/04/2015",25.48,25.86,25.34,25.6,23.45382,6207500
"KIM","12/03/2015",25.89,25.98,25.11,25.27,23.15148,5316700
"KIM","12/02/2015",26.55,26.55,25.91,25.98,23.80196,2915100
"KIM","12/01/2015",26.3,26.67,26.18,26.65,24.41579,2841200
"KIM","11/30/2015",26.45,26.5,26.04,26.09,23.90274,3822800
"KIM","11/27/2015",26.09,26.46,26.05,26.38,24.16843,1100100
"KIM","11/25/2015",26.09,26.18,25.89,26.1,23.9119,2802800
"KIM","11/24/2015",26.07,26.22,25.87,26.08,23.89358,3865600
"KIM","11/23/2015",26.55,26.57,26.14,26.19,23.99436,3432200
"KIM","11/20/2015",26.46,26.7,26.38,26.51,24.28753,3600700
"KIM","11/19/2015",26.34,26.47,26.2,26.33,24.12262,1811700
"KIM","11/18/2015",26,26.27,25.7,26.25,24.04933,2040500
"KIM","11/17/2015",25.6,26.11,25.52,25.89,23.7195,1597600
"KIM","11/16/2015",25.48,25.81,25.26,25.79,23.62789,1965800
"KIM","11/13/2015",25.95,26.02,25.46,25.49,23.35304,2549100
"KIM","11/12/2015",26.01,26.23,25.78,25.9,23.72867,2423900
"KIM","11/11/2015",25.96,26.21,25.82,26.12,23.93022,2589600
"KIM","11/10/2015",25.53,25.9,25.43,25.83,23.66454,2049600
"KIM","11/09/2015",25.95,26.15,25.32,25.52,23.38053,3459400
"KIM","11/06/2015",26.56,26.56,25.9,26.15,23.95771,3229000
"KIM","11/05/2015",26.08,27,25.69,26.94,24.68148,2754800
"KIM","11/04/2015",27.25,27.25,26.8,26.9,24.64483,2247100
"KIM","11/03/2015",27.11,27.25,26.96,27.17,24.8922,1834700
"KIM","11/02/2015",26.71,27.33,26.69,27.31,25.02046,2681300
"KIM","10/30/2015",27.16,27.2,26.71,26.77,24.52573,3135700
"KIM","10/29/2015",26.95,27.22,26.87,27.11,24.83723,2463200
"KIM","10/28/2015",26.86,27.24,26.58,27.1,24.82807,3783400
"KIM","10/27/2015",26.49,26.88,25.81,26.85,24.59903,2918300
"KIM","10/26/2015",26.38,26.53,26.23,26.52,24.29669,2052000
"KIM","10/23/2015",26.38,26.49,26.09,26.32,24.11346,2124100
"KIM","10/22/2015",26.13,26.41,26,26.39,24.17759,2448800
"KIM","10/21/2015",26.26,26.33,25.87,25.91,23.73783,2090200
"KIM","10/20/2015",26.16,26.26,25.97,26.08,23.89358,2399700
"KIM","10/19/2015",25.81,26.2,25.75,26.18,23.9852,2671300
"KIM","10/16/2015",25.43,25.87,25.43,25.84,23.6737,3122700
"KIM","10/15/2015",25.26,25.46,25.14,25.42,23.28891,5796800
"KIM","10/14/2015",26,26,25.22,25.26,23.14232,3985700
"KIM","10/13/2015",25.82,26.09,25.66,25.93,23.75615,3929700
"KIM","10/12/2015",25.5,25.88,25.34,25.86,23.69202,5126900
"KIM","10/09/2015",25.71,25.75,25.29,25.45,23.31639,3642300
"KIM","10/08/2015",25.41,25.74,25.26,25.71,23.5546,2620700
"KIM","10/07/2015",25.05,25.37,24.97,25.37,23.2431,2982700
"KIM","10/06/2015",25.26,25.42,24.99,25.01,22.91328,2741000
"KIM","10/05/2015",24.94,25.29,24.8,25.26,23.14232,3424500
"KIM","10/02/2015",24.3,24.89,24.2,24.89,22.80334,4831600
"KIM","10/01/2015",24.34,24.54,23.98,24.49,22.43687,4779400
"KIM","10/01/2015",0,0,0,0,0,0
"KIM","09/30/2015",24.41,24.48,24.14,24.43,22.16203,4156800
"KIM","09/29/2015",23.67,24.12,23.67,24.08,21.84452,2872900
"KIM","09/28/2015",24.01,24.08,23.44,23.68,21.48165,3238300
"KIM","09/25/2015",23.98,24.24,23.76,24.12,21.88081,3616200
"KIM","09/24/2015",24.12,24.32,23.75,23.93,21.70844,3420800
"KIM","09/23/2015",24.05,24.37,23.97,24.23,21.98059,2195500
"KIM","09/22/2015",23.93,24.26,23.84,24.06,21.82638,3832000
"KIM","09/21/2015",24.16,24.49,24.09,24.29,22.03502,3756300
"KIM","09/18/2015",23.47,24.33,23.45,24.13,21.88988,7512700
"KIM","09/17/2015",23.55,24.3,23.49,23.84,21.6268,3344900
"KIM","09/16/2015",23.25,23.67,23.25,23.59,21.40001,2491900
"KIM","09/15/2015",23.03,23.4,22.89,23.27,21.10972,2769500
"KIM","09/14/2015",23.09,23.1,22.84,22.96,20.8285,2134500
"KIM","09/11/2015",22.39,23,22.37,23,20.86478,3175100
"KIM","09/10/2015",22.22,22.64,22.12,22.46,20.37491,4643600
"KIM","09/09/2015",22.82,22.87,22.22,22.26,20.19348,2735700
"KIM","09/08/2015",22.57,22.7,22.34,22.64,20.5382,3200600
"KIM","09/04/2015",22.56,22.61,22.07,22.28,20.21162,3187500
"KIM","09/03/2015",22.88,23.03,22.55,22.83,20.71057,3033800
"KIM","09/02/2015",22.9,22.9,22.49,22.76,20.64706,3909900
"KIM","09/01/2015",22.64,22.97,22.34,22.54,20.44749,4818800
"KIM","08/31/2015",23.48,23.58,23.02,23.05,20.91014,6902700
"KIM","08/28/2015",23.78,23.78,23.46,23.58,21.39094,4619800
"KIM","08/27/2015",23.75,24.04,23.39,23.81,21.59958,5283700
"KIM","08/26/2015",23.23,23.61,22.78,23.55,21.36372,7235800
"KIM","08/25/2015",23.76,23.9,22.52,22.6,20.50192,6017200
"KIM","08/24/2015",24.9,25.57,23.23,23.3,21.13693,7127700
"KIM","08/21/2015",25.13,25.21,24.54,24.55,22.27089,4181700
"KIM","08/20/2015",25.29,25.4,25.06,25.18,22.8424,2544400
"KIM","08/19/2015",25.51,25.54,25.22,25.4,23.04198,2820100
"KIM","08/18/2015",25.47,25.7,25.43,25.66,23.27784,1856400
"KIM","08/17/2015",25.39,25.57,25.15,25.55,23.17805,2209200
"KIM","08/14/2015",25.25,25.42,25.1,25.4,23.04198,1716100
"KIM","08/13/2015",25,25.44,24.94,25.32,22.9694,2876100
"KIM","08/12/2015",24.83,25.17,24.74,25.16,22.82426,4012300
"KIM","08/11/2015",24.64,25.04,24.58,24.9,22.58839,3074400
"KIM","08/10/2015",24.98,25.06,24.57,24.67,22.37975,2967300
"KIM","08/07/2015",24.76,24.96,24.52,24.91,22.59747,1959700
"KIM","08/06/2015",24.62,24.86,24.35,24.82,22.51582,3995200
"KIM","08/05/2015",24.97,24.99,24.57,24.65,22.3616,2837000
"KIM","08/04/2015",25,25.33,24.85,24.88,22.57025,2980600
"KIM","08/03/2015",24.7,25.07,24.7,25.06,22.73354,3921000
"KIM","07/31/2015",24.69,24.99,24.65,24.71,22.41603,3394600
"KIM","07/30/2015",24.44,24.62,24.35,24.45,22.18017,2970700
"KIM","07/29/2015",24.4,24.64,24.22,24.51,22.2346,3242500
"KIM","07/28/2015",24.36,24.61,24.23,24.41,22.14388,3647600
"KIM","07/27/2015",24.32,24.51,24.23,24.33,22.07131,2215800
"KIM","07/24/2015",24.08,24.4,24.07,24.29,22.03502,2773600
"KIM","07/23/2015",24.54,24.58,24.01,24.15,21.90802,2887600
"KIM","07/22/2015",24.33,24.62,24.22,24.55,22.27089,2396700
"KIM","07/21/2015",24.45,24.59,24.32,24.33,22.07131,2039700
"KIM","07/20/2015",24.34,24.51,24.25,24.45,22.18017,1527500
"KIM","07/17/2015",24.54,24.65,24.37,24.45,22.18017,3337200
"KIM","07/16/2015",24.38,24.59,24.3,24.54,22.26181,3549900
"KIM","07/15/2015",24.04,24.41,23.92,24.26,22.00781,3886400
"KIM","07/14/2015",24.09,24.24,23.87,24.11,21.87174,3878400
"KIM","07/13/2015",24.07,24.24,23.84,24.04,21.80824,3497000
"KIM","07/10/2015",23.79,24.11,23.68,23.88,21.66309,3161600
"KIM","07/09/2015",24.02,24.13,23.56,23.63,21.4363,2407100
"KIM","07/08/2015",23.54,24.05,23.54,23.84,21.6268,5626000
"KIM","07/07/2015",23.26,23.69,23.26,23.68,21.48165,4315700
"KIM","07/06/2015",22.78,23.2,22.71,23.18,21.02807,4495500
"KIM","07/02/2015",23.11,23.19,22.86,22.9,20.77407,2918200
"KIM","07/01/2015",22.45,22.75,22.3,22.73,20.61985,2957700
"KIM","07/01/2015",0,0,0,0,0,0
"KIM","06/30/2015",22.83,22.93,22.48,22.54,20.22977,3973900
"KIM","06/29/2015",23.06,23.3,22.65,22.67,20.34644,3060800
"KIM","06/26/2015",23.11,23.33,23.04,23.13,20.75929,2811700
"KIM","06/25/2015",23.28,23.29,23.12,23.12,20.75032,2056500
"KIM","06/24/2015",23.35,23.46,23.15,23.25,20.867,2315500
"KIM","06/23/2015",23.47,23.57,23.28,23.34,20.94777,2280500
"KIM","06/22/2015",23.96,23.96,23.48,23.5,21.09137,2953100
"KIM","06/19/2015",23.83,24.01,23.76,23.76,21.32473,2653800
"KIM","06/18/2015",23.65,24.14,23.65,24.02,21.55807,2983000
"KIM","06/17/2015",23.43,23.66,23.23,23.62,21.19907,1793900
"KIM","06/16/2015",23.26,23.51,23.19,23.44,21.03752,2901300
"KIM","06/15/2015",23.21,23.37,23.11,23.26,20.87597,3648800
"KIM","06/12/2015",23.32,23.42,23.22,23.27,20.88495,3063500
"KIM","06/11/2015",23.42,23.54,23.34,23.4,21.00162,3094400
"KIM","06/10/2015",23.04,23.47,22.98,23.27,20.88495,2065100
"KIM","06/09/2015",23.34,23.36,23.02,23.06,20.69647,1340400
"KIM","06/08/2015",23.39,23.46,23.22,23.31,20.92085,2082400
"KIM","06/05/2015",23.39,23.5,23.15,23.34,20.94777,3008000
"KIM","06/04/2015",23.73,23.86,23.6,23.65,21.226,2257000
"KIM","06/03/2015",24.02,24.05,23.68,23.76,21.32473,2347500
"KIM","06/02/2015",24.21,24.21,23.85,24.03,21.56705,2185200
"KIM","06/01/2015",23.99,24.38,23.91,24.27,21.78245,2570400
"KIM","05/29/2015",24.32,24.41,23.87,23.96,21.50422,4823400
"KIM","05/28/2015",24.27,24.37,24.12,24.32,21.82733,2177300
"KIM","05/27/2015",24.07,24.36,24.01,24.31,21.81835,1425600
"KIM","05/26/2015",24.3,24.34,23.99,24.03,21.56705,2970900
"KIM","05/22/2015",24.32,24.51,24.14,24.34,21.84528,1275800
"KIM","05/21/2015",24.53,24.59,24.17,24.31,21.81835,1897700
"KIM","05/20/2015",24.47,24.68,24.41,24.46,21.95298,1433500
"KIM","05/19/2015",24.47,24.62,24.4,24.49,21.9799,2207200
"KIM","05/18/2015",24.51,24.64,24.37,24.54,22.02478,1648400
"KIM","05/15/2015",24.55,24.64,24.43,24.63,22.10555,5271100
"KIM","05/14/2015",24.05,24.47,24.05,24.47,21.96195,2259000
"KIM","05/13/2015",24.23,24.43,23.87,23.96,21.50422,3147700
"KIM","05/12/2015",23.97,24.2,23.71,24.13,21.6568,2395100
"KIM","05/11/2015",24.45,24.5,23.98,24.13,21.6568,3808200
"KIM","05/08/2015",24.5,25.03,24.46,24.55,22.03375,3123800
"KIM","05/07/2015",23.97,24.31,23.71,24.22,21.73758,3662300
"KIM","05/06/2015",23.88,23.92,23.68,23.89,21.4414,3307300
