"symbol","date","open","high","low","close","adjclose","volume"
"L","12/31/2015",38.37,38.73,38.19,38.4,37.96062,1284500
"L","12/30/2015",38.7,38.88,38.45,38.51,38.06936,760000
"L","12/29/2015",38.64,38.86,38.5,38.8,38.35604,776600
"L","12/28/2015",38.28,38.42,38.19,38.34,37.90131,902600
"L","12/24/2015",38.5,38.61,38.18,38.47,38.02982,410300
"L","12/23/2015",38.05,38.55,37.92,38.47,38.02982,1320300
"L","12/22/2015",37.14,37.87,36.86,37.8,37.36747,1062400
"L","12/21/2015",36.81,37.06,36.66,37.04,36.61618,1294700
"L","12/18/2015",36.88,36.88,36.28,36.68,36.2603,2918300
"L","12/17/2015",37.78,37.85,36.95,36.96,36.53709,1086800
"L","12/16/2015",37.67,37.83,37.23,37.76,37.32793,1046600
"L","12/15/2015",37.23,37.56,36.99,37.41,36.98195,1385300
"L","12/14/2015",36.99,37.26,36.61,36.77,36.34927,1768000
"L","12/11/2015",37.27,37.36,36.87,36.92,36.49755,1461500
"L","12/10/2015",37.17,38.03,37.17,37.8,37.36747,2192600
"L","12/09/2015",37.85,38.29,37.08,37.2,36.77435,1511400
"L","12/08/2015",38,38.27,37.83,38.02,37.58497,1852500
"L","12/07/2015",38.28,38.46,38.11,38.33,37.89142,1021600
"L","12/04/2015",37.53,38.54,37.46,38.41,37.9705,1691300
"L","12/03/2015",38.34,38.34,37.39,37.5,37.07092,1826600
"L","12/02/2015",38.27,38.4,38.14,38.25,37.81233,1661400
"L","12/01/2015",38.05,38.34,37.51,38.31,37.87165,1148800
"L","11/30/2015",37.75,38.14,37.53,37.89,37.45646,1473700
"L","11/27/2015",37.79,37.91,37.58,37.72,37.2884,313300
"L","11/25/2015",37.85,37.85,37.69,37.77,37.33783,507000
"L","11/25/2015",0,0,0,0,0,0
"L","11/24/2015",37.62,37.96,37.56,37.86,37.36452,685300
"L","11/23/2015",37.91,37.99,37.75,37.76,37.26582,491500
"L","11/20/2015",37.98,38.19,37.76,37.91,37.41386,707700
"L","11/19/2015",37.95,37.99,37.7,37.86,37.36452,806100
"L","11/18/2015",37.57,38.02,37.57,37.97,37.47308,945900
"L","11/17/2015",37.6,37.84,37.23,37.49,36.99936,1137700
"L","11/16/2015",36.79,37.57,36.79,37.57,37.07831,1036600
"L","11/13/2015",36.97,37.35,36.91,36.96,36.4763,943400
"L","11/12/2015",37.29,37.49,37.02,37.03,36.54538,906800
"L","11/11/2015",37.85,37.95,37.45,37.53,37.03884,660700
"L","11/10/2015",37.58,37.9,37.5,37.83,37.33492,634500
"L","11/09/2015",37.8,37.88,37.47,37.63,37.13753,1386500
"L","11/06/2015",37.39,37.81,37.21,37.8,37.3053,1157400
"L","11/05/2015",37.04,37.32,36.9,37.24,36.75263,10926700
"L","11/04/2015",37.27,37.45,36.97,37.02,36.53551,1097200
"L","11/03/2015",37.47,37.75,37.2,37.27,36.78224,1256200
"L","11/02/2015",36.01,37.67,35.82,37.58,37.08818,1914300
"L","10/30/2015",36.86,37,36.45,36.46,35.98283,1382900
"L","10/29/2015",36.7,36.95,36.52,36.8,36.31839,1039500
"L","10/28/2015",36.23,36.85,36.2,36.85,36.36773,1089000
"L","10/27/2015",36.39,36.45,36.03,36.12,35.64729,1039300
"L","10/26/2015",36.68,36.82,36.56,36.62,36.14075,969400
"L","10/23/2015",36.78,36.87,36.53,36.7,36.2197,1250400
"L","10/22/2015",36.41,36.71,36.41,36.59,36.11114,1626200
"L","10/21/2015",36.52,36.65,36.22,36.25,35.77559,864800
"L","10/20/2015",36.07,36.54,35.87,36.43,35.95324,1442100
"L","10/19/2015",36.07,36.28,35.98,36.11,35.63742,1527600
"L","10/16/2015",36.07,36.28,35.98,36.18,35.7065,1605100
"L","10/15/2015",35.77,36.11,35.5,36.01,35.53872,1392000
"L","10/14/2015",36.07,36.13,35.56,35.64,35.17357,1554200
"L","10/13/2015",36.15,36.39,36,36.03,35.55847,3548000
"L","10/12/2015",36.27,36.46,36,36.33,35.85454,4107900
"L","10/09/2015",36.8,36.86,36.22,36.29,35.81506,3826000
"L","10/08/2015",36.45,36.78,36.45,36.78,36.29865,3211200
"L","10/07/2015",36.94,37.1,36.43,36.55,36.07166,1960100
"L","10/06/2015",36.6,36.95,36.47,36.74,36.25917,2705700
"L","10/05/2015",35.88,36.74,35.85,36.64,36.16049,3091200
"L","10/02/2015",34.71,35.63,34.4,35.55,35.08475,2597900
"L","10/01/2015",36.16,36.28,35.08,35.37,34.9071,2974900
"L","09/30/2015",35.98,36.28,35.91,36.14,35.66702,1398200
"L","09/29/2015",35.41,35.7,35.34,35.65,35.18344,1262200
"L","09/28/2015",35.73,35.81,35.38,35.4,34.93671,1724700
"L","09/25/2015",36.05,36.25,35.82,35.97,35.49925,1148900
"L","09/24/2015",35.35,35.91,35.29,35.72,35.25252,1545100
"L","09/23/2015",35.84,36.87,35.53,35.69,35.22291,1479100
"L","09/22/2015",35.78,36.08,35.69,35.88,35.41043,1289000
"L","09/21/2015",35.97,36.29,35.89,36.23,35.75585,1695500
"L","09/18/2015",35.7,36.1,35.62,35.81,35.34135,3457000
"L","09/17/2015",36.58,36.86,36.21,36.27,35.79532,1302700
"L","09/16/2015",36.41,36.62,36.33,36.56,36.08153,1007500
"L","09/15/2015",36.21,36.41,35.98,36.37,35.89402,1735100
"L","09/14/2015",36.29,36.39,36.01,36.1,35.62755,1151300
"L","09/11/2015",36.1,36.32,35.89,36.31,35.8348,1098000
"L","09/10/2015",36.05,36.54,35.89,36.24,35.76572,1488900
"L","09/09/2015",36.96,36.99,36.04,36.09,35.61769,1163000
"L","09/08/2015",36.64,36.67,36.2,36.61,36.13087,1840300
"L","09/04/2015",36,36.29,35.9,36.09,35.61769,2068700
"L","09/03/2015",36.12,36.81,36.12,36.48,36.00258,1559900
"L","09/02/2015",35.98,36.15,35.57,36.06,35.58808,1347800
"L","09/01/2015",35.75,36.16,35.5,35.72,35.25252,2469600
"L","08/31/2015",36.32,36.56,36.16,36.45,35.97298,2037600
"L","08/28/2015",36.35,36.73,36.22,36.53,36.05192,1958600
"L","08/27/2015",36.16,36.54,35.7,36.52,36.04205,2801100
"L","08/27/2015",0,0,0,0,0,0
"L","08/26/2015",36.2,36.2,35.36,35.79,35.25943,2360800
"L","08/25/2015",37.18,37.18,35.31,35.36,34.83581,2999600
"L","08/24/2015",35.4,36.96,35.21,36.11,35.57469,4553700
"L","08/21/2015",37.49,37.72,37.07,37.08,36.53031,3707600
"L","08/20/2015",38.13,38.29,37.78,37.79,37.22978,1302800
"L","08/19/2015",38.43,38.69,38.28,38.45,37.88,956700
"L","08/18/2015",38.73,39.01,38.67,38.77,38.19526,1045900
"L","08/17/2015",38.76,38.85,38.28,38.82,38.24451,1262600
"L","08/14/2015",38.78,39.03,38.78,38.99,38.41199,1271300
"L","08/13/2015",38.71,38.92,38.56,38.81,38.23466,1295200
"L","08/12/2015",38.77,38.95,38.42,38.8,38.22481,1406800
"L","08/11/2015",38.61,39.1,38.57,39.03,38.4514,2018600
"L","08/10/2015",38.15,39.05,38.11,39.05,38.47111,2021700
"L","08/07/2015",37.86,38.14,37.84,37.94,37.37756,1447100
"L","08/06/2015",37.69,38.04,37.55,37.97,37.40712,1470200
"L","08/05/2015",37.71,38.03,37.6,37.7,37.14112,1657700
"L","08/04/2015",37.21,37.54,37.02,37.51,36.95393,1855100
"L","08/03/2015",37.65,37.76,36.71,37.09,36.54016,2708800
