"symbol","date","open","high","low","close","adjclose","volume"
"LEG","12/31/2015",42.42,42.53,42.01,42.02,39.69438,468800
"LEG","12/30/2015",42.99,43.15,42.51,42.54,40.18559,398800
"LEG","12/29/2015",43.07,43.29,42.89,43.11,40.72405,469700
"LEG","12/28/2015",42.6,42.81,42.39,42.77,40.40287,443000
"LEG","12/24/2015",42.72,42.96,42.65,42.81,40.44065,276900
"LEG","12/23/2015",42.57,43.27,42.46,42.87,40.49733,774900
"LEG","12/22/2015",42.53,42.59,42.05,42.25,39.91165,759800
"LEG","12/21/2015",42.34,42.59,41.59,42.34,39.99666,951600
"LEG","12/18/2015",43.25,43.4,42.14,42.14,39.80774,3202200
"LEG","12/17/2015",44.03,44.2,43.28,43.28,40.88464,842800
"LEG","12/16/2015",42.88,44.2,42.87,44.02,41.58368,1634500
"LEG","12/15/2015",43.42,43.44,42.79,42.89,40.51622,1164300
"LEG","12/14/2015",43.25,43.6,42.76,43.08,40.69571,816000
"LEG","12/11/2015",43.13,43.54,42.92,43.29,40.89408,953200
"LEG","12/11/2015",0,0,0,0,0,0
"LEG","12/10/2015",43.97,44.13,43.17,43.59,40.87519,812600
"LEG","12/09/2015",45.05,45.49,43.87,43.97,41.23153,962900
"LEG","12/08/2015",45.58,45.58,45.02,45.23,42.41305,840000
"LEG","12/07/2015",45.99,46.16,45.46,45.73,42.88191,565600
"LEG","12/04/2015",45.55,46.13,45.2,46.11,43.23825,744500
"LEG","12/03/2015",46.38,46.38,45.27,45.46,42.62873,1196600
"LEG","12/02/2015",46.74,46.81,46.09,46.17,43.29451,666800
"LEG","12/01/2015",46.8,46.9,46.44,46.72,43.81026,428200
"LEG","11/30/2015",47.26,47.26,46.56,46.6,43.69772,1117300
"LEG","11/27/2015",47.1,47.35,46.98,47.15,44.21348,249400
"LEG","11/25/2015",46.83,47.14,46.6,47.07,44.13845,724400
"LEG","11/24/2015",45.75,46.8,45.46,46.76,43.84776,1035000
"LEG","11/23/2015",45.64,46.44,45.62,46.25,43.36953,1005400
"LEG","11/20/2015",45.21,45.66,45.09,45.62,42.77876,687600
"LEG","11/19/2015",45.06,45.43,44.82,44.95,42.1505,730400
"LEG","11/18/2015",44.4,45.14,44.22,45.05,42.24426,1184100
"LEG","11/17/2015",44.9,45.01,44.3,44.39,41.62537,794800
"LEG","11/16/2015",44.11,44.73,43.84,44.68,41.8973,558400
"LEG","11/13/2015",44.99,45.08,44.03,44.1,41.35342,638200
"LEG","11/12/2015",45.55,45.67,45.08,45.13,42.31928,779900
"LEG","11/11/2015",46.15,46.36,45.86,46.09,43.21949,548600
"LEG","11/10/2015",45.5,46.08,45.3,46.04,43.17261,637000
"LEG","11/09/2015",46.16,46.18,45.26,45.65,42.80689,671900
"LEG","11/06/2015",46.14,46.39,45.72,46.26,43.3789,951000
"LEG","11/05/2015",46.16,46.38,45.75,46.32,43.43517,805600
