"symbol","date","open","high","low","close","adjclose","volume"
"LUV","12/31/2015",43.18,43.3,42.75,43.06,42.3253,3826000
"LUV","12/30/2015",44.35,44.42,43.32,43.35,42.61035,2630600
"LUV","12/29/2015",43.95,44.42,43.82,44.34,43.58346,2722400
"LUV","12/28/2015",43.93,44.41,43.29,43.82,43.07233,2243600
"LUV","12/24/2015",43.5,44.44,43.5,43.9,43.15097,1963000
"LUV","12/23/2015",43.55,43.63,42.92,43.44,42.69881,4838800
"LUV","12/22/2015",43.56,43.68,43.03,43.54,42.79711,3692900
"LUV","12/21/2015",43.24,43.64,43,43.37,42.63002,4934600
"LUV","12/18/2015",43.24,43.83,42.67,42.74,42.01076,8605900
"LUV","12/17/2015",44.85,45.22,43.49,43.51,42.76762,5083100
"LUV","12/16/2015",44.4,45.11,43.9,44.8,44.03561,4628600
"LUV","12/15/2015",44.29,44.74,43.81,44.22,43.4655,5534500
"LUV","12/14/2015",43.65,44,42.66,43.77,43.02318,6419800
"LUV","12/11/2015",44.55,44.57,43.22,43.42,42.67915,6601700
"LUV","12/10/2015",44.83,45.86,44.56,45.25,44.47793,9659800
"LUV","12/09/2015",45.14,45.88,43.85,44.5,43.74073,9673200
"LUV","12/08/2015",47.6,47.6,44.2,45.04,44.27152,20004600
"LUV","12/08/2015",0,0,0,0,0,0
"LUV","12/07/2015",49.88,51.34,49.41,49.58,48.66033,8786000
"LUV","12/04/2015",47.7,49.45,47.68,49.41,48.49349,8516300
"LUV","12/03/2015",47.52,47.93,46.69,47.29,46.41281,7639800
"LUV","12/02/2015",47.74,48.49,47.26,47.51,46.62872,5450200
"LUV","12/01/2015",46,47.08,45.9,47.04,46.16745,5365600
"LUV","11/30/2015",45.9,46,45.4,45.88,45.02896,4812600
"LUV","11/27/2015",45.99,46.29,45.6,45.82,44.97008,4423300
"LUV","11/25/2015",46.42,46.6,45.7,45.88,45.02896,3824600
"LUV","11/24/2015",46.41,46.65,45.41,46.23,45.37247,7939000
"LUV","11/23/2015",47.45,47.76,46.93,47.47,46.58947,4011200
"LUV","11/20/2015",47,47.4,46.91,47.32,46.44225,6133900
"LUV","11/19/2015",46.57,47.15,46.5,46.87,46.0006,4140700
"LUV","11/18/2015",45.93,46.42,45.1,46.31,45.45099,5641200
"LUV","11/17/2015",46,46.66,45.77,45.93,45.07804,4877500
"LUV","11/16/2015",45.26,45.78,44.68,45.74,44.89156,5772700
"LUV","11/13/2015",46.55,46.81,45.66,45.89,45.03878,5348000
"LUV","11/12/2015",46.58,47.19,46.52,46.69,45.82394,4391400
