"symbol","date","open","high","low","close","adjclose","volume"
"MAT","12/31/2015",27.41,27.45,27.04,27.17,24.85034,3161800
"MAT","12/30/2015",27.7,27.93,27.4,27.44,25.09729,1897000
"MAT","12/29/2015",27.68,27.87,27.48,27.68,25.3168,2473500
"MAT","12/28/2015",27.58,27.69,27.2,27.47,25.12473,2689800
"MAT","12/24/2015",27.65,27.89,27.5,27.69,25.32595,1447400
"MAT","12/23/2015",27.23,27.73,27.05,27.66,25.29851,5140400
"MAT","12/22/2015",26.48,27.02,25.97,27.02,24.71315,5067800
"MAT","12/21/2015",26.31,26.43,26.13,26.38,24.12779,4011500
"MAT","12/18/2015",26.64,26.8,26.18,26.19,23.95401,7944200
"MAT","12/17/2015",27.6,27.65,26.74,26.85,24.55767,6156700
"MAT","12/16/2015",27.41,27.68,26.67,27.53,25.17961,8468800
"MAT","12/15/2015",27.27,27.49,26.96,27.09,24.77718,8034000
"MAT","12/14/2015",26.96,27.58,26.76,27.07,24.75888,13832800
"MAT","12/11/2015",25.29,26.42,25.27,26.25,24.00889,10644500
"MAT","12/10/2015",25.3,25.86,25.28,25.57,23.38695,7317500
"MAT","12/09/2015",25.08,26.09,25.03,25.31,23.14914,7031600
"MAT","12/08/2015",25.4,25.9,25.27,25.38,23.21317,6365600
"MAT","12/07/2015",25.46,25.99,25.4,25.75,23.55158,8041100
"MAT","12/04/2015",24.97,25.64,24.86,25.54,23.35951,10319600
"MAT","12/03/2015",24.59,24.86,24.28,24.48,22.39,7322000
"MAT","12/02/2015",24.79,24.92,24.48,24.62,22.51805,4241700
"MAT","12/01/2015",24.93,25.03,24.57,24.83,22.71012,5816100
"MAT","11/30/2015",24.56,24.87,24.37,24.86,22.73756,4941400
"MAT","11/27/2015",24.79,24.9,24.4,24.48,22.39,1717300
"MAT","11/25/2015",24.43,24.99,24.08,24.81,22.69183,4110900
"MAT","11/24/2015",23.46,24.52,23.38,24.37,22.2894,4790400
"MAT","11/23/2015",24.18,24.43,23.53,23.55,21.5394,4551200
"MAT","11/23/2015",0,0,0,0,0,0
"MAT","11/20/2015",24.51,24.76,24.25,24.54,22.09733,5666500
"MAT","11/19/2015",24.34,24.47,24.02,24.4,21.97126,3606300
"MAT","11/18/2015",24.75,25.08,23.99,24.35,21.92624,6756400
"MAT","11/17/2015",23.88,26.06,23.87,24.71,22.2504,18180600
"MAT","11/16/2015",23.08,23.83,22.92,23.78,21.41298,6418600
"MAT","11/13/2015",23.35,23.46,22.63,23.2,20.89071,4532400
"MAT","11/12/2015",23.87,24.05,23.37,23.46,21.12483,3584600
"MAT","11/11/2015",24.4,24.44,23.83,24.04,21.64709,2920200
"MAT","11/10/2015",24.68,24.79,24.04,24.34,21.91723,3300900
"MAT","11/09/2015",24.59,24.77,24.33,24.7,22.2414,4570800
"MAT","11/06/2015",24.68,24.75,24.4,24.62,22.16936,5051100
"MAT","11/05/2015",24.9,25.11,24.58,24.79,22.32244,4112300
"MAT","11/04/2015",25.35,25.54,24.76,24.87,22.39448,3227000
"MAT","11/03/2015",24.94,25.57,24.78,25.32,22.79968,4652600
"MAT","11/02/2015",24.61,25.06,24.45,24.96,22.47552,4088500
"MAT","10/30/2015",24.66,24.76,24.49,24.58,22.13334,4195200
"MAT","10/29/2015",24.4,24.68,24.28,24.63,22.17837,3851000
"MAT","10/28/2015",24.1,24.62,23.86,24.44,22.00728,5279000
"MAT","10/27/2015",24.25,24.35,23.84,23.89,21.51203,6422600
"MAT","10/26/2015",24.79,24.98,24.33,24.49,22.0523,4378600
"MAT","10/23/2015",24.68,24.89,24.16,24.74,22.27742,4864800
"MAT","10/22/2015",23.96,24.71,23.94,24.49,22.0523,4766000
"MAT","10/21/2015",23.77,24.02,23.63,23.85,21.47601,4886300
"MAT","10/20/2015",23.06,23.96,23.03,23.78,21.41298,5821100
"MAT","10/19/2015",23.85,23.85,22.98,23.14,20.83668,9208200
"MAT","10/16/2015",24.11,24.55,23.01,23.89,21.51203,15615900
"MAT","10/15/2015",22.38,22.62,22,22.53,20.2874,6963500
"MAT","10/14/2015",22.48,22.8,22.3,22.52,20.27839,3923600
"MAT","10/13/2015",22.37,22.87,22.15,22.47,20.23337,5797200
"MAT","10/12/2015",22.87,23,22.43,22.49,20.25138,6011100
"MAT","10/09/2015",22.23,22.53,21.83,22.35,20.12531,5127400
"MAT","10/08/2015",21.89,22.56,21.88,22.33,20.1073,4363400
"MAT","10/07/2015",21.84,22.5,21.62,21.82,19.64807,6429100
"MAT","10/06/2015",21.56,21.74,21.09,21.7,19.54001,6540700
"MAT","10/05/2015",20.02,21.7,20.02,21.62,19.46798,11024800
"MAT","10/02/2015",19.64,20.07,19.45,19.93,17.9462,7649300
"MAT","10/01/2015",20.8,20.96,19.66,19.83,17.85615,9285700
"MAT","09/30/2015",21.15,21.15,20.35,21.06,18.96372,6564400
"MAT","09/29/2015",21.6,21.76,20.97,21.03,18.9367,6497000
"MAT","09/28/2015",22.37,22.49,21.58,21.61,19.45898,5005100
"MAT","09/25/2015",22.89,22.9,22.44,22.63,20.37744,4210400
"MAT","09/24/2015",22.49,22.72,22.06,22.6,20.35043,3203100
"MAT","09/23/2015",22.94,23.11,22.58,22.72,20.45848,3120100
"MAT","09/22/2015",22.93,23.12,22.73,22.87,20.59355,3792800
"MAT","09/21/2015",23.14,23.37,23.02,23.19,20.8817,2827600
"MAT","09/18/2015",23.54,23.82,22.94,23.04,20.74663,5543200
"MAT","09/17/2015",24.07,24.2,23.7,23.83,21.458,4711500
"MAT","09/16/2015",23.13,24.1,23.03,24.03,21.63809,6291000
"MAT","09/15/2015",22.8,23.2,22.73,23.12,20.81867,3106000
"MAT","09/14/2015",22.65,22.8,22.49,22.72,20.45848,2608200
"MAT","09/11/2015",22.63,22.94,22.29,22.6,20.35043,3732600
"MAT","09/10/2015",22.72,23.14,22.67,22.76,20.4945,5437700
"MAT","09/09/2015",23.23,23.35,22.75,22.81,20.53953,2903900
"MAT","09/08/2015",23.17,23.25,22.9,23,20.71062,2615100
"MAT","09/04/2015",22.81,23.04,22.75,22.82,20.54853,3020000
"MAT","09/03/2015",23.05,23.33,22.88,23.1,20.80066,2937600
"MAT","09/02/2015",22.82,22.93,22.29,22.93,20.64758,3363000
"MAT","09/01/2015",22.69,23.21,22.48,22.57,20.32342,5935500
"MAT","08/31/2015",23.03,23.49,22.9,23.43,21.09781,4965200
"MAT","08/28/2015",22.69,23.56,22.66,23.2,20.89071,5420300
"MAT","08/27/2015",22.01,22.93,21.79,22.83,20.55754,6847600
"MAT","08/26/2015",21.78,21.89,21.28,21.75,19.58504,6106900
"MAT","08/25/2015",21.71,22.09,21.19,21.44,19.30589,8988600
"MAT","08/24/2015",21.37,21.76,20.5,21.44,19.30589,12693100
"MAT","08/24/2015",0,0,0,0,0,0
"MAT","08/21/2015",22.67,22.82,22.32,22.58,19.99024,9089100
"MAT","08/20/2015",22.54,23.02,22.42,22.76,20.1496,5270900
"MAT","08/19/2015",22.8,22.84,22.49,22.51,19.92827,3809500
"MAT","08/18/2015",23.48,23.5,22.81,22.9,20.27354,3408000
"MAT","08/17/2015",22.98,23.48,22.96,23.41,20.72505,3604700
"MAT","08/14/2015",23.1,23.36,22.91,23.09,20.44175,3954600
"MAT","08/13/2015",23.41,23.41,22.92,23.08,20.4329,4148700
"MAT","08/12/2015",22.92,23.27,22.7,23.22,20.55684,4480800
"MAT","08/11/2015",23.35,23.4,23.13,23.3,20.62766,3895700
"MAT","08/10/2015",22.97,23.6,22.83,23.54,20.84014,4676600
"MAT","08/07/2015",22.62,22.89,22.5,22.82,20.20272,3902700
"MAT","08/06/2015",22.76,22.93,22.53,22.63,20.03451,4585100
"MAT","08/05/2015",22.84,23,22.62,22.93,20.3001,4580600
"MAT","08/04/2015",22.44,22.62,22.32,22.62,20.02566,5624400
"MAT","08/03/2015",23.51,23.57,22.33,22.51,19.92827,4749200
"MAT","07/31/2015",23.43,23.47,23.07,23.21,20.54799,3785800
"MAT","07/30/2015",23.09,23.65,23.03,23.44,20.75161,5038100
"MAT","07/29/2015",22.94,23.22,22.9,23.12,20.46831,3497300
"MAT","07/28/2015",23.1,23.2,22.82,23.06,20.41519,3842800
"MAT","07/27/2015",23.06,23.17,22.82,23.08,20.4329,5873700
"MAT","07/24/2015",23.54,23.56,22.92,23.21,20.54799,6341100
"MAT","07/23/2015",23.64,23.74,23.44,23.53,20.83129,4653300
"MAT","07/22/2015",23.77,23.84,23.34,23.7,20.98179,6801900
"MAT","07/21/2015",23.91,24.11,23.53,23.73,21.00835,5520000
"MAT","07/20/2015",24.35,24.43,23.77,24.01,21.25624,6704500
"MAT","07/17/2015",25.76,25.82,23.73,24.31,21.52183,15123800
"MAT","07/16/2015",25.71,25.85,25.08,25.15,22.26548,5565000
"MAT","07/15/2015",25.82,25.95,25.38,25.59,22.65502,3288600
"MAT","07/14/2015",26.07,26.1,25.77,25.82,22.85864,3016000
"MAT","07/13/2015",25.47,26.13,25.42,26.1,23.10653,4997300
"MAT","07/10/2015",25.99,26,25.23,25.38,22.46911,5358800
"MAT","07/09/2015",26.32,26.51,25.74,25.78,22.82323,4039000
"MAT","07/08/2015",25.9,26.32,25.82,26.04,23.05341,4237100
"MAT","07/07/2015",25.84,26.11,25.65,26.04,23.05341,3514000
"MAT","07/06/2015",25.77,25.93,25.62,25.77,22.81437,4118900
"MAT","07/02/2015",26.31,26.36,25.99,26.07,23.07997,2872400
"MAT","07/01/2015",25.95,26.35,25.41,26.34,23.319,4653300
"MAT","06/30/2015",26.04,26.14,25.55,25.69,22.74355,2851000
"MAT","06/29/2015",26.64,26.72,25.87,25.9,22.92946,2591000
"MAT","06/26/2015",26.62,27.22,26.6,26.9,23.81477,6172600
"MAT","06/25/2015",26.76,26.8,26.4,26.62,23.56689,3151200
"MAT","06/24/2015",26.81,27.01,26.7,26.74,23.67312,5396900
"MAT","06/23/2015",26.88,27.05,26.75,26.8,23.72624,2749700
"MAT","06/22/2015",26.79,26.99,26.7,26.87,23.78821,2391700
"MAT","06/19/2015",26.98,27.08,26.6,26.67,23.61115,5198600
"MAT","06/18/2015",27.04,27.33,26.99,27.01,23.91216,3120700
"MAT","06/17/2015",26.54,26.99,26.34,26.95,23.85904,2936300
"MAT","06/16/2015",25.93,26.39,25.8,26.38,23.35441,2912300
"MAT","06/15/2015",26.02,26.05,25.71,25.87,22.9029,2879000
"MAT","06/12/2015",26.45,26.6,26.08,26.13,23.13309,3286700
"MAT","06/11/2015",26.32,26.6,26.3,26.6,23.54918,2592800
"MAT","06/10/2015",26.13,26.57,26.03,26.35,23.32785,2950500
"MAT","06/09/2015",25.98,26.23,25.85,26.01,23.02685,2797800
"MAT","06/08/2015",25.68,25.94,25.61,25.82,22.85864,2789600
"MAT","06/05/2015",25.32,25.74,25.31,25.62,22.68158,3005000
"MAT","06/04/2015",25.55,25.67,25.23,25.35,22.44255,2852700
"MAT","06/03/2015",25.66,25.71,25.4,25.66,22.71699,3912500
"MAT","06/02/2015",25.68,25.94,25.57,25.58,22.64617,2867300
"MAT","06/01/2015",25.84,26.16,25.62,25.81,22.84978,2739900
"MAT","05/29/2015",25.77,25.93,25.51,25.81,22.84978,3534600
"MAT","05/28/2015",26.11,26.11,25.77,25.86,22.89405,2105200
"MAT","05/27/2015",26.11,26.23,25.84,26.11,23.11538,3919300
"MAT","05/26/2015",26.28,26.28,26.05,26.07,23.07997,5056800
"MAT","05/22/2015",26.19,26.47,26.09,26.34,23.319,3889900
"MAT","05/21/2015",25.67,26.27,25.65,26.12,23.12424,4951700
"MAT","05/20/2015",25.65,25.79,25.36,25.76,22.80552,4197100
"MAT","05/20/2015",0,0,0,0,0,0
"MAT","05/19/2015",26.27,26.42,25.76,26.01,22.69043,5228900
"MAT","05/18/2015",26.85,27.04,26.17,26.28,22.92598,3457700
