"symbol","date","open","high","low","close","adjclose","volume"
"NEM","12/31/2015",17.72,18.05,17.67,17.99,17.79657,4189200
"NEM","12/30/2015",17.71,17.81,17.62,17.77,17.57894,3502700
"NEM","12/29/2015",18.14,18.17,17.87,18.03,17.83614,4034900
"NEM","12/28/2015",18.29,18.41,17.74,17.91,17.71743,3941600
"NEM","12/24/2015",18.29,18.61,18.23,18.54,18.34066,2068300
"NEM","12/23/2015",17.86,18.25,17.76,18.14,17.94496,6848800
"NEM","12/22/2015",17.53,17.89,17.48,17.8,17.60861,4180300
"NEM","12/21/2015",18.09,18.25,17.5,17.65,17.46023,5473300
"NEM","12/18/2015",17.8,18.15,17.58,17.71,17.51958,10314100
"NEM","12/17/2015",18.44,18.44,17.5,17.61,17.42066,9910900
"NEM","12/16/2015",18.79,19.26,18.65,19.08,18.87485,7861300
"NEM","12/15/2015",18.45,18.58,18.07,18.4,18.20216,5912700
"NEM","12/14/2015",19.06,19.13,18.22,18.35,18.1527,7814700
"NEM","12/11/2015",19.13,19.8,18.93,19.13,18.92431,7556900
"NEM","12/10/2015",19.5,19.79,19.42,19.43,19.22109,4764700
"NEM","12/09/2015",19.76,20.04,19.29,19.6,19.38926,7829200
"NEM","12/09/2015",0,0,0,0,0,0
"NEM","12/08/2015",19.61,19.7,19.15,19.38,19.14689,6702500
"NEM","12/07/2015",20.03,20.17,19.55,19.75,19.51245,10049800
"NEM","12/04/2015",18.94,20.49,18.87,20.46,20.21391,14378700
"NEM","12/03/2015",18.09,18.94,18.03,18.73,18.50471,8868000
"NEM","12/02/2015",18.06,18.39,17.77,17.85,17.6353,6892000
"NEM","12/01/2015",18.24,18.45,17.85,18.39,18.1688,8016200
"NEM","11/30/2015",17.59,18.52,17.48,18.41,18.18856,10308100
"NEM","11/27/2015",17.5,17.63,17.24,17.39,17.18083,5513700
"NEM","11/25/2015",17.71,18.25,17.67,17.91,17.69458,4456700
"NEM","11/24/2015",17.82,18.15,17.58,18,17.78349,6282800
"NEM","11/23/2015",17.54,17.67,17.23,17.56,17.34878,5308300
"NEM","11/20/2015",18.1,18.18,17.58,17.68,17.46734,7405100
"NEM","11/19/2015",17.8,18.11,17.64,18.05,17.83289,6775700
"NEM","11/18/2015",17,17.72,16.82,17.63,17.41794,7371500
"NEM","11/17/2015",17.51,17.67,16.65,16.88,16.67696,8350600
"NEM","11/16/2015",17.59,17.91,17.5,17.63,17.41794,6464000
"NEM","11/13/2015",17.33,17.51,17.23,17.5,17.28951,4716500
