"symbol","date","open","high","low","close","adjclose","volume"
"NI","12/31/2015",19.78,19.86,19.49,19.51,18.44162,2559200
"NI","12/30/2015",19.75,19.89,19.74,19.82,18.73464,1780400
"NI","12/29/2015",19.5,19.83,19.5,19.8,18.71574,1580400
"NI","12/28/2015",19.28,19.47,19.17,19.47,18.40381,1355300
"NI","12/24/2015",19.33,19.46,19.3,19.31,18.25257,815400
"NI","12/23/2015",19.12,19.38,19.02,19.33,18.27147,2683100
"NI","12/22/2015",18.89,19.12,18.64,19.11,18.06352,1740500
"NI","12/21/2015",19.03,19.06,18.79,18.89,17.85557,2753900
"NI","12/18/2015",19.18,19.2,18.85,18.96,17.92174,3578000
"NI","12/17/2015",19.37,19.43,19.12,19.28,18.22421,1638700
"NI","12/16/2015",18.84,19.31,18.76,19.31,18.25257,2892300
"NI","12/15/2015",18.84,18.89,18.68,18.71,17.68543,2758800
"NI","12/14/2015",18.63,18.84,18.6,18.84,17.80831,1999200
"NI","12/11/2015",18.91,18.95,18.63,18.66,17.63817,2169700
"NI","12/10/2015",19.26,19.54,19.02,19.04,17.99735,3151100
"NI","12/09/2015",19.29,19.43,19.08,19.26,18.20531,2863300
"NI","12/08/2015",19.07,19.31,18.97,19.25,18.19586,2757500
"NI","12/07/2015",19,19.15,18.72,19.14,18.09188,4429200
"NI","12/04/2015",18.99,19.15,18.87,19.1,18.05407,3416800
"NI","12/03/2015",19.32,19.39,18.9,18.93,17.89338,2083000
"NI","12/02/2015",19.39,19.41,19.19,19.29,18.23367,3364400
"NI","12/01/2015",19.23,19.41,19.14,19.39,18.32819,2023800
"NI","11/30/2015",19.26,19.31,19,19.19,18.13914,4042100
"NI","11/27/2015",19.18,19.38,19.12,19.22,18.1675,866100
"NI","11/25/2015",19.5,19.5,19.08,19.14,18.09188,3029900
"NI","11/24/2015",19.73,19.73,19.49,19.52,18.45107,2330700
"NI","11/23/2015",19.85,20.01,19.65,19.75,18.66847,2326200
"NI","11/20/2015",19.77,20.13,19.72,19.83,18.74409,2877200
"NI","11/19/2015",19.6,19.75,19.52,19.71,18.63067,1447200
"NI","11/18/2015",19.34,19.6,19.15,19.58,18.50779,3404400
"NI","11/17/2015",19.24,19.48,19.13,19.18,18.12969,1674100
"NI","11/16/2015",19.04,19.32,19,19.32,18.26202,2094200
"NI","11/13/2015",19.07,19.2,19,19.08,18.03516,1670000
"NI","11/12/2015",19.36,19.52,19.09,19.14,18.09188,1754700
"NI","11/11/2015",19.32,19.57,19.29,19.42,18.35655,2365200
"NI","11/10/2015",18.94,19.3,18.9,19.25,18.19586,3071400
"NI","11/09/2015",18.83,19.05,18.76,18.92,17.88393,2636900
"NI","11/06/2015",19.24,19.31,18.77,18.96,17.92174,4611500
"NI","11/05/2015",19.37,19.7,19.25,19.56,18.48888,3686800
"NI","11/04/2015",19.12,19.39,19.12,19.36,18.29983,3315700
"NI","11/03/2015",19.22,19.44,19,19.12,18.07298,2628600
"NI","11/02/2015",19.13,19.28,19.04,19.18,18.12969,3131700
"NI","10/30/2015",18.92,19.35,18.92,19.16,18.11079,2835500
"NI","10/29/2015",19.1,19.1,18.74,18.89,17.85557,3963700
"NI","10/28/2015",19.19,19.28,18.85,19.1,18.05407,3182000
"NI","10/28/2015",0,0,0,0,0,0
"NI","10/27/2015",19.52,19.56,19.13,19.27,18.06825,2805600
"NI","10/26/2015",19.65,19.65,19.43,19.57,18.34954,1544900
"NI","10/23/2015",19.72,19.85,19.49,19.61,18.38705,2385200
"NI","10/22/2015",19.44,19.8,19.39,19.75,18.51831,1742700
"NI","10/21/2015",19.59,19.75,19.36,19.4,18.19014,1543500
"NI","10/20/2015",19.5,19.56,19.3,19.54,18.32141,3439600
"NI","10/19/2015",19.42,19.55,19.29,19.55,18.33079,1818400
"NI","10/16/2015",19.47,19.52,19.29,19.46,18.2464,1911000
"NI","10/15/2015",19.12,19.42,18.94,19.39,18.18076,2204800
"NI","10/14/2015",19.12,19.18,19.03,19.07,17.88072,1517600
"NI","10/13/2015",18.81,19.29,18.81,19.11,17.91823,3736400
"NI","10/12/2015",19.04,19.15,18.94,19.05,17.86197,2257200
"NI","10/09/2015",19.07,19.08,18.92,18.98,17.79633,2522900
"NI","10/08/2015",18.9,19.15,18.79,19.09,17.89948,2573300
"NI","10/07/2015",18.82,19.06,18.75,18.93,17.74945,4831300
"NI","10/06/2015",19.01,19.04,18.67,18.72,17.55255,4287900
"NI","10/05/2015",18.91,19.16,18.82,19.05,17.86197,3733500
"NI","10/02/2015",18.56,18.83,18.4,18.82,17.64631,3600900
"NI","10/01/2015",18.7,18.8,18.33,18.47,17.31814,3535800
"NI","09/30/2015",17.99,18.57,17.93,18.55,17.39315,3490600
"NI","09/29/2015",17.85,18.06,17.72,17.9,16.78369,2790700
"NI","09/28/2015",17.89,18,17.67,17.83,16.71805,3034600
"NI","09/25/2015",17.67,18.13,17.67,17.95,16.83057,4170800
"NI","09/24/2015",17.38,17.59,17.3,17.59,16.49302,3230300
