"symbol","date","open","high","low","close","adjclose","volume"
"NOC","12/31/2015",189.46,190.65,187.55,188.81,183.0932,550600
"NOC","12/30/2015",191.4,191.87,189.81,190.08,184.3247,470700
"NOC","12/29/2015",190.82,191.82,190.56,191.48,185.6824,616000
"NOC","12/28/2015",189.94,190.28,188.64,189.98,184.2278,419100
"NOC","12/24/2015",189.4,190.98,189.27,190.11,184.3538,230200
"NOC","12/23/2015",190.41,190.41,189.36,190,184.2471,490400
"NOC","12/22/2015",189.92,190.67,187.7,189.37,183.6362,875600
"NOC","12/21/2015",186,189.07,185.5,189.01,183.2871,1368100
"NOC","12/18/2015",187.51,187.51,184.41,184.86,179.2628,2908000
"NOC","12/17/2015",189.91,190.5,188.29,188.31,182.6083,2444700
"NOC","12/16/2015",189.79,191,187.31,189.75,184.0047,1423400
"NOC","12/15/2015",188.03,189.75,187.61,187.84,182.1526,1935600
"NOC","12/14/2015",186.62,188.5,185.24,187.07,181.4059,1253900
"NOC","12/11/2015",185.6,187.11,185.06,186.02,180.3877,1594200
"NOC","12/10/2015",186.73,188.24,186.68,187.46,181.7841,1458300
"NOC","12/09/2015",187.16,188.57,185.08,186.55,180.9016,1386000
"NOC","12/08/2015",186.56,188.92,185.96,188,182.3077,1213900
"NOC","12/07/2015",187.97,188.44,186.77,187.99,182.298,707700
"NOC","12/04/2015",183.48,188.2,183.39,187.95,182.2592,891900
"NOC","12/03/2015",185.97,186.38,182.01,183.06,177.5173,1186600
"NOC","12/02/2015",186.92,187.82,185.42,185.69,180.0677,750100
"NOC","12/01/2015",187.09,189.37,186.6,187.31,181.6386,1035900
"NOC","11/30/2015",188.92,188.93,185.95,186.36,180.7174,1534300
"NOC","11/27/2015",188.07,188.95,186.58,188.41,182.7053,456300
"NOC","11/25/2015",187.76,188.95,186.96,187.77,182.0847,886900
"NOC","11/25/2015",0,0,0,0,0,0
"NOC","11/24/2015",186.8,188.61,186.18,188,181.532,1025800
"NOC","11/23/2015",189.5,190,187.77,187.83,181.3678,889200
