"symbol","date","open","high","low","close","adjclose","volume"
"NOV","12/31/2015",33.55,33.93,33.17,33.49,32.66859,4007100
"NOV","12/30/2015",33.67,34.46,33.63,33.74,32.91247,3224800
"NOV","12/29/2015",34.71,34.73,34.01,34.24,33.4002,4081500
"NOV","12/28/2015",34.15,34.51,34,34.15,33.3124,4156200
"NOV","12/24/2015",35.34,35.39,34.77,34.8,33.94646,2311700
"NOV","12/23/2015",35.14,35.42,34.87,35.33,34.46346,5536700
"NOV","12/22/2015",33.89,34.51,33.81,34.34,33.49775,3637600
"NOV","12/21/2015",33.3,34.05,33.22,33.9,33.06853,5926000
"NOV","12/18/2015",33.54,33.78,33.22,33.27,32.45399,9883800
"NOV","12/17/2015",34.23,34.42,33.29,33.67,32.84417,5322000
"NOV","12/16/2015",34.41,35.04,33.85,34.32,33.47823,5073500
"NOV","12/15/2015",33.99,35.27,33.93,34.66,33.8099,7144300
"NOV","12/14/2015",33.31,33.68,32.89,33.56,32.73688,6823800
"NOV","12/11/2015",33.62,33.7,33.1,33.29,32.4735,5988900
"NOV","12/10/2015",33.63,34.4,33.51,33.8,32.97099,4493900
"NOV","12/09/2015",33.82,35.29,33.47,33.85,33.01976,7078300
"NOV","12/08/2015",33.97,34.47,33.44,33.5,32.67835,8161200
"NOV","12/07/2015",35.56,35.57,34.4,34.64,33.79038,9035400
"NOV","12/04/2015",36.49,37.53,36.16,36.59,35.69256,9669600
"NOV","12/03/2015",37.23,37.72,36.86,37.05,36.14127,7340400
"NOV","12/02/2015",36.9,37.91,36.9,37.08,36.17054,5973400
"NOV","12/02/2015",0,0,0,0,0,0
"NOV","12/01/2015",37.39,38.04,36.98,37.72,36.34613,4851400
"NOV","11/30/2015",37.78,38,37.25,37.34,35.97997,5253400
"NOV","11/27/2015",37.72,38,37.17,37.35,35.9896,1426800
"NOV","11/25/2015",38.16,38.89,37.71,38.08,36.69301,3271200
"NOV","11/24/2015",37.81,38.78,37.63,38.61,37.20371,3644500
"NOV","11/23/2015",37.21,37.76,36.83,37.33,35.97034,3270200
"NOV","11/20/2015",37.55,37.89,36.65,37.26,35.90288,3640200
"NOV","11/19/2015",37.98,38.45,37.46,37.6,36.2305,2427000
"NOV","11/18/2015",37.46,38.4,37.33,38.34,36.94355,3632900
"NOV","11/17/2015",37.69,37.69,36.8,37.04,35.6909,2651100
"NOV","11/16/2015",37.3,38.15,36.97,37.77,36.3943,3151700
"NOV","11/13/2015",37.32,37.76,36.84,37.33,35.97034,2714900
"NOV","11/12/2015",36.95,38.31,36.58,37.45,36.08596,4213200
"NOV","11/11/2015",38.77,38.92,37.54,37.77,36.3943,4287500
"NOV","11/10/2015",38.6,39.27,38.38,38.82,37.40606,2554600
"NOV","11/09/2015",39.7,40.06,38.33,38.93,37.51205,4234300
"NOV","11/06/2015",39.1,40.06,38.84,39.79,38.34073,3624900
"NOV","11/05/2015",39.5,40.13,39.11,39.5,38.06128,4053900
"NOV","11/04/2015",39.9,40.23,39.5,39.89,38.43709,4774300
"NOV","11/03/2015",39.1,40.24,39.04,39.94,38.48527,5612100
"NOV","11/02/2015",37.28,38.95,37.27,38.85,37.43496,5094300
