"symbol","date","open","high","low","close","adjclose","volume"
"NWL","12/31/2015",43.63,44.63,43.42,44.08,42.47255,2155000
"NWL","12/30/2015",44.29,44.29,43.74,43.75,42.15458,1795900
"NWL","12/29/2015",44.58,44.76,43.91,44.24,42.62671,3038300
"NWL","12/28/2015",43.61,44.4,43.17,44.37,42.75197,2858700
"NWL","12/24/2015",44.15,44.31,43.53,43.61,42.01968,1184500
"NWL","12/23/2015",44.67,44.76,43.68,44.27,42.65562,4498100
"NWL","12/22/2015",44.83,44.94,43.47,44.43,42.80978,4633300
"NWL","12/21/2015",44.94,45.09,44.43,44.8,43.16628,2704700
"NWL","12/18/2015",44.57,45.03,44.11,44.71,43.07957,5537000
"NWL","12/17/2015",45.33,45.43,44.04,44.82,43.18556,6693900
"NWL","12/16/2015",44.98,45.87,43.91,45.18,43.53243,10678200
"NWL","12/15/2015",42.61,44.48,42.4,44.13,42.52072,20325200
"NWL","12/14/2015",41.63,43.55,40.12,42.15,40.61293,24839400
"NWL","12/11/2015",46.69,46.69,45.08,45.28,43.62879,2253700
"NWL","12/10/2015",46.58,48.18,46.48,47.22,45.49804,4560800
"NWL","12/09/2015",46.57,47.54,45.8,46.52,44.82357,4709000
"NWL","12/08/2015",48.24,48.38,45.53,46.95,45.23788,7509100
"NWL","12/07/2015",44.67,50.9,43.95,48.16,46.40376,7264600
"NWL","12/04/2015",43.98,44.89,43.85,44.83,43.19519,1666400
"NWL","12/03/2015",44.9,44.9,43.52,43.8,42.20275,1997500
"NWL","12/02/2015",45.5,45.58,44.45,44.64,43.01212,2033700
"NWL","12/01/2015",44.83,45.54,44.67,45.51,43.8504,1805100
"NWL","11/30/2015",44.57,44.71,44.25,44.66,43.03139,1767100
"NWL","11/27/2015",44.51,44.76,44.4,44.62,42.99285,401700
"NWL","11/25/2015",44.57,44.84,44.28,44.54,42.91577,1002000
"NWL","11/25/2015",0,0,0,0,0,0
"NWL","11/24/2015",44.39,44.81,44.31,44.69,42.87722,1021800
"NWL","11/23/2015",44.37,44.94,44.36,44.75,42.93479,824000
"NWL","11/20/2015",44.2,44.42,43.97,44.41,42.60858,1334800
"NWL","11/19/2015",44.2,44.37,43.74,43.93,42.14805,1299500
"NWL","11/18/2015",43.48,44.17,43.18,44.1,42.31116,1187400
"NWL","11/17/2015",43.46,44.07,43.23,43.43,41.66833,1523500
"NWL","11/16/2015",42.56,43.27,42.43,43.24,41.48605,1609500
"NWL","11/13/2015",44.15,44.23,42.63,42.68,40.94876,2464300
"NWL","11/12/2015",44.48,44.73,44.21,44.22,42.42629,2459100
"NWL","11/11/2015",44.33,44.99,44.11,44.98,43.15546,2368400
"NWL","11/10/2015",43.7,44.34,43.64,44.18,42.38792,1644600
"NWL","11/09/2015",44.05,44.23,43.4,43.8,42.02333,3026400
"NWL","11/06/2015",43.75,44.36,43.73,44.25,42.45507,2286000
"NWL","11/05/2015",44.04,44.1,43.45,43.85,42.0713,1653600
"NWL","11/04/2015",44,44.23,43.56,43.92,42.13846,1729900
"NWL","11/03/2015",43.68,44.21,43.51,43.97,42.18643,2728000
"NWL","11/02/2015",42.54,43.76,42.39,43.71,41.93698,2091600
"NWL","10/30/2015",41.51,43.01,41.4,42.43,40.7089,3949900
"NWL","10/29/2015",43.48,43.59,43,43.28,41.52442,2069400
"NWL","10/28/2015",43.4,43.9,43.11,43.72,41.94658,1372700
"NWL","10/27/2015",43.18,43.46,42.98,43.26,41.50523,1557400
"NWL","10/26/2015",42.96,43.5,42.8,43.39,41.62996,1689300
"NWL","10/23/2015",43.39,43.41,42.76,42.95,41.20781,2409700
"NWL","10/22/2015",42.61,43.49,42.39,42.91,41.16942,3133500
"NWL","10/21/2015",42.66,42.78,41.77,42.34,40.62255,1733000
"NWL","10/20/2015",42.59,42.84,42.32,42.49,40.76646,1422700
"NWL","10/19/2015",42.69,43.12,42.52,42.72,40.98714,1380800
"NWL","10/16/2015",42.38,42.89,41.99,42.82,41.08308,1242700
"NWL","10/15/2015",42.45,42.5,41.95,42.42,40.6993,1692900
"NWL","10/14/2015",42.28,42.64,41.66,42.33,40.61296,1779700
"NWL","10/13/2015",42.28,42.65,42.16,42.26,40.5458,1224000
"NWL","10/12/2015",42.17,42.6,42.06,42.55,40.82403,1409100
"NWL","10/09/2015",42.42,42.62,42.01,42.22,40.50742,1772800
"NWL","10/08/2015",41.52,42.5,41.37,42.42,40.6993,1674900
"NWL","10/07/2015",41.06,41.7,40.85,41.66,39.97013,1910800
"NWL","10/06/2015",41.53,41.66,40.58,40.94,39.27934,2628700
"NWL","10/05/2015",40.94,41.76,40.64,41.59,39.90297,3227100
"NWL","10/02/2015",39.93,40.67,39.43,40.61,38.96273,2936200
"NWL","10/01/2015",40.08,40.55,39.39,40.29,38.6557,4484800
