"symbol","date","open","high","low","close","adjclose","volume"
"PDCO","12/31/2015",45.19,45.66,45.09,45.21,43.20883,577700
"PDCO","12/30/2015",45.51,45.83,45.35,45.45,43.43821,562300
"PDCO","12/29/2015",45.52,45.66,45.21,45.53,43.51466,416700
"PDCO","12/28/2015",44.84,45.28,44.68,45.22,43.21838,389700
"PDCO","12/24/2015",44.82,45.23,44.76,45.07,43.07502,171000
"PDCO","12/23/2015",44.83,45.16,44.73,44.9,42.91255,544200
"PDCO","12/22/2015",44.57,44.77,44.04,44.68,42.70229,489700
"PDCO","12/21/2015",44.35,44.69,43.64,44.32,42.35823,537200
"PDCO","12/18/2015",44.09,44.37,43.88,44.05,42.10017,1519800
"PDCO","12/17/2015",44.67,44.67,44.38,44.4,42.43468,813600
"PDCO","12/16/2015",43.82,44.63,43.74,44.56,42.5876,1005100
"PDCO","12/15/2015",43.95,44.04,43.34,43.62,41.68921,1091000
"PDCO","12/14/2015",43.75,43.84,43.23,43.56,41.63187,1090900
"PDCO","12/11/2015",43.69,44.15,43.52,43.76,41.82301,717600
"PDCO","12/10/2015",44.1,44.37,43.97,44.2,42.24353,924700
"PDCO","12/09/2015",44.41,44.6,43.92,44.06,42.10973,756600
"PDCO","12/08/2015",44.89,44.89,44.3,44.48,42.51115,854500
"PDCO","12/07/2015",45.09,45.19,44.66,45.13,43.13237,538000
"PDCO","12/04/2015",44.39,44.99,44.21,44.96,42.96989,1040400
"PDCO","12/03/2015",45.58,45.66,44.21,44.35,42.3869,990800
"PDCO","12/02/2015",45.42,45.86,45.37,45.47,43.45733,566800
"PDCO","12/01/2015",45.56,45.9,45.36,45.77,43.74404,695300
"PDCO","11/30/2015",45.59,46,45.42,45.57,43.55289,1009300
"PDCO","11/27/2015",45.71,45.73,45.21,45.59,43.57201,446600
"PDCO","11/25/2015",45.16,45.72,44.47,45.6,43.58157,881800
"PDCO","11/24/2015",46.02,47.09,44.97,45.71,43.6867,2022700
"PDCO","11/23/2015",48.5,48.87,47.81,48.63,46.47744,1099300
"PDCO","11/20/2015",48.39,48.72,48.26,48.49,46.34365,869900
"PDCO","11/19/2015",48.49,48.86,48.14,48.28,46.14294,783100
"PDCO","11/18/2015",47.88,48.81,47.81,48.75,46.59213,747100
"PDCO","11/17/2015",46.77,48.06,46.77,47.84,45.72241,409700
"PDCO","11/16/2015",46.77,47.54,46.77,47.5,45.39746,483800
"PDCO","11/13/2015",47.13,47.24,46.61,46.77,44.69978,904000
"PDCO","11/12/2015",47.77,47.96,47.03,47.05,44.96738,434000
"PDCO","11/11/2015",48.48,48.48,48,48.06,45.93268,673100
"PDCO","11/10/2015",47.93,48.35,47.65,48.07,45.94223,396100
"PDCO","11/09/2015",48.08,48.24,47.59,47.92,45.79887,385200
"PDCO","11/06/2015",47.92,48.33,47.76,48.19,46.05692,597700
"PDCO","11/05/2015",48.08,48.45,47.82,48.12,45.99002,583100
"PDCO","11/04/2015",47.9,48.28,47.76,48.09,45.96135,661500
"PDCO","11/03/2015",48.04,48.15,47.53,47.94,45.81799,516200
"PDCO","11/02/2015",47.4,48.1,47.22,48.01,45.88489,613100
"PDCO","10/30/2015",47.63,47.93,47.33,47.4,45.30189,818800
"PDCO","10/29/2015",46.97,47.63,46.75,47.53,45.42613,722000
"PDCO","10/28/2015",46.86,46.94,46.35,46.87,44.79535,1187300
"PDCO","10/27/2015",46.68,47.26,46.15,46.66,44.59464,1233900
"PDCO","10/26/2015",46.99,47.31,46.78,47.02,44.93871,754600
"PDCO","10/23/2015",45.99,47.08,45.84,47.01,44.92915,1138500
"PDCO","10/22/2015",46.43,46.56,45.46,45.7,43.67714,984800
"PDCO","10/21/2015",46.24,46.58,45.81,46.21,44.16456,699200
"PDCO","10/20/2015",46,46.37,46,46.15,44.10722,621100
"PDCO","10/19/2015",45.7,46.21,45.46,46.06,44.02121,944800
"PDCO","10/16/2015",45.88,46.42,45.59,45.93,43.89696,1098100
"PDCO","10/15/2015",45.18,45.94,45.06,45.64,43.6198,1053100
"PDCO","10/14/2015",45.67,46.09,44.2,45.18,43.18015,1057900
"PDCO","10/14/2015",0,0,0,0,0,0
"PDCO","10/13/2015",46.72,47.01,46.09,46.11,43.85873,1437000
"PDCO","10/12/2015",46.64,46.87,46.34,46.74,44.45798,1024800
"PDCO","10/09/2015",45.94,46.98,45.92,46.77,44.4865,1078400
"PDCO","10/08/2015",45.04,46.04,45,45.99,43.74459,1196900
"PDCO","10/07/2015",44.32,45.1,44.06,45.01,42.81244,1171900
"PDCO","10/06/2015",44.56,44.71,43.99,44.13,41.9754,888700
"PDCO","10/05/2015",44.36,44.8,44.29,44.72,42.53659,875300
"PDCO","10/02/2015",42.88,43.99,42.8,43.99,41.84224,970400
"PDCO","10/01/2015",43.25,43.33,42.62,43.19,41.0813,950000
"PDCO","09/30/2015",43.41,43.68,42.84,43.25,41.13836,1411500
"PDCO","09/29/2015",42.78,43.42,42.66,42.97,40.87204,1170300
