"symbol","date","open","high","low","close","adjclose","volume"
"PFG","12/31/2015",45.21,45.87,44.92,44.98,42.22516,933700
"PFG","12/30/2015",46.03,46.14,45.42,45.47,42.68515,798100
"PFG","12/29/2015",46.45,46.45,45.91,46.16,43.33289,965700
"PFG","12/28/2015",45.35,45.57,44.96,45.57,42.77903,837800
"PFG","12/24/2015",45.66,45.87,45.48,45.66,42.86352,383500
"PFG","12/23/2015",45.06,45.82,44.96,45.7,42.90107,991200
"PFG","12/22/2015",44.53,44.98,44.05,44.81,42.06558,1003700
"PFG","12/21/2015",44.28,44.55,43.64,44.17,41.46477,1533800
"PFG","12/18/2015",45,45,43.82,43.82,41.13621,2814900
"PFG","12/17/2015",46.81,46.92,45.21,45.23,42.45985,1703900
"PFG","12/16/2015",46.15,46.84,45.56,46.73,43.86798,1705600
"PFG","12/15/2015",45.63,46.07,45.36,45.77,42.96678,1864700
"PFG","12/14/2015",45.4,46,44.56,44.99,42.23455,1600400
"PFG","12/11/2015",46.64,46.79,44.9,45.23,42.45985,3276900
"PFG","12/10/2015",47.26,47.91,47.16,47.43,44.52512,1759400
"PFG","12/09/2015",48.03,48.65,46.93,47.23,44.33735,1915400
"PFG","12/08/2015",48.61,48.86,48.11,48.25,45.29488,1536300
"PFG","12/07/2015",48.91,49.36,48.68,49.05,46.04589,1990000
"PFG","12/04/2015",48.33,49.19,48.2,49.14,46.13038,2905300
"PFG","12/03/2015",50.76,50.76,48.03,48.2,45.24795,3629700
"PFG","12/03/2015",0,0,0,0,0,0
"PFG","12/02/2015",52.11,52.18,51.1,51.16,47.66994,1504000
"PFG","12/01/2015",51.77,52.17,51.47,52.12,48.56445,1161300
"PFG","11/30/2015",51.42,51.94,51.06,51.46,47.94947,1281100
"PFG","11/27/2015",50.92,51.45,50.88,51.42,47.9122,464500
"PFG","11/25/2015",50.94,51,50.55,50.91,47.43699,757100
"PFG","11/24/2015",50.29,50.87,49.99,50.75,47.28791,956200
"PFG","11/23/2015",50.79,51.09,50.62,50.8,47.33449,751600
"PFG","11/20/2015",50.99,51.14,50.68,50.83,47.36245,758300
"PFG","11/19/2015",50.74,50.98,50.45,50.72,47.25995,632900
"PFG","11/18/2015",49.98,50.87,49.5,50.85,47.38108,1043800
"PFG","11/17/2015",49.93,50.25,49.28,49.73,46.33749,1395600
"PFG","11/16/2015",48.58,49.71,48.42,49.7,46.30954,836900
"PFG","11/13/2015",48.92,49.31,48.6,48.77,45.44298,1077400
"PFG","11/12/2015",50.14,50.25,49.02,49.04,45.69456,1336100
"PFG","11/11/2015",50.9,50.9,50.27,50.52,47.0736,700700
"PFG","11/10/2015",50.4,50.69,49.93,50.59,47.13882,1119200
"PFG","11/09/2015",51.87,51.88,50.22,50.46,47.01768,1809400
"PFG","11/06/2015",52,52.21,51.3,51.95,48.40604,1444700
"PFG","11/05/2015",50.87,51.11,50.55,50.93,47.45563,856400
