"symbol","date","open","high","low","close","adjclose","volume"
"PKG","12/31/2015",63.62,64.25,62.86,63.05,59.87927,736100
"PKG","12/30/2015",63.78,64.49,63.5,64,60.78149,651800
"PKG","12/29/2015",64.92,65,63.8,63.94,60.72451,759600
"PKG","12/28/2015",64.27,64.41,63.47,64.37,61.13289,499300
"PKG","12/24/2015",63.75,64.6,63.45,64.3,61.06641,355900
"PKG","12/23/2015",62.37,63.89,62.06,63.84,60.62954,928700
"PKG","12/23/2015",0,0,0,0,0,0
"PKG","12/22/2015",60.83,62.78,60.75,62.7,59.02453,1307400
"PKG","12/21/2015",60.44,61.15,59.77,60.92,57.34887,1093600
"PKG","12/18/2015",61.5,61.85,59.75,59.86,56.35101,2451900
"PKG","12/17/2015",64.63,65.29,61.84,61.96,58.3279,1225100
"PKG","12/16/2015",64.76,65.34,64.28,65.06,61.24618,694700
"PKG","12/15/2015",64.4,64.69,63.59,64.22,60.45543,598400
"PKG","12/14/2015",65.18,65.22,63.31,63.79,60.05064,727400
"PKG","12/11/2015",64.96,65.68,64.46,65.09,61.27442,649700
"PKG","12/10/2015",65.73,66.36,65,65.25,61.42505,707400
"PKG","12/09/2015",65.06,66.7,65,65.79,61.93339,601200
"PKG","12/08/2015",66,66.25,65.42,65.65,61.8016,509600
"PKG","12/07/2015",66.7,67.03,66,66.93,63.00657,373800
"PKG","12/04/2015",66.8,67.46,66.46,67.07,63.13836,494200
"PKG","12/03/2015",67.75,67.9,66.23,66.77,62.85595,775100
"PKG","12/02/2015",68.62,68.81,67.36,67.46,63.50549,653400
"PKG","12/01/2015",68.12,69.13,68.01,68.85,64.81402,578900
"PKG","11/30/2015",67.97,68.49,67.73,67.99,64.00443,792700
"PKG","11/27/2015",67.74,68.21,67.17,68,64.01384,211900
"PKG","11/25/2015",67.91,69.09,67.13,67.41,63.45844,498700
"PKG","11/24/2015",67.16,68.78,66.69,68.38,64.37157,1171800
"PKG","11/23/2015",67.25,67.93,66.98,67.27,63.32664,590600
"PKG","11/20/2015",66.73,67.3,66.56,67.28,63.33604,684200
"PKG","11/19/2015",65.88,66.71,65.38,66.47,62.57354,825500
"PKG","11/18/2015",63.61,65.69,63.5,65.63,61.78276,789700
"PKG","11/17/2015",64.81,65.79,63.23,63.37,59.65525,1160500
"PKG","11/16/2015",64.8,65.08,63.77,64.51,60.72843,810300
"PKG","11/13/2015",64.49,65.56,64.34,64.93,61.12381,637700
"PKG","11/12/2015",66.38,66.5,64.56,64.6,60.81315,482900
"PKG","11/11/2015",66.37,67.5,66.25,66.9,62.97832,613200
"PKG","11/10/2015",66.22,66.97,65.21,66.25,62.36643,797900
"PKG","11/09/2015",67.16,67.31,65.62,66.48,62.58294,497600
"PKG","11/06/2015",67.19,67.44,66.25,67.02,63.09129,807600
"PKG","11/05/2015",67.34,67.76,66.72,67.2,63.26073,740500
"PKG","11/04/2015",67.6,68.28,67,67.33,63.38313,899000
"PKG","11/03/2015",68.91,68.91,67.1,67.31,63.36429,923200
"PKG","11/02/2015",68.61,69.54,68.39,69.15,65.09643,897400
"PKG","10/30/2015",68.07,69.21,67.78,68.45,64.43745,813100
"PKG","10/29/2015",67.57,68.47,67.13,68.04,64.0515,762800
"PKG","10/28/2015",67.29,68.07,66.46,67.63,63.66552,1001200
"PKG","10/27/2015",66.94,67.53,65.62,66.99,63.06305,1288900
"PKG","10/26/2015",66.48,67.89,66.38,67.46,63.50549,1018000
"PKG","10/23/2015",65.25,67.17,64.75,66.63,62.72416,1855900
"PKG","10/22/2015",64.59,65.05,63.89,64.83,61.02967,988000
"PKG","10/21/2015",64.87,66.6,63.14,64.3,60.53074,2951000
"PKG","10/20/2015",69.03,69.61,68.04,68.22,64.22095,952900
"PKG","10/19/2015",69.11,69.29,67.92,69.05,65.0023,1012600
"PKG","10/16/2015",69.1,69.44,68.57,69.34,65.27528,811000
"PKG","10/15/2015",68.69,69.26,68.4,68.9,64.86108,727400
"PKG","10/14/2015",68.1,69.3,67.91,68.74,64.71046,696900
"PKG","10/13/2015",68.15,69.3,67.89,68.07,64.07973,695300
"PKG","10/12/2015",69.35,69.35,66.58,68.52,64.50336,1109900
"PKG","10/09/2015",65.93,70.04,65.19,69.72,65.63302,2463800
"PKG","10/08/2015",63.98,65.33,63.65,65.03,61.21794,622400
"PKG","10/07/2015",63.48,64.42,63.18,64.02,60.26714,657500
"PKG","10/06/2015",63.38,63.62,62.5,62.83,59.14691,537500
"PKG","10/05/2015",63.11,63.98,62.56,63.63,59.90002,628300
"PKG","10/02/2015",60.65,62.63,60.21,62.53,58.86449,1088500
"PKG","10/01/2015",60.42,62.71,59.54,61.24,57.65012,925500
"PKG","09/30/2015",60.17,60.74,59.41,60.16,56.63342,863200
"PKG","09/29/2015",59.25,59.8,58.29,59.49,56.0027,793600
"PKG","09/28/2015",60.99,61.09,59.19,59.34,55.86149,681800
"PKG","09/25/2015",61.59,61.94,61.01,61.3,57.7066,616900
"PKG","09/24/2015",61.91,62.01,60.06,61,57.42418,795500
"PKG","09/23/2015",62.99,63.1,62.16,62.47,58.80801,484200
"PKG","09/22/2015",63.3,63.97,62.51,62.81,59.12808,730400
"PKG","09/21/2015",64.56,65.59,63.99,64.16,60.39894,629000
"PKG","09/18/2015",64.7,65.26,64.1,64.24,60.47425,1103000
"PKG","09/17/2015",66.14,66.62,65.33,65.5,61.66039,807700
"PKG","09/16/2015",66.24,66.69,65.93,66.17,62.29113,698400
"PKG","09/15/2015",65.11,66.65,65.11,66.23,62.34761,1022400
"PKG","09/14/2015",65.45,66.02,65.19,65.83,61.97105,803900
"PKG","09/11/2015",65,65.92,65,65.53,61.68863,867400
"PKG","09/11/2015",0,0,0,0,0,0
"PKG","09/10/2015",65.5,66.26,65.25,65.82,61.44388,939400
"PKG","09/09/2015",66.68,66.89,65.24,65.42,61.07047,579900
"PKG","09/08/2015",65.79,66.19,64.91,66.18,61.77994,549800
"PKG","09/04/2015",64.76,65.1,64.21,64.57,60.27699,347800
"PKG","09/03/2015",65.6,66.56,65.28,65.5,61.14515,628900
"PKG","09/02/2015",65.82,66.66,64.61,65.54,61.1825,747300
"PKG","09/01/2015",66.28,66.54,64.84,65.02,60.69706,1035600
"PKG","08/31/2015",67.4,68.33,66.67,67.11,62.64811,1120000
"PKG","08/28/2015",66.27,67.71,66.04,67.48,62.99353,1035100
"PKG","08/27/2015",65.41,66.87,65.09,66.3,61.89197,1293500
"PKG","08/26/2015",64.4,65.62,62.22,64.49,60.2023,1956400
"PKG","08/25/2015",68.31,68.31,63.76,63.81,59.56752,1756800
"PKG","08/24/2015",69.17,69.17,64.7,66.4,61.98532,1257700
"PKG","08/21/2015",70.57,70.9,69.65,69.92,65.27128,1129600
"PKG","08/20/2015",71.75,71.92,70.95,71.15,66.4195,859600
"PKG","08/19/2015",72.67,72.89,71.7,72.43,67.6144,456500
"PKG","08/18/2015",73.06,73.26,72.61,72.91,68.0625,369100
"PKG","08/17/2015",72.68,73.6,72.5,73.37,68.49191,496200
"PKG","08/14/2015",71.79,73.35,71.71,73.2,68.3332,700300
"PKG","08/13/2015",71.85,72.62,71.4,72.11,67.31568,736700
"PKG","08/12/2015",71.67,71.97,70.59,71.82,67.04495,732100
"PKG","08/11/2015",72.17,72.64,71.48,72.46,67.64241,900700
"PKG","08/10/2015",71.42,72.59,70.78,72.44,67.62376,1003000
"PKG","08/07/2015",70.63,71.27,70.23,71.25,66.51286,820300
"PKG","08/06/2015",70.49,70.69,69.52,70.61,65.9154,752600
"PKG","08/05/2015",70.4,71.01,69.99,70.71,66.00876,589100
"PKG","08/04/2015",69.77,70.87,69.77,70.32,65.64469,408400
"PKG","08/03/2015",70.78,70.97,69.54,70.04,65.38332,540400
"PKG","07/31/2015",70.86,71.2,70.42,70.79,66.08344,771800
"PKG","07/30/2015",70.83,70.95,70.33,70.73,66.02743,1101900
"PKG","07/29/2015",69.68,70.99,69.3,70.81,66.1021,1065900
"PKG","07/28/2015",69.49,70.13,69.02,69.84,65.1966,810100
"PKG","07/27/2015",69.35,69.57,68.62,69.16,64.56182,875100
"PKG","07/24/2015",69.81,69.94,69.26,69.46,64.84187,1385600
"PKG","07/23/2015",71.39,71.39,69.57,69.68,65.04723,1526000
"PKG","07/22/2015",72.02,72.35,69.05,70.89,66.1768,4127600
"PKG","07/21/2015",65.85,66.09,65.26,65.48,61.12649,974400
"PKG","07/20/2015",65.3,66.6,65.3,66.12,61.72394,1393700
"PKG","07/17/2015",65.8,65.96,65.25,65.48,61.12649,1084200
"PKG","07/16/2015",64.46,66.24,64.4,66.04,61.64925,2042300
"PKG","07/15/2015",64.5,64.84,63.56,63.95,59.6982,877700
"PKG","07/14/2015",64.05,64.62,63.89,64.46,60.1743,852700
"PKG","07/13/2015",63.61,63.98,63.02,63.89,59.64219,835900
"PKG","07/10/2015",63.03,63.43,62.33,62.98,58.7927,1444500
"PKG","07/09/2015",63.19,63.71,62.2,62.43,58.27927,937200
"PKG","07/08/2015",63.62,63.95,62.6,62.65,58.48464,921300
"PKG","07/07/2015",63.38,64.21,62.84,64.14,59.87558,788700
"PKG","07/06/2015",63.48,64.15,63.12,63.44,59.22211,717700
"PKG","07/02/2015",63.91,64.41,63.68,63.83,59.58618,782500
"PKG","07/01/2015",63.29,64.21,62.94,63.87,59.62352,1367900
"PKG","06/30/2015",63.3,63.6,62.48,62.49,58.33529,1989100
"PKG","06/29/2015",63.32,64.08,62.55,62.57,58.40995,1808300
"PKG","06/26/2015",65.4,65.55,63.66,63.81,59.56752,1926100
"PKG","06/25/2015",66.14,66.26,65.1,65.17,60.83709,1120400
"PKG","06/24/2015",66.6,67.02,65.87,65.89,61.50922,899400
"PKG","06/23/2015",66.88,67.5,66.53,66.8,62.35872,1231300
"PKG","06/22/2015",68.5,69.03,66.5,66.92,62.47075,2964500
"PKG","06/19/2015",68.64,69.38,68.5,69.2,64.59916,1419500
"PKG","06/18/2015",68.16,68.52,67.97,68.51,63.95503,744200
"PKG","06/17/2015",67.34,68.01,67.19,68.01,63.48827,808500
"PKG","06/16/2015",66.8,67.4,66.66,67.14,62.67612,710600
"PKG","06/15/2015",67.08,67.51,66.67,66.8,62.35872,647600
"PKG","06/12/2015",67.86,68.06,67.41,67.66,63.16153,496800
"PKG","06/11/2015",67.49,68.12,67.49,68.06,63.53495,716800
"PKG","06/11/2015",0,0,0,0,0,0
"PKG","06/10/2015",67.44,68.04,67.26,67.73,62.71346,587900
"PKG","06/09/2015",67.64,67.74,67.07,67.12,62.14865,556400
"PKG","06/08/2015",68.42,68.7,67.78,67.8,62.77828,527100
"PKG","06/05/2015",67.93,68.57,67.54,68.53,63.4542,913800
"PKG","06/04/2015",67.74,68.25,67.56,68.17,63.12086,1126800
"PKG","06/03/2015",68.01,68.81,67.81,68.5,63.42643,668600
"PKG","06/02/2015",68.09,68.31,67.68,68.21,63.15791,1118200
"PKG","06/01/2015",69.41,69.52,67.39,68.24,63.18568,1431700
"PKG","05/29/2015",70.43,70.59,68.59,69.18,64.05606,3852800
"PKG","05/28/2015",70.41,70.94,70.02,70.5,65.27829,746700
"PKG","05/27/2015",70.13,70.66,69.79,70.62,65.3894,1121500
"PKG","05/26/2015",70.53,70.92,69.78,70.08,64.8894,1436400
"PKG","05/22/2015",70.59,71.11,70.29,70.62,65.3894,744900
"PKG","05/21/2015",70.98,71.33,70.57,70.97,65.71349,714300
"PKG","05/20/2015",70.67,71,70.35,70.92,65.66718,853300
"PKG","05/19/2015",70.78,70.86,70.19,70.38,65.16718,623500
"PKG","05/18/2015",69.97,70.83,69.75,70.71,65.47275,951800
"PKG","05/15/2015",70.51,70.78,69.55,70.54,65.31534,791600
"PKG","05/14/2015",70.37,70.82,70.02,70.69,65.45422,774600
"PKG","05/13/2015",69.55,70.02,69.18,69.63,64.47272,1151800
"PKG","05/12/2015",69.35,69.41,68.73,68.9,63.79681,601300
"PKG","05/11/2015",69.51,69.91,69.29,69.63,64.47272,498000
"PKG","05/08/2015",69.76,70.45,69.2,69.92,64.74123,831600
"PKG","05/07/2015",69.03,69.63,68.82,69.2,64.07458,904600
"PKG","05/06/2015",68.07,69.2,67.21,69.02,63.90791,1717600
"PKG","05/05/2015",70.2,70.2,67.48,68.02,62.98198,3207000
"PKG","05/04/2015",69.76,70.43,69.62,70.17,64.97272,775100
"PKG","05/01/2015",69.31,70.31,69.31,69.87,64.69496,712600
"PKG","04/30/2015",68.26,69.64,68.11,69.19,64.06533,1407400
"PKG","04/29/2015",68.06,68.72,67.39,68.53,63.4542,1835900
"PKG","04/28/2015",69.4,69.41,68.17,68.32,63.25975,2416700
"PKG","04/27/2015",70.19,70.56,69.23,69.34,64.20421,1047100
"PKG","04/24/2015",70.06,70.33,69.79,70,64.81532,1705200
"PKG","04/23/2015",70.23,70.99,69.92,70.04,64.85236,1637800
"PKG","04/22/2015",70.25,72.7,69.31,70.68,65.44497,5079700
"PKG","04/21/2015",72.48,72.48,68.43,69.02,63.90791,6231400
"PKG","04/20/2015",77.06,77.3,76.4,77.02,71.31537,1058800
"PKG","04/17/2015",76.76,76.93,76.26,76.76,71.07463,712600
"PKG","04/16/2015",76.22,77.33,76.12,77.16,71.445,937100
"PKG","04/15/2015",77.06,77.59,76.58,76.62,70.945,801100
"PKG","04/14/2015",78.49,78.56,76.32,76.9,71.20426,774600
"PKG","04/13/2015",78.95,78.98,78.35,78.5,72.68576,378700
"PKG","04/10/2015",78.1,78.88,77.91,78.75,72.91723,586600
"PKG","04/09/2015",78.13,78.93,78.04,78.28,72.48205,759600
"PKG","04/08/2015",76.53,78.34,76.03,78.34,72.5376,740600
"PKG","04/07/2015",77.12,77.32,76.48,76.53,70.86166,544800
"PKG","04/06/2015",75.9,77.4,75.77,77.24,71.51908,608400
"PKG","04/02/2015",76.87,77.33,75.83,76.24,70.59315,897500
"PKG","04/01/2015",77.87,77.96,76.11,76.79,71.10242,854400
"PKG","03/31/2015",78.22,78.76,78,78.19,72.39873,784700
"PKG","03/30/2015",78.1,79.11,77.97,78.85,73.00983,758300
"PKG","03/27/2015",76.99,77.88,76.76,77.79,72.02835,665100
"PKG","03/26/2015",76.59,77.51,76.01,77.34,71.61166,511200
"PKG","03/25/2015",78.81,78.96,76.51,76.68,71.00056,762000
"PKG","03/24/2015",78.59,79.33,78.28,78.75,72.91723,569500
"PKG","03/23/2015",81.14,81.25,78.9,78.94,73.09318,826900
"PKG","03/20/2015",79.31,81.01,78.72,80.86,74.87096,1406100
"PKG","03/19/2015",79.4,79.76,78.39,79.04,73.18576,485100
"PKG","03/18/2015",77.98,79.94,77.6,79.66,73.75984,767100
"PKG","03/17/2015",78.14,78.81,77.2,77.98,72.20428,737300
"PKG","03/16/2015",78.96,79.35,77.58,78.27,72.47279,978100
"PKG","03/13/2015",79.31,79.54,77.87,78.47,72.65799,771500
"PKG","03/12/2015",78.01,79.71,77.58,79.58,73.68578,791000
"PKG","03/11/2015",77.37,78.01,77.18,77.56,71.81537,801500
"PKG","03/11/2015",0,0,0,0,0,0
"PKG","03/10/2015",77.82,78.48,77.05,77.83,71.55612,784700
"PKG","03/09/2015",78.39,78.92,77.71,78.23,71.92389,622300
"PKG","03/06/2015",78.59,78.62,77.02,77.83,71.55612,1129800
"PKG","03/05/2015",80.12,80.42,78.3,79.08,72.70536,996900
"PKG","03/04/2015",81.37,81.37,79.4,80.29,73.81783,558400
"PKG","03/03/2015",82.8,82.88,81.12,81.51,74.93948,647000
"PKG","03/02/2015",82.86,83.25,81.68,83.06,76.36452,876400
"PKG","02/27/2015",84.14,84.3,82.73,82.86,76.18066,792300
"PKG","02/26/2015",82.35,83.15,82.12,82.71,76.04273,932400
"PKG","02/25/2015",82.64,82.76,81.67,82.1,75.48191,585900
"PKG","02/24/2015",83.78,83.78,82.3,82.89,76.20823,852700
"PKG","02/23/2015",82.81,84.88,82.12,84.24,77.4494,1708700
"PKG","02/20/2015",83.01,83.7,81.78,83.67,76.92536,984000
"PKG","02/19/2015",83.62,83.89,82.69,83.05,76.35535,839400
"PKG","02/18/2015",82.23,83.7,81.62,83.63,76.88858,654400
"PKG","02/17/2015",82.6,82.99,82.1,82.22,75.59223,692500
"PKG","02/13/2015",81.38,82.93,81.29,82.89,76.20823,945300
"PKG","02/12/2015",80.18,81.56,79.31,81.03,74.49818,1644900
"PKG","02/11/2015",78.84,79.57,78.64,79.21,72.82487,644000
"PKG","02/10/2015",77.99,79.08,77.51,78.93,72.56745,592800
"PKG","02/09/2015",77.56,77.89,77.16,77.49,71.24352,508100
"PKG","02/06/2015",77.53,77.96,77.35,77.77,71.50094,774600
"PKG","02/05/2015",76.98,77.69,76.68,77.56,71.30789,992200
"PKG","02/04/2015",75.61,76.95,75.47,76.43,70.26897,930100
"PKG","02/03/2015",75.5,76.33,75.4,75.87,69.75412,1103300
"PKG","02/02/2015",75.96,76.5,74.29,75.34,69.26683,1105400
"PKG","01/30/2015",75.94,76.6,75.32,75.85,69.73573,843900
"PKG","01/29/2015",76.21,76.5,74.88,76.43,70.26897,1096800
"PKG","01/28/2015",76.91,79.1,76.55,76.59,70.41608,2019500
"PKG","01/27/2015",74.01,77.05,73.03,76.33,70.17703,5057700
"PKG","01/26/2015",81.91,82.62,80.62,81.56,74.98544,1385700
"PKG","01/23/2015",82.49,82.63,79.97,80.06,73.60636,912500
"PKG","01/22/2015",81.7,82.55,81.07,82.53,75.87726,715200
"PKG","01/21/2015",80.86,82.1,80.69,81.88,75.27965,765100
"PKG","01/20/2015",81.11,81.65,80.22,81.23,74.68204,693500
"PKG","01/16/2015",78.6,80.48,78.53,80.37,73.89137,831200
"PKG","01/15/2015",79.2,80.05,78.5,79.03,72.65938,1157300
"PKG","01/14/2015",78.02,79.29,77.76,78.8,72.44794,751400
"PKG","01/13/2015",79.39,80.61,78.31,78.81,72.45712,776900
"PKG","01/12/2015",78.6,79.11,78.11,78.86,72.5031,616900
"PKG","01/09/2015",78.43,79.12,78.24,78.56,72.22727,519700
"PKG","01/08/2015",77.66,78.95,77.56,78.72,72.37437,1067700
"PKG","01/07/2015",77.17,77.65,75.95,76.78,70.59075,518700
"PKG","01/06/2015",77.56,77.96,76.29,76.86,70.66431,830000
