"symbol","date","open","high","low","close","adjclose","volume"
"PKI","12/31/2015",53.78,54.26,53.56,53.57,53.0384,498900
"PKI","12/30/2015",54.25,54.31,53.92,53.93,53.39482,352900
"PKI","12/29/2015",53.75,54.52,53.74,54.36,53.82056,367000
"PKI","12/28/2015",53.3,53.56,52.95,53.54,53.00871,259900
"PKI","12/24/2015",53.05,53.56,53.03,53.44,52.90969,159400
"PKI","12/23/2015",52.82,53.19,52.57,53.06,52.53346,336800
"PKI","12/22/2015",51.81,52.85,51.54,52.63,52.10773,454900
"PKI","12/21/2015",51.47,52.02,51.3,51.55,51.03845,719000
"PKI","12/18/2015",51.69,51.69,50.7,50.87,50.36519,2081400
"PKI","12/17/2015",52.65,52.82,51.93,51.94,51.42457,568700
"PKI","12/16/2015",51.75,52.8,51.6,52.62,52.09782,850400
"PKI","12/15/2015",51.5,51.8,51.3,51.39,50.88003,1022400
"PKI","12/14/2015",50.32,51.05,50.27,51.01,50.5038,927700
"PKI","12/11/2015",49.73,50.6,49.5,50.28,49.78104,656600
"PKI","12/10/2015",50.11,50.58,49.88,50.38,49.88005,604700
"PKI","12/09/2015",50.45,51.05,49.99,50.25,49.75135,659000
"PKI","12/08/2015",49.67,51.01,49.4,50.69,50.18698,1102800
"PKI","12/07/2015",52.03,52.22,51.19,51.41,50.89984,579400
"PKI","12/04/2015",51.05,52.29,51.05,52.25,51.7315,606700
"PKI","12/03/2015",51.41,51.91,50.58,50.89,50.38499,756300
"PKI","12/02/2015",53.52,53.66,52.49,52.56,52.03843,471600
"PKI","12/01/2015",53.46,53.69,53.01,53.66,53.12751,509200
"PKI","11/30/2015",53.5,53.73,53.14,53.16,52.63247,684100
"PKI","11/27/2015",53.22,53.76,53.07,53.58,53.0483,212500
"PKI","11/25/2015",52.71,53.29,52.37,53.16,52.63247,391100
"PKI","11/24/2015",52.31,52.75,52.01,52.54,52.01862,535700
"PKI","11/23/2015",52.72,53.1,52.6,52.83,52.30575,373500
